,https://roic.ai/company/WRK,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1732845/000095012319011534/0000950123-19-011534-index.html,https://www.sec.gov/Archives/edgar/data/1732845/000156459020054816/0001564590-20-054816-index.htm,https://www.sec.gov/Archives/edgar/data/1732845/000156459021057778/0001564590-21-057778-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14173000,56891000,26839000,6900000,10900000,52800000,11800000,15900000,41700000,37200000,36400000,32600000,228300000,340900000,298100000,636800000,151600000,251100000,290900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14173000,56891000,26839000,6900000,10900000,52800000,12700000,15900000,41700000,37200000,36400000,32600000,228300000,340900000,298100000,636800000,151600000,251100000,290900000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163096000,177378000,199493000,230800000,230600000,304300000,305500000,333500000,1109600000,1075600000,1134900000,1118700000,1690000000,1592200000,1886800000,2010700000,2193200000,2142700000,2586900000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118414000,127359000,201965000,218900000,224400000,283000000,275100000,269500000,849800000,861900000,937900000,1029200000,1963400000,1638200000,1797300000,1829600000,2107500000,2023400000,2173300000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67544000,23812000,33919000,29000000,28600000,69100000,65000000,90100000,227800000,215100000,307200000,252000000,278700000,341300000,508700000,308000000,522000000,527500000,608500000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,363227000,385440000,462216000,485600000,494500000,709200000,658300000,709000000,2228900000,2189800000,2416400000,2432500000,4160400000,3912600000,4490900000,4785100000,4974300000,4944700000,5659600000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,579514000,552803000,885005000,850600000,837500000,1333100000,1276100000,1250000000,5527200000,5611400000,5554700000,5832600000,9596700000,9294300000,9118300000,9082500000,11189500000,10778900000,10570100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,356600000,364500000,727000000,736400000,748800000,1839400000,1865300000,1862100000,1926400000,5694500000,4778100000,5528300000,5577600000,7285600000,5962200000,5959200000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291799000,316074000,418933000,55100000,67600000,176900000,151300000,151500000,799400000,795100000,699400000,691100000,3552200000,2599300000,3329300000,3122000000,4059500000,3667200000,3318800000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291799000,316074000,418933000,411700000,432100000,903900000,887700000,900300000,2638800000,2660400000,2561500000,2617500000,9246700000,7377400000,8857600000,8699600000,11345100000,9629400000,9278000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23800000,23300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53248000,29496000,32280000,36100000,36600000,66900000,38500000,32300000,171100000,225500000,200800000,157100000,2353000000,2453900000,2622200000,2793300000,2647800000,3426700000,3746600000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,924561000,898373000,1336218000,1298400000,1306200000,2303900000,2226100000,2205900000,8337100000,8497300000,8317000000,8607200000,21196400000,19125600000,20598100000,20575400000,25182400000,23835000000,23594700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1287788000,1283813000,1798434000,1784000000,1800700000,3013100000,2884400000,2914900000,10566000000,10687100000,10733400000,11039700000,25356800000,23038200000,25089000000,25360500000,30156700000,28779700000,29254300000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84151000,94483000,116423000,141800000,161600000,241500000,233900000,252300000,780700000,708900000,802100000,812800000,1303800000,1054400000,1492100000,1716800000,1831800000,1674200000,2123700000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12927000,83906000,62079000,40800000,46000000,245100000,56300000,231600000,143300000,261300000,2900000,132600000,74100000,292900000,608700000,740700000,561100000,222900000,168800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86798000,89273000,100708000,123400000,137300000,161100000,159100000,147300000,394300000,438100000,438400000,415100000,785300000,835700000,909000000,875800000,1042200000,1031800000,1351600000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183876000,267662000,279210000,306000000,344900000,647700000,449300000,631200000,1318300000,1408300000,1243400000,1360500000,2163200000,2183000000,3009800000,3333300000,3435100000,2928900000,3644100000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,489037000,400155000,840747000,754900000,676300000,1447200000,1289300000,897300000,3302500000,3151200000,2841900000,2852100000,5558300000,5496300000,5946100000,5674500000,9502300000,9207700000,8025300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93801000,84947000,82974000,99800000,125700000,153300000,149200000,166400000,827100000,888800000,1063100000,1132800000,3540600000,3130700000,3410200000,2321500000,2878000000,2916900000,2944400000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99038000,93448000,122677000,95900000,54900000,106800000,202000000,202600000,1739500000,1821200000,1272200000,1386900000,2310800000,2398200000,2336800000,2548800000,2657100000,3078700000,2950500000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,681876000,578550000,1046398000,950600000,856900000,1707300000,1640500000,1266300000,5869100000,5861200000,5177200000,5371800000,11409700000,11025200000,11693100000,10544800000,15037400000,15203300000,13920200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,865752000,846212000,1325608000,1256600000,1201800000,2355000000,2089800000,1897500000,7187400000,7269500000,6420600000,6732300000,13572900000,13208200000,14702900000,13878100000,18472500000,18132200000,17564300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350000,356000,363000,400000,400000,400000,400000,400000,700000,700000,700000,1400000,2600000,2500000,2500000,2500000,2600000,2600000,2700000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,315905000,321557000,326041000,341200000,357800000,421700000,620300000,812600000,907400000,1094700000,1740800000,1960900000,1661600000,-105900000,172400000,1573300000,1997100000,1031600000,1607900000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43941000,-43324000,-36605000,-12600000,8200000,-20400000,-108400000,-92200000,-299200000,-500500000,-300600000,-495300000,-780200000,-626400000,-457300000,-695300000,-1069200000,-1319900000,-999100000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149722000,159012000,166423000,179600000,222600000,238800000,264500000,290500000,2762700000,2810800000,2871400000,2839800000,10767800000,10458600000,10624900000,10588900000,10739400000,10916300000,11058800000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,422036000,437601000,456222000,508600000,589000000,640500000,776800000,1011300000,3371600000,3405700000,4312300000,4306800000,11651800000,9728800000,10342500000,11469400000,11669900000,10630600000,11670300000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1287788000,1283813000,1781830000,1765200000,1790800000,2995500000,2866600000,2908800000,10559000000,10675200000,10732900000,11039100000,25224700000,22937000000,25045400000,25347500000,30142400000,28762800000,29234600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16604000,18800000,9900000,17600000,17800000,6100000,7000000,11900000,500000,600000,132100000,101200000,43600000,13000000,14300000,16900000,19700000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1287788000,1283813000,1798434000,1784000000,1800700000,3013100000,2884400000,2914900000,10566000000,10687100000,10733400000,11039700000,25356800000,23038200000,25089000000,25360500000,30156700000,28779700000,29254300000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1732845/000095012319011534/0000950123-19-011534-index.html,https://www.sec.gov/Archives/edgar/data/1732845/000156459020054816/0001564590-20-054816-index.htm,https://www.sec.gov/Archives/edgar/data/1732845/000156459021057778/0001564590-21-057778-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,33200000,25500000,37500000,41400000,51100000,16100000,42000000,39700000,-15916000,30523000,26626000,29576000,17648000,17614000,28700000,81700000,81800000,222300000,225600000,141100000,249100000,727300000,479700000,507100000,-396300000,708200000,1906100000,862900000,-690900000,838300000
74,Depreciation and Amortization,28900000,29100000,34300000,43200000,48600000,62100000,70800000,72500000,77061000,77593000,72521000,72683000,74189000,84040000,104300000,103700000,135300000,150000000,147400000,278300000,534300000,- -,- -,130400000,211800000,229600000,296600000,400200000,400500000,- -
75,Deferred Income Tax,1100000,-1200000,2800000,6400000,5100000,5000000,4000000,3400000,316000,6609000,5617000,12085000,-4678000,3963000,5500000,22200000,22800000,46000000,-51100000,60000000,123400000,-44300000,252100000,161400000,-160900000,-20400000,-1069400000,37100000,43000000,-38300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11900000,16000000,21400000,29200000,46500000,42600000,49200000,75700000,58000000,66800000,64200000,130300000,88600000
77,Change in Working Capital,1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179351000,-61573000,65228000,-3406000,-30000000,-88100000,147500000,-131200000,832800000,-129100000,391500000,-101000000,925200000,-267600000,-248500000,-29300000,87400000,476600000,-24700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-22200000,-14400000,55500000,-63200000,67300000,106100000,36600000,-97900000,-143400000,272900000,30500000,-428900000
79,Inventory,2700000,2800000,-7300000,3600000,5000000,-300000,5200000,-6100000,-5362000,-3565000,-7726000,1476000,-7287000,9506000,-14100000,-2600000,2200000,8000000,8400000,-500000,7100000,-122800000,-80500000,-27200000,50600000,-48200000,-72100000,-110500000,21800000,-200000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6400000,15300000,-38800000,-77800000,87500000,-11600000,-38400000,-197100000,302200000,180300000,-39100000,-86400000,430300000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179351000,117778000,183006000,179600000,149600000,61500000,209000000,77800000,910600000,781500000,1173000000,1072000000,1997200000,1729600000,1481100000,1451800000,1539200000,2015800000,700000
82,Other Non-Cash Items,1000000,5500000,-16300000,-14100000,18700000,23200000,8900000,-3200000,40983000,31302000,12794000,-178744000,65854000,-16165000,18406000,60700000,89100000,-188000000,170600000,-871900000,-150200000,-88500000,478400000,-569700000,2225700000,1173600000,1250100000,858400000,1711200000,1416000000
83,Cash Provided by Operating Activities,65400000,58900000,58300000,76900000,123500000,106400000,125700000,112400000,102444000,146027000,117558000,114951000,91440000,154680000,153500000,238300000,240900000,389700000,377300000,461700000,656700000,1032500000,1151800000,1203600000,1688400000,1900500000,2420900000,2310200000,2070700000,2279900000
84,CAPEX,-40400000,-53200000,-106700000,-73800000,-71800000,-87000000,-81700000,-92300000,-94640000,-72561000,-77640000,-57402000,-60823000,-54326000,-64600000,-78000000,-84200000,-84000000,-106200000,-199400000,-469400000,-440400000,-534200000,-585500000,-796700000,-778600000,-999900000,-1369100000,-978100000,-815500000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25351000,-81845000,-15047000,-552291000,-7800000,-32100000,-817900000,7100000,-23400000,-1300100000,-123800000,-5400000,-460600000,4800000,-540400000,-555400000,-354200000,-3385400000,-1300000,58500000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-195250000,- -,-9600000,-300000,-1000000,- -,-2000000,-1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223480000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29500000
88,Other Investing Activites,5300000,400000,1600000,-64200000,4000000,-300500000,3300000,1100000,-6703000,-7329000,7874000,-13850000,67819000,5951000,5400000,10600000,7200000,-73400000,-102600000,-189300000,-401700000,-398200000,-506800000,-287500000,-811000000,-730400000,-944700000,174900000,-920200000,-764000000
89,Cash Used for Investing Activites,-35100000,-52800000,-105100000,-138000000,-67800000,-387500000,-78400000,-91200000,-101343000,-79890000,-95117000,-153097000,-8051000,-572436000,-67000000,-109100000,-895200000,-75400000,-126000000,-1491400000,-544200000,-403600000,-967400000,-282700000,-1351400000,-1285800000,-1298900000,-4579600000,-921500000,-676000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-796700000,-564000000,-2530800000,-2563400000,-933600000,-751000000,-1897200000,-1073300000,-2331900000,-2032900000,-5631600000,-1977400000,-1959300000
91,Common Stock Issued,1100000,10100000,14800000,1700000,2500000,4100000,3800000,3100000,3748000,2377000,7335000,106025000,6674000,5122000,11500000,31500000,4300000,- -,- -,25200000,- -,3500000,- -,- -,11800000,35800000,26600000,18300000,22200000,18200000
92,Common Stock Repurchased,-1700000,-3200000,-5300000,-7800000,-4300000,- -,-4400000,- -,-22245000,-2324000,- -,-1313000,- -,- -,- -,-58700000,- -,-100000,-4200000,- -,5200000,- -,-247300000,-1023800000,-335300000,-93000000,-195100000,-88600000,- -,-122400000
93,Dividends Paid,-2400000,-2700000,-5000000,-9100000,-9100000,-10100000,-10400000,-10500000,-10384000,-10007000,-10183000,-14844000,-14621000,-12949000,-13200000,-15400000,-15200000,-20100000,-30300000,-37600000,-56500000,-75300000,-101100000,-214500000,-380700000,-403200000,-440900000,-467900000,-344500000,-233800000
94,Other Financing Activites,-5200000,15500000,6400000,82500000,-15500000,239700000,-33700000,-15400000,28739000,-56596000,-19133000,-43260000,-33175000,422888000,-104100000,-82300000,707400000,460200000,351200000,3594800000,2496100000,376200000,911300000,2417500000,1546500000,2136900000,1887200000,7950000000,1278600000,716900000
95,Cash Used/Provided by Financing Activities,-8200000,19700000,10900000,67300000,-26400000,233700000,-44700000,-22800000,-142000,-66550000,-21981000,46608000,-41122000,415061000,-105800000,-124900000,696500000,-356700000,-247300000,1051600000,-118600000,-629200000,-188100000,-718000000,-231000000,-655400000,-755100000,1780200000,-1021100000,-1580400000
96,Effect of Forex Changes on Cash,- -,- -,- -,100000,- -,- -,-200000,400000,-48000,155000,909000,-849000,451000,873000,-600000,-300000,-300000,1400000,100000,3900000,1600000,-500000,-100000,-7200000,6600000,-2100000,-28200000,4000000,-28600000,16300000
97,Net Change In Cash,-8200000,19700000,10900000,67300000,-26400000,233700000,-44700000,-1300000,911000,-258000,1369000,7613000,42718000,-1822000,-19900000,4000000,41900000,-41000000,4100000,25800000,-4500000,-800000,-3800000,195700000,112600000,-42800000,338700000,-485200000,99500000,39800000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,4500000,5449000,5191000,6560000,14173000,56891000,26839000,6900000,10900000,52800000,11800000,15900000,41700000,37200000,36400000,32600000,228300000,340900000,298100000,636800000,151600000,251100000,290900000
99,Cash at the Beginning of Period,3200000,25300000,51200000,15200000,21500000,50900000,3300000,5800000,4538000,5449000,5191000,6560000,14173000,28661000,26800000,6900000,10900000,52800000,11800000,15900000,41700000,37200000,36400000,32600000,228300000,340900000,298100000,636800000,151600000,251100000
100,Free Cash Flow,25000000,5700000,-48400000,3100000,51700000,19400000,44000000,20100000,7804000,73466000,39918000,57549000,30617000,100354000,88900000,160300000,156700000,305700000,271100000,262300000,187300000,592100000,617600000,618100000,891700000,1121900000,1421000000,941100000,1092600000,1464400000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1732845/000095012319011534/0000950123-19-011534-index.html,https://www.sec.gov/Archives/edgar/data/1732845/000156459020054816/0001564590-20-054816-index.htm,https://www.sec.gov/Archives/edgar/data/1732845/000156459021057778/0001564590-21-057778-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
