,https://roic.ai/company/AUPH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,390625,543279,547786,859307,1137641,1718886,1787645,1894266,2234043,2994042,2276910,2161207,2010678,3182174,3031674,20858965,18489000,16997000,15550000,14116000,12616000,11244000,9332000,8404000
41,Intangible Assets,390625,543279,547786,859307,1137641,1718886,1787645,1894266,2234043,2994042,2276910,2161207,2010678,3182174,3031674,20858965,18489000,16997000,15550000,14116000,12616000,11244000,9332000,8404000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,595077,- -,- -,- -,- -,- -,- -,- -,24380000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,67910,-0,- -,- -,- -,- -,- -,- -,0,- -,-0,428931,2172380,0,152146,286000,- -,- -,448000,358000,209000,247000,11838000
45,Total Non-Current Assets,976563,1086558,1375002,2074775,6849985,10321800,8886652,7496125,7004976,7344239,4911257,4142871,3703407,6003918,3715208,21047738,18827000,17033000,15579000,14595000,13015000,11546000,44234000,30043000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1562500,4142502,13968227,37062652,50678710,74434171,61172576,54349923,30636582,42666869,26658176,9547321,10282355,14321254,4159505,23142087,52378000,33567000,56997000,189847000,145863000,326683000,463661000,543367000
48,Accounts Payable,1171875,747009,1103389,1651403,2220655,4539741,3787412,4863957,3272992,9798041,- -,- -,- -,- -,1165023,1104464,1392000,2079000,2863000,3773000,2951000,4153000,2635000,3879000
49,Short-Term Debt,195313,67910,48200,70981,130851,186618,1403331,1624763,1721860,532162,4750205,- -,- -,44074,36187,- -,- -,- -,- -,- -,- -,- -,788000,1059000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35688,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,3004133,643445,394830,1092851,1186133,474924,1220372,339757,227279,217000,168000,118000,118000,118000,118000,- -,- -
52,Other Current Liabilities,976563,67910,- -,- -,639645,634654,75698,52523,1292038,16157,3286771,2059020,868861,861900,2131017,4709937,1227000,1370000,4949000,4259000,4192000,7024000,28574000,35708000
53,Total Current Liabilities,2343750,882828,1151589,1722383,2991152,5361012,5266442,9545376,6930336,10741190,9129827,3245153,1343785,2126347,3671984,6041680,2836000,3617000,7930000,8150000,7261000,11295000,31997000,40646000
54,Long-Term Debt,65104,67910,57970,57162,128945,238284,3467982,2339418,612560,81793,8130649,- -,- -,35260,- -,- -,- -,- -,- -,- -,- -,- -,7619000,7680000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1479869,1453538,2565590,5739471,2606475,1112916,847000,678000,560000,442000,324000,206000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,291493,238741,107629,2927248,3429264,47658,40111,24996,8815,- -,2686965,3589000,9309000,12557000,15512000,25703000,41666000,16295000,15950000
58,Total Non-Current Liabilities,65104,67910,57970,57162,128945,529778,3706723,2447047,3539808,3511057,9658176,1493649,2590586,5783546,2606475,3799882,4436000,9987000,13117000,15954000,26027000,41872000,23914000,23630000
59,Other Liabilities,- -,- -,- -,114323,- -,- -,- -,- -,7079616,- -,- -,- -,- -,- -,5212951,7599763,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47658,- -,- -,- -,36187,- -,- -,- -,- -,- -,- -,- -,8407000,8739000
61,Total Liabilities,2408854,950738,1209559,1779545,3120097,5890790,8973165,11992423,10470144,14252247,18788003,4738802,3934371,7909892,6278460,9841562,7272000,13604000,21047000,24104000,33288000,53167000,55911000,64276000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204703316,207068193,258494000,261645000,299815000,499200000,504650000,790472000,944328000,1177051000
64,Retained Earnings,-5468750,-6926807,-12898708,-19843842,-20524547,-39842840,-65538956,-96913208,-119416609,-174377461,-157776500,-190975074,-203821389,-202032321,-217084326,-205371113,-236372000,-257753000,-281048000,-351840000,-415960000,-539806000,-575156000,-756122000
65,Other Comprehensive Income/Loss,-390625,-543279,-713230,-942851,-1026481,550599,1271898,941967,-5943720,3152580,-7404273,-8712635,-9765438,-10189030,-10869194,-4761592,-805000,-805000,-805000,-883000,-805000,-805000,-805000,-852000
66,Other Total Stockholders Equity,5013021,10661850,26370606,56069800,69109642,110878568,121590663,144257792,145526767,210819954,173050945,204496228,219934810,218632713,21131249,16365037,23789000,16876000,17988000,19266000,24690000,23655000,39383000,- -
67,Total Stockholders Equity,-846354,3191764,12758668,35283107,47558613,68543381,52199411,42357500,20166438,28414622,7870173,4808519,6347984,6411361,-2118955,13300525,45106000,19963000,35950000,165743000,112575000,273516000,407750000,479091000
68,Total Liabilities And Stockholders Equity,1562500,4142502,13968227,37062652,50678710,74434171,61172576,54349923,30636582,42666869,26658176,9547321,10282355,14321254,4159505,23142087,52378000,33567000,56997000,189847000,145863000,326683000,463661000,543367000
69,Minority Interest,- -,-0,- -,- -,-0,- -,-0,- -,0,- -,- -,-0,- -,0,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1562500,4142502,13968227,37062652,50678710,74434171,61172576,54349923,30636582,42666869,26658176,9547321,10282355,14321254,4159505,23142087,52378000,33567000,56997000,189847000,145863000,326683000,463661000,543367000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1600620/000117625616000479/0001176256-16-000479-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000119312517075811/0001193125-17-075811-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000162828018003228/0001628280-18-003228-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000162828019003130/0001628280-19-003130-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000162828020003036/0001628280-20-003036-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000162828021003060/0001628280-21-003060-index.htm,https://www.sec.gov/Archives/edgar/data/1600620/000162828022004082/0001628280-22-004082-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2213542,-1222378,-6284888,-7404616,-365875,-14646391,-22559768,-29075254,-22852608,-33822074,-15881676,-7598128,-3660414,-2407444,-9737342,-2546090,-16647000,-18607000,-23295000,-70792000,-64120000,-123846000,-102680000,-180966000
74,Depreciation and Amortization,260417,203730,411003,331034,680933,1336397,2250986,1970897,-867364,1416742,1401808,1274950,1146817,960823,851402,813321,1521000,1558000,1479000,1456000,1565000,1548000,1371000,2761000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3856232,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,489729,- -,- -,371205,276429,223522,2186000,3224000,1383000,4242000,6860000,7414000,17454000,31243000
77,Change in Working Capital,195313,3930928,9268520,21823858,7572080,17913786,-11731877,-9711061,-20607151,7880170,-11964349,-10457794,3075865,955827,-9418676,-719644,34662331,-17798000,20571000,133614000,-41515000,178255000,83588000,-21633000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9039,-262630,403935,-167483,102530,65742,9000,45000,-39000,-23000,- -,- -,- -,-15415000
79,Inventory,- -,-203730,-222111,-7538,36206,65547,2496,355605,11153,-1705544,1513558,139433,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13927000,-5644000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2516008,1136396,-1505000,869000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-1757813,2173116,11441636,33265493,40837573,58751359,47019482,37308421,16701270,24581440,12617091,2159297,5235162,6190989,-3227687,-3947331,30715000,12917000,33488000,167102000,125587000,303842000,387430000,- -
82,Other Non-Cash Items,- -,-4270478,-9160396,-21996598,-8737035,-9738088,11889929,15585006,23296753,-3934901,8564184,6324474,-4900573,-1235944,11481340,1562080,-38626331,13857000,-18851000,-109689000,45600000,-126827000,-69591000,10903000
83,Cash Provided by Operating Activities,-1757813,-1358197,-5765761,-7246322,-849896,-5134295,-20150731,-21230412,-21030371,-28460063,-17390304,-10456499,-4338306,-1355534,-6546847,-4523043,-16904000,-17766000,-18713000,-41169000,-51610000,-63456000,-69858000,-157692000
84,CAPEX,-130208,- -,-603151,-774507,-4624248,-2260231,-870115,-730153,-1221688,-867414,-336894,-232070,-84986,-1150833,-39203,-104248,-90000,-50000,-25000,-25000,-75000,-104000,-7343000,-1501000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3757,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-6470523,- -,-18238466,-9815156,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9998000,-19983000,-21138000,-97996000,-36084000,- -,-202951000,-438958000
87,Sales/Maturities of Investments,- -,- -,- -,3577306,- -,- -,2032209,7068194,20169012,10088862,- -,- -,- -,- -,- -,- -,- -,20010000,31135000,90018000,36093000,7884000,52108000,354427000
88,Other Investing Activites,65104,-135820,-179122,-294602,40018,-2338117,-182175,992767,72924,9088,-285949,-153758,1498760,-1135162,-26135,-39445,-28000,-44000,9000,- -,-45000,-17000,-1759000,-19042000
89,Cash Used for Investing Activites,-65104,-135820,-7252796,2508197,-22822697,-14413504,979919,7330808,19020247,9230536,-333607,-163308,1484762,-1150833,-31161,-35688,-10084000,-23000,9991000,-8003000,-66000,7780000,-158186000,-103870000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-509449,-15415911,- -,-11753,-45234,-33810,-1600000,- -,- -,- -,- -,-127000,- -,- -
91,Common Stock Issued,846354,5296970,15975040,30383548,12450534,25542695,125609,16238161,304564,37919822,140509,- -,28995,2293830,761939,5861360,48307000,- -,- -,- -,- -,223118000,187732000,196740000
92,Common Stock Repurchased,- -,- -,- -,- -,-205169,-640823,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,716146,-1086558,-83373,25754,130216,-283782,4739881,-977269,-1576870,-1888317,10691865,5804603,4614262,- -,- -,377546,1183000,839000,42615000,175152000,4014000,20737000,6643000,24372000
95,Cash Used/Provided by Financing Activities,1562500,4210412,15891667,30409302,12375580,24618090,4865490,15260892,-1272306,36031506,10322925,-9611307,4643257,2282076,716705,6205096,47890000,839000,42615000,175152000,4014000,243728000,194375000,221112000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-1546149,-612242,-58550,-1716,-189841,2204601,269315,-239962,-70519,-33171,- -,-17000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-260417,2716395,2873110,25671177,-11297013,3524141,-14917564,1302738,-3284146,16612138,-5196385,-19961799,1549752,-294809,-5894474,1646365,20885000,-16950000,33893000,125980000,-47662000,188052000,-33669000,-40450000
98,Cash at the End of Period,-130208,2580575,5320888,30802523,19851236,27624020,14880962,16705700,13361359,32338685,21118324,4583134,6347984,5923604,184956,1819172,22706000,5756000,39649000,165629000,117967000,306019000,272350000,231900000
99,Cash at the Beginning of Period,130208,-135820,2447778,5131346,31148249,24099879,29798526,15402962,16645504,15726548,26314708,24544934,4798232,6218413,6079431,172807,1821000,22706000,5756000,39649000,165629000,117967000,306019000,272350000
100,Free Cash Flow,-1888021,-1358197,-6368912,-8020829,-5474144,-7394526,-21020846,-21960565,-22252059,-29327477,-17727198,-10688568,-4423292,-2506366,-6586050,-4627290,-16994000,-17816000,-18738000,-41194000,-51685000,-63560000,-77201000,-159193000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1600620/000117625616000479/0001176256-16-000479-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000119312517075811/0001193125-17-075811-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000162828018003228/0001628280-18-003228-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000162828019003130/0001628280-19-003130-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000162828020003036/0001628280-20-003036-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000162828021003060/0001628280-21-003060-index.htm,https://www.sec.gov/Archives/edgar/data/1600620/000162828022004082/0001628280-22-004082-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
