,https://roic.ai/company/PTIX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,350000,462000,2196000,1238000,3725000,2774000,1566000,-5410000,- -,-94470,1424000,-3981000,-110604000,-25056000,-19134000,- -,- -,-1027000,-975000,-490000,-1827891,-2351286,-2067586,-2082978,-2550823,-3713276
16,EBITDA ratio,0.0354,0.0367,0.1406,0.0660,0.1742,0.1283,0.0843,-Infinity,- -,-Infinity,0.0761,-0.1076,-0.9712,-0.3627,-0.4780,- -,- -,-12.0824,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-200000,-661000,866000,-275000,1835000,747000,-528000,- -,- -,-94470,1474000,-5499000,-117090000,-28862000,-22295000,- -,- -,-673000,-975000,-491000,-2233501,-2365324,-2314127,-2086130,-2551611,-4140413
18,Operating Income ratio,-0.0202,-0.0526,0.0555,-0.0147,0.0858,0.0345,-0.0284,- -,- -,-Infinity,0.0787,-0.1487,-1.0282,-0.4178,-0.5570,- -,- -,-7.9176,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-300000,- -,- -,- -,-496000,-440000,-306000,- -,-1327000,- -,-89000,430000,448000,1000,1684000,- -,- -,-133000,51000,-10000,-42325,105688,-243404,335219,2876,-382521
20,Income Before Tax,-500000,- -,- -,- -,1339000,307000,-834000,- -,-1327000,- -,1385000,-5069000,-116642000,-28861000,-20611000,- -,- -,-806000,-924000,-501000,-2275826,-2259636,-2557531,-1750911,-2548735,-4522934
21,Income Before Tax Ratio,-0.0505,- -,- -,- -,0.0626,0.0142,-0.0449,- -,-Infinity,- -,0.0740,-0.1371,-1.0242,-0.4177,-0.5149,- -,- -,-9.4824,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,203000,163000,-106000,- -,- -,- -,708000,-1203000,-852000,640000,-1067000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-500000,-858000,648000,-674000,1136000,144000,-728000,-7900000,-2234000,-94470,677000,-4149000,-115766000,-29470000,-19727000,- -,- -,-1027000,-1079000,-476000,-2275826,-2259636,-2557531,-1750911,-2548735,-4522934
24,Net Income ratio,-0.0505,-0.0682,0.0415,-0.0359,0.0531,0.0067,-0.0392,-Infinity,-Infinity,-Infinity,0.0362,-0.1122,-1.0165,-0.4266,-0.4929,- -,- -,-12.0824,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.03,-8493157.01,3508043.11,-674000.00,1136000.00,144000.00,-728000.00,-7900000.00,-2234000.00,-94470.00,169250.00,-21168.37,-333619.60,-87189.35,-48350.49,- -,- -,-153.85,-41.50,-18.31,-0.43,-0.22,-0.25,-0.17,-0.25,-0.44
26,EPS Diluted,-0.03,-8493157.01,3508043.11,-674000.00,1136000.00,144000.00,-728000.00,-7900000.00,-2234000.00,-94470.00,169250.00,-21168.37,-333619.60,-87189.35,-48350.49,- -,- -,-153.85,-41.50,-18.31,-0.43,-0.22,-0.25,-0.17,-0.25,-0.44
27,Weighted Average Shares Outstanding,16955800,1,1,1,1,1,1,16955800,16955800,1,4,196,347,338,408,- -,- -,6500,26000,26000,5306035,10261419,10261419,10261419,10339071,10339071
28,Weighted Average Shares Outstanding Diluted,16955800,1,1,1,1,1,1,16955800,16955800,1,4,196,347,338,408,- -,- -,6500,26000,26000,5306035,10261419,10261419,10261419,10339071,10339071
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1022899/000114420414060987/0001144204-14-060987-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1022899/000149315218004567/0001493152-18-004567-index.htm,https://www.sec.gov/Archives/edgar/data/1022899/000149315219010225/0001493152-19-010225-index.htm,https://www.sec.gov/Archives/edgar/data/1022899/000149315220007286/0001493152-20-007286-index.htm,https://www.sec.gov/Archives/edgar/data/1022899/000149315221006756/0001493152-21-006756-index.htm,https://www.sec.gov/Archives/edgar/data/1022899/000149315222009370/0001493152-22-009370-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,130000,323000,34000,133000,- -,16000,11000,100000,4527000,- -,544000,7612000,20410000,16913000,6319000,- -,- -,717000,101000,62000,3100398,399687,362486,798623,671091,541171
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2838000,4245000,- -,- -,- -,- -,- -,- -,- -,- -,1285753,250388,- -,- -,9830085
33,Cash and Short-Term Investments,130000,323000,34000,133000,- -,16000,11000,100000,4527000,- -,544000,10450000,24655000,16913000,6319000,- -,- -,717000,101000,62000,3100398,1685440,612874,798623,671091,10371256
34,Net Receivables,2450000,2824000,4945000,6104000,6160000,5802000,4241000,2940000,2154000,- -,3527000,9111000,19456000,12358000,5431000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,3480000,4935000,6709000,7079000,6649000,7018000,6773000,5420000,260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,290000,941000,1280000,1040000,927000,933000,1029000,130000,12000,- -,894000,1556000,3686000,2643000,565000,- -,- -,237000,144000,70000,60417,94542,83399,43354,208156,688667
37,Total Current Assets,6350000,9023000,12968000,14356000,13736000,13769000,12054000,8590000,6953000,- -,4965000,21117000,47797000,31914000,12315000,- -,- -,954000,245000,132000,3160815,1779982,696273,841977,879247,11059923
38,PP&E,2850000,256000,236000,237000,236000,257000,228000,3090000,- -,- -,146000,860000,3525000,3553000,2692000,- -,- -,- -,1000,1000,1097,1022,611,296,- -,- -
39,Goodwill,3250000,3055000,3336000,3126000,2912000,2698000,2491000,- -,- -,- -,- -,- -,11075000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,599000,12508000,7253000,3083000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,3250000,3055000,3336000,3126000,2912000,2698000,2491000,- -,- -,- -,- -,599000,23583000,7253000,3083000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2519000,1878000,976000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,241000,241000,- -,- -,- -,- -,307000,- -,- -,276000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,120000,3435000,4936000,5212000,5506000,6307000,6515000,2060000,- -,- -,383000,1080000,1339000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,6220000,6746000,8508000,8575000,8654000,9503000,9475000,5150000,- -,- -,529000,2846000,30966000,12684000,7027000,- -,- -,- -,1000,1000,1097,1022,611,296,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12570000,15769000,21476000,22931000,22390000,23272000,21529000,13740000,6953000,- -,5494000,23963000,78763000,44598000,19342000,- -,- -,954000,246000,133000,3161912,1781004,696884,842273,879247,11059923
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,2870000,3257000,7194000,6257000,4470000,- -,- -,15566000,138000,168000,- -,161,52365,36161,- -,- -
49,Short-Term Debt,2740000,- -,3875000,5458000,4083000,4929000,4325000,4030000,- -,44000,- -,99000,1858000,- -,- -,- -,- -,2614000,- -,- -,- -,- -,- -,- -,- -,186149
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000,725000,274000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2290000,2470000,3654000,4200000,4501000,4777000,4330000,4730000,430000,470,1401000,3720000,14910000,9584000,5519000,- -,- -,- -,3000,21000,684857,561531,855402,1161108,655187,613386
53,Total Current Liabilities,5030000,2470000,7529000,9658000,8584000,9706000,8655000,8760000,430000,94470,4271000,7076000,24114000,16566000,10263000,- -,- -,18180000,141000,189000,684857,561692,907767,1197269,655187,799535
54,Long-Term Debt,500000,- -,- -,- -,364000,- -,- -,- -,- -,- -,- -,22000,- -,- -,- -,- -,- -,- -,175000,515000,- -,- -,- -,279370,1373796,318433
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1697000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3785000,- -,- -,- -,- -,988000,907000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,500000,- -,- -,- -,364000,- -,- -,- -,3785000,- -,- -,22000,- -,2685000,907000,- -,- -,- -,175000,515000,- -,- -,- -,279370,1373796,318433
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,5530000,2470000,7529000,9658000,8948000,9706000,8655000,8760000,4215000,94470,4271000,7098000,24114000,19251000,11170000,- -,- -,18180000,316000,704000,684857,561692,907767,1476639,2028983,1117968
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,5000,1,1,1,1,1,- -
63,Common Stock,10000,35000,35000,35000,35000,35000,35000,40000,34750,286989,73000,120000,230000,236000,70000,- -,- -,1000000,- -,- -,1026,1026,1026,1026,1036,1722
64,Retained Earnings,-3150000,-4292000,-3644000,-4318000,-3182000,-3038000,-3766000,-11670000,-13902000,-94470,1066000,-3083000,-118849000,-148319000,-168046000,- -,- -,-195526000,-1079000,-1555000,-8582123,-10841759,-13399290,-15150201,-17698936,-22221870
65,Other Comprehensive Income/Loss,-160000,- -,- -,- -,- -,- -,- -,-960000,- -,- -,- -,-294000,-1435000,-1078000,-1813000,- -,- -,- -,- -,- -,-181635,- -,- -,- -,- -,-248349
66,Other Total Stockholders Equity,10340000,17556000,17556000,17556000,16589000,16569000,16605000,17560000,16605250,-286989,- -,19839000,174443000,174508000,177961000,- -,- -,177300000,1058000,- -,11239786,12060044,13187380,14514808,16548163,32410452
67,Total Stockholders Equity,7040000,13299000,13947000,13273000,13442000,13566000,12874000,4970000,2738000,-94470,1223000,16582000,54389000,25347000,8172000,- -,- -,-17226000,-21000,-497000,2477055,1219312,-210883,-634366,-1149736,9941955
68,Total Liabilities And Stockholders Equity,12570000,15769000,21476000,22931000,22390000,23272000,21529000,13730000,6953000,- -,5494000,23680000,78503000,44598000,19342000,- -,- -,954000,295000,207000,3161912,1781004,696884,842273,879247,11059923
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,283000,260000,- -,- -,- -,- -,- -,-49000,-74000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12570000,15769000,21476000,22931000,22390000,23272000,21529000,13740000,6953000,- -,5494000,23963000,78763000,44598000,19342000,- -,- -,954000,246000,133000,3161912,1781004,696884,842273,879247,11059923
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1022899/000114420414060987/0001144204-14-060987-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1022899/000149315218004567/0001493152-18-004567-index.htm,https://www.sec.gov/Archives/edgar/data/1022899/000149315219010225/0001493152-19-010225-index.htm,https://www.sec.gov/Archives/edgar/data/1022899/000149315220007286/0001493152-20-007286-index.htm,https://www.sec.gov/Archives/edgar/data/1022899/000149315221006756/0001493152-21-006756-index.htm,https://www.sec.gov/Archives/edgar/data/1022899/000149315222009370/0001493152-22-009370-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-500000,-858000,648000,-674000,1136000,144000,-728000,-7900000,-2234000,-94470,677000,-4149000,-115766000,-29470000,-19727000,- -,- -,-1027000,-1079000,-476000,-2275826,-2259636,-2557531,-1750911,-2548735,-4522934
74,Depreciation and Amortization,1050000,1123000,1548000,1912000,1890000,2027000,2094000,2490000,- -,- -,25000,1349000,5867000,3698000,1644000,- -,- -,- -,- -,1000,534,148,347,339,286,427137
75,Deferred Income Tax,- -,- -,- -,- -,- -,-241000,- -,- -,- -,- -,183000,-1149000,-2345000,3651000,-1539000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1282000,857000,1113000,- -,- -,- -,275000,- -,546134,888281,1130071,797761,1654754,1518756
77,Change in Working Capital,-310000,5233000,-1114000,-741000,454000,-1089000,-664000,-3569000,6693000,-6617470,866138,13347000,9642000,-8335000,-13296000,- -,- -,-19278000,17330000,-161000,2532958,-1257668,-1429784,-143798,579352,10036328
78,Accounts Receivable,-800000,- -,- -,- -,- -,- -,- -,1960000,- -,- -,- -,- -,4532000,6686000,3202000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-820000,-1458000,-1261000,-370000,430000,-369000,245000,1350000,- -,- -,-702000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3205000,-937000,-1789000,- -,- -,-292000,-33000,30000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,1320000,6553000,5439000,4698000,5152000,4063000,3399000,-170000,6523000,-94470,694000,14041000,23683000,15348000,2052000,- -,- -,-17226000,104000,-57000,2475958,1218290,-211494,-355292,224060,10260388
82,Other Non-Cash Items,-470000,-7699000,-1516000,-166000,28000,663000,1644000,10849000,-5301000,6667940,-820138,-14608000,105675000,26584000,20555000,- -,- -,19981000,-17316000,258000,-1944119,1248786,1785709,608619,-1034436,-10257901
83,Cash Provided by Operating Activities,-230000,-2201000,-434000,331000,3508000,1504000,2346000,1870000,-842000,-44000,931000,-5210000,4355000,-3015000,-11250000,- -,- -,-324000,-790000,-378000,-1140319,-1380089,-1071188,-487990,-1348779,-2798614
84,CAPEX,-1420000,-2858000,-65000,-81000,-3230000,-3789000,-1783000,-1480000,- -,- -,-77000,-266000,-2029000,-682000,-41000,- -,- -,- -,-1000,-1000,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-970000,4182000,-1740000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-9096000,-914000,- -,- -,- -,- -,- -,- -,- -,-3431414,-2744338,- -,- -,-10395547
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,24708000,6182000,720000,- -,- -,- -,- -,- -,- -,2145000,3790000,250000,- -,2486
88,Other Investing Activites,- -,-64000,-3730000,-1815000,-96000,-111000,- -,- -,6434803,- -,-123000,-1048000,-2029000,-1162000,-41000,- -,- -,15000,- -,-1000,- -,- -,- -,- -,- -,483460
89,Cash Used for Investing Activites,-1420000,-1461000,-3730000,-1815000,-1663000,-1950000,-1783000,-1480000,6434803,- -,-200000,-5184000,17765000,2366000,679000,- -,- -,15000,-1000,-1000,- -,-1286414,1045662,250000,- -,-9909601
90,Debt Repayment,- -,-4992000,- -,- -,- -,- -,-604000,- -,- -,- -,- -,- -,-111000,-1750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,7093000,- -,- -,- -,- -,45000,- -,- -,- -,- -,18518000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-967000,-20000,- -,- -,- -,- -,- -,- -,-4053000,-939000,-9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1240000,1750000,3875000,1583000,-1011000,482000,-9000,-300000,- -,44000,-537000,-1056000,1360000,-150000,- -,- -,- -,31000,175000,340000,4283938,- -,- -,670000,1223410,12577664
95,Cash Used/Provided by Financing Activities,1240000,3851000,3875000,1583000,-1978000,462000,-568000,-300000,- -,44000,-537000,17462000,-2804000,-2839000,-9000,- -,- -,31000,175000,340000,4283938,- -,- -,670000,1223410,12577664
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000,-9000,-14000,- -,- -,- -,- -,- -,-46564,-34208,-11675,4127,-2163,631
97,Net Change In Cash,-400000,189000,-289000,99000,-1978000,462000,-5000,90000,4424000,44000,194000,7068000,19298000,-3497000,-10594000,- -,- -,-278000,-616000,-39000,3097055,-2700711,-37201,436137,-127532,-129920
98,Cash at the End of Period,140000,323000,34000,133000,- -,16000,11000,100000,4527000,- -,544000,7612000,20410000,16913000,6319000,- -,- -,717000,101000,62000,3100398,399687,362486,798623,671091,541171
99,Cash at the Beginning of Period,540000,134000,323000,34000,133000,- -,16000,10000,103000,- -,350000,544000,1112000,20410000,16913000,- -,- -,995000,717000,101000,3343,3100398,399687,362486,798623,671091
100,Free Cash Flow,-1650000,-5059000,-499000,250000,278000,-2285000,563000,390000,-842000,-44000,854000,-5476000,2326000,-3697000,-11291000,- -,- -,-324000,-791000,-379000,-1140319,-1380089,-1071188,-487990,-1348779,-2798614
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1022899/000114420414060987/0001144204-14-060987-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1022899/000149315218004567/0001493152-18-004567-index.htm,https://www.sec.gov/Archives/edgar/data/1022899/000149315219010225/0001493152-19-010225-index.htm,https://www.sec.gov/Archives/edgar/data/1022899/000149315220007286/0001493152-20-007286-index.htm,https://www.sec.gov/Archives/edgar/data/1022899/000149315221006756/0001493152-21-006756-index.htm,https://www.sec.gov/Archives/edgar/data/1022899/000149315222009370/0001493152-22-009370-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
