,https://roic.ai/company/IRDM,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,478812,1610848,69910000,132841000,95890000,88652000,101499000,102350000,101614000,83194000,214226000,262719000,113751000,113072000,108836000
54,Long-Term Debt,- -,- -,- -,- -,- -,751787000,1039203000,1291401000,1521822000,1657145000,1618055000,1829737000,1765495000,1596893000,1581516000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,20689000,28567000,36417000,47612000,74656000,67092000,51258000,48070000
56,Deferred Tax Liabilities,- -,- -,94999000,100728000,127297000,167821000,202825000,245042000,296832000,361656000,246170000,241422000,188653000,155084000,134279000
57,Other Non-Current Liabilities,- -,131276136,16223000,158361000,449732000,31523000,26774000,18335000,26674000,17455000,59519000,4160000,29284000,25203000,20147000
58,Total Non-Current Liabilities,- -,131276136,111222000,259089000,577029000,951131000,1268802000,1575467000,1873895000,2072673000,1971356000,2149975000,2050524000,1828438000,1784012000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,478812,132886984,181132000,391930000,672919000,1039783000,1370301000,1677817000,1975509000,2155867000,2185582000,2412694000,2164275000,1941510000,1892848000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,11500,48500,70000,70000,73000,76000,77000,94000,95000,96000,98000,112000,132000,134000,131000
64,Retained Earnings,-3812,1652006,-42508000,-20043000,19638000,83328000,138845000,201514000,193201000,288797000,518794000,501712000,331969000,275915000,140810000
65,Other Comprehensive Income/Loss,- -,- -,22000,90000,-225000,-357000,-689000,-2920000,-9063000,-5446000,-3796000,-8797000,-6867000,-17180000,-7052000
66,Other Total Stockholders Equity,13500,268562770,670116000,675402000,681781000,793511000,801262000,1033176000,1044488000,1060311000,1081373000,1108550000,1134048000,1160570000,- -
67,Total Stockholders Equity,21188,270263276,627700000,655519000,701267000,876558000,939495000,1231864000,1228721000,1343758000,1596469000,1601577000,1459282000,1419439000,1287947000
68,Total Liabilities And Stockholders Equity,500000,403150260,808832000,1047449000,1374186000,1916341000,2309796000,2909681000,3204230000,3499625000,3782051000,4014271000,3623557000,3360949000,3180795000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,500000,403150260,808832000,1047449000,1374186000,1916341000,2309796000,2909681000,3204230000,3499625000,3782051000,4014271000,3623557000,3360949000,3180795000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1418819/000095012309005597/0000950123-09-005597-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000119312510058393/0001193125-10-058393-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000119312511057741/0001193125-11-057741-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000119312512097807/0001193125-12-097807-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000114420413012838/0001144204-13-012838-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000114420414013118/0001144204-14-013118-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000114420415012061/0001144204-15-012061-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000156459016013397/0001564590-16-013397-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000156459017002101/0001564590-17-002101-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881918000005/0001418819-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881919000005/0001418819-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881920000004/0001418819-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881921000009/0001418819-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881922000005/0001418819-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-3812,1655818,-44160000,22691000,39681000,64631000,62517000,74989000,7123000,111032000,233856000,-13384000,-161999000,-56054000,-9319000
74,Depreciation and Amortization,- -,- -,21513000,90667000,97646000,81110000,74980000,72769000,51834000,49394000,122266000,218207000,297705000,303174000,305431000
75,Deferred Income Tax,- -,-1168232,-1711000,11721000,22917000,29549000,47095000,40226000,63376000,63808000,-115812000,-8334000,-53897000,-33684000,-21314000
76,Stock Based Compensation,- -,- -,436000,5051000,5895000,7332000,6715000,9601000,8603000,13708000,15958000,14490000,15138000,16714000,26782000
77,Change in Working Capital,3812,-1172940,152613374,-75258000,55464000,147162000,-10455000,202704000,-90659000,53472000,-236730000,-69181000,101519000,5565000,-3626000
78,Accounts Receivable,- -,- -,5382000,-9089000,-7140000,561000,1901000,3855000,-1843000,-6037000,-10343000,-12783000,2509000,6380000,-1823000
79,Inventory,- -,- -,15044000,9002000,1577000,-11199000,-4633000,251000,-169000,9029000,-1946000,-7579000,-12951000,7234000,3592000
80,Accounts Payable,- -,- -,3584000,3428000,454000,464000,-5603000,-2636000,3110000,3209000,896000,-732000,-4300000,7410000,-2166000
81,Other Working Capital,-294434,-1467374,151146000,75888000,131352000,278514000,268059000,470763000,380104000,433576000,196846000,127665000,229184000,234749000,-7531000
82,Other Non-Cash Items,- -,2660996,-105523374,96566000,-38142000,-155761000,2196000,-185417000,177202000,-66215000,240083000,121911000,-323000,14052000,4920000
83,Cash Provided by Operating Activities,- -,1975642,23168000,151438000,183461000,174023000,183048000,214872000,217479000,225199000,259621000,263709000,198143000,249767000,302874000
84,CAPEX,- -,- -,-7351000,-237450000,-359404000,-441654000,-403547000,-441065000,-494810000,-405687000,-400107000,-391390000,-117819000,-38689000,-42147000
85,Acquisitions Net,- -,- -,-39950000,-4636000,- -,-1888000,-5000000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-126408000,-275819000,-204672000,-19865000,-7013000,-235528000,-10000000,-7781000,-1635000
87,Sales/Maturities of Investments,- -,- -,401838000,- -,- -,- -,49119000,90630000,260108000,183192000,34440000,248006000,- -,- -,7400000
88,Other Investing Activites,- -,-401728064,-7351000,-237450000,-359337000,-441654000,-403547000,-441065000,-494810000,-405687000,-400107000,-391390000,-117819000,-38689000,-42147000
89,Cash Used for Investing Activites,- -,-401728064,354537000,-242086000,-359337000,-443542000,-485836000,-626254000,-439374000,-242360000,-372680000,-378912000,-127819000,-46470000,-36382000
90,Debt Repayment,- -,- -,-117882000,- -,-22223000,- -,- -,- -,- -,- -,- -,-140295000,-1734965000,-395826000,-195785000
91,Common Stock Issued,25000,408000000,149600000,- -,- -,- -,- -,98897000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-6900000,-257434000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-163442000
93,Dividends Paid,- -,- -,- -,- -,- -,-1419000,-7000000,-11969000,-15436000,-15436000,-3859000,-15427000,-8387000,- -,- -
94,Other Financing Activites,159378,-1402816,-4940000,63402000,214533000,388990000,241712000,351916000,212502000,217587000,20725000,349225000,1430072000,207640000,176758000
95,Cash Used/Provided by Financing Activities,184378,399697184,-230656000,63402000,192310000,387571000,234712000,438844000,197066000,202151000,16866000,193503000,-313280000,-188186000,-182469000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-2555000,-755000,512000,144000,-1270000,1230000,-1494000,-288000
97,Net Change In Cash,- -,-55238,147049000,-27246000,16434000,118052000,-68076000,24907000,-25584000,185502000,-96049000,77030000,-241726000,13617000,83735000
98,Cash at the End of Period,184378,129140,147178000,119932000,136366000,254418000,186342000,211249000,185665000,371167000,388257000,465287000,223561000,237178000,320913000
99,Cash at the Beginning of Period,- -,184378,129000,147178000,119932000,136366000,254418000,186342000,211249000,185665000,484306000,388257000,465287000,223561000,237178000
100,Free Cash Flow,- -,1975642,15817000,-86012000,-175943000,-267631000,-220499000,-226193000,-277331000,-180488000,-140486000,-127681000,80324000,211078000,260727000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1418819/000095012309005597/0000950123-09-005597-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000119312510058393/0001193125-10-058393-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000119312511057741/0001193125-11-057741-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000119312512097807/0001193125-12-097807-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000114420413012838/0001144204-13-012838-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000114420414013118/0001144204-14-013118-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000114420415012061/0001144204-15-012061-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000156459016013397/0001564590-16-013397-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000156459017002101/0001564590-17-002101-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881918000005/0001418819-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881919000005/0001418819-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881920000004/0001418819-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881921000009/0001418819-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881922000005/0001418819-22-000005-index.htm
102,false,,,,,,,,,,,,,,,
