,https://roic.ai/company/GFASY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
14,Depreciation and Amortization,- -,4703847,-137764,-11059145,14822496,52635000,33184000,33816000,83428000,87584000,63014000,61647000,47420000,33892000,32046000,21290000,14181000,8278000
15,EBITDA,53902000,71373107,63432338,105669640,194645635,266961000,552524000,530711000,-534806000,171597000,1110092000,155436000,212276000,-994865000,-737083000,-351607000,12245000,2326000
16,EBITDA ratio,0.1313,0.1712,0.1320,0.1533,0.1599,0.1534,0.1828,0.1560,-0.1819,0.0434,0.4474,0.0723,0.0925,-1.0865,-1.2107,-0.3659,0.0306,0.0026
17,Operating Income,141949000,30480715,28279064,51954098,155186637,168205000,461174000,392729000,-602924000,171805000,401871000,102554000,116286000,-348938000,-864144000,-61791000,101557000,41021000
18,Operating Income ratio,0.3457,0.0731,0.0589,0.0754,0.1275,0.0966,0.1526,0.1154,-0.2050,0.0435,0.1620,0.0477,0.0507,-0.3811,-1.4194,-0.0643,0.2536,0.0464
19,Total Other Income Expenses (Gains),-88047000,-1450198,-1025061,- -,- -,41846000,-80828000,-82117000,-159903000,-206940000,-162503000,-131004000,-38127000,-153003000,-107268000,-381236000,-163233000,-107051000
20,Income Before Tax,53902000,29030517,27254003,51954098,155186637,210051000,380346000,310612000,-762827000,-35135000,239368000,-28450000,78159000,-501941000,-971412000,-443027000,-61676000,-66030000
21,Income Before Tax Ratio,0.1313,0.0696,0.0567,0.0754,0.1275,0.1207,0.1258,0.0913,-0.2594,-0.0089,0.0965,-0.0132,0.0341,-0.5482,-1.5956,-0.4611,-0.1540,-0.0747
22,Income Tax expense (Gain),10471000,5577684,-3402080,6009385,30942962,43397000,95406000,22128000,142362000,41228000,2812000,15275000,7180000,100080000,-23100000,-21751000,-35275000,7608000
23,Net Income,43431000,23452833,30658419,45944713,113592844,109921000,213540000,264565000,-944868000,-124504000,867443000,-42549000,74449000,-1163596000,-849856000,-419526000,-26040000,-73160000
24,Net Income ratio,0.1058,0.0562,0.0638,0.0666,0.0933,0.0632,0.0707,0.0777,-0.3213,-0.0315,0.3496,-0.0198,0.0324,-1.2707,-1.3959,-0.4366,-0.0650,-0.0828
25,EPS,17.15,9.26,12.11,4.32,8.54,8.22,12.45,19.62,-42.58,-5.60,40.70,-2.19,3.94,-62.34,-51.12,-16.62,-0.36,-0.85
26,EPS Diluted,3.39,1.83,2.40,4.32,8.54,8.22,12.45,19.47,-42.58,-5.60,40.70,-2.19,3.94,-62.34,-51.12,-16.62,-0.36,-0.85
27,Weighted Average Shares Outstanding,2532526,2532526,2532526,10630270,13312784,13365335,17151302,21207261,22192052,22225990,21311423,19446179,18895809,18664252,16625026,25240462,37950922,89941000
28,Weighted Average Shares Outstanding Diluted,12792925,12792925,12792925,10630270,13312784,13365335,17151302,21371702,22192052,22225990,21311423,19446179,18895809,18664252,16625026,25240462,38198269,89941000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,27370492,26037473,45121568,79583895,- -,1424053000,256382000,137598000,627137000,215194000,109895000,82640000,29534000,28527000,32304000,12435000,29038000
32,Short-Term Investments,- -,18531191,107771463,220393875,434821704,- -,- -,944766000,846062000,662236000,1532222000,869333000,521199000,201397000,108136000,97895000,368335000,417534000
33,Cash and Short-Term Investments,- -,45901683,133808937,265515443,514405599,605502000,1424053000,1201148000,983660000,1289373000,1747416000,979228000,603839000,230931000,136663000,130199000,380770000,446572000
34,Net Receivables,- -,315155082,355812781,628426425,626686228,1437369000,2117255000,3883014000,4107159000,3104070000,2063507000,1712135000,1490391000,780095000,536651000,532652000,520148000,488185000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,2304126000,1442019000,1695817000,1880377000,1126030000,984541000,981048000,799099000,1243841000
36,Other Current Assets,- -,250212248,313376673,462345193,820687329,1733830000,1351140000,1729108000,2223539000,521121000,426965000,304031000,342157000,1263144000,75070000,51912000,109829000,364289000
37,Total Current Assets,- -,611269014,802998391,1356287060,1961779156,3776701000,4892448000,6813270000,7314358000,7218690000,5679907000,4691211000,4316764000,3400200000,1732925000,1695811000,1809846000,2542887000
38,PP&E,- -,7399727,6407213,10664633,19512280,50348000,472559000,68977000,52793000,46846000,36385000,48691000,49176000,23977000,22342000,20073000,14159000,25181000
39,Goodwill,- -,- -,- -,- -,207383188,195088000,- -,193542000,183113000,171423000,43080000,25476000,25476000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,7894648,18067000,9598000,28287000,46371000,58664000,63260000,51427000,51866000,28228000,18280000,11770000,7084000,4530000
41,Intangible Assets,- -,- -,- -,- -,215277837,213155000,9598000,221829000,229484000,230087000,106340000,76903000,77342000,28228000,18280000,11770000,7084000,4530000
42,Investments,- -,- -,- -,- -,- -,- -,195088000,- -,- -,- -,1120076000,968393000,967646000,799911000,479126000,302065000,126363000,307412000
43,Tax Assets,- -,5800791,35080890,53005420,61316170,190252000,281288000,337804000,- -,10443000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,124236271,99542959,70649725,692364575,1308402000,1837342000,1598911000,1909989000,1564928000,1240322000,1420654000,1349404000,957773000,625465000,496561000,582597000,869989000
45,Total Non-Current Assets,- -,137436790,141031061,134319778,988470862,1762157000,2795875000,2227521000,2192266000,1852304000,2503123000,2514641000,2443568000,1809889000,1145213000,830469000,730203000,1207112000
46,Other Assets,856308000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,856308000,748705804,944029452,1490606838,2950250019,5538858000,7688323000,9040791000,9506624000,9070994000,8183030000,7205852000,6760332000,5210089000,2878138000,2526280000,2540049000,3749999000
48,Accounts Payable,- -,21999979,27861101,26617865,86702254,97933000,- -,647827000,1020489000,694119000,487716000,585736000,418755000,284508000,255119000,233202000,212965000,458605000
49,Short-Term Debt,- -,103381045,54370242,28274818,68710504,931032000,800689000,824435000,3034743000,1158843000,1154218000,1054445000,1061986000,983934000,569250000,348395000,593583000,461416000
50,Tax Payable,- -,- -,- -,- -,- -,113167000,199497000,230888000,250578000,259160000,216625000,114424000,102057000,51842000,46430000,57276000,69868000,86831000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,361420000,- -,156457000,113355000,- -,- -
52,Other Current Liabilities,- -,279858967,223126974,285027818,421936370,299431000,1219913000,532671000,760707000,1026628000,1041089000,630688000,206808000,1007108000,232860000,344063000,446314000,555902000
53,Total Current Liabilities,- -,405239991,305358317,339920500,577349128,1328396000,2020602000,2004933000,4815939000,2879590000,2683023000,2270869000,2048969000,2275550000,1213686000,1039015000,1252862000,1475923000
54,Long-Term Debt,- -,48193846,262364146,266453743,620588084,1273872000,2467844000,2465674000,721067000,2757503000,1905310000,1532079000,1088807000,653634000,535648000,541018000,146375000,481615000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,10395000,- -,- -,- -,- -,- -,248514000,- -,152377000,- -,- -,- -
56,Deferred Tax Liabilities,- -,6693221,12875135,32181558,63262235,239131000,336291000,13847000,83002000,81477000,56652000,34740000,16489000,100405000,74473000,49372000,12114000,14649000
57,Other Non-Current Liabilities,- -,142068924,93413610,39931063,141192064,613638000,469010000,924165000,1139522000,660057000,323562000,309761000,260317000,250047000,142550000,403684000,245853000,228361000
58,Total Non-Current Liabilities,- -,196955990,368652891,338566363,825042383,2126641000,3283540000,3403686000,1943591000,3499037000,2285524000,1876580000,1614127000,1004086000,905048000,994074000,404342000,724625000
59,Other Liabilities,733805000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,652783000,146401000,- -,- -,618817000,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,733805000,602195981,674011208,678486863,1402391511,3455037000,5304142000,5408619000,6759530000,6378627000,4968547000,4147449000,3663096000,3279636000,2118734000,2033089000,1657204000,2200548000
62,Preferred Stock,- -,49652012,147403249,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,1945714000,- -,- -,2735794000,2740662000,2740662000,2740662000,2740662000,2521152000,2521319000,2926280000,1083249000
64,Retained Earnings,- -,- -,- -,- -,- -,218827000,381651000,- -,-102019000,-226523000,- -,- -,- -,-861761000,-1821954000,-2308403000,-2338964000,- -
65,Other Comprehensive Income/Loss,- -,57253598,66934823,101848200,159677007,- -,- -,843283000,18066000,36964000,523132000,393742000,380809000,81948000,85448000,337351000,337611000,472823000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,-1731000,- -,- -,-1731000,-73070000,-79059000,-25980000,-32524000,-29089000,-58950000,-43517000,-2632000
67,Total Stockholders Equity,122503000,146509822,270018244,812119975,1530637705,1612419000,2325634000,3570750000,2648473000,2544504000,3190724000,3055345000,3095491000,1928325000,755557000,491317000,881410000,1553440000
68,Total Liabilities And Stockholders Equity,856308000,748705804,944029452,1490606838,2933029216,5067456000,7629776000,8979369000,9408003000,8923131000,8159271000,7202794000,6758587000,5207961000,2874291000,2524406000,2538614000,3753988000
69,Minority Interest,- -,- -,- -,- -,17220803,471402000,58547000,61422000,98621000,147863000,23759000,3058000,1745000,2128000,3847000,1874000,1435000,-3989000
70,Total Liabilities & Equity,856308000,748705804,944029452,1490606838,2950250019,5538858000,7688323000,9040791000,9506624000,9070994000,8183030000,7205852000,6760332000,5210089000,2878138000,2526280000,2540049000,3749999000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,23452833,30658419,45944713,113592844,109921000,213540000,264565000,-944868000,-124504000,867443000,-42549000,74449000,-1163596000,-849856000,-419526000,-26040000,-73160000
74,Depreciation and Amortization,- -,4703847,-137764,-11059145,14822496,52635000,33184000,33816000,83428000,87584000,63014000,61647000,47420000,33892000,32046000,21290000,14181000,8278000
75,Deferred Income Tax,- -,15936,-7537348,1339210,18727089,18960000,75260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,12924000,19272000,27640000,17419000,34006000,9964000,6821000,4964000,1927000,-2366000,-347000
77,Change in Working Capital,- -,-32836623,-164572430,-380755743,-687252817,-1152662000,-1190834000,-1647829000,-528558000,358498000,231692000,-234715000,-259108000,218541000,446938000,278896000,68747000,-452966000
78,Accounts Receivable,- -,- -,- -,- -,- -,-646187000,- -,-1185231000,30788000,580455000,260557000,391625000,10924000,288999000,260090000,-95740000,115003000,-206326000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,343484000,-189968000,-462417000,-130938000,21759000,258476000,367864000,151465000,-426592000
80,Accounts Payable,- -,- -,- -,- -,- -,12612000,95237000,- -,- -,-137585000,-28126000,119181000,-19604000,-41612000,31820000,33329000,-124753000,220560000
81,Other Working Capital,- -,-126666548,-202548708,-18341633,129796992,203226000,63975000,-412355000,-457630000,-126842000,37772000,-37732000,19338000,100207000,-27548000,-14497000,21608000,49006000
82,Other Non-Cash Items,- -,28286826,28713372,39029015,44141660,158634000,192157000,256881000,551288000,301727000,-881916000,223502000,219023000,1174008000,572773000,148863000,-10503000,65300000
83,Cash Provided by Operating Activities,- -,23622820,-112875752,-305501950,-495968728,-812512000,-676693000,-1079643000,-819438000,650945000,297652000,41891000,91748000,269666000,206865000,31450000,44019000,-452895000
84,CAPEX,- -,-1508631,-1597133,-4569948,-34083729,-63127000,-45109000,-63460000,-94908000,-114805000,-80993000,-88532000,-54586000,-35838000,-20463000,-12511000,-3581000,-16746000
85,Acquisitions Net,- -,- -,-3976488,-3987775,-78154170,- -,- -,- -,- -,- -,887859000,- -,- -,- -,95625000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-15000000,- -,-1871140000,-2396624000,-4781462000,-4776920000,-4855621000,-5406604000,-1417904000,-1081765000,-1095425000,-387319000,-594749000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,2057488000,2495328000,4573373000,3681342000,5646257000,5822656000,1611200000,1183878000,1104875000,90280000,373562000
88,Other Investing Activites,- -,- -,- -,2133,- -,-173000,29663000,- -,- -,- -,186421000,49849000,- -,4997000,268173000,- -,- -,- -
89,Cash Used for Investing Activites,- -,-1508631,-5573621,-8555590,-112237898,-78300000,-15446000,122888000,3796000,-322894000,-102291000,751953000,361466000,162455000,445448000,-3061000,-300620000,-237933000
90,Debt Repayment,- -,- -,- -,- -,- -,-145697000,-860979000,-1187881000,-655165000,-1035853000,-1907719000,-1048057000,-1064324000,-719390000,-870472000,-529541000,-229846000,-395270000
91,Common Stock Issued,- -,- -,145348458,507552060,496034606,- -,9736000,1101923000,4959000,1637000,- -,6919000,3022000,9000,818000,250766000,412094000,497151000
92,Common Stock Repurchased,- -,- -,-17325626,- -,- -,- -,- -,-23238000,-15120000,- -,-71339000,-115265000,-26580000,-8693000,- -,-47448000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-10987342,-26979000,-61597000,-50692000,-98812000,- -,- -,-150042000,- -,-17682000,- -,- -,- -,- -
94,Other Financing Activites,- -,-10602912,78373939,-61546083,371427713,1084493000,2453193000,1080085000,1460986000,1195704000,1410934000,407302000,607413000,288943000,341045000,301611000,54484000,591903000
95,Cash Used/Provided by Financing Activities,- -,-10602912,206396771,446005978,856474977,911817000,1540353000,920197000,696848000,161488000,-568124000,-899143000,-480469000,-456813000,-528609000,-24612000,236732000,693784000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,11508621,87947398,131948438,248266570,21005000,848214000,-36558000,-118784000,489539000,-372763000,-105299000,-27255000,-53106000,-1007000,3777000,-19869000,16603000
98,Cash at the End of Period,- -,45899027,133806602,265515443,514403818,528574000,1376788000,256382000,137598000,627137000,215193000,109895000,82640000,29534000,28527000,32304000,12435000,29038000
99,Cash at the Beginning of Period,- -,34390406,45859204,133567005,266137248,507569000,528574000,292940000,256382000,137598000,587956000,215194000,109895000,82640000,29534000,28527000,32304000,12435000
100,Free Cash Flow,- -,22114189,-114472885,-310071898,-530052457,-875639000,-721802000,-1143103000,-914346000,536140000,216659000,-46641000,37162000,233828000,186402000,18939000,40438000,-469641000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.3458,0.3765,0.4277,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925
