,https://roic.ai/company/PEB,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1474098/000095012310027805/0000950123-10-027805-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000095012311016631/w81663e10vk.htm,https://www.sec.gov/Archives/edgar/data/1474098/000119312512070591/0001193125-12-070591-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409813000015/0001474098-13-000015-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409814000010/peb-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1474098/000147409815000007/peb-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1474098/000147409816000089/0001474098-16-000089-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409817000010/0001474098-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409818000010/0001474098-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409819000026/0001474098-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409820000039/0001474098-20-000039-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409821000053/0001474098-21-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1474098/000147409822000035/0001474098-22-000035-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-147000,-6642000,14856000,26079000,42918000,72866000,94668000,73704000,99888000,13393000,115442000,-391729000,-184858000
74,Depreciation and Amortization,- -,5776000,30945000,43013000,55570000,68324000,95872000,102439000,102290000,108475000,234880000,224560000,224251000
75,Deferred Income Tax,- -,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,79000,2042000,2654000,4215000,5222000,11695000,8331000,8466000,5646000,6228000,8239000,22779000,11433000
77,Change in Working Capital,87000,-107428000,-163994000,32200000,-34025000,-37569000,-69449000,-6681000,468000,-139774000,-254321000,389312000,49592000
78,Accounts Receivable,- -,-2712000,-6426000,-1321000,-3343000,-3544000,-3107000,1263000,-1270000,3684000,8648000,38509000,-27509000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,309142000,201714000,37720000,69920000,35895000,-1674000,-71123000,-77804000,-77336000,-217110000,-471431000,-82119000,25736000
82,Other Non-Cash Items,- -,109626000,163615000,-28334000,37768000,45968000,91298000,63332000,-13242000,147375000,290962000,-446698000,-29652000
83,Cash Provided by Operating Activities,19000,3454000,48076000,77173000,107453000,161284000,220720000,241260000,195050000,135697000,395202000,-201776000,70766000
84,CAPEX,- -,-522534000,-507751000,-305127000,-269522000,-628301000,-407931000,245491000,124654000,-61054000,300720000,- -,- -
85,Acquisitions Net,- -,-519000000,-467000000,-248000000,-230000000,-575000000,-305000000,- -,8000000,-1373000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-356180000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,6658000,- -,- -,- -
88,Other Investing Activites,-70000000,582221000,292994000,-159822000,-15955000,-55180000,-94616000,298767000,123213000,-55476000,300720000,250117000,-81569000
89,Cash Used for Investing Activites,-70000000,-459313000,-681757000,-407869000,-245988000,-631326000,-399894000,298693000,131173000,-1778162000,299968000,250117000,-81569000
90,Debt Repayment,- -,- -,-43031000,-136704000,-8099000,-139123000,-546488000,-917583000,-348004000,-527547000,-937978000,-1098080000,-432236000
91,Common Stock Issued,405200000,332350000,235980000,221579000,79362000,293211000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-140000,-321000,-523000,-632000,-4094000,-227546000,-95982000,-2507000,-4009000,-1255000,-250720000
93,Dividends Paid,- -,- -,-28844000,-44827000,-58532000,-80439000,-109987000,-127091000,-123423000,-121823000,-217392000,-86516000,-44722000
94,Other Financing Activites,-16100000,25933000,314678000,311185000,95563000,394772000,813205000,739332000,233186000,2369620000,413273000,1216935000,694428000
95,Cash Used/Provided by Financing Activities,389100000,358283000,478643000,350912000,107771000,467789000,152636000,-532888000,-334223000,1717743000,-746106000,31084000,-33250000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-97576000,-155038000,20216000,-30764000,-2253000,-26538000,7065000,-8000000,75278000,-50936000,79425000,-44053000
98,Cash at the End of Period,319119000,221543000,65684000,85900000,55136000,52883000,26345000,33410000,25410000,107811000,56875000,136300000,92247000
99,Cash at the Beginning of Period,- -,319119000,220722000,65684000,85900000,55136000,52883000,26345000,33410000,32533000,107811000,56875000,136300000
100,Free Cash Flow,19000,-519080000,-459675000,77126000,107420000,160138000,220442000,241186000,195010000,135533000,394450000,-201776000,70766000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1474098/000095012310027805/0000950123-10-027805-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000095012311016631/w81663e10vk.htm,https://www.sec.gov/Archives/edgar/data/1474098/000119312512070591/0001193125-12-070591-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409813000015/0001474098-13-000015-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409814000010/peb-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1474098/000147409815000007/peb-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1474098/000147409816000089/0001474098-16-000089-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409817000010/0001474098-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409818000010/0001474098-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409819000026/0001474098-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409820000039/0001474098-20-000039-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409821000053/0001474098-21-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1474098/000147409822000035/0001474098-22-000035-index.htm
102,false,,,,,,,,,,,,,
