,https://roic.ai/company/GNCA,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-8.0687,-6.7613,-28.4624,-114.5974,-63.4075,-210.9489,-Infinity,-Infinity,-Infinity,-32.1663,-20.2291
25,EPS,-12.96,-16.24,-10.41,-18.16,-13.92,-14.00,-15.84,-2.72,-1.89,-0.98,-0.48
26,EPS Diluted,-12.96,-16.24,-10.41,-18.16,-13.92,-14.00,-15.84,-2.72,-1.89,-1.11,-0.48
27,Weighted Average Shares Outstanding,1257125,934000,2152138,1952250,3057500,3537375,3575375,10320125,20644000,44436000,68575000
28,Weighted Average Shares Outstanding Diluted,1257125,934000,2152138,1952250,3057500,3537375,3575375,10320125,20644000,46553000,68575000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1457612/000110465914021800/0001104659-14-021800-index.htm,https://www.sec.gov/Archives/edgar/data/1457612/000110465915014851/a15-1794_110k.htm,https://www.sec.gov/Archives/edgar/data/1457612/000145761216000048/0001457612-16-000048-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761217000009/0001457612-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761218000019/0001457612-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761219000027/0001457612-19-000027-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761220000015/0001457612-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761221000022/0001457612-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1457612/000145761222000039/0001457612-22-000039-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,5742000,11516000,12208000,20058000,17259000,27424000,12273000,26361000,40127000,79769000,37148000
32,Short-Term Investments,- -,- -,- -,27021000,77069000,35938000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5742000,11516000,12208000,47079000,94328000,63362000,12273000,26361000,40127000,79769000,37148000
34,Net Receivables,187000,185000,- -,21000,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,187000,432000,667000,942000,865000,926000,808000,696000,1457000,2458000,4674000
37,Total Current Assets,6116000,12133000,12875000,48042000,95193000,64288000,13081000,27057000,41584000,82227000,41822000
38,PP&E,634000,794000,865000,1956000,4083000,4871000,3460000,2582000,8923000,14431000,13261000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,12104000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,190000,604000,2021000,433000,762000,737000,947000,1476000,2104000,1835000,884000
45,Total Non-Current Assets,824000,1398000,2886000,2389000,16949000,5608000,4407000,4058000,11027000,16266000,14145000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6940000,13531000,15761000,50431000,112142000,69896000,17488000,31115000,52611000,98493000,55967000
48,Accounts Payable,936000,1452000,2176000,2692000,1757000,3043000,3516000,1659000,553000,534000,500000
49,Short-Term Debt,154000,1675000,861000,- -,- -,3149000,6659000,5257000,1117000,15476000,6987000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,23000,- -,12000,555000,235000,- -,- -,- -,- -,1641000,1700000
52,Other Current Liabilities,1151000,1074000,1444000,2593000,3975000,4178000,5604000,3816000,4611000,7344000,9496000
53,Total Current Liabilities,2264000,4201000,4493000,5840000,5967000,10370000,15779000,10732000,6281000,24995000,18683000
54,Long-Term Debt,51000,2370000,8933000,11488000,16477000,13809000,7652000,9565000,13407000,8398000,4146000
55,Deferred Revenue,- -,- -,- -,350000,235000,- -,- -,- -,- -,1641000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,339000,655000,904000,246000,-198000,176000,107000,3483000,7881000,54477000,6063000
58,Total Non-Current Liabilities,390000,3025000,9837000,12084000,16514000,13985000,7759000,13048000,21288000,64516000,10209000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,6512000,10012000,- -
61,Total Liabilities,2654000,7226000,14330000,17924000,22481000,24355000,23538000,23780000,27569000,89511000,28892000
62,Preferred Stock,47848000,64707000,81562000,- -,- -,- -,- -,701000,701000,- -,- -
63,Common Stock,- -,- -,- -,18000,28000,28000,29000,87000,27000,53000,58000
64,Retained Earnings,-43562000,-58402000,-80131000,-115427000,-157910000,-207483000,-264193000,-292004000,-330954000,-374668000,-407864000
65,Other Comprehensive Income/Loss,-990000,-1011000,-1329000,-7000,-7000,- -,-4567000,-5458000,-6470000,- -,- -
66,Other Total Stockholders Equity,48838000,65718000,82891000,147923000,247550000,252996000,262681000,304009000,361738000,383597000,434881000
67,Total Stockholders Equity,4286000,6305000,1431000,32507000,89661000,45541000,-6050000,7335000,25042000,8982000,27075000
68,Total Liabilities And Stockholders Equity,6940000,13531000,15761000,50431000,112142000,69896000,17488000,31115000,52611000,98493000,55967000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6940000,13531000,15761000,50431000,112142000,69896000,17488000,31115000,52611000,98493000,55967000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1457612/000110465914021800/0001104659-14-021800-index.htm,https://www.sec.gov/Archives/edgar/data/1457612/000110465915014851/a15-1794_110k.htm,https://www.sec.gov/Archives/edgar/data/1457612/000145761216000048/0001457612-16-000048-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761217000009/0001457612-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761218000019/0001457612-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761219000027/0001457612-19-000027-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761220000015/0001457612-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761221000022/0001457612-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1457612/000145761222000039/0001457612-22-000039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-14685000,-13367000,-20806000,-35296000,-42483000,-49573000,-56710000,-27811000,-38950000,-43714000,-33196000
74,Depreciation and Amortization,318000,300000,318000,469000,1051000,1813000,1516000,1088000,1097000,1138000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,314000,307000,672000,2905000,3848000,4147000,4234000,2153000,1837000,1974000,- -
77,Change in Working Capital,628000,4080000,450000,33820000,47024000,-35308000,-56616000,19023000,18978000,21929000,-34093000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,283000,515000,724000,516000,-1431000,1190000,491000,-2103000,-1106000,31000,- -
81,Other Working Capital,3852000,7932000,8382000,42202000,89226000,53918000,-2698000,16325000,35303000,57232000,23139000
82,Other Non-Cash Items,-63000,-4001000,-507000,-29502000,-47796000,37086000,59977000,-35688000,-20696000,-22978000,67289000
83,Cash Provided by Operating Activities,-13488000,-12681000,-19873000,-27604000,-38356000,-41835000,-47599000,-41235000,-37734000,-41651000,- -
84,CAPEX,-318000,-460000,-389000,-1520000,-2784000,-2538000,-1178000,-241000,-1135000,-2585000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-27053000,-89651000,-26064000,-153000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,27498000,79313000,36090000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,150000,110000,48000,30000,- -
89,Cash Used for Investing Activites,-318000,-460000,-389000,-28573000,-64937000,50711000,34909000,-131000,-1087000,-2555000,- -
90,Debt Repayment,-195000,-1164000,-4245000,-10401000,-4000,- -,-3149000,-535000,-1919000,-134000,- -
91,Common Stock Issued,- -,- -,- -,61938000,95183000,815000,246000,55458000,54669000,83836000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6000,20079000,25199000,12490000,5315000,474000,442000,532000,151000,146000,- -
95,Cash Used/Provided by Financing Activities,-189000,18915000,20954000,64027000,100494000,1289000,-2461000,55455000,52901000,83848000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-13995000,5774000,692000,7850000,-2799000,10165000,-15151000,14089000,14080000,39642000,- -
98,Cash at the End of Period,5742000,11516000,12208000,20058000,17259000,27424000,12273000,26678000,40758000,80400000,- -
99,Cash at the Beginning of Period,19737000,5742000,11516000,12208000,20058000,17259000,27424000,12589000,26678000,40758000,80400000
100,Free Cash Flow,-13806000,-13141000,-20262000,-29124000,-41140000,-44373000,-48777000,-41476000,-38869000,-44236000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1457612/000110465914021800/0001104659-14-021800-index.htm,https://www.sec.gov/Archives/edgar/data/1457612/000110465915014851/a15-1794_110k.htm,https://www.sec.gov/Archives/edgar/data/1457612/000145761216000048/0001457612-16-000048-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761217000009/0001457612-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761218000019/0001457612-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761219000027/0001457612-19-000027-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761220000015/0001457612-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1457612/000145761221000022/0001457612-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1457612/000145761222000039/0001457612-22-000039-index.htm
102,false,,,,,,,,,,,
