,https://roic.ai/company/OVV,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,5329563850,17171563930,22022000000,27708000000,30544000000,31403000000,42530000000,41645000000,28032000000,31166000000,28991000000,13223000000,13358000000,21760000000,14037000000,12730000000,12996000000,12668000000,19618000000,13222000000,12468000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6821441761,19895701538,24110000000,31213000000,34148000000,35104000000,46974000000,47247000000,33827000000,34020000000,33918000000,18700000000,17648000000,24621000000,15644000000,14653000000,15267000000,15344000000,21487000000,14469000000,14055000000
48,Accounts Payable,621949102,1518519276,1579000000,1879000000,2741000000,2494000000,3982000000,3177000000,2143000000,2211000000,579000000,417000000,265000000,428000000,254000000,240000000,258000000,233000000,355000000,306000000,328000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,518000000,68000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-322000,- -
52,Other Current Liabilities,774936582,945700616,352000000,1068000000,2130000000,1197000000,2348000000,717000000,2102000000,565000000,2241000000,2195000000,2687000000,1978000000,1079000000,1322000000,1400000000,1783000000,2077000000,1599322000,2352000000
53,Total Current Liabilities,1396885684,2464219892,1931000000,2947000000,4871000000,3691000000,6330000000,3894000000,4245000000,2776000000,2820000000,2612000000,2952000000,2406000000,1333000000,1562000000,1658000000,2016000000,2432000000,2423000000,2748000000
54,Long-Term Debt,1330891085,4697512889,6088000000,7742000000,6703000000,6577000000,8840000000,11612000000,7568000000,7129000000,7591000000,7175000000,6124000000,7340000000,5363000000,4198000000,4197000000,3698000000,6974000000,6367000000,5708000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1293894113,3310951839,4362000000,5193000000,5289000000,6240000000,6208000000,6919000000,3386000000,4230000000,4086000000,- -,- -,1829000000,24000000,31000000,34000000,27000000,217000000,20000000,4000000
57,Other Non-Current Liabilities,262978478,660790811,451000000,1023000000,1278000000,1131000000,4892000000,1848000000,2014000000,2558000000,3097000000,3618000000,3425000000,3361000000,2757000000,2736000000,2650000000,2156000000,1934000000,1822000000,521000000
58,Total Non-Current Liabilities,2887763677,8669255539,10901000000,13958000000,13270000000,13948000000,19940000000,20379000000,12968000000,13917000000,14774000000,10793000000,9549000000,12530000000,8144000000,6965000000,6881000000,5881000000,9125000000,8209000000,6233000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1743000000,2241000000,2018000000,1645000000,1629000000,1718000000,1519000000,1265000000,1127000000,990000000
61,Total Liabilities,4284649361,11133475431,12832000000,16905000000,18141000000,17639000000,26270000000,24273000000,17213000000,16693000000,17594000000,13405000000,12501000000,14936000000,9477000000,8527000000,8539000000,7897000000,11557000000,10632000000,8981000000
62,Preferred Stock,- -,79974682,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,122989935,5546244203,5305000000,5299000000,5131000000,- -,- -,- -,- -,- -,- -,2364000000,2460000000,3808000000,4979000000,6114000000,6115000000,6014000000,8463000000,3000000,3000000
64,Retained Earnings,2316810402,2975058174,5276000000,7935000000,9481000000,11344000000,13082000000,17584000000,13493000000,13957000000,13804000000,2261000000,2003000000,5188000000,-202000000,-1198000000,-429000000,435000000,421000000,-5773000000,-4479000000
65,Other Comprehensive Income/Loss,-4133661717,-2626168623,-8869000000,-11465000000,-14458000000,-17363000000,-23956000000,-23929000000,-19330000000,-23258000000,-25670000000,-45876000000,-45784000000,-33444000000,-38587000000,-38863000000,-38056000000,-38121000000,-40637000000,1076000000,1092000000
66,Other Total Stockholders Equity,4230653780,2787117671,9566000000,12539000000,15853000000,23484000000,31578000000,29319000000,22451000000,26628000000,28190000000,46546000000,46468000000,34133000000,39977000000,40073000000,39098000000,39119000000,41683000000,8531000000,- -
67,Total Stockholders Equity,2536792399,8762226107,11278000000,14308000000,16007000000,17465000000,20704000000,22974000000,16614000000,17327000000,16324000000,5295000000,5147000000,9685000000,6167000000,6126000000,6728000000,7447000000,9930000000,3837000000,5074000000
68,Total Liabilities And Stockholders Equity,6821441760,19895701538,24110000000,31213000000,34148000000,35104000000,46974000000,47247000000,33827000000,34020000000,33918000000,18700000000,17648000000,24621000000,15644000000,14653000000,15267000000,15344000000,21487000000,14469000000,14055000000
69,Minority Interest,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6821441761,19895701538,24110000000,31213000000,34148000000,35104000000,46974000000,47247000000,33827000000,34020000000,33918000000,18700000000,17648000000,24621000000,15644000000,14653000000,15267000000,15344000000,21487000000,14469000000,14055000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1792580/000156459020005663/0001564590-20-005663-index.htm,https://www.sec.gov/Archives/edgar/data/1792580/000156459021006570/0001564590-21-006570-index.htm,https://www.sec.gov/Archives/edgar/data/1792580/000156459022006978/0001564590-22-006978-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,818932982,776754100,2360000000,3513000000,3426000000,5652000000,3959000000,5944000000,1862000000,1499000000,128000000,-2794000000,236000000,3392000000,-5165000000,-944000000,827000000,1069000000,234000000,-6097000000,1416000000
74,Depreciation and Amortization,537955976,1367567064,2222000000,2402000000,2769000000,3112000000,3816000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,89992636,423865815,501000000,91000000,56000000,950000000,-617000000,1646000000,-1799000000,774000000,48000000,-1837000000,-57000000,960000000,-2811000000,-598000000,666000000,149000000,94000000,381000000,-21000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,355970869,164925491,-102917717,401000000,-1825000000,1277000000,-1896000000,3594000000,-158000000,-1472000000,2029000000,758000000,-1527000000,-883000000,-181000000,87000000,252000000,47000000,-1223000000,-613000000,-80000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,452000000,-487000000,190000000,- -,82000000,-75000000,-411000000,314000000,86000000,-21000000,- -,- -,- -,- -
79,Inventory,-23998036,- -,- -,- -,- -,- -,- -,222000000,-271000000,6000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,94992226,259917717,157000000,558000000,-1267000000,10000000,-1886000000,1708000000,1550000000,78000000,2107000000,2865000000,1338000000,455000000,274000000,361000000,613000000,660000000,-563000000,-1176000000,-15000000
82,Other Non-Cash Items,-59995090,-1099629587,-669082283,-1816000000,3004000000,-3018000000,3167000000,-2329000000,7968000000,1564000000,1838000000,6980000000,3637000000,-802000000,9838000000,2080000000,-695000000,1035000000,3816000000,8224000000,1814000000
83,Cash Provided by Operating Activities,1742857371,1633482882,4311000000,4591000000,7430000000,7973000000,8429000000,8855000000,7873000000,2365000000,4043000000,3107000000,2289000000,2667000000,1681000000,625000000,1050000000,2300000000,2921000000,1895000000,3129000000
84,CAPEX,-1221900004,-3138006589,-5308000000,-4817000000,-6925000000,-6599000000,-8737000000,-8254000000,-4864000000,-4773000000,-4578000000,-3476000000,-2712000000,-2526000000,-2232000000,-1132000000,-1796000000,-1975000000,-2626000000,-1736000000,-1519000000
85,Acquisitions Net,- -,-80974366,- -,-2335000000,- -,- -,- -,904000000,1154000000,150000000,1565000000,3664000000,521000000,-2461000000,1838000000,1052000000,682000000,476000000,226000000,70000000,1014000000
86,Purchases of Investments,- -,- -,- -,- -,-109000000,- -,- -,-267000000,- -,- -,- -,-242000000,- -,- -,-342000000,- -,- -,- -,- -,- -,-20000000
87,Sales/Maturities of Investments,- -,40987025,- -,47000000,- -,2000000,- -,- -,337000000,- -,- -,- -,252000000,321000000,- -,51000000,- -,- -,- -,- -,- -
88,Other Investing Activites,155987234,597810749,3164000000,2846000000,2753000000,5772000000,562000000,-8190000000,-6297000000,-4879000000,-5290000000,-3061000000,-2668000000,-2589000000,-2161000000,-1132000000,-1719000000,-2031000000,-2782000000,-1934000000,-1519000000
89,Cash Used for Investing Activites,-1065912770,-2580183181,-2144000000,-4259000000,-4281000000,-825000000,-8175000000,-7553000000,-4806000000,-4729000000,-3725000000,361000000,-1895000000,-4729000000,-665000000,-29000000,-1037000000,-1555000000,-2556000000,-1864000000,-525000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-717000000,-2102000000,-200000000,-14068000000,-2244000000,-508000000,-2558000000,-1990000000,-1116000000,-82000000,-90000000,-584000000,-361000000,-2186000000
91,Common Stock Issued,29997545,87972150,114000000,281000000,294000000,179000000,176000000,80000000,24000000,5000000,2000000,- -,- -,- -,1088000000,1129000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-3999673,- -,-868000000,-1004000000,-2114000000,-4219000000,-2025000000,-326000000,- -,-499000000,- -,- -,- -,- -,- -,- -,- -,-250000000,-1250000000,- -,-111000000
93,Dividends Paid,-809933718,-105966454,-139000000,-183000000,-238000000,-304000000,-603000000,-1199000000,-1051000000,-590000000,-588000000,-588000000,-401000000,-202000000,-152000000,-51000000,-57000000,-56000000,-102000000,-97000000,-122000000
94,Other Financing Activites,576952785,492843979,71000000,1069000000,-1338000000,50000000,2333000000,723000000,3964000000,- -,14440000000,1721000000,- -,2721000000,- -,- -,- -,- -,698000000,252000000,- -
95,Cash Used/Provided by Financing Activities,-206983061,474849675,-822000000,163000000,-3396000000,-4294000000,-119000000,-1439000000,835000000,-1284000000,-214000000,-1111000000,-909000000,-39000000,-1054000000,-38000000,-139000000,-396000000,-1238000000,-206000000,-2419000000
96,Effect of Forex Changes on Cash,11999018,-3998734,-10000000,-6000000,-2000000,- -,16000000,-33000000,19000000,2000000,-1000000,22000000,-98000000,-127000000,-29000000,5000000,11000000,-10000000,5000000,-5000000,- -
97,Net Change In Cash,480960640,-476849042,32000000,489000000,-488000000,297000000,151000000,-170000000,3921000000,-3646000000,103000000,2379000000,-613000000,-2228000000,-67000000,563000000,-115000000,339000000,-868000000,-180000000,185000000
98,Cash at the End of Period,604950493,134957276,148000000,602000000,105000000,402000000,553000000,383000000,4275000000,629000000,732000000,3179000000,2566000000,338000000,271000000,834000000,719000000,1058000000,190000000,10000000,195000000
99,Cash at the Beginning of Period,123989853,611806318,116000000,113000000,593000000,105000000,402000000,553000000,354000000,4275000000,629000000,800000000,3179000000,2566000000,338000000,271000000,834000000,719000000,1058000000,190000000,10000000
100,Free Cash Flow,520957367,-1504523707,-997000000,-226000000,505000000,1374000000,-308000000,601000000,3009000000,-2408000000,-535000000,-369000000,-423000000,141000000,-551000000,-507000000,-746000000,325000000,295000000,159000000,1610000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1792580/000156459020005663/0001564590-20-005663-index.htm,https://www.sec.gov/Archives/edgar/data/1792580/000156459021006570/0001564590-21-006570-index.htm,https://www.sec.gov/Archives/edgar/data/1792580/000156459022006978/0001564590-22-006978-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
