,https://roic.ai/company/COF-PI,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,260400000,484500000,585400000,687000000,968900000,1290500000,1803314000,2543989000,3036765000,3778337000,4533358000,5301281000,7289420000,8075237000,5105818000,4883339000,7501000000,7327000000,9055000000,10041000000,10155000000,9644000000,9911000000,10559000000,14005000000,10226000000,9821000000,20884000000
16,EBITDA ratio,0.4634,0.6367,0.5186,0.4731,0.4438,0.3768,0.3900,0.4182,0.3710,0.4607,0.5092,0.5281,0.6392,0.5833,0.3889,0.4013,0.4885,0.4734,0.4589,0.4703,0.4734,0.4258,0.4021,0.4023,0.5154,0.4574,0.3516,0.6862
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-461000000,486000000,3415000000
20,Income Before Tax,146800000,197700000,248500000,305500000,443900000,577000000,757474000,1035420000,1451039000,1826793000,2360064000,2829002000,3652731000,3869556000,581619000,1336102000,4330000000,4587000000,5035000000,6417000000,6569000000,5881000000,5484000000,5492000000,7318000000,6874000000,3203000000,15809000000
21,Income Before Tax Ratio,0.2613,0.2598,0.2201,0.2104,0.2033,0.1685,0.1638,0.1702,0.1773,0.2228,0.2651,0.2818,0.3203,0.2795,0.0443,0.1098,0.2820,0.2964,0.2552,0.3005,0.3062,0.2597,0.2225,0.2092,0.2693,0.3075,0.1147,0.5194
22,Income Tax expense (Gain),51600000,71200000,93200000,116100000,168700000,213900000,287840000,393455000,551395000,675914000,816582000,1019855000,1238238000,1277837000,497102000,349485000,1280000000,1334000000,1301000000,2025000000,2146000000,1869000000,1714000000,3375000000,1293000000,1341000000,486000000,3415000000
23,Net Income,95200000,126500000,155300000,189400000,275200000,363100000,469634000,641965000,899644000,1135842000,1543482000,1809147000,2414493000,1570332000,-45998000,883781000,2743000000,3147000000,3517000000,4159000000,4428000000,4050000000,3751000000,1982000000,6015000000,5546000000,2714000000,12390000000
24,Net Income ratio,0.1694,0.1662,0.1376,0.1304,0.1261,0.1060,0.1016,0.1055,0.1099,0.1385,0.1734,0.1802,0.2117,0.1134,-0.0035,0.0726,0.1787,0.2033,0.1782,0.1948,0.2064,0.1788,0.1522,0.0755,0.2214,0.2481,0.0972,0.4071
25,EPS,0.22,0.30,0.37,0.45,0.65,0.85,1.10,1.51,2.12,2.67,3.63,4.25,5.68,3.69,-0.11,2.08,6.45,7.40,8.27,9.78,10.41,9.52,8.82,4.66,14.15,13.04,6.38,29.14
26,EPS Diluted,0.22,0.30,0.37,0.45,0.65,0.85,1.10,1.51,2.12,2.67,3.63,4.25,5.68,3.69,-0.11,2.08,6.45,7.40,8.27,9.78,10.41,9.52,8.82,4.66,14.15,13.04,6.38,29.14
27,Weighted Average Shares Outstanding,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404
28,Weighted Average Shares Outstanding Diluted,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404,425235404
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927628/000092762819000093/0000927628-19-000093-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762820000102/0000927628-20-000102-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762821000094/0000927628-21-000094-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762822000106/0000927628-22-000106-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,544950000,969963000,637516000,2765730000,3561340000,3054647000,6854591000,8143054000,4843000000,5496000000,11057000000,5952000000,7242000000,7984000000,9976000000,14040000000,13186000000,13407000000,40509000000,21746000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15452047000,19781587000,31003271000,38829562000,41537000000,38759000000,63979000000,41800000000,39508000000,39061000000,40737000000,37655000000,46150000000,79213000000,100445000000,95261000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,544950000,969963000,637516000,2765730000,19013387000,22836234000,37857862000,46972616000,46380000000,44255000000,75036000000,47752000000,46750000000,47045000000,50713000000,51695000000,59336000000,92620000000,140954000000,117007000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,3314339000,4963257000,4334128000,5468089000,5405661000,5557196000,7170663000,8565743000,1188000000,1029000000,1694000000,1418000000,1435000000,1189000000,1351000000,1536000000,1614000000,1758000000,1471000000,1460000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61019538000,94029475000,87285009000,75604063000,58865874000,92058000000,105542000000,154718000000,169129000000,180998000000,204070000000,220326000000,227257000000,209932000000,-90249000000,-137717000000,199661000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69253357000,118448523000,115678439000,120632588000,114404233000,139626000000,150826000000,231448000000,218299000000,229183000000,252304000000,272390000000,280488000000,270882000000,4129000000,4708000000,318128000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,770326000,902600000,817704000,1191406000,2203280000,2299603000,2313106000,2735623000,2749000000,2748000000,3587000000,3839000000,3685000000,3584000000,3675000000,4033000000,4191000000,4378000000,4287000000,4210000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13635435000,12830740000,11964487000,13596368000,13591000000,13592000000,13904000000,13978000000,13978000000,14480000000,14519000000,14533000000,14544000000,14653000000,14653000000,14782000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474000000,457000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3906399000,13635435000,12830740000,11964487000,13596368000,13591000000,13592000000,13904000000,13978000000,13978000000,14480000000,14519000000,14533000000,14544000000,15127000000,15110000000,14782000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,4423677000,5866628000,9300454000,14350249000,15452047000,19781587000,31003271000,38910139000,41537000000,38853000000,63979000000,60932000000,62008000000,63680000000,66449000000,66639000000,82921000000,79213000000,100445000000,95261000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84065000000,-105189000000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19448054000,31290762000,34911930000,45280864000,55242130000,57877000000,55193000000,81470000000,78749000000,79671000000,81744000000,84643000000,85205000000,101656000000,14653000000,14653000000,114253000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,37382380000,46283706000,53747255000,108149465000,181030047000,185502299000,211194316000,224888493000,255380000000,261212000000,394388000000,375797000000,388525000000,415792000000,441676000000,450898000000,474194000000,- -,- -,546634000000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,37382380000,46283706000,53747255000,88701411000,149739285000,150590369000,165913452000,169646363000,197503000000,206019000000,312918000000,297048000000,308854000000,334048000000,357033000000,365693000000,372538000000,18782000000,19361000000,432381000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,236081000,256015000,237227000,371681000,574763000,631609000,676398000,509105000,488000000,466000000,450000000,307000000,317000000,299000000,327000000,413000000,458000000,439000000,352000000,281000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,6365075000,4071608000,6293531000,- -,2648363000,6841789000,4877179000,9045470000,8650000000,11034000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40187000000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,6601156000,4327623000,6530758000,- -,3223126000,7473398000,5553577000,9554575000,9138000000,11500000000,- -,- -,- -,- -,- -,- -,- -,- -,40539000000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,5565615000,10741025000,10218278000,22278140000,27597644000,29771414000,17468351000,21013931000,40279000000,38097000000,48662000000,39739000000,47577000000,58101000000,59436000000,59705000000,58553000000,55383000000,39871000000,42266000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,5565615000,10741025000,10218278000,22278140000,27597644000,29771414000,17468351000,21013931000,40279000000,38097000000,48662000000,39739000000,47577000000,58101000000,59436000000,59705000000,58553000000,55383000000,39871000000,42266000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,31723668000,46645297000,49046586000,96850637000,148878597000,148594273000,151215793000,154516309000,202103000000,202950000000,321081000000,295043000000,311378000000,344865000000,368955000000,376668000000,379423000000,387737000000,360730000000,413618000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000,32000000,- -,- -,- -,75000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,32759209000,40231895000,45359066000,74572497000,124504079000,126296257000,139301019000,143056953000,170962000000,176353000000,272419000000,255304000000,263801000000,286764000000,309519000000,316963000000,320870000000,332354000000,361398000000,371352000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3096466000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,2271000,2364000,2484000,3028000,4122000,4192000,4384000,5024000,5000000,5000000,6000000,6000000,6000000,6000000,7000000,7000000,7000000,7000000,7000000,7000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,2966948000,4078508000,5596372000,7378015000,9760184000,11267568000,10621164000,10727368000,10406000000,13462000000,16853000000,20404000000,23973000000,27045000000,29766000000,30700000000,35875000000,40340000000,40088000000,51006000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-15566000,83158000,144759000,6129000,266180000,315248000,-1221796000,82654000,248000000,169000000,739000000,-872000000,-430000000,-616000000,-949000000,-926000000,-1263000000,1156000000,3494000000,374000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1669518000,1887781000,2644574000,6741742000,15204720000,12707104000,14112215000,15774364000,15882000000,16030000000,22901000000,22206000000,21504000000,20849000000,18690000000,18949000000,17049000000,16508000000,16615000000,9642000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,4623171000,6051811000,8388189000,14128914000,25235206000,24294112000,26612433000,26589410000,26541000000,29666000000,40499000000,41744000000,45053000000,47284000000,47514000000,48730000000,51668000000,58011000000,60204000000,61029000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,37382380000,46283706000,53747255000,88701411000,149739285000,150590369000,165913452000,169646363000,197503000000,206019000000,312918000000,297048000000,308854000000,334048000000,357033000000,365693000000,372538000000,390365000000,421602000000,432381000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-371583000000,-402241000000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,37382380000,46283706000,53747255000,88701411000,149739285000,150590369000,165913452000,169646363000,197503000000,206019000000,312918000000,297048000000,308854000000,334048000000,357033000000,365693000000,372538000000,18782000000,19361000000,432381000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927628/000092762819000093/0000927628-19-000093-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762820000102/0000927628-20-000102-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762821000094/0000927628-21-000094-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762822000106/0000927628-22-000106-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,95200000,126500000,155300000,189400000,275200000,363100000,469634000,641965000,899644000,1135842000,1543482000,1809147000,2414493000,1570332000,-45998000,883781000,2743000000,3147000000,3517000000,4159000000,4428000000,4050000000,3751000000,1982000000,6015000000,5546000000,2714000000,12390000000
74,Depreciation and Amortization,19900000,37400000,41900000,46600000,108200000,172600000,244823000,337562000,124072000,384016000,381852000,425640000,542090000,678757000,691430000,682603000,582000000,600000000,1862000000,2065000000,2002000000,2100000000,2428000000,2440000000,2396000000,3339000000,3501000000,3481000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-686000000,1434000000,714000000,-296000000,-1627000000,605000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211117000,338778000,111646000,145831000,149000000,189000000,199000000,240000000,205000000,161000000,239000000,244000000,170000000,239000000,203000000,331000000
77,Change in Working Capital,-86700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4129000000,-39960000000,30945000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269114000,-165456000,-1613467000,-1395080000,-612000000,65000000,-495000000,276000000,-17000000,-72000000,-159000000,-157000000,-74000000,-63000000,287000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87005000,56846000,44789000,-167293000,-21000000,-22000000,-47000000,-143000000,10000000,45000000,28000000,85000000,45000000,-19000000,-87000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4129000000,-35831000000,-4886000000
82,Other Non-Cash Items,30700000,-46200000,78100000,272600000,397200000,736600000,681619000,288222000,1252071000,508001000,2602421000,1397261000,209038000,10422563000,2725897000,1084732000,4668000000,3519000000,3482000000,3520000000,2669000000,3816000000,6124000000,8082000000,3683000000,3682000000,51868000000,-35442000000
83,Cash Provided by Operating Activities,59100000,117700000,275300000,508600000,780600000,1272300000,1396076000,1267749000,2275787000,2027859000,4527755000,3632048000,3376738000,13010430000,3482975000,2796947000,8142000000,7455000000,9060000000,9984000000,9304000000,10127000000,11856000000,14182000000,12978000000,16639000000,16699000000,12310000000
84,CAPEX,-58100000,-61600000,-74900000,-51600000,-153000000,-351000000,-374018000,-326594000,-275436000,-252400000,-208975000,-159823000,-712190000,-437545000,-356327000,-231624000,-340000000,-315000000,-560000000,-818000000,-502000000,-532000000,-779000000,-1018000000,-874000000,-887000000,-710000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3635356000,-10464000,- -,778166000,- -,-1444000000,-17603000000,-204000000,-24000000,-9314000000,-629000000,-3187000000,-600000000,-8393000000,-7000000,-669000000
86,Purchases of Investments,-112000000,-403200000,-945000000,-1275900000,-1251700000,-871400000,-407572000,-4268527000,-5748073000,-4609649000,-6564370000,-3688180000,-7777082000,-12717204000,-21697629000,-27827065000,-26378000000,-16060000000,-29257000000,-16062000000,-17477000000,-16477000000,-17941000000,-18297000000,-33188000000,-12501000000,-43026000000,- -
87,Sales/Maturities of Investments,2393900000,3625000000,3185800000,3049100000,718800000,762200000,605092000,2838361000,4844937000,3122607000,2988235000,2951029000,11180326000,8334505000,9304773000,22950968000,24090000000,18879000000,34673000000,16469000000,16856000000,14284000000,14694000000,17988000000,16328000000,18383000000,23136000000,- -
88,Other Investing Activites,-2843400000,-4342300000,-4312900000,-2882400000,-1612900000,-4403400000,-6136583000,-6141419000,-8518928000,-7367588000,-6896923000,-6149226000,-6182399000,-5634465000,-2860218000,14775977000,7091000000,-11423000000,-5240000000,4336000000,-14844000000,-17687000000,-20975000000,-11027000000,2716000000,-19600000000,5766000000,-30832000000
89,Cash Used for Investing Activites,-561500000,-1120500000,-2072100000,-1109200000,-2145800000,-4512600000,-5939063000,-7571585000,-9422064000,-8854630000,-10473058000,-6886377000,-7126701000,-10465173000,-15609401000,10446422000,4463000000,-10363000000,-17987000000,3721000000,-15991000000,-29726000000,-25630000000,-15541000000,-15618000000,-22998000000,-14841000000,-31501000000
90,Debt Repayment,-1737500000,-54000000,-603500000,-891400000,-1218200000,-1012600000,-1125292000,-706916000,-766058000,-1059940000,-1160639000,-1525407000,-1258178000,-612500000,-14853133000,-7824194000,-22344000000,-11243000000,-5761000000,-12871000000,-5367000000,-26145000000,-27710000000,-44187000000,-8165000000,-14984000000,-21715000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36751000,43493000,772017000,1537363000,30000000,40000000,3233000000,81000000,100000000,111000000,131000000,164000000,175000000,199000000,241000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21615000,-3024969000,-12501000,-14572000,-22000000,-42000000,-43000000,-1033000000,-2045000000,-2441000000,-3661000000,-240000000,-2284000000,-2481000000,-1768000000,- -
93,Dividends Paid,- -,-15900000,-20600000,-20600000,-20500000,-20700000,-20824000,-22310000,-23457000,-24282000,-25618000,-27504000,-32324000,-42055000,-568255000,-318844000,-91000000,-91000000,-126000000,-608000000,-746000000,-974000000,-1026000000,-1045000000,-1038000000,-1035000000,-740000000,- -
94,Other Financing Activites,2645800000,1538200000,2077400000,1221400000,2666400000,4219900000,5679313000,7503593000,8147332000,8972497000,6562489000,7467296000,5614558000,1251687000,29458232000,-5429841000,6386000000,14833000000,16844000000,-4041000000,15696000000,49829000000,47993000000,48526000000,13089000000,24920000000,49146000000,- -
95,Cash Used/Provided by Financing Activities,908300000,1468300000,1453300000,309400000,1427700000,3186600000,4533197000,6774367000,7357817000,7888275000,5376232000,5914385000,4339192000,-2384344000,14796360000,-12050088000,-16041000000,3497000000,14147000000,-18472000000,7638000000,20380000000,15727000000,3218000000,1777000000,6619000000,25164000000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,908300000,1468300000,1453300000,309400000,1427700000,-53700000,-9790000,470531000,211540000,1061504000,-569071000,2660056000,589229000,160913000,2669934000,1193281000,-3436000000,589000000,5220000000,-4767000000,951000000,781000000,1953000000,1859000000,-863000000,260000000,27022000000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,246500000,236707000,707238000,918778000,1980282000,1411211000,4071267000,4660496000,4821409000,7491343000,8684624000,5249000000,5838000000,11058000000,6291000000,7242000000,8023000000,9976000000,14352000000,13489000000,13749000000,40771000000,- -
99,Cash at the Beginning of Period,1000000,406900000,872500000,529000000,237700000,300200000,246497000,236707000,707238000,918778000,1980282000,1411211000,4071267000,4660496000,4821409000,7491343000,8685000000,5249000000,5838000000,11058000000,6291000000,7242000000,8023000000,12493000000,14352000000,13489000000,13749000000,- -
100,Free Cash Flow,1000000,56100000,200400000,457000000,627600000,921300000,1022058000,941155000,2000351000,1775459000,4318780000,3472225000,2664548000,12572885000,3126648000,2565323000,7802000000,7140000000,8500000000,9166000000,8802000000,9595000000,11077000000,13164000000,12104000000,15752000000,15989000000,12310000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927628/000092762819000093/0000927628-19-000093-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762820000102/0000927628-20-000102-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762821000094/0000927628-21-000094-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762822000106/0000927628-22-000106-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
