,https://roic.ai/company/QPRC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/824416/000121390014008919/0001213900-14-008919-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390015002605/0001213900-15-002605-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390015006309/0001213900-15-006309-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390016012189/0001213900-16-012189-index.html,https://www.sec.gov/Archives/edgar/data/824416/000121390017003863/0001213900-17-003863-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390018003902/0001213900-18-003902-index.html,https://www.sec.gov/Archives/edgar/data/824416/000121390019006472/0001213900-19-006472-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390020007602/0001213900-20-007602-index.html,https://www.sec.gov/Archives/edgar/data/824416/000121390021021718/0001213900-21-021718-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390022017254/0001213900-22-017254-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,161790,436,11857,42242,18579,159,91690,331506,208324,165546,166911,537198,247862,264840
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,10516,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,161790,436,11857,42242,18579,10675,91690,331506,208324,165546,166911,537198,247862,264840
34,Net Receivables,- -,- -,- -,- -,26542,5145,6522,1475,5816,9513,22500,41552,54994,2846,- -,1850375,1032886,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1662,5924,2490,2522,2343,17180,5934,12305
37,Total Current Assets,- -,- -,- -,- -,188332,5581,18379,43717,24395,20188,115852,378982,265808,170914,169254,2404753,1286682,277145
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2318731,2056947,2463338,2045618,2754354,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2318731,2056947,2463338,2045618,2754354,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,539481
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2318731,2056947,2463338,2045618,2754354,- -,539481
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200959,- -
47,Total Assets,- -,- -,- -,- -,188332,5581,18379,43717,24395,20188,115852,2697713,2322755,2634252,2214872,5159107,3487641,816626
48,Accounts Payable,- -,- -,- -,- -,161306,161306,- -,- -,- -,75407,90869,69884,123803,147356,338748,3362932,2892025,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,217490,217490,163000,163000,2227237,3773169,4555862,5199491,4672810,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,896975,1574724,2257573,2909126,3310786,4076434,216314,1232614,1308385,440971,939294,982965,1931885,8403349
53,Total Current Liabilities,- -,- -,- -,- -,1058281,1736030,2257573,2909126,3528276,4369331,470183,1465498,3659425,4361496,5833904,9545388,9496720,8403349
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,699757,769829,1442497,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1412793,- -,- -,150000,20378,- -,340000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1412793,- -,699757,919829,1462875,- -,340000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,832599,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,1058281,1736030,2257573,2909126,3528276,4369331,470183,2878291,3659425,5061253,6753733,11008263,10329319,8743349
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,6991,6991,6991,6991,6991,6991,6991,9391,9391,11491,11491,11491,11491,16000
64,Retained Earnings,- -,- -,- -,- -,-10317463,-11219513,-11743435,-12423666,-13064810,-13931134,-14097496,-14425448,-15381430,-16549493,-18659892,-19968668,- -,-25435978
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,9445279,9487779,9500279,9551279,9551279,9572279,13734259,14232882,14032882,14107782,14107782,14107782,-6853397,17493027
67,Total Stockholders Equity,- -,- -,- -,- -,-865193,-1724743,-2236165,-2865396,-3506540,-4351864,-356246,-183175,-1339157,-2430220,-4540619,-5849395,-6841906,-7926951
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,193088,11287,21408,43730,21736,17467,113937,2695116,2320268,2631033,2213114,5158868,3487413,816398
69,Minority Interest,- -,- -,- -,- -,-4756,-5706,-3029,-13,2659,2721,1915,2597,2487,3219,1758,239,228,228
70,Total Liabilities & Equity,- -,- -,- -,- -,188332,5581,18379,43717,24395,20188,115852,2697713,2322755,2634252,2214872,5159107,3487641,816626
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/824416/000121390014008919/0001213900-14-008919-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390015002605/0001213900-15-002605-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390015006309/0001213900-15-006309-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390016012189/0001213900-16-012189-index.html,https://www.sec.gov/Archives/edgar/data/824416/000121390017003863/0001213900-17-003863-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390018003902/0001213900-18-003902-index.html,https://www.sec.gov/Archives/edgar/data/824416/000121390019006472/0001213900-19-006472-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390020007602/0001213900-20-007602-index.html,https://www.sec.gov/Archives/edgar/data/824416/000121390021021718/0001213900-21-021718-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390022017254/0001213900-22-017254-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-757574,-902050,-523922,-680231,-641144,-871161,-161525,-327952,-955982,-1168063,-2110399,-1308776,-1313,- -
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331275,437720,529486,435415,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,375000,42500,12500,51000,- -,21000,- -,63000,- -,77000,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,875471,-860500,-508745,-626215,-638472,-845262,3994812,-732185,-2307101,-796965,-1474068,-1475985,-1069403,83834
78,Accounts Receivable,- -,- -,- -,- -,-26542,21397,-1377,5047,-4341,1598,-18282,-19052,-13442,52148,2846,-1850375,751489,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39855,191392,3024181,-470907,- -
81,Other Working Capital,- -,- -,- -,- -,-869949,-1730449,-2239194,-2865409,-3503881,-4349143,-354331,-1086516,-3393617,-4190582,-5664650,-7140635,-8210038,-8126204
82,Other Non-Cash Items,- -,- -,- -,- -,-347107,1574696,1031588,1285831,1255953,1687519,-3741756,797911,2889901,1388975,2768112,3001798,388997,-133507
83,Cash Provided by Operating Activities,- -,- -,- -,- -,145790,-145354,11421,30385,-23663,-7904,91531,-199226,-373182,-167778,-378635,746523,-246304,-49673
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000,-75000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10516,- -,- -,- -,- -,-20000,-75000,-95000,-1150000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10516,- -,- -,- -,- -,-20000,-75000,-95000,-1150000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189042,250000,125000,400000,-285236,51968,1216651
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,439042,250000,125000,400000,-301236,51968,1216651
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-145354,11421,30385,-23663,-18420,91531,239816,-123182,-42778,1365,370287,-289336,16978
98,Cash at the End of Period,- -,- -,- -,- -,145790,436,11857,42242,18579,159,91690,331506,208324,165546,166911,537198,247862,264840
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,145790,436,11857,42242,18579,159,91690,331506,208324,165546,166911,537198,247862
100,Free Cash Flow,- -,- -,- -,- -,145790,-145354,11421,30385,-23663,-7904,91531,-199226,-373182,-167778,-398635,671523,-246304,-49673
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/824416/000121390014008919/0001213900-14-008919-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390015002605/0001213900-15-002605-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390015006309/0001213900-15-006309-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390016012189/0001213900-16-012189-index.html,https://www.sec.gov/Archives/edgar/data/824416/000121390017003863/0001213900-17-003863-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390018003902/0001213900-18-003902-index.html,https://www.sec.gov/Archives/edgar/data/824416/000121390019006472/0001213900-19-006472-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390020007602/0001213900-20-007602-index.html,https://www.sec.gov/Archives/edgar/data/824416/000121390021021718/0001213900-21-021718-index.htm,https://www.sec.gov/Archives/edgar/data/824416/000121390022017254/0001213900-22-017254-index.htm
102,false,,,,,,,,,,,,,,,,,,
