,https://roic.ai/company/BSX,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,468000000,407000000,393000000,281000000,261000000,324000000,216000000,284000000,233000000,229000000,241000000,473000000,361000000,341000000
14,Depreciation and Amortization,3400000,4600000,6400000,9100000,40000000,61400000,86700000,128600000,178000000,181000000,232000000,161000000,196000000,275000000,314000000,781000000,939000000,864000000,834000000,816000000,717000000,683000000,689000000,725000000,769000000,815000000,844000000,894000000,1011000000,1123000000,1093000000
15,EBITDA,71500000,96100000,115900000,138000000,125000000,358400000,324300000,-146700000,740000000,708000000,276000000,710000000,839000000,1769000000,1205000000,-2754000000,370000000,-699000000,-67000000,146000000,1640000000,-3163000000,790000000,432000000,403000000,1225000000,2005000000,2557000000,2171000000,1404000000,2511000000
16,EBITDA ratio,0.3109,0.3049,0.3049,0.3074,0.1129,0.2451,0.1732,-0.0657,0.2604,0.2658,0.1033,0.2432,0.2414,0.3145,0.1918,-0.3521,0.0443,-0.0868,-0.0082,0.0187,0.2152,-0.4363,0.1106,0.0585,0.0539,0.1461,0.2216,0.2603,0.2022,0.1416,0.2112
17,Operating Income,70500000,92800000,108600000,130000000,285000000,341800000,414800000,-222400000,725000000,675000000,100000000,610000000,697000000,1574000000,968000000,-2949000000,-14000000,-1505000000,-894000000,-656000000,904000000,-3868000000,120000000,-301000000,-327000000,447000000,1285000000,1506000000,1518000000,-80000000,1199000000
18,Operating Income ratio,0.3065,0.2944,0.2857,0.2896,0.2575,0.2338,0.2215,-0.0996,0.2551,0.2534,0.0374,0.2090,0.2005,0.2799,0.1541,-0.3771,-0.0017,-0.1870,-0.1092,-0.0840,0.1186,-0.5336,0.0168,-0.0408,-0.0437,0.0533,0.1420,0.1533,0.1414,-0.0081,0.1009
19,Total Other Income Expenses (Gains),-2700000,-1300000,900000,-1100000,-200000000,-44800000,-156100000,-52900000,-163000000,-148000000,-56000000,-61000000,-54000000,-80000000,-77000000,-586000000,-555000000,-526000000,-414000000,-407000000,-262000000,-239000000,-343000000,-208000000,-323000000,-270000000,-352000000,-84000000,-831000000,1000000,-123000000
20,Income Before Tax,67800000,91500000,109500000,128900000,85000000,297000000,258700000,-275300000,562000000,527000000,44000000,549000000,643000000,1494000000,891000000,-3535000000,-569000000,-2031000000,-1308000000,-1063000000,642000000,-4107000000,-223000000,-509000000,-650000000,177000000,933000000,1422000000,687000000,-79000000,1076000000
21,Income Before Tax Ratio,0.2948,0.2903,0.2881,0.2871,0.0768,0.2031,0.1382,-0.1233,0.1977,0.1978,0.0165,0.1881,0.1850,0.2656,0.1418,-0.4520,-0.0681,-0.2523,-0.1597,-0.1362,0.0842,-0.5666,-0.0312,-0.0690,-0.0869,0.0211,0.1031,0.1448,0.0640,-0.0080,0.0905
22,Income Tax expense (Gain),26300000,34900000,39800000,49200000,77000000,129900000,98300000,-10900000,191000000,154000000,98000000,176000000,171000000,432000000,263000000,42000000,-74000000,5000000,-283000000,2000000,201000000,-39000000,-102000000,-390000000,-411000000,-170000000,828000000,-249000000,-4013000000,2000000,36000000
23,Net Income,41800000,56600000,69700000,79700000,8000000,167100000,139300000,-264400000,371000000,373000000,-54000000,373000000,472000000,1062000000,628000000,-3577000000,-495000000,-2036000000,-1025000000,-1065000000,441000000,-4068000000,-121000000,-119000000,-239000000,347000000,104000000,1671000000,4700000000,-82000000,1041000000
24,Net Income ratio,0.1817,0.1796,0.1834,0.1775,0.0072,0.1143,0.0744,-0.1184,0.1305,0.1400,-0.0202,0.1278,0.1358,0.1888,0.1000,-0.4574,-0.0592,-0.2529,-0.1252,-0.1364,0.0579,-0.5612,-0.0169,-0.0161,-0.0320,0.0414,0.0115,0.1701,0.4378,-0.0083,0.0876
25,EPS,0.11,0.14,0.10,0.19,0.01,0.23,0.18,-0.34,0.46,0.46,-0.07,0.46,0.57,1.27,0.76,-2.81,-0.33,-1.38,-0.68,-0.70,0.29,-2.89,-0.09,0.20,-0.18,0.26,0.08,1.21,3.38,-0.12,0.73
26,EPS Diluted,0.11,0.14,0.10,0.19,0.01,0.23,0.17,-0.34,0.45,0.46,-0.07,0.45,0.56,1.24,0.75,-2.81,-0.33,-1.38,-0.68,-0.70,0.29,-2.89,-0.09,0.20,-0.18,0.25,0.08,1.19,3.33,-0.12,0.73
27,Weighted Average Shares Outstanding,380000000,390344828,395200000,419473684,348346000,725172000,773888889,777647059,806521739,810869565,830769231,810869565,828070175,836220472,826315789,1272953737,1486900000,1498500000,1507900000,1517800000,1509300000,1406700000,1341200000,1324300000,1341200000,1357600000,1370100000,1381000000,1391500000,1416700000,1416700000
28,Weighted Average Shares Outstanding Diluted,380000000,390344828,395200000,419473684,348346000,821818182,796000000,777647059,824444444,819780220,830769231,828888889,842857143,856451613,837333333,1272953737,1486900000,1498500000,1507900000,1517800000,1519000000,1406700000,1341200000,1348000000,1341200000,1377200000,1392700000,1401400000,1410600000,1416700000,1416700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885725/000104746906002665/a2167817z10-k.htm,https://www.sec.gov/Archives/edgar/data/885725/000107261307000570/form10-k_14949.htm,https://www.sec.gov/Archives/edgar/data/885725/000107261308000584/form10-k_15759.htm,https://www.sec.gov/Archives/edgar/data/885725/000107261309000419/0001072613-09-000419-index.html,https://www.sec.gov/Archives/edgar/data/885725/000095012310017254/0000950123-10-017254-index.html,https://www.sec.gov/Archives/edgar/data/885725/000095012311015112/b83548e10vk.htm,https://www.sec.gov/Archives/edgar/data/885725/000088572512000006/0000885725-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572513000007/0000885725-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572514000005/a2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/885725/000088572515000006/a2014form10-k.htm,https://www.sec.gov/Archives/edgar/data/885725/000088572516000028/0000885725-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572517000006/0000885725-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572518000010/0000885725-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572519000011/0000885725-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572520000012/0000885725-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572521000008/0000885725-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/885725/000088572522000006/0000885725-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5900000,95400000,60800000,90100000,115000000,58500000,58000000,70300000,64000000,54000000,180000000,277000000,671000000,1296000000,848000000,1668000000,1452000000,1641000000,864000000,213000000,267000000,207000000,217000000,587000000,319000000,196000000,188000000,146000000,217000000,1734000000,1925000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,14000000,6000000,5000000,- -,- -,344000000,159000000,596000000,317000000,113000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5900000,95400000,60800000,90100000,115000000,58500000,58000000,70300000,78000000,60000000,185000000,277000000,671000000,1640000000,1007000000,2264000000,1769000000,1754000000,864000000,213000000,267000000,207000000,217000000,587000000,319000000,196000000,188000000,146000000,217000000,1734000000,1925000000
34,Net Receivables,43300000,49100000,58800000,74800000,210000000,298900000,413800000,537800000,445000000,361000000,370000000,435000000,542000000,900000000,932000000,1424000000,1502000000,1402000000,1375000000,1320000000,1246000000,1217000000,1307000000,1183000000,1275000000,1472000000,1548000000,1608000000,1933000000,1531000000,1778000000
35,Inventory,36100000,40500000,41800000,54700000,145000000,226200000,386700000,462000000,376000000,354000000,303000000,243000000,281000000,360000000,418000000,749000000,725000000,853000000,920000000,894000000,931000000,884000000,897000000,946000000,1016000000,955000000,1078000000,1166000000,1579000000,1351000000,1610000000
36,Other Current Assets,3800000,51500000,54700000,44200000,67000000,165300000,205500000,196500000,156000000,217000000,248000000,253000000,386000000,389000000,274000000,464000000,1925000000,1443000000,902000000,1188000000,661000000,714000000,590000000,890000000,861000000,616000000,1008000000,1083000000,970000000,2078000000,1004000000
37,Total Current Assets,89100000,236500000,216100000,263800000,537000000,748900000,1064000000,1266600000,1055000000,992000000,1106000000,1208000000,1880000000,3289000000,2631000000,4901000000,5921000000,5452000000,4061000000,3615000000,3105000000,3022000000,3011000000,3606000000,3471000000,3239000000,3822000000,4003000000,4699000000,6694000000,6317000000
38,PP&E,33000000,46600000,77000000,105800000,254000000,347200000,499000000,679900000,604000000,567000000,592000000,636000000,744000000,870000000,1011000000,1726000000,1735000000,1728000000,1728000000,1697000000,1670000000,1564000000,1546000000,1507000000,1490000000,1630000000,1696000000,1782000000,2415000000,2541000000,2686000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,916000000,1168000000,- -,- -,1938000000,14628000000,15103000000,12421000000,12404000000,10186000000,9761000000,5973000000,5693000000,5898000000,6473000000,6678000000,6998000000,7911000000,10176000000,9951000000,11988000000
40,Intangible Assets,10400000,9300000,16900000,35300000,138000000,308400000,313300000,1813500000,1726000000,1671000000,1148000000,1199000000,2461000000,3340000000,3735000000,9008000000,7964000000,7244000000,6731000000,6343000000,6473000000,6289000000,5950000000,5606000000,6194000000,5883000000,5837000000,6372000000,7886000000,5916000000,6120000000
41,Intangible Assets,10400000,9300000,16900000,35300000,138000000,308400000,313300000,1813500000,1726000000,1671000000,2064000000,2367000000,2461000000,3340000000,3735000000,23636000000,23067000000,19665000000,19135000000,16529000000,16234000000,12262000000,11643000000,11504000000,12667000000,12561000000,12835000000,14283000000,18062000000,15867000000,18108000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,594000000,596000000,317000000,113000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,458000000,918000000,412000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4196000000,4210000000,4142000000
44,Other Non-Current Assets,4900000,6700000,13200000,26900000,146000000,107600000,91500000,132700000,187000000,197000000,212000000,239000000,614000000,671000000,225000000,237000000,157000000,181000000,253000000,287000000,281000000,306000000,371000000,425000000,505000000,666000000,688000000,931000000,735000000,545000000,563000000
45,Total Non-Current Assets,48300000,62600000,107100000,168000000,538000000,763200000,903800000,2626100000,2517000000,2435000000,2868000000,3242000000,3819000000,4881000000,5565000000,26195000000,25276000000,21687000000,21116000000,18513000000,18185000000,14132000000,13560000000,13436000000,14662000000,14857000000,15219000000,16996000000,25866000000,24081000000,25911000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51823000000
47,Total Assets,137400000,299100000,323200000,431800000,1075000000,1512100000,1967800000,3892700000,3572000000,3427000000,3974000000,4450000000,5699000000,8170000000,8196000000,31096000000,31197000000,27139000000,25177000000,22128000000,21290000000,17154000000,16571000000,17042000000,18133000000,18096000000,19041000000,20999000000,30565000000,30775000000,32229000000
48,Accounts Payable,6800000,6500000,10700000,15100000,42000000,64500000,98900000,108600000,92000000,67000000,54000000,66000000,78000000,108000000,1229000000,222000000,139000000,239000000,212000000,184000000,203000000,232000000,246000000,262000000,209000000,447000000,530000000,349000000,542000000,513000000,794000000
49,Short-Term Debt,3800000,20000000,29500000,34200000,58000000,240600000,447200000,1027500000,600000000,260000000,231000000,88000000,553000000,1228000000,156000000,7000000,256000000,2000000,3000000,504000000,4000000,4000000,3000000,403000000,3000000,64000000,1801000000,2253000000,1416000000,13000000,261000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000000,158000000,209000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000000,583000000,679000000,911000000,572000000,429000000,458000000,433000000,288000000,447000000,496000000,75000000,191000000,328000000,144000000,138000000,208000000
52,Other Current Liabilities,15100000,16100000,16900000,24400000,171000000,158700000,261900000,483600000,363000000,492000000,546000000,769000000,762000000,1269000000,-58000000,1818000000,2176000000,2081000000,2235000000,1492000000,1142000000,1103000000,1287000000,1734000000,1722000000,3001000000,3132000000,2330000000,2764000000,3017000000,3011000000
53,Total Current Liabilities,25700000,42600000,57100000,73700000,271000000,463800000,808000000,1619700000,1055000000,819000000,831000000,923000000,1393000000,2605000000,1479000000,2630000000,3250000000,3233000000,3022000000,2609000000,1807000000,1772000000,1824000000,2846000000,2430000000,3587000000,5654000000,5260000000,4866000000,3681000000,4274000000
54,Long-Term Debt,21400000,6100000,6000000,8900000,13000000,47200000,46300000,1363800000,678000000,574000000,973000000,847000000,1172000000,1139000000,1864000000,8895000000,7933000000,6743000000,5915000000,4934000000,4257000000,4252000000,4237000000,3859000000,5674000000,5420000000,3776000000,4771000000,8579000000,9118000000,9190000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257000000,276000000
56,Deferred Tax Liabilities,- -,1400000,2400000,6200000,- -,60000000,58000000,- -,- -,- -,43000000,100000000,151000000,259000000,262000000,2784000000,2284000000,2262000000,1875000000,1644000000,1865000000,1713000000,1402000000,1214000000,735000000,18000000,191000000,328000000,595000000,330000000,310000000
57,Other Non-Current Liabilities,- -,-100000,11000000,3000000,38000000,24800000,69300000,88100000,115000000,99000000,112000000,113000000,121000000,142000000,309000000,1489000000,2633000000,1727000000,2064000000,1645000000,2008000000,2547000000,2569000000,2666000000,2974000000,2338000000,2409000000,1914000000,2648000000,2065000000,1557000000
58,Total Non-Current Liabilities,21400000,7400000,19400000,18100000,51000000,132000000,173600000,1451900000,793000000,673000000,1128000000,1060000000,1444000000,1540000000,2435000000,13168000000,12850000000,10732000000,9854000000,8223000000,8130000000,8512000000,8208000000,7739000000,9383000000,7776000000,6376000000,7013000000,11822000000,11770000000,11333000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,6000000,282000000,408000000,395000000
61,Total Liabilities,47100000,50000000,76500000,91800000,322000000,595800000,981600000,3071600000,1848000000,1492000000,1959000000,1983000000,2837000000,4145000000,3914000000,15798000000,16100000000,13965000000,12876000000,10832000000,9937000000,10284000000,10032000000,10585000000,11813000000,11363000000,12030000000,12273000000,16688000000,15451000000,15607000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,4000000,4000000,4000000,4000000,8000000,8000000,8000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,16000000,16000000,16000000,16000000,16000000,16000000,16000000,17000000,17000000
64,Retained Earnings,68500000,105200000,174600000,254000000,456000000,585100000,706500000,381200000,752000000,1116000000,1031000000,1394000000,1789000000,2790000000,3410000000,-174000000,-693000000,-2732000000,-3757000000,-4822000000,-4381000000,-8449000000,-8570000000,-8689000000,-8927000000,-8581000000,-8390000000,-6953000000,-2253000000,-2378000000,-1392000000
65,Other Comprehensive Income/Loss,-11300000,-15000000,-20200000,-28100000,-111000000,-158200000,-207500000,-265500000,-336000000,-375000000,-453000000,-127000000,-49000000,-86000000,-77000000,-1000000,-13000000,-53000000,-43000000,-129000000,-138000000,-33000000,106000000,144000000,88000000,1000000,-59000000,33000000,270000000,207000000,263000000
66,Other Total Stockholders Equity,33100000,158900000,92300000,114100000,408000000,489400000,487200000,705400000,1304000000,1190000000,1433000000,1196000000,1114000000,1313000000,941000000,15458000000,15788000000,15944000000,16086000000,16232000000,15857000000,15337000000,14987000000,14986000000,15143000000,15297000000,15444000000,15629000000,15844000000,17481000000,17735000000
67,Total Stockholders Equity,90300000,249100000,246700000,340000000,753000000,916300000,986200000,821100000,1724000000,1935000000,2015000000,2467000000,2862000000,4025000000,4282000000,15298000000,15097000000,13174000000,12301000000,11296000000,11353000000,6870000000,6539000000,6457000000,6320000000,6733000000,7011000000,8725000000,13877000000,15327000000,16623000000
68,Total Liabilities And Stockholders Equity,137400000,299100000,323200000,431800000,1075000000,1512100000,1967800000,3892700000,3572000000,3427000000,3974000000,4450000000,5699000000,8170000000,8196000000,31096000000,31197000000,27139000000,25177000000,22128000000,21290000000,17154000000,16571000000,17042000000,18133000000,18096000000,19041000000,20998000000,30565000000,30778000000,32230000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,-3000000,-1000000
70,Total Liabilities & Equity,137400000,299100000,323200000,431800000,1075000000,1512100000,1967800000,3892700000,3572000000,3427000000,3974000000,4450000000,5699000000,8170000000,8196000000,31096000000,31197000000,27139000000,25177000000,22128000000,21290000000,17154000000,16571000000,17042000000,18133000000,18096000000,19041000000,20999000000,30565000000,30775000000,32229000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885725/000104746906002665/a2167817z10-k.htm,https://www.sec.gov/Archives/edgar/data/885725/000107261307000570/form10-k_14949.htm,https://www.sec.gov/Archives/edgar/data/885725/000107261308000584/form10-k_15759.htm,https://www.sec.gov/Archives/edgar/data/885725/000107261309000419/0001072613-09-000419-index.html,https://www.sec.gov/Archives/edgar/data/885725/000095012310017254/0000950123-10-017254-index.html,https://www.sec.gov/Archives/edgar/data/885725/000095012311015112/b83548e10vk.htm,https://www.sec.gov/Archives/edgar/data/885725/000088572512000006/0000885725-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572513000007/0000885725-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572514000005/a2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/885725/000088572515000006/a2014form10-k.htm,https://www.sec.gov/Archives/edgar/data/885725/000088572516000028/0000885725-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572517000006/0000885725-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572518000010/0000885725-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572519000011/0000885725-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572520000012/0000885725-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572521000008/0000885725-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/885725/000088572522000006/0000885725-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,41800000,56600000,69700000,79700000,8000000,167100000,139300000,-264400000,371000000,373000000,-54000000,373000000,472000000,1062000000,628000000,-3577000000,-495000000,-2036000000,-1025000000,-1065000000,441000000,-4068000000,-121000000,-119000000,-239000000,347000000,104000000,1671000000,4700000000,-82000000,1041000000
74,Depreciation and Amortization,3400000,4600000,6400000,9100000,40000000,61400000,86700000,128600000,178000000,181000000,232000000,161000000,196000000,275000000,314000000,781000000,939000000,864000000,834000000,816000000,717000000,683000000,689000000,725000000,769000000,815000000,844000000,894000000,1011000000,1123000000,1093000000
75,Deferred Income Tax,- -,- -,- -,- -,-22000000,-12400000,-52200000,-151400000,-29000000,2000000,8000000,142000000,-31000000,30000000,4000000,-420000000,-386000000,-334000000,-64000000,-110000000,46000000,-166000000,-223000000,-397000000,-532000000,-305000000,245000000,-87000000,-4301000000,-82000000,-124000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138000000,144000000,150000000,128000000,108000000,105000000,103000000,107000000,116000000,127000000,140000000,157000000,170000000,194000000
77,Change in Working Capital,-15300000,130500000,-34900000,31100000,75900000,19100000,-29100000,-609100000,353100000,173000000,102000000,10000000,202000000,197000000,468000000,1119000000,400000000,-452000000,-1180000000,-33000000,292000000,-48000000,-63000000,-427000000,281000000,-1389000000,-1484000000,575000000,1090000000,3180000000,-351000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000,1000000,52000000,42000000,37000000,-101000000,53000000,-17000000,-216000000,-30000000,-110000000,-130000000,335000000,-279000000
79,Inventory,-10500000,-4800000,-1400000,-11400000,-45000000,-87900000,-175100000,-25700000,68000000,15000000,53000000,63000000,-21000000,-57000000,-77000000,-53000000,-30000000,-120000000,-92000000,-5000000,-54000000,66000000,-7000000,-81000000,3000000,40000000,-107000000,-83000000,-290000000,-65000000,-346000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,408000000
81,Other Working Capital,63400000,193900000,159000000,190100000,266000000,285100000,256000000,-353100000,- -,173000000,275000000,285000000,487000000,684000000,1152000000,2271000000,2671000000,2219000000,1039000000,1006000000,1298000000,1250000000,1187000000,760000000,1041000000,-348000000,-1832000000,-1257000000,-167000000,3013000000,- -
82,Other Non-Cash Items,-300000,-149200000,24600000,-52100000,-76900000,-100900000,-64200000,1154800000,-146100000,10000000,202000000,50000000,-52000000,240000000,-511000000,3942000000,476000000,3036000000,2126000000,567000000,-616000000,4751000000,695000000,1384000000,214000000,1388000000,1590000000,-2883000000,-821000000,-2801000000,17000000
83,Cash Provided by Operating Activities,29600000,42500000,65800000,67800000,25000000,134300000,80500000,258500000,727000000,739000000,490000000,736000000,787000000,1804000000,903000000,1845000000,934000000,1216000000,835000000,325000000,1008000000,1260000000,1082000000,1269000000,600000000,972000000,1426000000,310000000,1836000000,1508000000,1870000000
84,CAPEX,-7300000,-10400000,-35800000,-35800000,-69000000,-135300000,-238200000,-2234000000,-80000000,-76000000,-121000000,-112000000,-188000000,-274000000,-341000000,-341000000,-363000000,-362000000,-362000000,-278000000,-304000000,-226000000,-245000000,-259000000,-247000000,-376000000,-319000000,-316000000,-461000000,-376000000,-554000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-128000000,- -,-704000000,-187000000,-13000000,-804000000,-211000000,-9083000000,-261000000,535000000,-527000000,-211000000,1063000000,-356000000,-244000000,-474000000,-1734000000,-408000000,-560000000,-1448000000,-4292000000,12000000,-1432000000
86,Purchases of Investments,- -,-41800000,-400000,-29200000,-35000000,-22200000,-7800000,- -,- -,- -,- -,- -,-235000000,-683000000,-108000000,-98000000,-2000000,- -,- -,- -,-11000000,-22000000,-44000000,-26000000,-266000000,-132000000,-131000000,-172000000,-348000000,-146000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,43200000,97000000,40800000,33900000,11600000,5000000,15000000,20000000,31000000,67000000,495000000,246000000,192000000,243000000,- -,91000000,4000000,5000000,9000000,5000000,14000000,61000000,- -,- -,- -,- -,- -,294000000
