,https://roic.ai/company/ARAV,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1513818/000156459015001404/0001564590-15-001404-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459016014158/0001564590-16-014158-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459017003907/0001564590-17-003907-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459018007963/0001564590-18-007963-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459019013919/0001564590-19-013919-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459020013390/0001564590-20-013390-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459021013312/0001564590-21-013312-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000143774922007827/0001437749-22-007827-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,900000,329000,13213000,170566000,182069000,201153000,81146000,56992000,65134000,60541000,59424000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,900000,329000,13213000,170566000,182069000,201153000,81146000,56992000,65134000,60541000,59424000
34,Net Receivables,600000,84000,- -,- -,- -,- -,- -,606000,2504000,262000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1500000,1693000,1053000,2398000,2542000,4152000,562000,432000,575000,886000,3321000
37,Total Current Assets,3000000,2106000,14266000,172964000,184611000,205305000,81708000,58030000,68213000,61689000,62745000
38,PP&E,100000,28000,21000,714000,389000,265000,9686000,8683000,10505000,3484000,2607000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,341000,219000,97000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,341000,219000,97000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,55000,396000,616000,327000,- -,2383000,2416000,3184000,2440000,2435000
45,Total Non-Current Assets,100000,83000,417000,1330000,716000,265000,12069000,11440000,13908000,6021000,5042000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3100000,2189000,14683000,174294000,185327000,205570000,93777000,69470000,82121000,67710000,67787000
48,Accounts Payable,600000,991000,315000,1259000,1671000,1357000,1500000,426000,1078000,2500000,2657000
49,Short-Term Debt,- -,4460000,- -,- -,- -,- -,- -,- -,2393000,2086000,2297000
50,Tax Payable,- -,- -,- -,- -,- -,247000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,40000000,- -,146000,- -,2552000,4571000
52,Other Current Liabilities,1100000,1400000,3668000,5666000,7156000,13146000,4093000,1365000,1497000,2323000,8416000
53,Total Current Liabilities,1700000,6851000,3983000,6925000,8827000,54503000,5593000,1937000,4968000,9461000,17941000
54,Long-Term Debt,500000,- -,- -,- -,- -,- -,- -,- -,- -,6431000,4076000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,3763000,3548000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,433000,- -,- -,- -,- -,5428000,7588000,8104000,- -,- -
58,Total Non-Current Liabilities,500000,433000,- -,- -,- -,- -,5428000,7588000,8104000,10194000,7624000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,5428000,7324000,10233000,8517000,- -
61,Total Liabilities,2200000,7284000,3983000,6925000,8827000,54503000,11021000,9525000,13072000,19655000,25565000
62,Preferred Stock,- -,29647000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,2000,3000,3000,4000,1000,2000,2000,2000
64,Retained Earnings,-22000000,-35249000,-55347000,-111259000,-193436000,-289253000,-374232000,-450565000,-470111000,-500654000,-539805000
65,Other Comprehensive Income/Loss,- -,- -,- -,-124000,-318000,-350000,-843000,-1879000,-2308000,- -,- -
66,Other Total Stockholders Equity,22900000,30154000,66046000,278750000,370251000,440667000,457827000,512388000,541466000,548707000,582025000
67,Total Stockholders Equity,900000,-5095000,10700000,167369000,176500000,151067000,82756000,59945000,69049000,48055000,42222000
68,Total Liabilities And Stockholders Equity,3100000,2189000,14683000,174294000,185327000,205570000,93777000,69470000,82121000,67710000,67787000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3100000,2189000,14683000,174294000,185327000,205570000,93777000,69470000,82121000,67710000,67787000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1513818/000156459015001404/0001564590-15-001404-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459016014158/0001564590-16-014158-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459017003907/0001564590-17-003907-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459018007963/0001564590-18-007963-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459019013919/0001564590-19-013919-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459020013390/0001564590-20-013390-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459021013312/0001564590-21-013312-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000143774922007827/0001437749-22-007827-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-7170000,-13217000,-18497000,-57513000,-82177000,-95817000,-84979000,-76333000,-18218000,-30543000,-39151000
74,Depreciation and Amortization,20000,21000,17000,107000,194000,215000,311000,1060000,498000,1829000,974000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,141000,215000,4641000,10699000,10923000,13349000,16139000,3399000,1966000,2257000
77,Change in Working Capital,-1140000,-6045000,15028000,155756000,9745000,-24982000,-74687000,-20022000,7152000,-11017000,-7424000
78,Accounts Receivable,- -,491000,84000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,413000,-675000,944000,413000,-315000,142000,-1744000,652000,1422000,157000
81,Other Working Capital,1300000,-4745000,10283000,166039000,175784000,150802000,76115000,56093000,63245000,52228000,44804000
82,Other Non-Cash Items,-900000,7384000,-13853000,-142644000,-7525000,69030000,29717000,49899000,-9912000,25596000,11167000
83,Cash Provided by Operating Activities,-9190000,-11716000,-17090000,-39653000,-69064000,-40631000,-116289000,-29257000,-17081000,-12169000,-32177000
84,CAPEX,-40000,- -,-9000,-827000,-42000,-90000,-4303000,-2109000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,5277000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-80000,- -,- -,55000,- -,- -,-2383000,-2076000,- -,- -,- -
89,Cash Used for Investing Activites,-120000,- -,-9000,-772000,-42000,-90000,-6686000,3168000,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,5000,- -,132338000,80609000,59805000,2968000,52000,25250000,7583000,120000
92,Common Stock Repurchased,9610000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,11165000,29983000,65365000,- -,- -,- -,1896000,- -,- -,30941000
95,Cash Used/Provided by Financing Activities,9610000,11170000,29983000,197703000,80609000,59805000,2968000,1948000,25250000,7583000,31061000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,300000,-546000,12884000,157278000,11503000,19084000,-120007000,-24141000,8169000,-4586000,-1116000
98,Cash at the End of Period,300000,404000,13213000,170566000,182069000,201153000,81146000,59388000,67557000,62971000,61855000
99,Cash at the Beginning of Period,- -,950000,329000,13288000,170566000,182069000,201153000,83529000,59388000,67557000,62971000
100,Free Cash Flow,-9230000,-11716000,-17099000,-40480000,-69106000,-40721000,-120592000,-31366000,-17081000,-12169000,-32177000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1513818/000156459015001404/0001564590-15-001404-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459016014158/0001564590-16-014158-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459017003907/0001564590-17-003907-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459018007963/0001564590-18-007963-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459019013919/0001564590-19-013919-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459020013390/0001564590-20-013390-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000156459021013312/0001564590-21-013312-index.htm,https://www.sec.gov/Archives/edgar/data/1513818/000143774922007827/0001437749-22-007827-index.htm
102,false,,,,,,,,,,,
