,https://roic.ai/company/RUN,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,2655000,9218000,15823000,18723000,22042000,27856000,26306000,170587000,211000000
77,Change in Working Capital,58026000,84867000,18628000,17234000,-26890000,-8449000,114514000,32637000,-485081000
78,Accounts Receivable,-954000,-14483000,-15517000,674000,-17870000,-5707000,-14864000,4988000,-62124000
79,Inventory,- -,-3788000,-47344000,4042000,-27101000,14960000,-181104000,47554000,-223774000
80,Accounts Payable,1351000,11364000,50946000,-40336000,47837000,8848000,67356000,-45718000,66932000
81,Other Working Capital,3832000,88699000,107327000,124561000,97671000,89222000,203736000,236373000,78195000
82,Other Non-Cash Items,-65707000,-85961000,-177545000,-418322000,-349187000,-273854000,-550587000,-530171000,-861385000
83,Cash Provided by Operating Activities,23374000,-7928000,-105266000,-150580000,-61011000,-62461000,-204487000,-317972000,-817186000
84,CAPEX,-325754000,-427584000,-607914000,-740112000,-812327000,-811316000,-840533000,-969675000,-1686185000
85,Acquisitions Net,- -,-36000000,-20000000,-5000000,- -,- -,-3000000,537000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-65356000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-384000,425000,- -,- -,- -,278000,242000,- -
89,Cash Used for Investing Activites,-325754000,-463968000,-627489000,-745112000,-812327000,-811316000,-843255000,-497789000,-1686185000
90,Debt Repayment,-612000,-121235000,-453770000,-447235000,-539999000,-543619000,-884989000,-601562000,-1644133000
91,Common Stock Issued,- -,- -,222078000,- -,- -,- -,- -,75000000,- -
92,Common Stock Repurchased,- -,- -,- -,-437000,- -,- -,-5000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,312906000,645586000,1016157000,1345864000,1409498000,1480005000,1996561000,1687302000,4289727000
95,Cash Used/Provided by Financing Activities,312294000,524351000,784465000,898192000,869499000,936386000,1106572000,1160740000,2645594000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,9914000,52455000,51710000,2500000,-3839000,62609000,58830000,344979000,142223000
98,Cash at the End of Period,99699000,152154000,203864000,206364000,202525000,304399000,363229000,708208000,850431000
99,Cash at the Beginning of Period,89785000,99699000,152154000,203864000,206364000,241790000,304399000,363229000,708208000
100,Free Cash Flow,-302380000,-435512000,-713180000,-890692000,-873338000,-873777000,-1045020000,-1287647000,-2503371000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1469367/000156459016014482/0001564590-16-014482-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000156459017003704/0001564590-17-003704-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936718000031/0001469367-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936719000041/0001469367-19-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936720000061/0001469367-20-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936721000042/0001469367-21-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936722000033/0001469367-22-000033-index.htm
102,false,,,,,,,,,
