,https://roic.ai/company/ITCI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1567514/000119312515089426/0001193125-15-089426-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312516478475/0001193125-16-478475-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312517065749/0001193125-17-065749-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312518067144/0001193125-18-067144-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312519054119/0001193125-19-054119-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312520057888/0001193125-20-057888-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312521055751/0001193125-21-055751-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312522059849/0001193125-22-059849-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-16590827,-26868198,-30691460,-104793141,-116426268,-97773414,-155127411,-147722178,-227005663,-284125666
74,Depreciation and Amortization,- -,47747,23249,25481,139626,196872,213872,368673,477121,528118,533360
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,295106,391393,3843878,10890905,14701219,14641520,17396146,20788688,24115197,34303029
77,Change in Working Capital,- -,-2654963,31437548,89013760,356563411,-99324837,77337940,-135866226,-125039546,459951309,-240126907
78,Accounts Receivable,- -,48634,-35889,284715,20943,-63679,94339,- -,- -,-10764583,-9391411
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7056385,-891741
80,Accounts Payable,- -,-554256,3353459,-1342302,-419860,2121742,2418892,7787521,-6536036,-1923199,3189395
81,Other Working Capital,- -,-22100,31415448,120429208,476992619,377667782,455005722,319139496,194099950,654051259,413924352
82,Other Non-Cash Items,- -,- -,-27575257,-84998809,-365080766,109595787,-74911730,155059705,123512674,-487661806,229872699
83,Cash Provided by Operating Activities,- -,-18902937,-22591265,-22807150,-102279965,-91257227,-80491812,-118169113,-127983241,-230072845,-259543485
84,CAPEX,- -,-38957,-33255,-11762,-860595,-48964,-723429,-391268,-700395,-266724,-325738
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-12000000,- -,-103601836,-514308249,-395757168,-520926824,-271156707,-80720301,-755629547,-224574687
87,Sales/Maturities of Investments,- -,17700122,1500000,36879308,153389448,488068547,428932538,406189288,258857683,275601271,505244056
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,5661165,1466745,-66734290,-361779396,92262415,-92717715,134641313,177436987,-480295000,280343631
90,Debt Repayment,- -,- -,- -,- -,- -,-125000000,- -,- -,- -,- -,5631
91,Common Stock Issued,- -,- -,43841850,116191285,449996887,- -,162149996,- -,- -,652712011,- -
92,Common Stock Repurchased,- -,- -,-3754706,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,15194085,542772,-475725,-103267,125477734,207420,685188,3235601,11464918,11513280
95,Cash Used/Provided by Financing Activities,- -,15194085,40629916,115715560,449893620,477734,162357416,685188,3235601,664176929,11518911
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,1952313,19505396,26174120,-14165741,1482922,-10852111,17157388,52689347,-46190916,32319057
98,Cash at the End of Period,- -,15645528,35150924,61325044,47159303,48642225,37790114,54947502,107636849,61445933,93764990
99,Cash at the Beginning of Period,- -,13693215,15645528,35150924,61325044,47159303,48642225,37790114,54947502,107636849,61445933
100,Free Cash Flow,- -,-18941894,-22624520,-22818912,-103140560,-91306191,-81215241,-118560381,-128683636,-230339569,-259869223
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1567514/000119312515089426/0001193125-15-089426-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312516478475/0001193125-16-478475-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312517065749/0001193125-17-065749-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312518067144/0001193125-18-067144-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312519054119/0001193125-19-054119-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312520057888/0001193125-20-057888-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312521055751/0001193125-21-055751-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312522059849/0001193125-22-059849-index.htm
102,false,,,,,,,,,,,
