,https://roic.ai/company/ZYNE,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1621443/000155837016004082/0001558370-16-004082-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837017002155/0001558370-17-002155-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837018001906/0001558370-18-001906-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837019001742/0001558370-19-001742-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837020002280/0001558370-20-002280-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837021002669/0001558370-21-002669-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837022002451/0001558370-22-002451-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,154695,9330681,41513060,30965791,62510277,59763773,70063242,59157187,67808000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,154695,9330681,41513060,30965791,62510277,59763773,70063242,59157187,67808000
34,Net Receivables,34514,- -,356718,3613943,3983604,3444620,14613969,11431836,9580468
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,500065,2264148,1545917,1830958,1733701,3747087,2378812,2777151,2831392
37,Total Current Assets,689274,11594829,43415695,36410692,68227582,66955480,87056023,73366174,80219860
38,PP&E,47791,19642,227646,143382,164527,371963,708573,690602,951647
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1123775,2200,200,200,662200,- -,- -,- -,- -
45,Total Non-Current Assets,1171566,21842,227846,143582,826727,371963,708573,690602,951647
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1860840,11616671,43643541,36554274,69054309,67327443,87764596,74056776,81171507
48,Accounts Payable,308282,313937,823401,1848084,3355255,4461567,4740981,2522716,1798813
49,Short-Term Debt,125000,- -,- -,- -,- -,- -,243677,109689,209068
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1041321,1120125,841225,833975,171975,- -,- -,- -,- -
52,Other Current Liabilities,87822,1711473,2272991,4284907,3915491,5264215,7073506,11280843,7896598
53,Total Current Liabilities,1562425,3145535,3937617,6966966,7442721,9725782,12058164,13913248,9904479
54,Long-Term Debt,374996,- -,- -,- -,- -,- -,- -,- -,353694
55,Deferred Revenue,1120125,- -,- -,- -,662000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,16522811,- -,- -,- -,- -,109689,- -,- -
58,Total Non-Current Liabilities,1495121,16522811,- -,- -,662000,- -,109689,- -,353694
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,353366,109689,562762
61,Total Liabilities,3057546,19668346,3937617,6966966,8104721,9725782,12167853,13913248,10258173
62,Preferred Stock,3162373,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,49,2030,9200,9995,13554,17627,23211,29975,41218
64,Retained Earnings,-4359128,-10028705,-22580055,-45968562,-77980866,-117892041,-150835624,-202172455,-239481479
65,Other Comprehensive Income/Loss,-644307,-3603,-29630,-68877,-163088,-262660,-390433,- -,- -
66,Other Total Stockholders Equity,644307,1978603,62306409,75614752,139079988,175738735,226799589,262286008,310353595
67,Total Stockholders Equity,-1196706,-8051675,39705924,29587308,60949588,57601661,75596743,60143528,70913334
68,Total Liabilities And Stockholders Equity,1860840,11616671,43643541,36554274,69054309,67327443,87764596,74056776,81171507
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1860840,11616671,43643541,36554274,69054309,67327443,87764596,74056776,81171507
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1621443/000155837016004082/0001558370-16-004082-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837017002155/0001558370-17-002155-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837018001906/0001558370-18-001906-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837019001742/0001558370-19-001742-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837020002280/0001558370-20-002280-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837021002669/0001558370-21-002669-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837022002451/0001558370-22-002451-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-636790,-5669577,-12551350,-23388507,-32012304,-39911175,-32943583,-51336831,-37309024
74,Depreciation and Amortization,49392,27063,26027,75301,94211,99572,133879,207035,247140
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,1600625,3269366,5646852,6625743,5561895,5177527,5810580
77,Change in Working Capital,469690,9322445,31028784,-10034352,31341135,-3555163,17768161,-15544933,-2206172
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,5571383,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,86233,140105,536354,1044127,1492171,1103013,209613,-2145165,-723903
81,Other Working Capital,-873151,8449294,39478078,29443726,60784861,57229698,74997859,59452926,-7542
82,Other Non-Cash Items,- -,-7220586,-29890885,9640026,-30912345,4343672,-25338328,20183162,- -
83,Cash Provided by Operating Activities,-117708,-3540655,-9786799,-20438166,-25842451,-32397351,-34817976,-41314040,-33457476
84,CAPEX,-2703,-19717,-216335,-109628,-115356,-286658,-129390,-445314,-47570
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2703,-19717,-216335,-109628,-115356,-286658,-129390,-445314,-47570
90,Debt Repayment,- -,-499996,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,1409,42122004,10000525,57293041,29937505,45187070,31707228,43193660
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,109458,13234945,63509,- -,209252,- -,59765,-853929,-1037801
95,Cash Used/Provided by Financing Activities,109458,12736358,42185513,10000525,57502293,29937505,45246835,30853299,42155859
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-10953,9175986,32182379,-10547269,31544486,-2746504,10299469,-10906055,8650813
98,Cash at the End of Period,154695,9330681,41513060,30965791,62510277,59763773,70063242,59157187,67808000
99,Cash at the Beginning of Period,165648,154695,9330681,41513060,30965791,62510277,59763773,70063242,59157187
100,Free Cash Flow,-120411,-3560372,-10003134,-20547794,-25957807,-32684009,-34947366,-41759354,-33505046
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1621443/000155837016004082/0001558370-16-004082-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837017002155/0001558370-17-002155-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837018001906/0001558370-18-001906-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837019001742/0001558370-19-001742-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837020002280/0001558370-20-002280-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837021002669/0001558370-21-002669-index.htm,https://www.sec.gov/Archives/edgar/data/1621443/000155837022002451/0001558370-22-002451-index.htm
102,false,,,,,,,,,
