,https://roic.ai/company/NXGL,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,16000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,67000,59000,51000,- -,- -,- -
58,Total Non-Current Liabilities,83000,59000,51000,710000,854000,2010000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,917000,805000,1951000
61,Total Liabilities,467000,269000,458000,1510000,2186000,4898000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,794000,625000,281000,57000,99000,6000
64,Retained Earnings,- -,- -,- -,-238000,-2502000,-6812000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,561000,2474000,18891000
67,Total Stockholders Equity,794000,625000,281000,380000,71000,12085000
68,Total Liabilities And Stockholders Equity,1261000,894000,739000,1890000,2257000,16983000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1261000,894000,739000,1890000,2257000,16983000
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-1776000,-953000,-1888000,-1923000,-2264000,-4310000
74,Depreciation and Amortization,324000,316000,322000,67000,50000,113000
75,Deferred Income Tax,-63000,-16000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,4000,232000,285000
77,Change in Working Capital,195000,-123000,36000,39000,177000,-593000
78,Accounts Receivable,212000,-27000,66000,-68000,29000,-137000
79,Inventory,46000,60000,-3000,-12000,-99000,-58000
80,Accounts Payable,-35000,-84000,94000,203000,137000,-405000
81,Other Working Capital,- -,- -,- -,- -,38000,-38000
82,Other Non-Cash Items,3000,-1000,-14000,-1000,4000,1752000
83,Cash Provided by Operating Activities,-1317000,-777000,-1544000,-1814000,-1801000,-2753000
84,CAPEX,- -,-7000,- -,- -,-312000,-269000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-7000,- -,- -,-312000,-269000
90,Debt Repayment,- -,- -,- -,- -,- -,-115000
91,Common Stock Issued,- -,- -,- -,730000,1370000,13471000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1317000,784000,1544000,1345000,514000,2984000
95,Cash Used/Provided by Financing Activities,1317000,784000,1544000,2075000,1884000,16340000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1317000,784000,1544000,2075000,-229000,13318000
98,Cash at the End of Period,- -,- -,- -,261000,32000,13350000
99,Cash at the Beginning of Period,- -,- -,- -,- -,261000,32000
100,Free Cash Flow,-1317000,-784000,-1544000,-1814000,-2113000,-3022000
101,SEC Link,- -,- -,- -,- -,- -,- -
102,false,,,,,,
