,https://roic.ai/company/TFII,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,- -,- -,- -,- -,39111738,43691634,117487148,172735492,130031743,80114107,128970419,56290708,133499640,182517140,248433401,137344215,213300484,199223890,192108474,193816302,316089954,391664817,416567000,889185000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,0.1385,0.0752,0.1261,0.1323,0.0844,0.0409,0.0694,0.0319,0.0667,0.0693,0.0787,0.0470,0.0667,0.0686,0.0641,0.0514,0.0840,0.0988,0.1102,0.1231
19,Total Other Income Expenses (Gains),- -,-715308,-2657900,-3699010,-4864208,-9473225,-16798470,-4729443,-47071057,-34418805,-15851922,-31255175,-47477403,-25405405,4443289,-49237023,-38577445,-69837618,-56810468,-54554692,-40831783,-100499404,-35466179,-65561484,-53910000,-73018000
20,Income Before Tax,- -,- -,1538784,5137514,9998649,13623375,22313267,38962191,70416091,138316687,114179822,48858932,81493016,30885302,137942929,133280118,209855955,67506598,156490016,144669198,151276691,93316899,280623775,326103332,362657000,816167000
21,Income Before Tax Ratio,- -,- -,0.0155,0.0398,0.0532,0.0465,0.0790,0.0670,0.0756,0.1060,0.0742,0.0249,0.0438,0.0175,0.0689,0.0506,0.0665,0.0231,0.0489,0.0498,0.0505,0.0248,0.0746,0.0823,0.0959,0.1130
22,Income Tax expense (Gain),- -,- -,139889,616502,2905013,5567814,5423328,3432374,5785516,8953849,1195951,3610017,16022186,20447904,33367661,33162586,54878723,8942776,46297572,39651507,34426010,-32319682,66242300,77704456,86982000,151806000
23,Net Income,- -,-2360515,1398895,4521012,7093636,8055561,16889939,35529816,64630575,129362838,129556452,45248914,65470830,10437399,104575268,100117532,154977232,58563821,110192444,117776305,475841827,125636581,214381475,237533588,275675000,664361000
24,Net Income ratio,- -,-0.0283,0.0141,0.0350,0.0377,0.0275,0.0598,0.0611,0.0694,0.0991,0.0841,0.0231,0.0352,0.0059,0.0522,0.0380,0.0491,0.0201,0.0344,0.0406,0.1589,0.0333,0.0570,0.0599,0.0729,0.0920
25,EPS,- -,-0.18,0.06,0.14,0.23,0.21,0.30,0.56,1.05,1.77,1.53,0.53,0.76,0.11,1.10,1.05,1.64,0.63,1.11,1.17,5.08,1.39,2.44,2.85,3.09,7.46
26,EPS Diluted,- -,-0.18,0.06,0.12,0.19,0.20,0.30,0.56,0.96,1.72,1.53,0.53,0.76,0.11,1.09,1.04,1.56,0.62,1.09,1.15,4.98,1.35,2.36,2.78,3.03,7.30
27,Weighted Average Shares Outstanding,- -,13200000,22222222,31428571,30882353,37252000,55738865,63948896,51064452,71505340,84726039,85853200,86467788,90036501,95276515,95419861,94756603,92589293,99437384,100206062,93708666,90493739,87965628,83390145,89113000,89113000
28,Weighted Average Shares Outstanding Diluted,- -,13200000,25000000,36666667,37500000,37252000,56237211,63948896,66818388,75260039,84726039,85853200,86467788,90036501,95874510,105224670,107545716,94209498,101365898,101993889,95520493,92777883,90803989,85364183,90981848,90981848
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,769000,- -,- -,20113298,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2718548,- -,- -,- -,4297000,19292000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,769000,- -,- -,20113298,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2718548,- -,- -,- -,4297000,19292000
34,Net Receivables,- -,22600000,27700000,31900000,73400000,67797000,69630505,85157738,156575773,217628724,232226321,290948198,249235826,251141247,292545193,405927522,424278520,396795552,515373947,376775793,431925452,462789662,473368428,462789469,605479000,1062103000
35,Inventory,- -,700000,900000,1200000,1800000,1767000,1037280,1098113,2901492,6092647,8255834,10067656,9281841,8705950,9051552,8645446,6040228,6033228,8487673,5096960,6338814,7392445,9364698,10598115,8761000,24402000
36,Other Current Assets,- -,1600000,2300000,2900000,6200000,7314000,2839974,3789415,9577919,9691751,12867193,11988286,13106820,9053577,9168533,15214496,14921142,40759037,23961546,207888649,30754408,48634592,37846450,50184878,34235000,56461000
37,Total Current Assets,- -,24900000,30900000,36000000,81400000,77647000,73507759,90045266,189168483,233413122,253349348,313004140,271624486,268900774,310765278,429787463,445239890,443587817,547823166,589761402,471737222,518816700,520579576,523572462,652772000,1162258000
38,PP&E,- -,42300000,57800000,90000000,149300000,156032000,132607301,154580226,230999717,384174272,457321551,655708371,590561216,637298252,688065909,767472086,785102982,659691764,1020852644,707550678,1037922030,952376143,1025226317,1451249742,1411713000,2730407000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,77651395,96229225,134146719,275150995,403744320,358135579,400106007,432714766,561808031,569844094,575783503,941973192,826777594,1103084592,1106330815,1085415887,1177467905,1375610000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,4850517,21855519,45163006,69291124,105728841,140336167,172576388,276752204,300451333,223178715,434329721,299194345,377198125,350745924,310658356,319084875,374163000,- -
41,Intangible Assets,- -,8300000,9100000,- -,72600000,69622000,62628072,77651395,101079741,156002239,320314001,473035444,463864421,540442174,605291153,838560235,870295427,798962217,1376302913,1125971939,1480282717,1457076740,1396074242,1496552780,1749773000,1792921000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4762623,21285348,- -,- -,11817573,5017893,1099829,- -,9727000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,217873,- -,- -,6322542,4559883,8623649,46963846,70038201,5857063,9434868,8118975,2433389,4367452,5015529,6256975,4085885,4705476,8773837,11207000,29695000
44,Other Non-Current Assets,- -,1400000,2600000,13600000,2700000,4534000,1460322,3130085,785266,9523851,7453672,6299101,-40304848,-59649508,13366861,11951028,11589920,13051645,12758644,5868025,20989510,26943141,25787978,8605418,14172000,37842000
45,Total Non-Current Assets,- -,52000000,69500000,103600000,224600000,230188000,196913568,235361706,332864725,556022903,789649108,1143666566,1061084634,1188129119,1312580987,1627418217,1679869928,1495424364,2414281653,1844406171,2557268804,2445499801,2452893842,2965181777,3196592000,4590865000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,76900000,100400000,139600000,306000000,307835000,270421327,325406973,522033207,789436025,1042998456,1456670706,1332709121,1457029892,1623346265,2057205681,2125109818,1939012181,2962104819,2434167573,3029006026,2964316501,2973473418,3488754239,3849364000,5753123000
48,Accounts Payable,- -,25300000,25900000,29200000,59800000,63155000,53443096,63484658,121576522,165012915,152578929,206914066,179755957,179480470,196772516,186956905,200135702,206711309,282295023,228023550,220438955,243165805,247769873,237042112,327619000,861362000
49,Short-Term Debt,- -,16738197,9092817,12604035,27901635,18263003,27441863,37751490,23700235,125727570,48027625,44515803,67004930,392120141,37154055,35827620,47281445,28443701,273224161,449596812,30130199,49160239,98877411,119868787,131519000,478930000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,930003,192157,1494748,4088023,5777037,- -,- -,4116341,10318315,23062232,- -,1651362,9822078,42941001,11064016,13913790,4631508,33220000,16250000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,6661803,4307183,5795965,14398365,11045997,6143644,6054273,9933951,14662476,13906143,17759265,7600657,9096552,13647816,111735553,122477207,83867878,101846045,92238180,178815564,133717694,135166626,127917659,195322000,65828000
53,Total Current Liabilities,- -,48700000,39300000,47600000,102100000,92464000,87028603,107290422,155210708,305402962,214512697,269189135,254361545,580697164,247574388,334520078,369894354,319022888,657365229,769858542,429384718,426043738,481813910,484828558,654460000,1406120000
54,Long-Term Debt,- -,21100000,32700000,54200000,153600000,100113000,36517585,56625307,121980801,126189943,307673301,658018782,607219392,290484194,621581547,829885406,791719188,706919804,1139547405,728052375,1148959899,1149875944,1073458734,1572223966,829547000,1558370000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1200000,3800000,3900000,16565000,3879795,2438366,- -,- -,19000515,23969504,- -,- -,108138698,184286974,186419790,129644900,233460538,169218630,314963172,206912127,212873432,238945241,232712000,408622000
57,Other Non-Current Liabilities,- -,-100000,-100000,100000,-100000,38670000,- -,- -,3906367,16895127,3140014,5575078,52188168,76427275,34617461,37995103,45931466,40713018,44964078,26691120,50473923,56137575,47603944,40093549,342468000,159700000
58,Total Non-Current Liabilities,- -,21000000,33800000,58100000,157400000,155348000,40397380,59063674,125887168,143085070,329813830,687563365,659407560,366911470,764337706,1052167483,1024070444,877277722,1417972021,923962124,1514396994,1412925646,1333936110,1851262756,1404727000,2126692000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,118127347,251774336,- -,- -,- -,- -,- -,1528675412,2104334966,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10580702,6097091,44102648,27699270,16568708,11893439,6728192,75890130,355986000,429206000
61,Total Liabilities,- -,69700000,73100000,105700000,259500000,247812000,127425983,166354095,281097875,448488032,544326527,956752499,913769104,947608633,1011912094,1386687561,1393964798,1196300610,2075337250,1693820666,1943781713,1838969384,1815750020,2336091313,2059187000,3532812000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,19097609,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,128123723,- -,295735319,445610844,524491568,- -,- -,- -,- -,558988973,542833664,688368968,550802413,538196563,565436183,517249987,520744563,1120049000,1133181000
64,Retained Earnings,- -,-8600000,-6600000,100000,10600000,21581000,37776550,30929155,34500973,49907870,60609128,-15294355,-7850452,-33460032,31435970,95543585,160942071,152425406,161372603,143164540,493306302,544655268,577891823,597058801,805068000,1192645000
65,Other Comprehensive Income/Loss,- -,-44700000,-48000000,-62500000,-67700000,-90271000,- -,-196813000,-197751000,-271680000,-271969000,-288108000,-353114000,-413149000,-478704000,1516161,-6136727,23973252,24679117,33539191,38670486,-2235388,47568703,18735024,-154723000,-144665000
66,Other Total Stockholders Equity,- -,60500000,81900000,96300000,103600000,128713000,- -,196813000,- -,266984805,262703386,276241899,- -,- -,- -,- -,17350703,23479249,12346881,12840764,15050963,17491054,15012885,16124538,19783000,- -
67,Total Stockholders Equity,- -,7200000,27300000,33900000,46500000,60023000,142995344,159052878,240935332,340947994,496954358,497331112,418940016,509421259,611434171,670518119,731145020,742711572,886767569,740346907,1085224314,1125347117,1157723398,1152662926,1790177000,2220311000
68,Total Liabilities And Stockholders Equity,- -,76900000,100400000,139600000,306000000,307835000,270421327,325406973,522033207,789436025,1041280885,1454083611,1332709121,1457029892,1623346265,2057205681,2125109818,1939012181,2962104819,2434167573,3029006026,2964316501,2973473418,3488754239,3849364000,5753123000
69,Minority Interest,- -,- -,- -,- -,- -,- -,0,- -,- -,-0,1717570,2587095,- -,- -,-0,- -,0,-0,- -,0,- -,- -,- -,0,- -,- -
70,Total Liabilities & Equity,- -,76900000,100400000,139600000,306000000,307835000,270421327,325406973,522033207,789436025,1042998456,1456670706,1332709121,1457029892,1623346265,2057205681,2125109818,1939012181,2962104819,2434167573,3029006026,2964316501,2973473418,3488754239,3849364000,5753123000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-2360515,1398895,4521012,7093636,8055561,16889939,35529816,64630575,129362838,129556452,45248914,65470830,10437399,104575268,100117532,154977232,58563821,110192444,117776305,475841827,125636581,214381475,237533588,275675000,664361000
74,Depreciation and Amortization,- -,-4864092,-5735469,-9453026,-13781921,-19826470,-12780202,25875059,37129619,58998622,78894990,108722609,101073131,117087193,126638738,129865818,148398219,127629441,131690299,126992340,143654490,215313718,191326916,300314636,299229000,393032000
75,Deferred Income Tax,- -,-214592,- -,137000,135117,-2623134,-842909,-1421995,333572,1180472,-923130,-5304453,6981101,11800210,16830307,33162586,54878723,8942776,46297572,39651507,34426010,-32319682,66242300,77704456,86982000,151806000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2315629,2759060,4111255,3894738,3450890,3128220,4585968,5421074,4350859,6330238,7046000,15424000
77,Change in Working Capital,- -,1216023,-2098342,1233003,-1080935,7266017,342372,-3847251,8099722,-7847426,-7935827,11321822,-9153657,17736606,-19000960,-12932419,22428958,36986391,17697224,41490535,10906183,-9263618,9285405,15004555,33661000,41940000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29830370,11568986,-1926536,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,621978,-189264,318642,2321113,2200000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20735064,-27848111,11612813,-50390807,- -,- -
81,Other Working Capital,- -,1216023,-2098342,1233003,-1080935,7266017,342372,- -,- -,- -,-7935827,11321822,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,9656652,11400993,18495051,26685583,40044131,25162135,2779984,2252649,-39567763,-28929307,52482076,6188989,43307229,-31001040,-21656219,-73567343,-14574039,-46597350,-22829306,-419226992,-50174155,-86548020,-139964173,-91731000,-411212000
83,Cash Provided by Operating Activities,- -,3433476,4966077,14933041,19051480,32916105,28771335,58915613,112446138,142126744,170663178,212470968,170560394,200368637,200357943,231316357,311227044,221443129,262731079,306209600,250187486,254613917,399038935,496923301,610862000,855351000
84,CAPEX,- -,-8512160,-14758341,-27400075,-77692204,-8702557,-9484155,-11670535,-26145041,-53434648,-99059712,-136287994,-84269515,-57322128,-101915693,-101306562,-90918046,-73879805,-78054201,-113562107,-83533963,-207732008,-234004391,-268810430,-144375000,-275799000
85,Acquisitions Net,- -,- -,- -,- -,- -,-1041443,-30075398,-4151854,-75174273,-110110212,-195615992,-174590528,-77069844,-62974883,-66587346,-365815867,-80786667,-53839796,-718549179,-32257925,-593931255,- -,-114892477,-153414685,-325299000,-1008131000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10692450,- -,- -,-22104754,- -,-443456,-602479,-7446000,-35913000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9972472,6293439,- -,1857196,- -,40686000
88,Other Investing Activites,- -,1859800,1748619,3082508,6215376,5580832,2098697,7553383,16581263,68145342,74856726,26351611,19872638,20588291,63801792,59838394,21741403,55031603,101982151,73852229,617819359,112651292,79953452,108783789,96974000,109357000
89,Cash Used for Investing Activites,- -,-6652361,-13009722,-24317567,-71476827,-4163168,-37460856,-8269007,-84738050,-95399518,-219818977,-284526911,-141466721,-99708719,-104701248,-402285015,-145826925,-79977836,-693382492,-70732656,-70412916,-87130815,-266140981,-308492119,-378481000,-1162657000
90,Debt Repayment,- -,-5507868,-14548507,-10343528,-33644102,-29892015,-86401662,-14947138,-73056383,-84918202,-165398936,-64613753,-69137223,-112530799,-571761518,-21660137,-89289627,-94507734,-319310683,-127607030,-477521762,-97784493,-49323436,-269512429,-602240000,-166377000
91,Common Stock Issued,- -,- -,12659999,68500,67558,1639622,59312334,385573,- -,- -,123335621,- -,- -,45474167,469925,- -,- -,- -,- -,- -,- -,- -,- -,- -,425350000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-6928750,- -,-3327399,- -,- -,- -,- -,- -,- -,- -,-62181478,-18067752,-49456437,-87737895,-114667063,-68569384,-106964604,-197648266,-38021000,-198153000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-50744542,-49137372,-67632168,-109214139,-130635161,-60341824,-34510553,-38100904,-40177277,-46833127,-45178771,-48723360,-49402244,-47664608,-54883499,-54401151,-61781255,-67604000,-85386000
94,Other Financing Activites,- -,6151645,18605302,19454053,86001892,-0,42707599,18506751,117926365,85004305,225734386,267304857,100385374,907268,513735802,232806072,32904114,16288964,848141895,29270226,462797411,50848509,77791238,340510767,54431000,772217000
95,Cash Used/Provided by Financing Activities,- -,643777,16716794,9179025,52425348,-28252394,8689521,-46799355,-7594789,-67546065,74456932,72055943,-29093673,-100659918,-95656695,170968658,-165400119,-141465293,430651414,-235476944,-177056023,-170388867,-132897954,-188431182,-228084000,322301000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-2575107,8603203,-137000,52425348,-28252394,8689521,-46799355,-7594789,-67546065,74456932,72055943,-29093673,-100659918,-95656695,170968658,-165400119,-141465293,430651414,-235476944,-177056023,-170388867,-132897954,-188431182,-228084000,14995000
98,Cash at the End of Period,- -,-10157368,-1328950,-1438504,- -,500544,- -,- -,20113298,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2718548,- -,- -,- -,4297000,19292000
99,Cash at the Beginning of Period,- -,-7582260,-9932154,-1301504,- -,- -,- -,- -,- -,20818839,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2905765,- -,- -,- -,4297000
100,Free Cash Flow,- -,-5078684,-9792264,-12467034,-58640724,24213548,19287180,47245078,86301096,88692096,71603466,76182975,86290879,143046509,98442249,130009794,220308998,147563324,184676877,192647493,166653523,46881909,165034544,228112871,466487000,579552000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
