,https://roic.ai/company/FVRR,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,27866000,55955000,24171000,268030000,71151000
32,Short-Term Investments,30000000,- -,103559000,219372000,252150000
33,Cash and Short-Term Investments,57866000,55955000,127730000,487402000,323301000
34,Net Receivables,578000,776000,3117000,5418000,14250000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,298000,40063000,56269000,98330000,130667000
37,Total Current Assets,58742000,96794000,187116000,591150000,468218000
38,PP&E,5270000,5143000,5321000,21876000,18282000
39,Goodwill,- -,1381000,11240000,11240000,77270000
40,Intangible Assets,1716000,4065000,7188000,5884000,49221000
41,Intangible Assets,1716000,5446000,18428000,17124000,126491000
42,Investments,- -,- -,21805000,228048000,317524000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4044000,3647000,3690000,3004000,1055000
45,Total Non-Current Assets,11030000,14236000,49244000,270052000,463352000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,69772000,111030000,236360000,861202000,931570000
48,Accounts Payable,2609000,3364000,3749000,3622000,8699000
49,Short-Term Debt,471000,445000,503000,3867000,5324000
50,Tax Payable,- -,- -,- -,11335000,2348000
51,Deferred Revenue,- -,- -,3248000,5957000,12145000
52,Other Current Liabilities,39782000,49967000,74439000,132423000,162876000
53,Total Current Liabilities,42862000,53776000,81939000,145869000,189044000
54,Long-Term Debt,3455000,2792000,2535000,368042000,382559000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,124000,124000,184000,- -,- -
57,Other Non-Current Liabilities,232000,364000,2893000,1888000,13099000
58,Total Non-Current Liabilities,3811000,3280000,5612000,369930000,395658000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,17168000,13538000
61,Total Liabilities,46673000,57056000,87551000,515799000,584702000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,306334000,- -,- -
64,Retained Earnings,-87531000,-123592000,-157763000,-172573000,-237585000
65,Other Comprehensive Income/Loss,- -,-598000,238000,532000,-1095000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -
67,Total Stockholders Equity,23099000,53974000,148809000,345403000,346868000
68,Total Liabilities And Stockholders Equity,69772000,111030000,236360000,861202000,931570000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,69772000,111030000,236360000,861202000,931570000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-19324000,-36061000,-33539000,-14810000,-65012000
74,Depreciation and Amortization,1090000,2250000,3571000,4338000,6876000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,1403000,11648000,8899000,15815000,55407000
77,Change in Working Capital,11793000,-29462000,8048000,9701000,13112000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-145000,808000,240000,-127000,18116000
81,Other Working Capital,356000,130000,3248000,3748000,4376000
82,Other Non-Cash Items,-225000,-51000,-923000,2091000,27654000
83,Cash Provided by Operating Activities,-5263000,-51676000,-13944000,17135000,38037000
84,CAPEX,-3397000,-1597000,-1755000,-4035000,-2578000
85,Acquisitions Net,- -,-2676000,-9967000,- -,-97084000
86,Purchases of Investments,- -,- -,-229306000,-431176000,-282450000
87,Sales/Maturities of Investments,10000000,30000000,104990000,183190000,193757000
88,Other Investing Activites,-2719000,-490000,-779000,-76277000,-42009000
89,Cash Used for Investing Activites,5083000,26067000,-136078000,-326357000,-229470000
90,Debt Repayment,-438000,-421000,-470000,-524000,-599000
91,Common Stock Issued,- -,53069000,117690000,129853000,- -
92,Common Stock Repurchased,- -,- -,- -,-43240000,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,1691000,1240000,773000,465724000,-1798000
95,Cash Used/Provided by Financing Activities,1253000,53888000,117993000,551813000,-2397000
96,Effect of Forex Changes on Cash,627000,-190000,245000,1268000,-130000
97,Net Change In Cash,1700000,28089000,-31784000,243859000,-193960000
98,Cash at the End of Period,27866000,55955000,24171000,268030000,74070000
99,Cash at the Beginning of Period,26166000,27866000,55955000,24171000,268030000
100,Free Cash Flow,-8660000,-53273000,-15699000,13100000,35459000
101,SEC Link,- -,- -,- -,- -,- -
102,false,,,,,
