,https://roic.ai/company/SAVE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,1319000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375472000
44,Other Non-Current Assets,113191000,145666000,203890000,279895000,344124000,496077000,646465000,659988000,710860000,625222000,703979000,758112000,437192000,3986614000
45,Total Non-Current Assets,134031000,164075000,224538000,303105000,372527000,531690000,871840000,1504205000,2176082000,2863690000,3819991000,5657969000,6042845000,6697534000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,240009000,327866000,475757000,745813000,919884000,1180765000,1602981000,2530545000,3151927000,4143950000,5165457000,7043412000,8398825000,8540025000
48,Accounts Payable,21078000,15265000,13360000,15928000,24166000,23104000,13402000,17043000,15193000,22822000,39320000,43601000,28454000,44952000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,10431000,49637000,84354000,115430000,163557000,258852000,585362000,367579000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36884000,37890000
51,Deferred Revenue,- -,- -,- -,- -,131414000,167627000,188870000,216831000,206392000,246404000,291981000,315408000,401966000,- -
52,Other Current Liabilities,157191000,148628000,201069000,211136000,121314000,145262000,152921000,182729000,226011000,262370000,339677000,494183000,326240000,863071000
53,Total Current Liabilities,178269000,163893000,214429000,227064000,276894000,335993000,365624000,466240000,531950000,647026000,834535000,1112044000,1342022000,1275602000
54,Long-Term Debt,209381000,238992000,11966000,- -,- -,- -,135817000,596693000,897359000,1387498000,2024774000,1960453000,4315154000,2975823000
55,Deferred Revenue,- -,- -,- -,- -,27239000,26739000,22455000,20821000,19868000,19205000,22503000,22277000,52060000,375472000
56,Deferred Tax Liabilities,- -,- -,- -,- -,33216000,48916000,76010000,221481000,308143000,313140000,355141000,469292000,439894000,375472000
57,Other Non-Current Liabilities,114249000,103108000,354439000,52043000,- -,- -,- -,- -,- -,- -,- -,1218014000,- -,1423621000
58,Total Non-Current Liabilities,323630000,342100000,366405000,52043000,60455000,75655000,234282000,838995000,1225370000,1719843000,2402418000,3670036000,4807108000,5150388000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,8020000,7993000,10089000,24014000,10378000,16992000,15149000,1359332000,1449684000,- -
61,Total Liabilities,501899000,505993000,580834000,279107000,337349000,411648000,599906000,1305235000,1757320000,2366869000,3236953000,4782080000,6149130000,6425990000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3000,3000,3000,7000,7000,7000,7000,7000,7000,7000,7000,7000,10000,11000
64,Retained Earnings,-261930000,-178237000,-105756000,-29308000,79152000,256070000,481534000,798754000,1063633000,1484239000,1625481000,1955187000,1524878000,1058369000
65,Other Comprehensive Income/Loss,-16739000,-20379000,-24013000,-27580000,-17825000,-25221000,-1000000,-2000000,-1000000,-1000000,-1000000,-1000000,-618000,-532000
66,Other Total Stockholders Equity,16776000,20486000,24689000,523587000,521201000,538261000,522534000,428549000,331967000,293835000,304016000,307138000,725425000,1056187000
67,Total Stockholders Equity,-261890000,-178127000,-105077000,466706000,582535000,769117000,1003075000,1225310000,1394607000,1777081000,1928504000,2261332000,2249695000,2114035000
68,Total Liabilities And Stockholders Equity,240009000,327866000,475757000,745813000,919884000,1180765000,1602981000,2530545000,3151927000,4143950000,5165457000,7043412000,8398825000,8540025000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,240009000,327866000,475757000,745813000,919884000,1180765000,1602981000,2530545000,3151927000,4143950000,5165457000,7043412000,8398825000,8540025000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1498710/000149871012000008/0001498710-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871013000034/0001498710-13-000034-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871014000019/save-20131231x10kxmaster.htm,https://www.sec.gov/Archives/edgar/data/1498710/000149871015000015/save-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1498710/000149871016000205/0001498710-16-000205-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871017000044/0001498710-17-000044-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871018000079/0001498710-18-000079-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871019000015/0001498710-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871020000083/0001498710-20-000083-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871021000020/0001498710-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1498710/000149871022000088/0001498710-22-000088-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,33259000,83693000,72481000,76448000,108460000,176918000,225464000,317220000,264879000,420606000,155749000,335255000,-428700000,-472569000
74,Depreciation and Amortization,4236000,5679000,5620000,7760000,15256000,31947000,46971000,73908000,101136000,140152000,176727000,225264000,278588000,- -
75,Deferred Income Tax,- -,- -,-52811000,44180000,29255000,12047000,34118000,155614000,86146000,-1610000,46303000,115689000,-46086000,- -
76,Stock Based Compensation,6000,113000,569000,530000,4327000,5689000,8797000,9222000,7105000,8522000,11021000,8154000,11575000,- -
77,Change in Working Capital,-100447000,72189000,36892000,178854000,54819000,42619000,52435000,194583000,-116205000,189339000,-122303000,-237532000,740559000,-447069000
78,Accounts Receivable,6442000,-2450000,-1014000,-5728000,-7393000,-461000,606000,-5592000,-12951000,-8134000,1674000,-26147000,30486000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-5709000,-6566000,-2007000,2457000,8452000,-1674000,-10034000,2706000,-6823000,6030000,15317000,569000,-17052000,- -
81,Other Working Capital,-72291000,-102000,36790000,215644000,270463000,313082000,365517000,560100000,443895000,633234000,510931000,273399000,1013958000,566889000
82,Other Non-Cash Items,11033000,-87349000,-35718000,-136574000,-98486000,-73844000,-107273000,-277562000,130617000,-331769000,238966000,-37609000,-781210000,919638000
83,Cash Provided by Operating Activities,-51913000,74325000,27033000,171198000,113631000,195376000,260512000,472985000,473678000,425240000,506463000,409221000,-225274000,- -
84,CAPEX,-13953000,-20036000,-5325000,-14093000,-36397000,-90100000,-302371000,-691123000,-715069000,-778358000,-784395000,-192437000,-548828000,538000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-103258000,-107246000,-124430000,-122410000,-118893000,-105361000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,2842000,105906000,122947000,120830000,117665000,-861000
88,Other Investing Activites,9730000,-2929000,-30466000,-53124000,9074000,- -,- -,-10159000,-10784000,-12305000,2170000,-120812000,-16177000,-32456000
89,Cash Used for Investing Activites,9730000,-2929000,-30466000,-67217000,-27323000,-90100000,-302371000,-701282000,-826269000,-792003000,-783708000,-314829000,-554000000,-352445000
90,Debt Repayment,-890000,-3435000,- -,-18221000,- -,- -,-1233000,-26364000,-64421000,-102738000,-342995000,-343330000,-279705000,-956788000
91,Common Stock Issued,- -,- -,- -,170828000,- -,- -,- -,- -,- -,- -,- -,- -,366783000,375662000
92,Common Stock Repurchased,-1000,-43000,- -,-886000,-1022000,-1140000,-1630000,-112261000,-102510000,-46580000,-1162000,-5439000,-1669000,-1515000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4700000,2000000,- -,4912000,-11798000,9679000,146875000,537770000,416790000,616030000,825286000,228601000,1576032000,293981000
95,Cash Used/Provided by Financing Activities,3809000,-1478000,- -,156633000,-12820000,8539000,144012000,399145000,249859000,466712000,481129000,-120168000,1661441000,-288660000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-38374000,69918000,-3433000,260614000,73488000,113815000,102153000,170848000,-102732000,99949000,203884000,-25776000,882167000,-432217000
98,Cash at the End of Period,16229000,86147000,82714000,343328000,416816000,530631000,632784000,803632000,700900000,800849000,1004733000,978957000,1861124000,1428907000
99,Cash at the Beginning of Period,54603000,16229000,86147000,82714000,343328000,416816000,530631000,632784000,803632000,700900000,800849000,1004733000,978957000,1861124000
100,Free Cash Flow,-65866000,54289000,21708000,157105000,77234000,105276000,-41859000,-218138000,-241391000,-353118000,-277932000,216784000,-774102000,538000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1498710/000149871012000008/0001498710-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871013000034/0001498710-13-000034-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871014000019/save-20131231x10kxmaster.htm,https://www.sec.gov/Archives/edgar/data/1498710/000149871015000015/save-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1498710/000149871016000205/0001498710-16-000205-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871017000044/0001498710-17-000044-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871018000079/0001498710-18-000079-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871019000015/0001498710-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871020000083/0001498710-20-000083-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871021000020/0001498710-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1498710/000149871022000088/0001498710-22-000088-index.htm
102,false,,,,,,,,,,,,,,
