,https://roic.ai/company/GPC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,82400000,44300000,67400000,72800000,85000000,45700000,27738000,85770000,19995000,15393000,134940000,188911000,135973000,231837000,67777000,336803000,529968000,525054000,403095000,196893000,137730000,211631000,242879000,314899000,333547000,276992000,990166000,714701000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,82400000,44300000,67400000,72800000,85000000,45700000,27738000,85770000,19995000,15393000,134940000,188911000,135973000,231837000,67777000,336803000,529968000,525054000,403095000,196893000,137730000,211631000,242879000,314899000,333547000,276992000,990166000,714701000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,487400000,565300000,622800000,686600000,907600000,1006700000,1031662000,1010728000,1039843000,1084874000,1123900000,1186865000,1227805000,1216220000,1224525000,1187075000,1364406000,1461011000,1490028000,1664819000,1872365000,1822419000,1938562000,2421563000,2493636000,2635155000,1556966000,1797955000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1004600000,1127500000,1233800000,1321600000,1660200000,1771800000,1864334000,1890037000,2144787000,2140811000,2198957000,2216542000,2236368000,2335716000,2316880000,2214076000,2224717000,2261997000,2602560000,2946021000,3043848000,2999966000,3210320000,3771089000,3609389000,3831183000,3506271000,3889919000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,21400000,26900000,13600000,12600000,30600000,71000000,95747000,159677000,131150000,176548000,175687000,214564000,234981000,269239000,262238000,294874000,295796000,328534000,324448000,413758000,538582000,521300000,556670000,805342000,1139118000,1195286000,1060360000,1353847000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1595800000,1764000000,1937600000,2093600000,2683400000,2895200000,3019481000,3146212000,3335775000,3417626000,3633484000,3806882000,3835127000,4053012000,3871420000,4032828000,4414887000,4576596000,4820131000,5221491000,5592525000,5555316000,5948431000,7312893000,7575690000,7938616000,7113763000,7756422000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,258000000,303200000,346000000,372500000,404000000,413500000,395260000,345132000,333051000,342992000,379388000,392295000,429260000,425989000,423265000,485024000,484130000,500204000,566365000,670061000,670102000,648217000,728124000,936702000,1027231000,2290752000,2200920000,2288088000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57427000,82453000,158825000,132892000,150282000,177620000,298040000,789971000,839075000,840582000,956153000,2153988000,2128776000,2293519000,1917477000,1915307000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,344700000,440300000,451435000,442078000,58705000,58028000,57672000,62717000,4827000,- -,- -,38640000,59266000,102155000,199799000,499385000,547515000,521213000,618510000,1400392000,1411642000,1568926000,1498257000,1406401000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,344700000,440300000,451435000,442078000,58705000,58028000,57672000,62717000,62254000,82453000,158825000,171532000,209548000,279775000,497839000,1289356000,1386590000,1361795000,1574663000,3554380000,3540418000,3862445000,3415734000,3321708000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206487000,28760000,29139000,28351000,28793000,117973000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38839000,35778000,218503000,167722000,157392000,250906000,279463000,97555000,145331000,118525000,132652000,40158000,29509000,54851000,65658000,829000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,175700000,206900000,238000000,288300000,168300000,180700000,275938000,273224000,292312000,297851000,384703000,509644000,131504000,176837000,114337000,147583000,199087000,272110000,436776000,373074000,422551000,432567000,446737000,450275000,510192000,498965000,644140000,985055000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,433700000,510100000,584000000,660800000,917000000,1034500000,1122633000,1060434000,684068000,698871000,821763000,964656000,661857000,721057000,914930000,971861000,1050157000,1302995000,1986930000,2458806000,2653713000,2589455000,2910969000,5099488000,5107350000,6707013000,6326452000,6595680000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2029500000,2274100000,2521600000,2754400000,3600400000,3929700000,4142114000,4206646000,4019843000,4116497000,4455247000,4771538000,4496984000,4774069000,4786350000,5004689000,5465044000,5879591000,6807061000,7680297000,8246238000,8144771000,8859400000,12412381000,12683040000,14645629000,13440215000,14352102000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,316600000,331700000,401800000,405100000,509500000,581000000,635499000,644084000,735183000,706609000,856653000,973615000,910263000,989816000,1009423000,1094347000,1374930000,1440762000,1681900000,2269671000,2554759000,2821526000,3081111000,3634859000,3995789000,4106163000,4128084000,4804939000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,45600000,47000000,36000000,156300000,133100000,151452000,57190000,116905000,52525000,968000,881000,- -,250000000,- -,- -,250000000,- -,250000000,264658000,265466000,375000000,325000000,694989000,711147000,624043000,160531000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42988000,23145000,35267000,4354000,9237000,- -,- -,- -,10736000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,104900000,98200000,119600000,115800000,152600000,201900000,201362000,217907000,217630000,257797000,275094000,274608000,288505000,308160000,277680000,313937000,346884000,371311000,555738000,648715000,763890000,744128000,838039000,1144177000,1193797000,1663914000,1605469000,1776644000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,422400000,475500000,568400000,556900000,818400000,916000000,988313000,919181000,1069718000,1016931000,1132715000,1249104000,1198768000,1547976000,1287103000,1408284000,1971814000,1812073000,2487638000,3183044000,3584115000,3940654000,4244150000,5474025000,5900733000,6394120000,5894084000,6581583000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,60600000,110200000,209500000,588600000,702400000,770581000,835580000,674796000,625108000,500000000,500000000,500000000,250000000,500000000,500000000,250000000,500000000,250000000,500000000,500000000,250000000,550000000,2550020000,2432133000,2802056000,3305908000,3198538000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161936000,65826000,81496000,85552000,79528000,65758000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,44500000,58700000,75400000,89000000,95000000,87500000,77814000,60985000,97912000,114533000,115683000,156807000,- -,- -,- -,- -,- -,- -,- -,83316000,72479000,50684000,48326000,193308000,196843000,232902000,212910000,280778000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,-100000,100000,100000,- -,- -,- -,- -,- -,110078000,114623000,187509000,193147000,605869000,467033000,440516000,774699000,899308000,489343000,695784000,658639000,730040000,665114000,681340000,1521051000,809310000,787913000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000000,119300000,185500000,298600000,683700000,789900000,848395000,896565000,772708000,739641000,725761000,771430000,687509000,443147000,1105869000,967033000,690516000,1274699000,1311244000,1138485000,1349759000,1044875000,1407894000,3474200000,3310316000,4556009000,4328128000,4267229000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12248000,13707000,- -,- -,- -,- -,33748000,27815000,40040000,37642000,39221000,55693000,- -,825567000,789294000,789175000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,478400000,594800000,753900000,855500000,1502100000,1705900000,1836708000,1815746000,1842426000,1756572000,1858476000,2020534000,1886277000,1991123000,2392972000,2375317000,2662330000,3086772000,3798882000,4321529000,4933874000,4985529000,5652044000,8948225000,9211049000,10950129000,10222212000,10848812000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177300000,172390000,173474000,174381000,174045000,174965000,173033000,170531000,166065000,159443000,158918000,157636000,155651000,154841000,153773000,153113000,150081000,148410000,146653000,145937000,145378000,144354000,142181000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1403500000,1529000000,1552000000,1680500000,1856900000,2007100000,2101457000,2201663000,1971779000,2100550000,2286363000,2475389000,2621994000,2674366000,2643451000,2772309000,2934535000,3109622000,3344538000,3578021000,3841932000,3885751000,4001734000,4049965000,4341212000,4571860000,3979779000,4086325000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-192100000,-144800000,-234800000,-258600000,-355600000,-403000000,-436942000,-443847000,-60522000,4835000,26478000,45535000,-242534000,-123715000,-478562000,-309897000,-298352000,-482038000,-501492000,-397655000,-720211000,-930618000,-1013021000,-852592000,-1115078000,-1141308000,-1036502000,-857739000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,339700000,295100000,450500000,477000000,597000000,442400000,468501000,459610000,44371000,32853000,56571000,- -,- -,- -,- -,- -,- -,- -,- -,14935000,26414000,41353000,56605000,68126000,78380000,98777000,117165000,119975000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1551100000,1679300000,1767700000,1898900000,2098300000,2223800000,2305406000,2390900000,2130009000,2312283000,2544377000,2693957000,2549991000,2716716000,2324332000,2621330000,2793819000,2783235000,2997887000,3349074000,3301248000,3146567000,3193728000,3412152000,3450451000,3674707000,3204796000,3490742000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2029500000,2274100000,2521600000,2754400000,3600400000,3929700000,4142114000,4206646000,3972435000,4068855000,4402853000,4714491000,4436268000,4707839000,4717304000,4996647000,5456149000,5870007000,6796769000,7670603000,8235122000,8132096000,8845772000,12360377000,12661500000,14624836000,13427008000,14339554000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47408000,47642000,52394000,57047000,60716000,66230000,69046000,8042000,8895000,9584000,10292000,9694000,11116000,12675000,13628000,52004000,21540000,20793000,13207000,12548000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2029500000,2274100000,2521600000,2754400000,3600400000,3929700000,4142114000,4206646000,4019843000,4116497000,4455247000,4771538000,4496984000,4774069000,4786350000,5004689000,5465044000,5879591000,6807061000,7680297000,8246238000,8144771000,8859400000,12412381000,12683040000,14645629000,13440215000,14352102000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/40987/000095014495000710/0000950144-95-000710-index.html,https://www.sec.gov/Archives/edgar/data/40987/000095014496001008/0000950144-96-001008-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40987/000095014401003447/0000950144-01-003447-index.html,https://www.sec.gov/Archives/edgar/data/40987/000095014402002108/0000950144-02-002108-index.html,https://www.sec.gov/Archives/edgar/data/40987/000095014403003508/0000950144-03-003508-index.htm,- -,https://www.sec.gov/Archives/edgar/data/40987/000095014405002175/0000950144-05-002175-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095014406001772/0000950144-06-001772-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095014407001699/0000950144-07-001699-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095014408001503/0000950144-08-001503-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095014409001684/0000950144-09-001684-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095012310017728/0000950123-10-017728-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095012311018264/0000950123-11-018264-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312512079802/0001193125-12-079802-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312513076665/0001193125-13-076665-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312514071170/0001193125-14-071170-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312515064165/0001193125-15-064165-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312516479829/0001193125-16-479829-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098717000007/0000040987-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098718000002/0000040987-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098719000015/0000040987-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098720000010/0000040987-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098721000009/0000040987-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098722000013/0000040987-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,199500000,206600000,207700000,219800000,257800000,288500000,309200000,330100000,342400000,355800000,377600000,385323000,297147000,-27590000,334101000,395552000,437434000,475405000,506339000,475417000,399575000,475511000,565116000,648041000,684959000,711286000,705672000,687240000,616757000,810474000,621085000,-29102000,898790000
74,Depreciation and Amortization,- -,- -,- -,- -,24600000,28800000,29800000,31100000,34400000,37400000,43200000,50400000,58900000,69300000,90000000,92303000,85793000,70151000,69013000,62207000,65529000,73423000,87702000,88698000,90411000,89332000,88936000,98383000,133957000,148313000,141675000,147487000,167691000,241635000,270288000,272842000,290971000
75,Deferred Income Tax,- -,- -,- -,- -,-1000000,8900000,4300000,3800000,6000000,6700000,12300000,13900000,13800000,10400000,12300000,-6714000,-21704000,43995000,27354000,19670000,43935000,-5481000,-8066000,-40023000,27899000,11994000,-2337000,14751000,-21622000,54319000,35544000,33226000,65990000,3891000,-70932000,-27722000,31676000
