,https://roic.ai/company/CCEL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/862692/000102140803009217/0001021408-03-009217-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312504032394/0001193125-04-032394-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312505037484/0001193125-05-037484-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312506041449/0001193125-06-041449-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312507042798/0001193125-07-042798-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312508025633/0001193125-08-025633-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312509042762/0001193125-09-042762-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312510044939/0001193125-10-044939-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312511049956/0001193125-11-049956-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312512085810/0001193125-12-085810-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312513084813/0001193125-13-084813-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312514077783/0001193125-14-077783-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312515073665/0001193125-15-073665-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312516485790/0001193125-16-485790-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312517062739/0001193125-17-062739-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312518064199/0001193125-18-064199-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312519057945/0001193125-19-057945-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312520056695/0001193125-20-056695-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000156459021009945/0001564590-21-009945-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000095017022001637/0000950170-22-001637-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1100000,800000,500000,1600000,2695794,5540751,1935532,2452006,4737368,7979377,7414140,3364711,3566366,6850765,8369537,6305095,2677382,3925156,3279267,4152162,3499881,6279154,6040033,6541037,10361125,8263088
32,Short-Term Investments,- -,- -,- -,100000,429428,260996,3127843,798077,782419,484491,989581,1002810,1125000,960000,1132000,1002000,- -,- -,102674,610424,624223,439322,875689,904053,88476,75412
33,Cash and Short-Term Investments,1100000,800000,500000,1700000,3125222,5801747,5063375,3250083,5519787,8463868,8403721,4367521,4691366,7810765,9501537,7307095,2677382,3925156,3381941,4762586,4124104,6718476,6915722,7445090,10449601,8338500
34,Net Receivables,700000,100000,200000,600000,580751,1885308,924732,778948,1276310,1043748,1213569,2431554,1906715,2246181,2356279,3059126,3401597,3887242,4071997,3058379,4052728,5125591,5867335,6097331,6322960,5253173
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,475608,361142,314566,16035873,1084533,927318,921213
36,Other Current Assets,- -,300000,300000,100000,174817,275087,175564,366579,627629,938852,894971,788112,742041,897215,1020751,3687203,3236023,1613099,1038021,2056555,473949,578288,716280,760657,856323,1269621
37,Total Current Assets,1800000,1200000,1000000,2400000,3880790,7962142,6163671,4395610,7423726,10446468,10512261,7587187,7340122,10954161,12878567,14053424,9315002,9425497,8491959,10353128,9011923,12736921,29535210,15387611,18556202,15782507
38,PP&E,2000000,2500000,2400000,2700000,3018708,3184883,2632831,1354619,2822616,2923959,3188662,3115581,2570597,2369888,2222168,1540239,1281075,1207279,953415,879070,979463,882382,1493401,1846467,1939863,4146697
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1777822,- -,- -,1941411,1941411,1941411,1941411
40,Intangible Assets,100000,100000,100000,100000,108675,119662,102345,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28358,516328,261000,226418,1341336,1249254,1531588,16211495
41,Intangible Assets,100000,100000,100000,100000,108675,119662,102345,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28358,2294150,261000,226418,3282747,3190665,3472999,18152906
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,690404,690404,690404,690404,697660,721910,684000,- -,- -,- -,308000,308000,308000,308000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1615000,1509000,- -,- -,- -,5930987,9260582,10035388,7656897,9079994,10363967,12010133
44,Other Non-Current Assets,300000,200000,600000,300000,1229195,6127659,4964244,1466959,1394371,-136917,-60540,-69059,371533,593675,756280,1673677,1036922,146116,51854,40611,25500,28888,113888,13073423,11559063,10261833
45,Total Non-Current Assets,2400000,2800000,3100000,3100000,4356578,9432204,7699420,2821578,4216987,3787042,4128122,4046522,3632534,3653967,5283852,5413320,3015657,2075305,1717627,9144818,10526545,11173076,12854933,27498549,27643892,44879569
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4200000,4000000,4100000,5500000,8237368,17394346,13863091,7217188,11640713,14233510,14640383,11633709,10972656,14608128,18162419,19466744,12330659,11500802,10209586,19497946,19538468,23909997,42390143,42886160,46200094,60662076
48,Accounts Payable,100000,300000,300000,- -,92911,114942,391269,340731,482703,478575,1207167,1891601,835670,750127,1053186,1005240,1209973,1194825,992910,1328619,1485430,1928542,1261653,1369111,957390,1489774
49,Short-Term Debt,- -,500000,1100000,200000,3122,1510,1406,145000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307420,2000000,2000000,3100000,3100000,3375570,2210132
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,443701,356483,323792,176046,959904,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,2108292,2771490,3277622,3592485,4064035,4609291,5449483,5598088,6269148,6536160,6814797,6662552,6782562,7071924,7428829,8365284,8875138,9183450,9358696
52,Other Current Liabilities,400000,100000,300000,- -,182782,715380,1128974,1637540,1337024,1171845,1706199,1331170,1226045,2130760,1621221,3289058,2917758,1800811,1471699,2005351,2554330,2582475,2702788,2085180,2898211,8014977
53,Total Current Liabilities,500000,900000,1700000,200000,278815,831832,1521649,4231563,4591217,4928042,6505851,7286806,6671006,8330370,8272495,10563446,10663891,9810433,9127161,10423952,13111684,13939846,15429725,15429429,16414621,21073579
54,Long-Term Debt,- -,- -,- -,- -,14530,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,- -,- -,868947,7819750,5295183,9843510,5856152,2864846,610989
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7126257,7407287,7507437,8513686,8364533,8658354,9509088,10869218,12596292,15752864,20317231,23633373,27200910,31274214
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000,45000,18000,21000,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,100000,300000,1308408,2041246,2474034,6776634,7885248,8865911,10181678,10919585,4132847,4036441,3933055,2850000,- -,2300000,2300000,2300000,1425000,1425000,5707975,4920057,2384852,3518980
58,Total Non-Current Liabilities,- -,- -,100000,300000,1322938,2041246,2474034,6776634,7885248,8910911,10226678,10937585,11280104,11458728,11440492,11363686,10664533,10958354,11809088,14038165,21841042,22473047,35868716,34409582,32450608,35404183
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299202,923056
61,Total Liabilities,500000,900000,1800000,500000,1601753,2873078,3995683,11008197,12476465,13838953,16732529,18224391,17951110,19789098,19712987,21927132,21328424,20768787,20936249,24462117,34952726,36412893,51298441,49839011,48865229,56477762
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,101327,113285,113524,113524,113974,116247,116247,116721,117505,117526,117526,118532,118600,118700,119213,122603,125044,128995,135964,135989,136336,146658
64,Retained Earnings,-2900000,-4500000,-6800000,-7300000,-8830865,-7931231,-13258716,-26552758,-23409015,-22375609,-25186977,-30192392,-30877212,-29308756,-25898095,-27444868,-33753338,-33725902,-33575334,-25468991,-26789791,-24474691,-25329515,-22444310,-18819714,-16736193
65,Other Comprehensive Income/Loss,-100000,- -,-100000,-200000,-502564,-988998,-170318,-111522,-130250,-274834,-111876,-118619,-94055,-94055,-94055,- -,-5295619,-5567799,-5919277,169932,34408,40865,340984,- -,- -,- -
66,Other Total Stockholders Equity,6700000,7600000,9200000,12400000,15867717,23328212,22884528,22759747,22589539,22928753,23090460,23603608,23875308,24104315,24324056,24865948,29932592,29907016,28648735,20212285,11216081,11801935,15944269,15355470,16018243,20773849
67,Total Stockholders Equity,3700000,3100000,2300000,5000000,6635615,14521268,9569018,-3791009,-835752,394557,-2092146,-6590682,-6978454,-5180970,-1550568,-2460388,-8997765,-9267985,-10726663,-4964171,-15414258,-12502896,-8908298,-6952851,-2665135,4184314
68,Total Liabilities And Stockholders Equity,4200000,4000000,4100000,5500000,8237368,17394346,13564701,7217188,11640713,14233510,14640383,11633709,10972656,14608128,18162419,19466744,12330659,11500802,10209586,19497946,19538468,23909997,42390143,42886160,46200094,60662076
69,Minority Interest,- -,- -,- -,- -,- -,- -,298390,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4200000,4000000,4100000,5500000,8237368,17394346,13863091,7217188,11640713,14233510,14640383,11633709,10972656,14608128,18162419,19466744,12330659,11500802,10209586,19497946,19538468,23909997,42390143,42886160,46200094,60662076
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/862692/000102140803009217/0001021408-03-009217-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312504032394/0001193125-04-032394-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312505037484/0001193125-05-037484-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312506041449/0001193125-06-041449-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312507042798/0001193125-07-042798-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312508025633/0001193125-08-025633-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312509042762/0001193125-09-042762-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312510044939/0001193125-10-044939-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312511049956/0001193125-11-049956-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312512085810/0001193125-12-085810-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312513084813/0001193125-13-084813-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312514077783/0001193125-14-077783-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312515073665/0001193125-15-073665-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312516485790/0001193125-16-485790-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312517062739/0001193125-17-062739-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312518064199/0001193125-18-064199-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312519057945/0001193125-19-057945-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312520056695/0001193125-20-056695-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000156459021009945/0001564590-21-009945-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000095017022001637/0000950170-22-001637-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,600000,-1600000,-2300000,-600000,-1490678,899634,-5327485,-7521636,2840354,1033406,-2811368,-5005415,-760419,1424705,3410661,-2095526,-6308470,27436,553623,8106343,-1320800,2315100,-854824,2290774,3624596,2083521
74,Depreciation and Amortization,100000,100000,200000,100000,313488,512628,802445,452577,657383,597366,724524,741770,678151,671821,580192,579847,466736,394502,377008,241208,286650,229995,317326,401311,635975,1326392
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1788241,- -,1718919,- -,- -,-7369513,-1911828,-774806,2378491,-1517289,-1283973,-1646166
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,329001,1325196,271961,404233,602978,1772306,971730,478378,397770,622120,301616
77,Change in Working Capital,100000,-1000000,-1000000,2900000,1401975,3528335,-2488288,-4477975,2668462,2685917,-1512016,-3706029,368735,1954675,1982281,-1116094,-4838867,963953,-250266,564378,-4028937,2896836,15308410,-14147303,2183399,4856688
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245524,-484315,-624777,-2046177,-522366,-1316135,-2038973,313936,-1624462,-1149875,-1347773,-997124,-828594,532788
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117231,114466,46576,316650,-27423,454943,210277
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303059,- -,199036,-15148,-201915,335709,329560,443112,-666889,107458,-411721,532384
81,Other Working Capital,1300000,300000,-700000,2200000,3601975,7130310,4642022,164047,2832509,5518426,4006410,300381,669116,2623791,4606072,3489978,-1348889,-384936,-635202,-70824,-4099761,-1202925,14105485,-41818,2141581,4248550
82,Other Non-Cash Items,400000,1500000,1500000,-2900000,14745,-3682610,7214884,9872920,-1518657,-1098113,4523761,4565278,327696,-303347,-1846497,3121894,7997387,-835872,470223,2706068,10190584,79318,-12294451,18897944,2684486,1004043
83,Cash Provided by Operating Activities,1200000,-1000000,-1600000,-500000,239530,1257987,201556,-1674114,4647542,3218576,924901,-3404396,614163,3747854,2338396,819122,360901,821980,1554821,4851462,4987975,5718173,5333330,6323207,8466603,7926094
84,CAPEX,-100000,-600000,-300000,-400000,-510422,-666609,-1137885,-186349,-2242057,-709125,-995557,-668690,-292292,-628455,-398897,-594500,-155544,-397309,-120517,-108480,-342982,-98333,-646163,-662295,-449962,-6951171
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-187500,-375374,- -,- -,-10500000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-2500,- -,-3079661,-300272,-619000,- -,-989581,-1001993,-1125000,-1010000,-1283727,- -,-13660,-24250,-64764,- -,- -,- -,- -,-28364,- -,- -
87,Sales/Maturities of Investments,200000,- -,500000,- -,- -,52101,- -,2299048,600000,596000,490000,1000000,1003434,1175000,863000,130000,1008404,- -,- -,- -,- -,- -,- -,- -,807447,- -
88,Other Investing Activites,-100000,300000,- -,-100000,-1200000,-650000,-3108,116761,6204,26201,5000,- -,-159125,-178956,- -,-2588785,101150,1523496,763989,-235495,-26746,191358,-336248,- -,-350000,-5117174
89,Cash Used for Investing Activites,- -,-300000,200000,-500000,-1712922,-1264508,-4220654,1929188,-2254853,-86924,-1490138,-670683,-413858,-463455,-819624,-2964500,962356,1149462,391208,-719349,-369728,93025,-11282411,-690659,357485,-6951171
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-123633,-1509107,-2650000,-3291665,-4100000,-3100000,-4100000
91,Common Stock Issued,- -,500000,400000,300000,- -,2393040,434830,- -,26400,203996,- -,25650,- -,- -,- -,80936,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1702970,-738618,-2671060,-3205435,-10806409,-446621,- -,-992244,- -,-249377
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,500000,700000,1700000,2613996,458437,-20951,261400,-133727,-93639,- -,- -,1350,- -,- -,- -,-3248000,14950,79142,69850,7044988,64696,9001625,-39300,-1904000,1276417
95,Cash Used/Provided by Financing Activities,-100000,1000000,1100000,2000000,2613996,2851477,413879,261400,-107327,110357,- -,25650,1350,- -,- -,80936,-4950970,-723668,-2591918,-3259218,-5270528,-3031925,5709960,-5131544,-5004000,-3072960
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,1100000,1140604,2844956,-3605219,516474,2285362,3242009,-565237,-4049429,201655,3284399,1518772,-2064442,-3627713,1247774,-645889,872895,-652281,2779273,-239121,501004,3820088,-2098037
98,Cash at the End of Period,- -,- -,- -,1600000,2695794,5540750,1935532,2452006,4737368,7979377,7414140,3364711,3566366,6850765,8369537,6305095,2677382,3925156,3279267,4152162,3499881,6279154,6040033,6541037,10361125,8263088
99,Cash at the Beginning of Period,- -,1100000,800000,500000,1555190,2695794,5540751,1935532,2452006,4737368,7979377,7414140,3364711,3566366,6850765,8369537,6305095,2677382,3925156,3279267,4152162,3499881,6279154,6040033,6541037,10361125
100,Free Cash Flow,1100000,-1600000,-1900000,-900000,-270892,591378,-936329,-1860463,2405485,2509451,-70656,-4073086,321871,3119399,1939499,224622,205357,424671,1434304,4742982,4644993,5619840,4687167,5660912,8016641,974923
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/862692/000102140803009217/0001021408-03-009217-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312504032394/0001193125-04-032394-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312505037484/0001193125-05-037484-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312506041449/0001193125-06-041449-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312507042798/0001193125-07-042798-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312508025633/0001193125-08-025633-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312509042762/0001193125-09-042762-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312510044939/0001193125-10-044939-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312511049956/0001193125-11-049956-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312512085810/0001193125-12-085810-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312513084813/0001193125-13-084813-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312514077783/0001193125-14-077783-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312515073665/0001193125-15-073665-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312516485790/0001193125-16-485790-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312517062739/0001193125-17-062739-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312518064199/0001193125-18-064199-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312519057945/0001193125-19-057945-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000119312520056695/0001193125-20-056695-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000156459021009945/0001564590-21-009945-index.htm,https://www.sec.gov/Archives/edgar/data/862692/000095017022001637/0000950170-22-001637-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
