,https://roic.ai/company/SGLY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,- -,1498033,117398,226242,- -,- -,756795,760675,764555,723424,271396,1338035,1649368,2275093,2334962
67,Total Stockholders Equity,614687,1655203,9702440,7925070,7505917,6833650,5286776,6705130,9177190,14606444,11424109,19498304,24348102,20533392,6184461,54020276
68,Total Liabilities And Stockholders Equity,1872035,3443951,12127813,12401420,11524538,10712489,13319203,11110035,10407985,16520488,13861491,22584800,30970655,25772625,12280463,59754250
69,Minority Interest,-66362,308610,260001,-542480,-1243575,-1658559,-2742673,-3573830,-4694031,-4709938,-4807347,-4768779,-4812828,-5173622,-6542361,-6951134
70,Total Liabilities & Equity,1805673,3752561,12387814,11858940,10280963,9053930,10576530,7536205,5713954,11810550,9054144,17816021,26157827,20599003,5738102,52803116
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1422892/000121390021050437/0001213900-21-050437-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,529838,1040516,133694,-1675691,-536772,-863337,-1768075,-1799755,1586353,717390,-1965929,3624892,459051,-6533844,-16452894,-6823343
74,Depreciation and Amortization,31644,90602,170098,250450,216997,248209,244180,198825,155657,165088,59508,49367,94919,130920,402294,432941
75,Deferred Income Tax,- -,- -,- -,-359000,95000,-105000,-150000,413900,-50445,-116700,280600,-749400,114900,634500,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,195469,195469,- -,- -,- -,349800,- -,1032000,2267833,1576756,- -
77,Change in Working Capital,-13283,1163166,7344115,-2583206,-1208948,-941925,-2352657,986286,1267543,2183841,22959,7453789,3541443,-6503906,-14601475,45419247
78,Accounts Receivable,573,-609939,- -,-2403053,659137,-25998,-2103063,127928,201155,-2633716,616280,-260165,-7421179,-2553973,1078261,-84757
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,1971046,458169,-568720,4553592,-4247905,-230745,292832,-202098,-272474,3064257,-2709194,-80420,73170
81,Other Working Capital,333429,1496595,8840710,6257504,5048556,4106631,1753974,2740260,4007803,6191644,6214603,13668392,17209835,10705929,-3895546,41523701
82,Other Non-Cash Items,170888,-1429225,-6911555,2646160,412929,539681,3475416,-4160869,-4201579,-4747717,1132014,-7383878,-7049965,5731430,25178785,-43178957
83,Cash Provided by Operating Activities,719087,865059,736352,-1721287,-1020794,-926903,-355667,-4361613,-1242471,-1798098,-121048,2994770,-1807652,-4273067,-3896534,-4150112
84,CAPEX,-151829,-342924,-771407,-396624,-40371,-41126,-42680,-67116,-203252,-600331,-31659,-62412,-2452884,-143493,-6984,-1510379
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-291271,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-498126,-568596,1249722,171070,- -,-41126,- -,16185,-1157782,1194260,326035,- -,-1630107,- -,5626,-4529806
89,Cash Used for Investing Activites,-649955,-911520,478315,-225554,-331642,-41126,-42680,-50931,-1361034,593929,294376,-62412,-2452884,-143493,-1358,-6040185
90,Debt Repayment,- -,- -,- -,-67434,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-495
91,Common Stock Issued,- -,- -,7922316,- -,- -,- -,- -,3040412,444000,967820,691600,4319988,2585091,850000,940131,52772977
92,Common Stock Repurchased,- -,- -,- -,-285902,-86625,- -,- -,- -,- -,- -,-45011,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,172719,21643,- -,65909,-19917,-28097,-13876,- -,- -,- -,82500,- -,- -,280470,1427600
95,Cash Used/Provided by Financing Activities,- -,172719,7943959,-353336,-20716,-19917,-28097,3026536,444000,967820,646589,4402488,2585091,850000,1220601,54200082
96,Effect of Forex Changes on Cash,1314,43807,-81467,-43419,39651,-59379,-19051,1506,13205,64140,-164245,12902,39962,-389049,-334177,696350
97,Net Change In Cash,70446,170065,9077159,-2343596,-1333501,-1047325,-445495,-1384502,-2146300,-172209,655672,7347748,-1635483,-3955609,-3011468,44706135
98,Cash at the End of Period,356026,526091,9603250,7259654,5926153,4878828,4433333,3048831,902531,730322,1385994,8733742,7098259,3142650,131182,44837317
99,Cash at the Beginning of Period,285580,356026,526091,9603250,7259654,5926153,4878828,4433333,3048831,902531,730322,1385994,8733742,7098259,3142650,131182
100,Free Cash Flow,567258,522135,-35055,-2117911,-1061165,-968029,-398347,-4428729,-1445723,-2398429,-152707,2932358,-4260536,-4416560,-3903518,-5660491
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1422892/000121390021050437/0001213900-21-050437-index.htm
102,false,,,,,,,,,,,,,,,,
