,https://roic.ai/company/COSM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
27,Weighted Average Shares Outstanding,- -,- -,- -,2000000,2090815,2443623,10000000,10667754,12558553,12561598,12564823,12780013,13306612,13273596,13270097
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,2000000,2090815,2443623,10000000,10674474,12580313,12561598,12564823,12780013,13306612,13273596,13307794
29,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1474167/000147793221002377/0001477932-21-002377-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,470,15238,- -,864489,7180474,198049,716590,782853,864343,38537,628395
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2717361,243321,222792
33,Cash and Short-Term Investments,- -,- -,- -,- -,470,15238,- -,864489,7180474,198049,716590,782853,3581704,281858,851187
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,96544,793750,1426988,4943051,9267988,26909214
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,191874,464219,3093521,3202767,3474220,3292557
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,435,32500,60709,662053,4207164,6619640,8154669,9719988
37,Total Current Assets,- -,- -,- -,- -,470,15238,- -,864924,7212974,547176,2636612,9510526,18347162,21178735,40772946
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,11993,50529,52715,114567,1425632,1734781,1757213
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49697,49697
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194963,213984,180809
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41994,296767,263681,230506
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,913,- -,178430
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,2126,9601,59916,429203,1008579,624479,702439,905318
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,2126,21594,110445,481918,1165140,2347791,2700901,3071467
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,470,15238,- -,867050,7234568,657621,3118530,10675666,20694953,23879636,43844413
48,Accounts Payable,- -,- -,- -,4600,2079,- -,1403,716777,165453,229138,591691,1778333,5933464,8561681,11973981
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,165000,504115,441423,3199051,10178541,15022804,18850744,20492474
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,38286,1091377,1032128,1080590,1358789,- -,175939,760446
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,671,- -,62210,- -,- -,1067200,247318,22340
52,Other Current Liabilities,- -,- -,- -,- -,15872,20000,- -,38286,1091377,1172641,1080590,1746636,250768,581512,2304281
53,Total Current Liabilities,- -,- -,- -,4600,17951,20000,1403,920734,1760945,1905412,4871332,13703510,22274236,28241255,34793076
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1554590,435547,11550592
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183577,1663663,1661758
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1738167,2099210,13212350
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,633288,1068840
61,Total Liabilities,- -,- -,- -,4600,17951,20000,1403,920734,1760945,1905412,4871332,13703510,24012403,30340465,48005426
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,20000,24219,24514,100000,125586,125586,125631,125871,12825,13879,13225,13484
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-4588,242004,6286695,-401217,-1002219,-7211987,-16272645,-19571610,-18750824
65,Other Comprehensive Income/Loss,- -,- -,- -,-4600,-3792829,-3962074,-1254,11319,-680965,-1105678,-1050463,-1385229,32828,-16339,854896
66,Other Total Stockholders Equity,- -,- -,- -,-20000,3751129,3932798,-95561,-432593,-257693,133473,174009,5556547,12908488,13113895,13721431
67,Total Stockholders Equity,- -,- -,- -,-4600,-17481,-4762,-1403,-53684,5473623,-1247791,-1752802,-3027844,-3317450,-6460829,-4161013
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,470,15238,- -,867050,7234568,657621,3118530,10675666,20694953,23879636,43844413
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,470,15238,- -,867050,7234568,657621,3118530,10675666,20694953,23879636,43844413
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1474167/000147793221002377/0001477932-21-002377-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-4600,-3788229,-169245,-455,246592,6044691,-6687912,-601002,-6209768,-9060658,-3298965,820786
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,9478,5416,9448,25903,43930,394628,397595
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-178430
76,Stock Based Compensation,- -,- -,- -,- -,3720196,63200,- -,- -,- -,28352,16636,338792,242002,- -,- -
77,Change in Working Capital,- -,- -,- -,4600,-2521,17921,486,584808,634648,6547,-1567226,-6153236,667348,-3610335,-11874505
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96544,-565306,-706301,465452,-4324937,-15717764
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-191874,-272345,-2623788,1431012,-271453,393154
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254758,809116,-629723,2728963,3208424
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-1455,-8146,33707,-431497,-531324,-125400,-819882,-230505
82,Other Non-Cash Items,- -,- -,- -,- -,952,835,- -,- -,-163192,6150508,16063,3238168,6552072,1725830,-667164
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-69602,-87289,31,831400,6525625,-497089,-2126081,-8760141,-1555306,-4788842,-11501718
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-21471,-43952,-12816,-55337,-503362,-672789,-117744
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40858,307590,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1261718,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,18148,-6733870,- -,-131900,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,18148,-6755341,-43952,-144716,-14479,-195772,588929,-117744
90,Debt Repayment,- -,- -,- -,- -,- -,-17522,- -,- -,- -,-3000,-236892,-1725929,-5904257,-12022473,-25484183
91,Common Stock Issued,- -,- -,- -,- -,54200,117929,- -,- -,- -,- -,- -,91780,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34460,-80053,-845247,-200000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,15872,1650,917,2368,504115,332122,2981071,10959698,7972612,16455050,38144724
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,70072,102057,917,2368,504115,329122,2744179,9291089,1988302,3587330,12460541
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-948,12573,-692284,-36636,45159,-450206,-155734,-213223,-251221
97,Net Change In Cash,- -,- -,- -,- -,70072,14768,917,2368,-417885,-248555,518541,66263,81490,-825806,589858
98,Cash at the End of Period,- -,- -,- -,- -,470,15238,- -,864489,446604,198049,716590,782853,864343,38537,628395
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,470,- -,- -,864489,446604,198049,716590,782853,864343,38537
100,Free Cash Flow,- -,- -,- -,- -,-69602,-87289,31,831400,6504154,-541041,-2138897,-8815478,-2058668,-5461631,-11619462
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1474167/000147793221002377/0001477932-21-002377-index.htm
102,false,,,,,,,,,,,,,,,
