,https://roic.ai/company/INIS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,1200000,4595121,7668522,17461681,44871330,3221496,2135799,2733673,3547544,3803294,5334010,6306330,7757824,10699820,12441257,12832462,- -,8947403,8322740,8503850,8055130,9485960,10658890,9513500,9781,10343
12,Interest Income ,- -,- -,288494,- -,135921,2613,7909,3626,2323,4231,5734,8015,25211,13358,3449,4724,502,1147,586,438,938,3051,9428,13090,3192,0
13,Interest Expense (Gain),300000,- -,462,- -,2525376,3114,181196,143490,158834,169959,192802,163682,144332,116598,496777,2809177,203596,469035,936525,497994,474059,509740,470106,541274,781837,792
14,Depreciation and Amortization,- -,17354,490180,1945355,4260900,72306,80166,112753,179364,213386,206758,342545,402338,439435,453136,392992,488775,415607,263519,211174,226856,241436,267719,268033,331393,- -
15,EBITDA,-500000,-4353606,-5028763,-12152251,-34197444,-2742795,410909,-322242,-506538,-599608,-637752,-1212828,-1620297,-4077265,-5852101,-2748269,- -,-2414231,-345036,-1109062,-1178195,-3006104,-106755,-713653,1115673,-111
16,EBITDA ratio,-0.6250,-32.0672,-2.5029,-3.2937,-5.4480,-1.2594,0.1883,-0.1556,-0.1778,-0.2008,-0.1427,-0.2586,-0.2892,-0.6659,-0.9582,-0.2905,- -,-0.3525,-0.0458,-0.1570,-0.1798,-0.4051,-0.0103,-0.0797,119.1335,-0.0115
17,Operating Income,-400000,-4459356,-5659357,-13772157,-38594265,-1043596,-292650,-663081,-698701,-817860,-864472,-1615742,-2105381,-4576976,-6333976,-3370450,-2183450,-2098253,-785884,-1441658,-1502984,-2065573,-290064,-558297,-415673,-681
18,Operating Income ratio,-0.5000,-32.8461,-2.8168,-3.7328,-6.1485,-0.4792,-0.1341,-0.3202,-0.2453,-0.2740,-0.1934,-0.3445,-0.3758,-0.7475,-1.0371,-0.3562,-Infinity,-0.3064,-0.1043,-0.2041,-0.2294,-0.2784,-0.0280,-0.0623,-44.3863,-0.0705
19,Total Other Income Expenses (Gains),-700000,14974,-24330,- -,- -,- -,-223071,248196,1543437,635,14228,52354,57535,46918,25290,-2579988,- -,-1200620,-753346,-384322,-392556,-1656747,-373886,-642693,418116,-222
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,844736,- -,- -,- -,- -,- -,- -,-5950438,- -,-3298873,-1539230,-1825980,-1895540,-3722320,-663950,-1200990,2443,-902
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.2965,- -,- -,- -,- -,- -,- -,-0.6289,- -,-0.4816,-0.2042,-0.2586,-0.2893,-0.5016,-0.0640,-0.1341,0.2608,-0.0934
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-837028,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-800000,-4370960,-5519405,-14097606,-40983720,-2818215,149547,-578485,-844736,-982953,-1037312,-1719055,-2166967,-4633298,-6802014,-5950438,- -,-2461845,-1545080,-1818230,-1879110,-3757280,-844580,-1522960,2443,-902
24,Net Income ratio,-1.0000,-32.1950,-2.7471,-3.8210,-6.5291,-1.2940,0.0685,-0.2794,-0.2965,-0.3292,-0.2321,-0.3665,-0.3868,-0.7567,-1.1138,-0.6289,- -,-0.3594,-0.2050,-0.2575,-0.2868,-0.5063,-0.0815,-0.1701,0.2608,-0.0934
25,EPS,-0.22,-0.91,-0.84,-2.03,-5.77,-0.26,0.00,-0.01,-0.01,-0.01,-0.00,-0.01,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,0.01,-0.00
26,EPS Diluted,-0.22,-0.91,-0.84,-2.03,-5.77,-0.26,0.00,-0.01,-0.01,-0.01,-0.00,-0.01,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,0.01,-0.00
27,Weighted Average Shares Outstanding,3636364,4798427,6534987,8110521,9686303,15976551,86654052,108346738,150721137,186630510,211984394,238939638,276486713,290060471,299865350,334651426,359893961,365201905,369334615,398055278,403302425,406361656,411071598,418077055,423091174,423091174
28,Weighted Average Shares Outstanding Diluted,3636364,4798427,6534987,8110521,9686303,15976551,86654052,108346738,150721137,186630510,211984394,238939638,276486713,290060471,299865350,334651426,359893961,365201905,369334615,398055278,403302425,406361656,411071598,418077055,431208535,431208535
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038277/000151597112000074/0001515971-12-000074-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597113000100/0001515971-13-000100-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597114000091/0001515971-14-000091-index.htm,https://www.sec.gov/Archives/edgar/data/1038277/000151597115000085/0001515971-15-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1038277/000151597116000459/0001515971-16-000459-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597117000057/0001515971-17-000057-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597118000027/0001515971-18-000027-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597119000029/0001515971-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597120000046/0001515971-20-000046-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597121000025/0001515971-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1038277/000151597122000058/0001515971-22-000058-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,330000,8200000,6370000,2990000,640000,290000,440000,160000,150000,190000,170000,120000,2150000,460000,4240000,2100000,550000,460000,558540,397960,314520,409340,828040,575420,1113032,474851
32,Short-Term Investments,- -,5080000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,330000,13280000,6370000,2990000,640000,290000,440000,160000,150000,190000,170000,120000,2150000,460000,4240000,2100000,550000,460000,558540,397960,314520,409340,828040,575420,1113032,474851
34,Net Receivables,- -,150000,240000,770000,370000,140000,220000,200000,430000,390000,350000,520000,520000,480000,930000,800000,860000,1050000,783940,1084940,774280,1022480,820370,875910,796128,853675
35,Inventory,760000,740000,1750000,2420000,2590000,2540000,2280000,2280000,2240000,2670000,2540000,2500000,2520000,1840000,1680000,1470000,1280000,1480000,1049110,1111570,1476240,1951510,2765730,3423420,837787,924775
36,Other Current Assets,860000,670000,600000,1170000,25400000,1020000,740000,200000,90000,120000,120000,100000,120000,120000,120000,130000,750000,600000,351010,543090,736440,344630,315040,1444600,1247430,1004423
37,Total Current Assets,1950000,14840000,8960000,7350000,29000000,3990000,3680000,2840000,2910000,3370000,3180000,3240000,5310000,2900000,6970000,4500000,3440000,3590000,2742600,3137560,3301480,3727960,4729180,6319350,3994377,3257724
38,PP&E,1060000,6280000,32350000,40740000,460000,280000,240000,620000,1120000,1880000,2080000,2100000,2750000,2480000,2090000,1970000,2320000,2270000,2214850,1932260,1948080,1935540,1906180,2727070,4489551,4318568
39,Goodwill,- -,- -,1690000,1390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1376580,1384260,1384260,1384255,1384255
40,Intangible Assets,- -,- -,2300000,2060000,140000,- -,- -,- -,100000,90000,70000,90000,250000,250000,230000,3500000,4580000,4480000,4399180,4287850,4186300,4511640,4348030,4190620,4025684,3859473
41,Intangible Assets,- -,- -,3990000,3450000,140000,- -,- -,- -,100000,90000,70000,90000,250000,250000,230000,3500000,4580000,4480000,4399180,4287850,4186300,5888220,5732290,5574880,5409939,5243728
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330000,1290000,1751038,1935150,1422755,1393866,1368808,1368185,1434928,1492781,- -,1000000,1000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,10000,10000,-10000,- -,- -,260000,260000,290000,270000,260000,340000,-1038,4850,537245,306134,301192,225325,450632,450629,453570,-377570,-364500,- -,249398
45,Total Non-Current Assets,1060000,6280000,36350000,44200000,590000,280000,240000,880000,1480000,2260000,2420000,2780000,4630000,4480000,4260000,7430000,8600000,8420000,8207540,8105670,8077790,8277330,8260900,8937450,9899490,9811694
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3010000,21120000,45310000,51550000,29590000,4270000,3920000,3720000,4390000,5630000,5600000,6020000,9940000,7380000,11230000,11930000,12040000,12010000,10950140,11243230,11379270,12005290,12990080,15256800,13893867,13069418
48,Accounts Payable,240000,910000,1830000,2080000,4460000,180000,260000,320000,330000,240000,210000,440000,430000,570000,720000,1830000,1330000,730000,635880,1043990,941660,1619230,2285170,4229130,2115348,1424028
49,Short-Term Debt,1900000,634454,3117177,524843,16972971,2720610,1571815,756725,1520570,1057069,1765346,967617,613908,163541,3246878,528359,100000,341373,1262919,45871,3392118,67437,187956,1622640,1181758,1123346
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,907680,2608328,2688128,3783541,1240205,1160274,907953
52,Other Current Liabilities,560000,595546,1202823,2445157,2467029,549390,338185,153275,229430,262931,434654,402383,456092,346459,623122,811641,460000,608627,702861,488659,568714,1139475,939913,1096085,1204672,1479182
53,Total Current Liabilities,2700000,2140000,6150000,5050000,23900000,3450000,2170000,1230000,2080000,1560000,2410000,1810000,1500000,1080000,4590000,3170000,1890000,1680000,2601660,2486200,7510820,5514270,7196580,8188060,5662052,4934509
54,Long-Term Debt,- -,3050000,15260000,25400000,19430000,17160000,1760000,1900000,1760000,2370000,1820000,1820000,2090000,2240000,1800000,1330000,3560000,4910000,3922700,4072350,1278890,4976690,5123890,6025210,1007565,2363815
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,642060,364440,688980,7500,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,483391,- -,566369,450630,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,10000,- -,- -,10000,10000,- -,- -,- -,- -,- -,10000,-10000,- -,190000,-353391,620000,73631,74350,526310,519140,2055670,2265850,3229320,- -,6298023
58,Total Non-Current Liabilities,- -,3060000,15260000,25400000,19440000,17170000,1760000,1900000,1760000,2370000,1820000,1830000,2080000,2240000,1990000,1460000,4180000,5550000,4447680,5240720,2162470,7721340,7397240,9254530,1007565,8661838
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3892958,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,149332,191160,318562,301880,308712,459560,456508,483391,- -,- -,- -,- -,- -,- -,- -,723220,2595527,- -
61,Total Liabilities,2700000,5200000,21410000,30450000,43340000,20620000,3930000,3130000,3840000,3930000,4230000,3640000,3580000,3320000,6580000,4630000,6070000,7230000,7049340,7726920,9673290,13235610,14593820,17442590,8547445,8661838
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,40000,60000,70000,90000,110000,270000,960000,1390000,1590000,2070000,2170000,2510000,2890000,2940000,3230000,3570000,3600000,3690000,3698950,4022430,4050000,4067910,4131680,4198420,4243443,5025842
64,Retained Earnings,-830000,-5210000,-10730000,-27180000,-83050000,-87190000,-87390000,-87970000,-88810000,-89800000,-90830000,-92550000,-94720000,-99350000,-106040000,-111990000,-114240000,-116700000,-118242220,-120060450,-121942130,-125696850,-126541420,-128064390,- -,-126764081
65,Other Comprehensive Income/Loss,- -,-20000,-310000,-1790000,-40000,-100000,-170000,-270000,-430000,-610000,-770000,-1080000,-1450000,-1820000,-2180000,-2500000,-2800000,-1960000,- -,-2193110,-2262310,- -,- -,-2556080,- -,- -
66,Other Total Stockholders Equity,1090000,21095640,34862622,49975722,69229191,70671176,86581649,87443937,88201385,90039297,90803710,93509012,99635508,102291095,109638281,118216908,119411555,119747905,118444066,121747436,121860412,120398622,120805999,124236251,-3669897,124469034
67,Total Stockholders Equity,300000,15925640,23892622,21095722,-13750809,-16348824,-18351,593937,551385,1699297,1373710,2389012,6355508,4061095,4648281,7296908,5971555,4777905,3900796,3516306,1705972,-1230318,-1603741,-2185799,573546,2730795
68,Total Liabilities And Stockholders Equity,3000000,21125640,45302622,51545722,29589191,4271176,3911649,3723937,4391385,5629297,5603710,6029012,9935508,7381095,11228281,11926908,12041555,12007905,10950136,11243226,11379262,12005292,12990079,15256791,9120991,11392633
69,Minority Interest,10000,-5640,7378,4278,809,-1176,8351,-3937,-1385,703,-3710,-9012,4492,-1095,1719,3092,-1555,2095,4,4,8,-2,1,9,4772876,1676785
70,Total Liabilities & Equity,3010000,21120000,45310000,51550000,29590000,4270000,3920000,3720000,4390000,5630000,5600000,6020000,9940000,7380000,11230000,11930000,12040000,12010000,10950140,11243230,11379270,12005290,12990080,15256800,13893867,13069418
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038277/000151597112000074/0001515971-12-000074-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597113000100/0001515971-13-000100-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597114000091/0001515971-14-000091-index.htm,https://www.sec.gov/Archives/edgar/data/1038277/000151597115000085/0001515971-15-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1038277/000151597116000459/0001515971-16-000459-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597117000057/0001515971-17-000057-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597118000027/0001515971-18-000027-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597119000029/0001515971-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597120000046/0001515971-20-000046-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597121000025/0001515971-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1038277/000151597122000058/0001515971-22-000058-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-800000,-4370960,-5519405,-14097606,-40983720,-2818215,149547,-578485,-844736,-982953,-1037312,-1719055,-2166967,-4633298,-6802014,-5950438,- -,-2461845,-1545080,-1818230,-1879110,-3757280,-844580,-1522960,2443,-789
74,Depreciation and Amortization,- -,17354,490180,1945355,4260900,72306,80166,112753,179364,213386,206758,342545,402338,439435,453136,392992,488775,415607,263519,211174,226856,241436,267719,268033,331393,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,989528,739024,1411476,286015,348506,243683,147392,64785,163873,188476,129850,88180,- -
77,Change in Working Capital,-600000,13450000,-9890000,-510000,2800000,-4560000,970000,100000,-780000,980000,-1040000,660000,2380000,-1990000,560000,-1050000,220000,360000,-1769060,510420,-4860700,2423030,-681090,598690,201035,-9110
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40206,-22424,40908,-58440,-184613,262466,-301003,310665,539759,-185344,-55544,79786,- -
79,Inventory,-800000,15645,-485607,-676967,-166558,50473,257691,-3924,46331,-431490,131284,35361,-15988,-57809,185823,216547,180732,-193788,429243,-165321,-364670,-475273,-814216,-657691,1453623,- -
80,Accounts Payable,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-750000,12700000,2810000,2300000,5100000,540000,1510000,1610000,830000,1810000,770000,1430000,3810000,1820000,2380000,1330000,1550000,1910000,140940,651360,-4209340,-1786310,-2467400,-1868710,-1667675,-1676785
82,Other Non-Cash Items,- -,-11093194,9977252,1092300,19568981,-289006,-1032077,-423192,824367,-1427857,1610613,-200004,-2091873,2809002,486298,5262889,-3729542,-56166,3146746,1288848,6123993,75742,1166634,472830,526574,9899
83,Cash Provided by Operating Activities,-1400000,-1996800,-4941973,-11569951,-14353839,-7594915,167636,-788924,-621005,-1217424,-259941,-916514,-1476502,-2385333,-4563556,66919,-2734752,-1393898,339808,339604,-324176,-853199,97159,-53557,1149625,- -
84,CAPEX,-1900000,- -,-275000,- -,- -,-64788,-36183,-392460,-663250,-955050,-247136,-321337,-1195744,-157737,-9931,-3528707,-1835313,-572101,-115388,-92827,-93603,-110115,-86320,-208102,-7744,- -
85,Acquisitions Net,- -,- -,-495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-182450,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-300000,-5182777,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4234,-163614,-521,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,126887,5096846,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35080,84738,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,700000,-4294947,-24565167,-6597992,-2389851,17609218,122000,474436,-109000,-25956,1718,-282971,-75580,-28707,-83700,108781,309061,91643,75588,-202779,20603,187351,- -,1700,36000,- -
89,Cash Used for Investing Activites,-1500000,-9350837,-19963321,-6597992,-2389851,17544430,85817,81976,-772250,-981006,-245418,-604308,-1271324,-156571,-404615,-3335709,-1526252,-480458,-39800,-295606,-73000,77236,-86320,-206402,28256,- -
90,Debt Repayment,-2400000,-5932789,-4032847,-3695863,-2700306,-11452834,-149229,-471544,- -,- -,- -,- -,- -,-140280,-167006,-486764,-328359,-236362,-206258,-208327,-50252,-2096952,-7437,-739301,-1524684,- -
91,Common Stock Issued,- -,17808839,9507414,- -,- -,- -,- -,406868,802184,2132057,510396,1675349,4901501,967166,5836389,12197,62910,460949,8417,3743,3993,15447,76697,90913,16475,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1192,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-102736,-125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5600000,7341607,17724766,18585138,17221250,1154734,43711,637094,580906,102145,-19966,-202342,-126222,26769,3075000,1608750,2969900,1560000,- -,- -,360000,2952286,120000,668800,871100,- -
95,Cash Used/Provided by Financing Activities,3200000,19217657,23199333,14786539,14395944,-10298100,-105518,572418,1383090,2233010,490430,1473007,4775279,853655,8744383,1134183,2704451,1784587,-197841,-204584,313741,870781,189260,20412,-637109,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3200000,7870020,-1829713,-3381404,-2347746,-348585,147935,-134530,-10165,34580,-14929,-47815,2027453,-1688249,3776212,-2134607,-1556553,-89769,102167,-160586,-83435,94818,200099,-239547,540772,- -
98,Cash at the End of Period,- -,8201417,6371704,2990300,642554,293969,441904,160216,150051,184631,169702,121887,2149340,461091,4237303,2102696,546143,456374,558541,397955,314520,409338,1450467,1210920,1751692,- -
99,Cash at the Beginning of Period,- -,331397,8201417,6371704,2990300,642554,293969,294746,160216,150051,184631,169702,121887,2149340,461091,4237303,2102696,546143,456374,558541,397955,314520,1250368,1450467,1210920,1751692
100,Free Cash Flow,-3300000,-1996800,-5216973,-11569951,-14353839,-7659703,131453,-1181384,-1284255,-2172474,-507077,-1237851,-2672246,-2543070,-4573487,-3461788,-4570065,-1965999,224420,246777,-417779,-963314,10839,-261659,1141881,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038277/000151597112000074/0001515971-12-000074-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597113000100/0001515971-13-000100-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597114000091/0001515971-14-000091-index.htm,https://www.sec.gov/Archives/edgar/data/1038277/000151597115000085/0001515971-15-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1038277/000151597116000459/0001515971-16-000459-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597117000057/0001515971-17-000057-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597118000027/0001515971-18-000027-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597119000029/0001515971-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597120000046/0001515971-20-000046-index.html,https://www.sec.gov/Archives/edgar/data/1038277/000151597121000025/0001515971-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1038277/000151597122000058/0001515971-22-000058-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
