,https://roic.ai/company/PD,2018,2019,2020,2021,2022
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1568100/000156810020000013/0001568100-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1568100/000156810021000011/0001568100-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1568100/000156810022000014/0001568100-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-38149000,-40741000,-50339000,-68903000,-107455000
74,Depreciation and Amortization,1346000,1692000,2337000,5270000,8356000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,18152000,19078000,27205000,43231000,70033000
77,Change in Working Capital,2175000,65048000,205931000,175661000,-47526000
78,Accounts Receivable,-10145000,-15464000,-3601000,-17637000,-21594000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,2501000,1356000,-1110000,316000,2901000
81,Other Working Capital,18980000,84028000,289959000,465620000,418094000
82,Other Non-Cash Items,4640000,-50685000,-185307000,-145164000,70571000
83,Cash Provided by Operating Activities,-11836000,-5608000,-173000,10095000,-6021000
84,CAPEX,-822000,-4119000,-5174000,-4848000,-6810000
85,Acquisitions Net,- -,- -,- -,-49656000,-160000
86,Purchases of Investments,- -,- -,-269846000,-222042000,-197093000
87,Sales/Maturities of Investments,- -,- -,42950000,227226000,-3034000
88,Other Investing Activites,- -,-389000,- -,-810000,221120000
89,Cash Used for Investing Activites,-822000,-4119000,-232070000,-49320000,17376000
90,Debt Repayment,-10000000,- -,- -,- -,-23586000
91,Common Stock Issued,- -,- -,220086000,- -,15108000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,55429000,93599000,5858000,254367000,7742000
95,Cash Used/Provided by Financing Activities,45429000,93599000,225944000,254367000,-736000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,32771000,83872000,-6299000,215142000,10619000
98,Cash at the End of Period,46451000,130323000,124024000,339166000,349785000
99,Cash at the Beginning of Period,13680000,46451000,130323000,124024000,339166000
100,Free Cash Flow,-12658000,-9727000,-5347000,5247000,-12831000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1568100/000156810020000013/0001568100-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1568100/000156810021000011/0001568100-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1568100/000156810022000014/0001568100-22-000014-index.htm
102,false,,,,,
