,https://roic.ai/company/CLBS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,- -,- -,13.77,171.68,-13983.40,6839.41,-1116.00,- -,-934.86,-1400.00,-900.00,-500.00,-500.00,-500.00,-400.00,-440.00,-318.00,-153.00,-237.00,-46.00,-54.00,-40.00,-19.00,-16.80,-16.70,-4.99,2.56,-1.67,-1.88,-0.53,-1.78
26,EPS Diluted,- -,- -,13.77,171.68,-13983.40,6839.41,-1116.00,- -,-934.86,-1400.00,-900.00,-500.00,-500.00,-500.00,-400.00,-440.00,-318.00,-153.00,-237.00,-46.00,-54.00,-40.00,-19.00,-16.80,-16.70,-4.99,2.56,-1.67,-1.88,-0.53,-1.78
27,Weighted Average Shares Outstanding,- -,- -,241,241,241,241,241,635,1251,1490,2228,2234,2350,3254,4977,13650,32841,60568,130195,516324,885986,1384199,2049577,3275610,4850810,6548251,8968954,9689000,10325000,15440000,15440000
28,Weighted Average Shares Outstanding Diluted,- -,- -,241,241,241,241,241,635,1251,1490,2228,2234,2350,3254,4977,13650,32841,60568,130195,516324,885986,1384199,2049577,3275610,4850810,6548251,8968954,9689000,10325000,15440000,15440000
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/320017/000114420409017907/0001144204-09-017907-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000114420410017361/0001144204-10-017361-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000114420411020360/0001144204-11-020360-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000114420412016037/0001144204-12-016037-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001713000009/0000320017-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001714000007/0000320017-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001715000013/0000320017-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001716000098/0000320017-16-000098-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001717000008/0000320017-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001718000021/0000320017-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001719000024/0000320017-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001720000016/0000320017-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001721000043/0000320017-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001722000016/0000320017-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,100000,66,13167,- -,1639473,473006,51268,19255,210947,27868,488872,436659,2304227,430786,7159369,15612391,12745432,13737452,46133759,19174061,20318411,14705008,29163200,10299000,14032000,16512000,94970000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,2733319,2376214,1503374,- -,- -,- -,- -,- -,- -,- -,- -,512,559,- -,- -,7080053,- -,- -,25916681,32754000,11125000,18061000,151000
33,Cash and Short-Term Investments,- -,- -,- -,- -,100000,66,13167,- -,4372792,2849220,1554642,19255,210947,27868,488872,436659,2304227,430786,7159369,15612903,12745991,13737452,46133759,26254114,20318411,14705008,55079881,43053000,25157000,34573000,95121000
34,Net Receivables,- -,- -,- -,3300000,3600000,125000,1000,- -,- -,- -,- -,1000000,- -,- -,- -,9050,24605,7193,5725241,5871474,6536176,1053604,1860835,3111274,2566101,2891723,234461,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12979008,21023388,17153396,1113025,1270223,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,3400000,3600000,10000,- -,- -,71622,236048,19734,40094,18024,21233,18447,82451,46248,92444,5935600,4375080,2174773,803135,1561933,6916156,6387920,7052230,5795303,1053000,815000,758000,-151000
37,Total Current Assets,- -,- -,- -,6700000,7300000,135066,14167,- -,4444414,3085268,1574376,1059349,228971,49101,507319,528160,2375080,530423,31799218,46882845,38610336,16707216,50826750,36281544,29272432,24648961,61109645,44106000,25972000,35331000,94970000
38,PP&E,- -,- -,- -,700000,1400000,135066,747,- -,655002,525866,74159,- -,1935,3446,1488,96145,164122,99490,21299381,36998241,49363275,11153100,12844200,15960700,17064800,17149100,256900,165000,100000,57000,62000
39,Goodwill,- -,- -,- -,- -,1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,558169,558169,558169,29862123,27002044,19613470,11117770,11117770,25209336,7013315,7013315,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,400000,-100000,- -,- -,- -,16777,15557,- -,- -,- -,- -,- -,- -,669000,633789,22835138,29274431,41804875,14480800,13875600,47560400,2877900,2307900,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,400000,1200000,- -,- -,- -,16777,15557,- -,- -,- -,- -,- -,558169,1227169,1191958,52697261,56276475,61418345,25598570,24993370,72769736,9891215,9321215,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18061000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,575055,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-100000,-100000,-133931,- -,- -,54471,991261,187754,123835,80782,46897,133874,12500,8778,2445,238941,2867188,5935824,947307,1151729,1263375,976768,713451,1434077,309000,1081000,-17447000,764000
45,Total Non-Current Assets,- -,- -,- -,1000000,2500000,1135,747,- -,726250,1532684,261913,123835,82717,50343,135362,666814,1400069,1293893,74235583,96141904,116717444,37698977,38989299,89993811,27932783,27183766,2266032,474000,1181000,671000,826000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2864000
47,Total Assets,- -,- -,- -,7700000,9800000,136201,14914,- -,5170664,4617952,1836289,1183184,311688,99444,642681,1194974,3775149,1824316,106034801,143024749,155327780,54406193,89816049,126275355,57205215,51832727,63375677,44580000,27153000,36002000,97008000
48,Accounts Payable,- -,- -,- -,2300000,4100000,183123,4929,- -,561870,150045,130617,344279,87896,149169,256976,372348,158453,508798,8263719,14286929,10415342,2555240,3354908,5661173,4107388,4366753,1343089,762000,1490000,1020000,1934000
49,Short-Term Debt,- -,- -,- -,- -,- -,82630,400000,- -,22662,23459,21051,147595,409513,569118,349667,222142,54148,14726,11991212,12602398,15860062,3641033,594209,1926388,5364122,3973784,159180,- -,354000,370000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1242911,621553,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28974000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2420,2902,9849,2273104,1708280,2436532,1468341,1816601,4334120,5345225,5098193,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,600000,5000000,189553,261694,- -,288334,290143,337827,649318,525311,569763,1145760,241388,228726,427767,2965525,4247005,7733514,2284813,4041201,4322901,6198488,6062569,7810948,4857000,4132000,2116000,2589000
53,Total Current Liabilities,- -,- -,- -,2900000,9100000,455306,666623,- -,872866,463647,489495,1141192,1022720,1288050,1752403,838298,444229,961140,25493560,32844612,36445450,9949427,9806919,16244582,21015223,19501299,9313217,5619000,5976000,3506000,4523000
54,Long-Term Debt,- -,- -,- -,4600000,3500000,- -,- -,- -,76591,53132,32108,9513,- -,- -,- -,24439,- -,- -,- -,- -,- -,171528,3554773,14716285,11411585,2817114,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282518,169198,- -,- -,- -,- -,4587397,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5959508,9300945,3599122,4379226,18176190,932662,1070700,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,200000,100000,- -,- -,- -,298801,970094,940953,856374,791742,743181,707916,40132,14726,- -,20954339,17450492,29279669,7866027,10048729,19064546,562001,19789858,3872679,1507000,624000,254000,485000
58,Total Non-Current Liabilities,- -,- -,- -,4800000,3600000,- -,- -,- -,375392,1023226,973061,865887,791742,743181,707916,64571,14726,- -,20954339,23692518,38749812,11636677,17982728,51957021,12906248,28265069,3872679,1507000,624000,254000,485000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40132,14726,14726,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354000,624000,- -
61,Total Liabilities,- -,- -,- -,7700000,12700000,455306,666623,- -,1248258,1486873,1462556,2007079,1814462,2031231,2460319,902869,458955,961140,46447899,56537130,75195262,21586104,27789647,68201603,33921471,47766368,13185896,7126000,6600000,3760000,5008000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,1200000,263037,263037,- -,12513,22280,22291,22399,26327,41031,70545,20782,4826,7715,37193,63813,109330,163754,27197,36784,56733,8206,9484,10000,11000,19000,60000
64,Retained Earnings,- -,- -,- -,- -,-3800000,-2116785,-2449389,- -,-4330355,-6405731,-8486445,-9693967,-10761954,-12510326,-14255365,-20306765,-30752238,-39994309,-70878816,-95320620,-143094854,-197392361,-236373605,-291246538,-372132490,-404788809,-381810109,-397977000,-417400000,-425550000,-453016000
65,Other Comprehensive Income/Loss,- -,- -,- -,-600000,-1000000,- -,- -,- -,-85315,-239736,-700504,-602014,-602014,-602014,-602014,-371666,-738803,-21900,-67917,2779066,4152343,- -,-3022800,1329,486,- -,-27978,-32000,2000,-13000,-70000
66,Other Total Stockholders Equity,- -,- -,- -,- -,700000,1534643,1534643,- -,8325563,9754266,9538391,9449587,9834767,11139422,12969096,20949654,34802309,40871570,95709491,141137522,200858638,230405636,301911583,349723161,395788704,409664412,432336572,435725000,438203000,458040000,545280000
67,Total Stockholders Equity,- -,- -,- -,- -,-2900000,-319105,-651709,- -,3922406,3131079,373733,-823895,-1502774,-1931787,-1817638,292105,3316194,863176,24800051,48659881,62025557,33177129,62542475,58514836,23713533,4883909,50508069,37726000,20816000,32496000,92000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,7700000,9800000,136201,14914,- -,5170664,4617952,1836289,1183184,311688,99444,642681,1194974,3775149,1824316,71247950,105197011,137220819,54763233,90332122,126716439,57635004,52650277,63693965,44852000,27416000,36256000,97008000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34786851,37827738,18106961,-357040,-516073,-441084,-429789,-817550,-318288,-272000,-263000,-254000,- -
70,Total Liabilities & Equity,- -,- -,- -,7700000,9800000,136201,14914,- -,5170664,4617952,1836289,1183184,311688,99444,642681,1194974,3775149,1824316,106034801,143024749,155327780,54406193,89816049,126275355,57205215,51832727,63375677,44580000,27153000,36002000,97008000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/320017/000114420409017907/0001144204-09-017907-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000114420410017361/0001144204-10-017361-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000114420411020360/0001144204-11-020360-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000114420412016037/0001144204-12-016037-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001713000009/0000320017-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001714000007/0000320017-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001715000013/0000320017-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001716000098/0000320017-16-000098-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001717000008/0000320017-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001718000021/0000320017-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001719000024/0000320017-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001720000016/0000320017-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001721000043/0000320017-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001722000016/0000320017-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-3370000,1711094,-332604,-263865,-1112336,-2027165,-2033030,-1159838,-1044145,-1748372,-1745039,-6051400,-10445473,-9242071,-25272517,-23305706,-47134469,-53769484,-38981244,-54872933,-80885952,-32656319,22978700,-16167000,-19361000,-8150000,-27466000
74,Depreciation and Amortization,- -,- -,10000,100000,460000,1749,388,388,82338,155641,155436,16766,646,13542,7840,240123,53778,115961,577043,5136159,8978317,1550571,1605608,2186949,2686779,2743648,372001,225000,65000,63000,55000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-830681,-688699,-175533,780104,-104202,-17243528,138038,-12101612,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3890419,12323997,7863492,10266023,- -,6838559,- -,- -,2604291,1963202,2453000,1295000,1265000,- -
77,Change in Working Capital,- -,- -,230000,- -,3500000,-5600000,1479760,-332216,4224004,-949927,-1536740,-1166724,-711906,-445200,-6135,934946,2240989,-2361568,6736375,7732575,-11873347,4592903,34262042,-20982869,-11779753,-3109547,46648766,-13309428,-18491000,11829000,58622000
78,Accounts Receivable,- -,- -,- -,-1700000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4088,571689,98505,116789,-554884,-573005,-1198844,545173,-325622,-95686,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2427095,-7469128,4640282,-465280,-157198,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-1800000,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1677551,2916739,469821,79257,-48697,5667118,-5901000,- -,- -,1250000
81,Other Working Capital,- -,- -,300000,300000,3800000,-1800000,-320240,-652456,3571548,2621621,1084881,-81843,-793749,-1238949,-1245084,-310138,1930851,-430717,6305658,14038233,2164886,6757789,41019831,20036962,8257209,5147662,51796428,38487000,19996000,31825000,90447000
82,Other Non-Cash Items,- -,- -,- -,370000,-1430000,3048713,-1451813,326090,-3558123,845490,3040491,3315172,733492,720377,909338,1237500,2018282,2865094,-3012920,-5072538,19524181,33949025,-31606762,26877817,67964123,6612207,-80736939,6812428,17610000,-13830000,-53456000
83,Cash Provided by Operating Activities,- -,- -,240000,470000,-840000,-838444,-304269,-269603,-364117,-1975961,-373843,1005376,-1021913,-1459653,-833996,-3638831,-6132424,-4732165,-8648022,-8476699,-20927994,-13852518,-27101693,-46895238,-39258331,-23667682,-20875882,-19986000,-18882000,-8823000,-22245000
84,CAPEX,- -,- -,-80000,-500000,-440000,-8926,- -,- -,-442157,-25285,-9061,-1133,-2581,-3288,- -,-43136,-117893,-9785,-2387555,-16377722,-5910279,-531315,-2691471,-3657352,-3185737,-2849296,-135281,-134000,- -,-20000,-60000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271000,- -,696456,- -,320863,12280000,- -,50894,- -,- -,67879328,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-2105444,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2424132,-28,- -,- -,-8043241,-6081900,- -,-60158123,-69690000,-32938000,-34799000,-179775000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,467936,- -,- -,- -,- -,- -,- -,- -,- -,- -,2742018,- -,- -,- -,913000,13066014,- -,33873500,62567000,54370000,27542000,124939000
88,Other Investing Activites,- -,- -,- -,-4630000,60000,3000,- -,- -,300,-817265,372000,-1246205,850000,- -,- -,- -,- -,- -,- -,-1045955,3534864,-5660305,- -,- -,- -,- -,-188794,2550000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-80000,-5130000,-380000,-5926,- -,- -,-2547301,-374614,362939,-1247338,847419,-3288,- -,-43136,153107,-9785,-1691099,-17105791,-2054580,6088380,-2691471,-10736699,3798377,-2849296,41270630,-4707000,21432000,-7277000,-54896000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-77630,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-161743,-974616,-23203875,-32297342,-637062,-704926,-4333722,-954326,-10964388,-6616130,-159000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,844336,- -,1785500,4254236,1206770,- -,- -,219781,1114375,872000,3573068,7939306,2898635,- -,21212974,21152682,16428827,58736165,16710645,36471269,11560394,5701686,1031000,1313000,18728000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-650000,-5394263,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-222924,- -,-327748,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-10000,4520000,910000,- -,395000,- -,85342,-22662,-23432,209949,146405,165487,423000,56685,-92421,131617,18042320,36069275,31864030,-1327985,4158232,18295316,1087361,20307569,-17323,-48000,-130000,-148000,85276000
95,Cash Used/Provided by Financing Activities,- -,- -,-10000,4520000,960000,844336,317370,1385500,4339578,1184108,-23432,209949,366186,1279862,1295000,3629753,7846885,2868509,17067704,33855450,20069370,8741769,62189471,30672239,36604304,20903575,-931767,824000,1183000,18580000,85276000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180062,46245,14389,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,150000,-140000,-270000,-34,13101,1115897,1428160,-1166467,-34336,-32013,191692,-183079,461004,-52213,1867568,-1873441,6728583,8453022,-2866959,992020,32396307,-26959698,1144350,-5613403,19462981,-23869000,3733000,2480000,8135000
98,Cash at the End of Period,- -,- -,10449000,-140000,-270000,66,13167,1129064,1634473,473006,51268,19255,210947,27868,488872,436659,2304227,430786,7159369,15612391,12745432,13737452,46133759,19174061,20318411,14705008,34167989,10299000,14032000,16512000,24647000
99,Cash at the Beginning of Period,- -,- -,10299000,- -,- -,100,66,13167,206313,1639473,85604,51268,19255,210947,27868,488872,436659,2304227,430786,7159369,15612391,12745432,13737452,46133759,19174061,20318411,14705008,34168000,10299000,14032000,16512000
100,Free Cash Flow,- -,- -,160000,-30000,-1280000,-847370,-304269,-269603,-806274,-2001246,-382904,1004243,-1024494,-1462941,-833996,-3681967,-6250317,-4741950,-11035577,-24854421,-26838273,-14383833,-29793164,-50552590,-42444068,-26516978,-21011163,-20120000,-18882000,-8843000,-22305000
