,https://roic.ai/company/EGLE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,2647077,2577624,-12599245,-35498525,-30642933,-22135507,-9453013,-3009442,- -,-8885062,-49307907,-76771623,-100254215,-125455450,-153862085,-1132398,- -
66,Other Total Stockholders Equity,320822037,364574877,602929530,614241646,724250125,738251158,745473169,762313030,766823808,684149411,727121401,860141321,987880117,1019727983,1071724354,943571685,- -
67,Total Stockholders Equity,315793014,321575941,514970995,471426776,619729072,669086518,674175703,594194577,531194864,664090666,518344462,400482639,461165033,479605849,481502937,470418083,671266219
68,Total Liabilities And Stockholders Equity,462343981,568790967,1136008373,1362175544,1608202814,1896572958,1867256728,1789144150,1723414301,913876822,787038940,686381617,808349935,846209160,1002087136,967127056,1126658424
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,462343981,568790967,1136008373,1362175544,1608202814,1896572958,1867256728,1789144150,1723414301,913876822,787038940,686381617,808349935,846209160,1002087136,967127056,1126658424
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1322439/000095013608001032/0000950136-08-001032-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000091957409004297/0000919574-09-004297-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000091957410002124/0000919574-10-002124-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000091957411001959/0000919574-11-001959-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000114036112016024/0001140361-12-016024-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000114420413019308/0001144204-13-019308-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000143774914005582/0001437749-14-005582-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000143774915006809/0001437749-15-006809-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000143774916028714/0001437749-16-028714-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000143774917005696/0001437749-17-005696-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828018003092/0001628280-18-003092-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828019002879/0001628280-19-002879-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828020003466/0001628280-20-003466-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828021004645/0001628280-21-004645-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828022005984/0001628280-22-005984-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,6653400,33801540,52243981,61632809,33287271,26844650,-14819749,-102800903,-70521383,-124656327,-148296965,-223522435,-43796685,12574684,-21697115,-35063468,184897884
74,Depreciation and Amortization,10412227,21031357,24791502,31379443,41380917,59503895,69887121,75323119,75003864,64452634,41044397,35556911,29354017,32364359,47082649,55295193,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,11111885,13977974,14741813,8907089,9373778,4864534,2886844,3969989,2206690,8738615,9207480,4826324,3048280,- -
77,Change in Working Capital,-4392353,-6506309,126420170,-151731270,62239620,62516831,-133447715,23041449,-1140098822,1165877910,-32478345,75577977,-4290113,-18918199,-57162803,37505676,-3391724
78,Accounts Receivable,-281094,-335111,-2776256,-965376,-3085613,-6923045,-1405602,-694790,-1893143,-3854862,7654773,1986820,-12156832,-3465025,-6902,1917765,- -
79,Inventory,- -,- -,- -,- -,- -,-3190052,-7893279,-999794,2472853,1946753,174867,-5302307,-3236366,-2024706,313507,4199445,- -
80,Accounts Payable,1620722,-469199,1971400,-1584499,252273,3799940,4553558,-407824,-3812701,-2730651,-3447224,-1081317,335688,993557,3199113,-4170779,3306853000
81,Other Working Capital,27277800,20771491,147191661,-4539609,57700011,120216842,-13230873,9810576,-1130288246,35589664,3111319,78689296,74399183,55480984,-1681819,35823857,32432133
82,Other Non-Cash Items,13942565,22208290,-120566280,157143051,-60360921,-69267359,127769371,-159482,1130397423,-1119934822,91974155,64746547,17383137,10242139,48636671,-48190774,-181506160
83,Cash Provided by Operating Activities,26615839,70534878,82889373,109535918,90524861,94339830,58296117,4777961,-354384,-11373761,-43786769,-45434310,7388971,45470463,21685726,12594907,- -
84,CAPEX,-427965857,-105591698,-139033326,-336657686,-228624263,-302051575,-179462266,-91923,-165168,-534800,-1747099,-22347635,-176791639,-56058712,-202025318,-32659972,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-955093,-8025,- -,- -,- -,- -,-4500000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,2272801,4400278,7838346,- -,- -,4500000,- -,- -,- -
88,Other Investing Activites,- -,-25167513,-307217240,- -,- -,21055784,22631149,394362,209813,- -,4160624,13067244,26042000,20545202,33406713,27168317,- -
89,Cash Used for Investing Activites,-427965857,-130759211,-446250566,-336657686,-228624263,-280995791,-157786210,294414,2317446,3865478,10251871,-9280391,-155249639,-31013510,-168618605,-5491655,- -
90,Debt Repayment,-233180434,- -,-12440000,- -,-48645523,- -,-21875735,- -,- -,- -,-19625000,-51434500,-286525244,-9000000,-170746013,-91734393,-184356000000
91,Common Stock Issued,288600000,33000000,239848264,237328,99999997,- -,- -,- -,- -,- -,- -,85700535,96030003,- -,- -,23497854,- -
92,Common Stock Repurchased,- -,- -,- -,-34055,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-14661000,-71729500,-82134982,-93592906,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25763388000
94,Other Financing Activites,385117980,96702596,348716112,176816571,148880839,244432868,17319351,-12027610,-400306,24250000,38080772,72068615,318090843,16380724,298645539,90851773,123802547000
95,Cash Used/Provided by Financing Activities,425876546,57973096,493989394,83426938,200235313,244432868,-4556384,-12027610,-400306,24250000,18455772,106334650,127595602,7380724,127899526,22615234,-86316841000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-2251037,130628201,-143694830,62135911,57776907,-104046477,-6955235,1562756,20292563,-15079126,51619949,-20265066,21837677,-19033353,29718486,86132703229
98,Cash at the End of Period,24526528,22275491,152903692,9208862,71344773,129121680,25075203,18119968,19682724,39975287,24896161,76516110,56251044,78163638,59130285,88848771,86221552000
99,Cash at the Beginning of Period,- -,24526528,22275491,152903692,9208862,71344773,129121680,25075203,18119968,19682724,39975287,24896161,76516110,56325961,78163638,59130285,88848771
100,Free Cash Flow,-401350018,-35056820,-56143953,-227121768,-138099402,-207711745,-121166149,4686038,-519552,-11908561,-45533868,-67781945,-169402668,-10588249,-180339592,-20065065,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1322439/000095013608001032/0000950136-08-001032-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000091957409004297/0000919574-09-004297-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000091957410002124/0000919574-10-002124-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000091957411001959/0000919574-11-001959-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000114036112016024/0001140361-12-016024-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000114420413019308/0001144204-13-019308-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000143774914005582/0001437749-14-005582-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000143774915006809/0001437749-15-006809-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000143774916028714/0001437749-16-028714-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000143774917005696/0001437749-17-005696-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828018003092/0001628280-18-003092-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828019002879/0001628280-19-002879-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828020003466/0001628280-20-003466-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828021004645/0001628280-21-004645-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828022005984/0001628280-22-005984-index.htm
102,false,,,,,,,,,,,,,,,,,
