,https://roic.ai/company/CAG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,304705882,359268293,356976744,358181818,365714286,410845070,463866667,456111111,453956044,453461538,450750000,452205882,450882353,471578947,475700000,511600000,525800000,528600000,527200000,516200000,518100000,504200000,487225131,452900000,443600000,429700000,412900000,410800000,421300000,426100000,434400000,431900000,403900000,444000000,487300000,485800000
28,Weighted Average Shares Outstanding Diluted,304705882,359268293,356976744,364814815,365714286,410845070,463866667,464716981,453956044,453461538,450750000,452205882,461052632,477866667,478600000,514300000,528000000,530700000,530700000,520200000,520200000,507100000,489789474,455400000,447100000,434300000,418300000,417600000,427500000,426100000,438500000,436000000,407400000,445600000,488600000,487800000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23217/000002321794000020/0000023217-94-000020-index.html,https://www.sec.gov/Archives/edgar/data/23217/000002321795000021/0000023217-95-000021-index.html,https://www.sec.gov/Archives/edgar/data/23217/000002321796000029/0000023217-96-000029-index.html,https://www.sec.gov/Archives/edgar/data/23217/000091205797028887/0000912057-97-028887-index.html,https://www.sec.gov/Archives/edgar/data/23217/000104746998033094/0001047469-98-033094-index.html,- -,https://www.sec.gov/Archives/edgar/data/23217/000091205700039144/0000912057-00-039144-index.html,- -,https://www.sec.gov/Archives/edgar/data/23217/000091205702033303/0000912057-02-033303-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000110465903017219/0001104659-03-017219-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000110465904022554/0001104659-04-022554-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000110465905038863/0001104659-05-038863-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000110465906049523/0001104659-06-049523-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000119312507161690/0001193125-07-161690-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000119312508156175/0001193125-08-156175-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000095012309025102/0000950123-09-025102-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000095012310067148/0000950123-10-067148-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000095012311066520/0000950123-11-066520-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000119312512308387/0001193125-12-308387-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000144530513001653/0001445305-13-001653-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000002321714000009/0000023217-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828015005333/0001628280-15-005333-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828016017613/0001628280-16-017613-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828017007184/0001628280-17-007184-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000002321718000005/0000023217-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000002321719000006/0000023217-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000156459020033366/0001564590-20-033366-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000156459021037738/0001564590-21-037738-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,128600000,194900000,167800000,380400000,120500000,715700000,354800000,257000000,166000000,60000000,114000000,106000000,95200000,63000000,158000000,198000000,158000000,629000000,609000000,208000000,332000000,735000000,141000000,243200000,953000000,972000000,103000000,184000000,183000000,183100000,798100000,251400000,128000000,236600000,553300000,79200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,128600000,194900000,167800000,380400000,120500000,715700000,354800000,257000000,166000000,60000000,114000000,106000000,95200000,63000000,158000000,198000000,158000000,629000000,609000000,208000000,332000000,735000000,141000000,243200000,953000000,972000000,103000000,184000000,273000000,183100000,798100000,251400000,128000000,236600000,553300000,79200000
34,Net Receivables,478300000,602400000,754400000,1094900000,1300000000,1228900000,1290400000,1421400000,1590000000,1540000000,1428000000,1368000000,1535600000,1638000000,1607000000,1605000000,1394000000,976000000,1384000000,1292000000,1181000000,1203000000,891000000,781400000,850000000,849000000,925000000,1286000000,1393000000,972900000,650100000,563400000,569400000,831700000,860800000,793900000
35,Inventory,640700000,864000000,1096100000,1383100000,1648800000,2019800000,2373900000,2439200000,2884000000,3167000000,3573000000,3343000000,3523100000,3640000000,3787000000,5071000000,4305000000,3275000000,2581000000,2615000000,2133000000,2349000000,1932000000,2025100000,1607000000,1803000000,1870000000,2394000000,2293000000,2201200000,1083200000,934200000,988700000,1571700000,1377900000,1734000000
36,Other Current Assets,35900000,45800000,57900000,302000000,278500000,378500000,352100000,369100000,503000000,373000000,452000000,388000000,333500000,315000000,415000000,489000000,577000000,1180000000,575000000,409000000,1144000000,719000000,3118000000,286900000,550000000,275000000,321000000,516000000,272000000,310500000,1045300000,264200000,252800000,93800000,93900000,95000000
37,Total Current Assets,1283500000,1707100000,2076200000,3160400000,3347800000,4342900000,4371200000,4486700000,5143000000,5140000000,5567000000,5205000000,5487400000,5656000000,5967000000,7363000000,6434000000,6060000000,5149000000,4524000000,4790000000,5006000000,6082000000,3336600000,3960000000,3899000000,3219000000,4380000000,4231000000,3667700000,3576700000,2013200000,1938900000,2733800000,2885900000,2702100000
38,PP&E,427100000,601900000,696100000,825500000,1034700000,1941500000,2276800000,2388200000,2586000000,2796000000,2821000000,3243000000,3395800000,3614000000,3584000000,3885000000,3894000000,2820000000,2880000000,2848000000,2276000000,2321000000,2490000000,2640400000,2625000000,2670000000,2742000000,3859000000,3812000000,3608100000,1701600000,1664900000,1589500000,2395300000,2389600000,2608500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3835000000,3797000000,3798000000,3446000000,3447000000,3483000000,3491300000,3552000000,3609000000,4015000000,8451000000,7837000000,6300300000,4396200000,4298300000,4487400000,11499600000,11436300000,11373500000
40,Intangible Assets,48800000,70800000,73700000,116200000,251500000,2710900000,2723600000,2670300000,2626000000,2420000000,2406000000,2434000000,2390800000,2409000000,2366000000,4840000000,4748000000,835000000,827000000,820000000,800000000,776000000,817000000,835300000,875000000,936000000,1192000000,3422000000,3206000000,3030000000,1237200000,1232900000,1282800000,4661400000,4315700000,4157600000
41,Intangible Assets,48800000,70800000,73700000,116200000,251500000,2710900000,2723600000,2670300000,2626000000,2420000000,2406000000,2434000000,2390800000,2409000000,2366000000,4840000000,4748000000,4670000000,4624000000,4618000000,4246000000,4223000000,4300000000,4326600000,4427000000,4545000000,5207000000,11873000000,11043000000,9330300000,5633400000,5531200000,5770200000,16161000000,15752000000,15531100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,741300000,776200000,796300000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,60300000,102700000,196900000,176100000,170200000,425000000,387100000,443500000,367000000,445000000,403000000,395000000,428800000,467000000,379000000,393000000,420000000,1521000000,1569000000,802000000,658000000,286000000,811000000,769700000,726000000,295000000,274000000,293000000,280000000,936100000,2478900000,145700000,314700000,127400000,1276500000,1353900000
45,Total Non-Current Assets,536200000,775400000,966700000,1117800000,1456400000,5077400000,5387500000,5502000000,5579000000,5661000000,5630000000,6072000000,6215400000,6490000000,6329000000,9118000000,9062000000,9011000000,9073000000,8268000000,7180000000,6830000000,7601000000,7736700000,7778000000,7510000000,8223000000,16025000000,15135000000,13874500000,9813900000,8083100000,8450600000,19480000000,19418100000,19493500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1819700000,2482500000,3042900000,4278200000,4804200000,9420300000,9758700000,9988700000,10722000000,10801000000,11197000000,11277000000,11702800000,12146000000,12296000000,16481000000,15496000000,15071000000,14222000000,12792000000,11970000000,11836000000,13683000000,11073300000,11738000000,11409000000,11442000000,20405000000,19366000000,17542200000,13390600000,10096300000,10389500000,22213800000,22304000000,22195600000
48,Accounts Payable,- -,- -,- -,- -,1390000000,2363400000,2637600000,1459600000,3298000000,1575000000,1857000000,1895000000,1962000000,2037000000,2045000000,2290000000,2165000000,1277000000,941000000,818000000,869000000,1108000000,786000000,823800000,919000000,1084000000,1190000000,1502000000,1492000000,1358300000,706700000,773100000,905300000,1255300000,1525600000,1655900000
49,Short-Term Debt,12100000,12900000,23000000,372000000,382800000,794600000,390300000,710100000,419000000,- -,416000000,529000000,910300000,838000000,1256000000,2677000000,31000000,535600000,413000000,125800000,431100000,39500000,614700000,28400000,260800000,363500000,78100000,702900000,226000000,1015900000,610200000,227200000,584300000,21600000,846600000,730500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,914100000,1223700000,1613100000,2279500000,1194700000,929400000,1053400000,2102900000,1036000000,2390000000,2921000000,2566000000,2197900000,2511000000,2188000000,1969000000,2117000000,1990400000,1651000000,1445200000,1664900000,1533500000,2250300000,722500000,856200000,678500000,956900000,1196100000,924000000,936000000,1215500000,720200000,846600000,865700000,915200000,919800000
53,Total Current Liabilities,926200000,1236600000,1636100000,2651500000,2967500000,4087400000,4081300000,4272600000,4753000000,3965000000,5194000000,4990000000,5070200000,5386000000,5489000000,6936000000,4313000000,3803000000,3005000000,2389000000,2965000000,2681000000,3651000000,1574700000,2036000000,2126000000,2225000000,3401000000,2642000000,3310200000,2532400000,1720500000,2336200000,2142600000,3287400000,3306200000
54,Long-Term Debt,309000000,428700000,489900000,560100000,635400000,2093000000,2124400000,2159200000,2207000000,2520000000,2263000000,2356000000,2487400000,2543000000,2567000000,4110000000,5744000000,5395000000,5281000000,4349000000,3155000000,3420000000,3387000000,3461300000,3226000000,2870000000,2859000000,8887000000,8768000000,6888900000,4881400000,2769200000,3231500000,10655700000,9106900000,8463500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,59800000,81400000,92900000,108400000,103300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1330100000,1271400000
57,Other Non-Current Liabilities,14200000,13300000,9600000,8700000,- -,1066400000,964700000,1146500000,1079000000,941000000,959000000,934000000,841300000,783000000,751000000,927000000,956000000,1077000000,1142000000,1194000000,1200000000,1152000000,1307000000,1316400000,1552000000,1711000000,1918000000,2853000000,2698000000,2733100000,2263200000,1615800000,1145600000,2030900000,628900000,523100000
58,Total Non-Current Liabilities,383000000,523400000,592400000,677200000,738700000,3159400000,3089100000,3305700000,3286000000,3461000000,3222000000,3290000000,3328700000,3326000000,3318000000,5037000000,6700000000,6472000000,6423000000,5543000000,4355000000,4572000000,4694000000,4777700000,4778000000,4581000000,4777000000,11740000000,11466000000,9622000000,7144600000,4385000000,4377100000,12686600000,11065900000,10258000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20600000,206100000,188300000
61,Total Liabilities,1309200000,1760000000,2228500000,3328700000,3706200000,7246800000,7170400000,7578300000,8039000000,7426000000,8416000000,8280000000,8398900000,8712000000,8807000000,11973000000,11013000000,10275000000,9428000000,7932000000,7320000000,7253000000,8345000000,6352400000,6814000000,6707000000,7002000000,15141000000,14108000000,12932200000,9677000000,6105500000,6713300000,14829200000,14353300000,13564200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,1264000000,1264000000,1265000000,1265000000,- -,2598000000,2621000000,2827000000,2828000000,2828000000,2829000000,2830000000,2831000000,2832000000,2833000000,2835900000,2840000000,2840000000,2840000000,2840000000,2840000000,2839700000,2839700000,2839700000,2839700000,2921200000,2921200000,2921200000
64,Retained Earnings,276100000,352700000,444300000,560700000,490600000,692500000,1048500000,1167000000,1423000000,1713000000,1684000000,2061000000,1325600000,1370000000,1421000000,1535000000,1822000000,2081000000,2349000000,2438000000,2455000000,2856000000,3410000000,4042500000,4417000000,4854000000,4765000000,5130000000,5011000000,4331100000,3218300000,4247000000,4744900000,5047900000,5471200000,6262600000
65,Other Comprehensive Income/Loss,-232900000,-400200000,-470500000,-572200000,-668900000,-798600000,-1087500000,-1330800000,-66000000,-90000000,-78000000,-64000000,-2271700000,-1058000000,-930000000,-776000000,-804000000,-326200000,-1600000,39300000,-24000000,-5900000,286500000,-103700000,-285300000,-222700000,-299100000,-196100000,-134300000,-329500000,-344500000,-212900000,-110500000,-110300000,-109600000,5800000
66,Other Total Stockholders Equity,467300000,770000000,840600000,961000000,1276300000,2279600000,2627300000,2574200000,62000000,488000000,- -,- -,4250000000,524000000,377000000,922000000,637000000,38900000,-336900000,-447900000,-612000000,-1099200000,-1192100000,-2053800000,-2047800000,-2769800000,-2866400000,-2509500000,-2458200000,-2315300000,-1999900000,-2883000000,-3797900000,-474200000,-406700000,-637800000
67,Total Stockholders Equity,510500000,722500000,814400000,949500000,1098000000,2173500000,2588300000,2410400000,2683000000,3375000000,2781000000,2997000000,3303900000,3434000000,3489000000,4508000000,4483000000,4621700000,4839500000,4859400000,4650000000,4582900000,5337400000,4720900000,4923900000,4701500000,4439500000,5264400000,5258500000,4526000000,3713600000,3990800000,3676200000,7384600000,7876100000,8551800000
68,Total Liabilities And Stockholders Equity,1819700000,2482500000,3042900000,4278200000,4804200000,9420300000,9758700000,9988700000,10722000000,10801000000,11197000000,11277000000,11702800000,12146000000,12296000000,16481000000,15496000000,14896700000,14267500000,12791400000,11970000000,11835900000,13682400000,11073300000,11737900000,11408500000,11441500000,20405400000,19366500000,17458200000,13390600000,10096300000,10389500000,22213800000,22229400000,22116000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174300000,-45500000,600000,- -,100000,600000,- -,100000,500000,500000,-400000,-500000,84000000,- -,- -,- -,- -,74600000,79600000
70,Total Liabilities & Equity,1819700000,2482500000,3042900000,4278200000,4804200000,9420300000,9758700000,9988700000,10722000000,10801000000,11197000000,11277000000,11702800000,12146000000,12296000000,16481000000,15496000000,15071000000,14222000000,12792000000,11970000000,11836000000,13683000000,11073300000,11738000000,11409000000,11442000000,20405000000,19366000000,17542200000,13390600000,10096300000,10389500000,22213800000,22304000000,22195600000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23217/000002321794000020/0000023217-94-000020-index.html,https://www.sec.gov/Archives/edgar/data/23217/000002321795000021/0000023217-95-000021-index.html,https://www.sec.gov/Archives/edgar/data/23217/000002321796000029/0000023217-96-000029-index.html,https://www.sec.gov/Archives/edgar/data/23217/000091205797028887/0000912057-97-028887-index.html,https://www.sec.gov/Archives/edgar/data/23217/000104746998033094/0001047469-98-033094-index.html,- -,https://www.sec.gov/Archives/edgar/data/23217/000091205700039144/0000912057-00-039144-index.html,- -,https://www.sec.gov/Archives/edgar/data/23217/000091205702033303/0000912057-02-033303-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000110465903017219/0001104659-03-017219-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000110465904022554/0001104659-04-022554-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000110465905038863/0001104659-05-038863-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000110465906049523/0001104659-06-049523-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000119312507161690/0001193125-07-161690-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000119312508156175/0001193125-08-156175-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000095012309025102/0000950123-09-025102-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000095012310067148/0000950123-10-067148-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000095012311066520/0000950123-11-066520-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000119312512308387/0001193125-12-308387-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000144530513001653/0001445305-13-001653-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000002321714000009/0000023217-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828015005333/0001628280-15-005333-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828016017613/0001628280-16-017613-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828017007184/0001628280-17-007184-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000002321718000005/0000023217-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000002321719000006/0000023217-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000156459020033366/0001564590-20-033366-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000156459021037738/0001564590-21-037738-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
