,https://roic.ai/company/WFRD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,20000000,3000000,5300000,19400000,30000000,37800000,43000000,47800000,58000000,62200000,77700000,75000000,144200000,464100000,448800000,586704000,390529000,681401000,479124000,557275000,813176000,1020913000,1150116000,1379555000,1659742000,1856063000,2001000000,2197000000,2309000000,2307000000,1811000000,1268000000,1198000000,1033000000,1031000000,2364000000,823000000
11,COGS and Expenses,21900000,3800000,15300000,53600000,102900000,145000000,168100000,188000000,227400000,229000000,319200000,431700000,750300000,1720200000,1176000000,1641017000,1919241000,2263543000,2309754000,2716027000,3763798000,5238719000,6207726000,7622015000,8123078000,9439344000,11666000000,14052000000,14611000000,13768000000,9832000000,6457000000,6087000000,5547000000,4884000000,5171000000,3539000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11265000,2617000,2641000,1909000,3846000,11208000,6656000,11847000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,800000,2100000,3100000,3300000,5400000,7600000,13700000,16700000,16500000,- -,54500000,- -,59262000,74006000,85523000,76731000,63562000,80343000,109577000,183128000,243679000,366748000,405785000,453000000,486000000,516000000,498000000,468000000,499000000,579000000,614000000,362000000,266000000,260000000
14,Depreciation and Amortization,17600000,1700000,400000,1600000,4000000,5700000,8000000,10500000,12300000,14300000,20800000,16800000,33700000,170700000,166700000,206634000,223519000,230773000,249013000,272712000,345770000,483061000,606226000,731808000,906697000,1047334000,1135000000,1282000000,1402000000,1371000000,1200000000,956000000,801000000,556000000,447000000,503000000,440000000
15,EBITDA,9900000,2600000,1400000,3800000,11200000,60800000,20000000,16000000,30600000,30600000,53900000,138500000,153400000,324600000,154300000,332996000,635224000,305910000,519697000,759092000,1052699000,1805531000,2192720000,2618201000,1546760000,1642915000,2336000000,1452000000,1717000000,1569000000,-462000000,-1441000000,-1296000000,-1607000000,4605000000,-1215000000,336000000
16,EBITDA ratio,0.7857,1.0400,0.0915,0.0701,0.1038,0.3971,0.1124,0.0832,0.1244,0.1231,0.1533,0.2897,0.1719,0.1614,0.1244,0.1835,0.2728,0.1314,0.2005,0.2424,0.2429,0.2744,0.2800,0.2727,0.1752,0.1607,0.1798,0.0954,0.1125,0.1052,-0.0490,-0.2507,-0.2274,-0.2798,0.9296,-0.3297,0.0922
17,Operating Income,-9300000,-1300000,- -,600000,5000000,8100000,9900000,4300000,18600000,19500000,32400000,46300000,142000000,290500000,64200000,173244000,409474000,65387000,281654000,415747000,569429000,1340209000,1624336000,1978549000,703855000,781453000,1324000000,298000000,523000000,505000000,-1546000000,-2251000000,-2129000000,-2084000000,-1182000000,-1486000000,116000000
18,Operating Income ratio,-0.7381,-0.5200,- -,0.0111,0.0463,0.0529,0.0556,0.0224,0.0756,0.0785,0.0922,0.0969,0.1591,0.1445,0.0518,0.0955,0.1758,0.0281,0.1087,0.1328,0.1314,0.2037,0.2074,0.2061,0.0797,0.0765,0.1019,0.0196,0.0343,0.0339,-0.1639,-0.3915,-0.3736,-0.3628,-0.2386,-0.4033,0.0318
19,Total Other Income Expenses (Gains),1600000,2200000,1400000,800000,100000,43900000,-1200000,1100000,-5800000,-13100000,-16000000,-14800000,-13300000,-191100000,-39500000,-102686000,-71775000,-75773000,-87037000,15000000,55506000,-115986000,-179850000,-288635000,-404381000,-576864000,-560000000,-586000000,-693000000,-760000000,-550000000,-626000000,-527000000,-673000000,5001000000,-328000000,-459000000
20,Income Before Tax,-7700000,900000,1000000,1400000,5100000,52000000,8700000,- -,12800000,6400000,16400000,31500000,128700000,99400000,24700000,70558000,337699000,-10386000,194617000,430747000,624935000,1224223000,1444486000,1689914000,299474000,204589000,764000000,-288000000,-170000000,-255000000,-2096000000,-2877000000,-2656000000,-2757000000,3819000000,-1814000000,-343000000
21,Income Before Tax Ratio,-0.6111,0.3600,0.0654,0.0258,0.0473,0.3396,0.0489,- -,0.0520,0.0258,0.0466,0.0659,0.1442,0.0494,0.0199,0.0389,0.1450,-0.0045,0.0751,0.1375,0.1442,0.1861,0.1844,0.1760,0.0339,0.0200,0.0588,-0.0189,-0.0111,-0.0171,-0.2222,-0.5004,-0.4660,-0.4800,0.7709,-0.4923,-0.0941
22,Income Tax expense (Gain),-3600000,400000,300000,500000,2200000,20400000,2800000,- -,4900000,1800000,5100000,7000000,45000000,34600000,8500000,109450000,123048000,-4356000,50601000,92672000,159166000,316524000,332760000,288811000,19549000,297721000,486000000,462000000,144000000,284000000,-145000000,496000000,137000000,34000000,135000000,-85000000,86000000
23,Net Income,-4100000,500000,700000,900000,2900000,31600000,5900000,100000,5800000,800000,11300000,98200000,74700000,64800000,-20900000,-42350000,214651000,-6030000,143352000,330146000,467420000,896369000,1070606000,1353903000,253766000,-107925000,262000000,-778000000,-345000000,-584000000,-1985000000,-3392000000,-2813000000,-2811000000,3661000000,-1899000000,-450000000
24,Net Income ratio,-0.3254,0.2000,0.0458,0.0166,0.0269,0.2064,0.0331,0.0005,0.0236,0.0032,0.0321,0.2054,0.0837,0.0322,-0.0169,-0.0233,0.0922,-0.0026,0.0553,0.1054,0.1079,0.1362,0.1367,0.1410,0.0287,-0.0106,0.0202,-0.0511,-0.0226,-0.0392,-0.2104,-0.5900,-0.4936,-0.4894,0.7390,-0.5153,-0.1235
25,EPS,-0.05,0.01,0.01,0.01,0.04,0.39,0.07,0.00,-0.02,0.02,0.19,0.60,0.41,0.17,-0.05,-0.10,0.47,-0.05,1.13,2.46,1.56,2.59,3.16,1.98,0.35,0.03,1.03,-1.02,-0.45,-0.75,-2.55,-3.82,-2.84,-2.82,3.65,-27.44,-6.43
26,EPS Diluted,-0.05,0.01,0.01,0.01,0.04,0.39,0.07,0.00,-0.02,0.02,0.19,0.59,0.40,0.17,-0.05,-0.10,0.44,-0.05,1.09,2.30,1.47,2.53,3.08,1.94,0.35,0.03,1.02,-1.02,-0.45,-0.75,-2.55,-3.82,-2.84,-2.82,3.65,-27.44,-6.43
27,Weighted Average Shares Outstanding,86315789,66666667,70000000,72000000,72500000,81025641,90769231,80000000,94117647,50516000,58896000,162987552,184444444,386865672,398095238,437828000,456072000,120058000,126524000,134000000,300336000,346123000,338516000,682704000,714981000,743125000,752527000,765000000,772000000,777000000,779000000,887000000,990000000,997000000,1004000000,70000000,70000000
28,Weighted Average Shares Outstanding Diluted,86315789,66666667,70000000,72000000,72500000,81025641,90769231,80000000,94117647,50516000,58896000,165738397,189113924,392727273,418000000,437828000,533020000,120058000,131761000,148684000,322286000,354832000,347758000,698178000,723449000,750128000,759565000,765000000,772000000,777000000,779000000,887000000,990000000,997000000,1004000000,70000000,70000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1603923/000160392321000013/0001603923-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1603923/000160392322000051/0001603923-22-000051-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48837000,56082000,317439000,134245000,126287000,170714000,238398000,252519000,415772000,371000000,300000000,435000000,474000000,467000000,1037000000,613000000,602000000,618000000,1118000000,951000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48837000,56082000,317439000,134245000,126287000,170714000,238398000,252519000,415772000,371000000,300000000,435000000,474000000,467000000,1037000000,613000000,602000000,618000000,1118000000,951000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,485178000,561356000,742291000,1259990000,1560849000,1961854000,2442848000,2504876000,2629403000,3235000000,3885000000,3594000000,3015000000,1781000000,1383000000,1103000000,1130000000,1241000000,826000000,825000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,547744000,642114000,679607000,890121000,1239034000,1607684000,2088342000,2239762000,2590008000,3158000000,3675000000,3371000000,3087000000,2344000000,1802000000,1234000000,1025000000,972000000,717000000,670000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177480000,176472000,203841000,354517000,433827000,731517000,800694000,1143449000,856884000,935000000,1169000000,1374000000,1368000000,972000000,688000000,928000000,693000000,622000000,516000000,465000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1259239000,1436024000,1943178000,2638873000,3359997000,4471769000,5570282000,6140606000,6492067000,7699000000,9029000000,8774000000,7944000000,5564000000,4910000000,3878000000,3450000000,3453000000,3177000000,2911000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1126162000,1284258000,1377182000,2367237000,3003648000,4153845000,5922172000,6991579000,6939754000,7283000000,8299000000,8368000000,7123000000,5679000000,4480000000,2708000000,2086000000,2122000000,1374000000,1109000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3007487000,3358490000,3530915000,4156105000,4185477000,4422000000,3871000000,3709000000,3011000000,2803000000,2797000000,2727000000,713000000,239000000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1757035000,1892598000,1964230000,3429582000,599828000,596999000,701483000,778786000,730429000,711000000,766000000,626000000,440000000,356000000,248000000,213000000,- -,1114000000,810000000,657000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1757035000,1892598000,1964230000,3429582000,3607315000,3955489000,4232398000,4934891000,4915906000,5133000000,4637000000,4335000000,3451000000,3159000000,3045000000,2940000000,713000000,1353000000,810000000,657000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,515770000,542667000,539580000,616000000,646000000,296000000,106000000,76000000,66000000,62000000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,352553000,387332000,258892000,144612000,168288000,609854000,235891000,256440000,244347000,454000000,184000000,204000000,265000000,309000000,163000000,159000000,352000000,365000000,73000000,97000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3235750000,3564188000,3600304000,5941431000,6779251000,8719188000,10906231000,12725577000,12639587000,13486000000,13766000000,13203000000,10945000000,9223000000,7754000000,5869000000,3151000000,3840000000,2257000000,1863000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4494989000,5000212000,5543482000,8580304000,10139248000,13190957000,16476513000,18866183000,19131654000,21185000000,22795000000,21977000000,18889000000,14787000000,12664000000,9747000000,6601000000,7293000000,5434000000,4774000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186326000,252113000,279763000,476363000,512495000,612775000,886104000,1002359000,1335020000,1567000000,2108000000,2091000000,1736000000,948000000,845000000,856000000,732000000,585000000,325000000,380000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364272000,207342000,22235000,954766000,648736000,774220000,1255947000,869581000,235392000,1320000000,1585000000,1666000000,727000000,1582000000,179000000,148000000,383000000,13000000,84000000,71000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82489000,- -,43167000,141000000,167000000,183000000,230000000,203000000,255000000,228000000,214000000,205000000,185000000,140000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281000000,127000000,1000000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326879000,322887000,358008000,567012000,881914000,815370000,880042000,924948000,1012567000,1326000000,1736000000,1815000000,1563000000,1501000000,1404000000,1226000000,1185000000,1074000000,953000000,881000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,877477000,782342000,660006000,1998141000,2043145000,2202365000,3022093000,2796888000,2582979000,4213000000,5710000000,5699000000,4027000000,4031000000,2428000000,2230000000,2300000000,1672000000,1362000000,1332000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1513907000,1379611000,1404431000,632071000,1564600000,3066335000,4564255000,5847258000,6529998000,6286000000,7049000000,7061000000,6798000000,5879000000,7403000000,7541000000,7605000000,2151000000,2601000000,2544000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34399000,19416000,30580000,88476000,136208000,197494000,228576000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94710000,110775000,135076000,194799000,220496000,318044000,295540000,423333000,553830000,1133000000,1218000000,1014000000,1031000000,512000000,765000000,547000000,362000000,554000000,534000000,402000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1643016000,1509802000,1570087000,915346000,1921304000,3581873000,5088371000,6270591000,7083828000,7419000000,8267000000,8075000000,7829000000,6391000000,8168000000,8088000000,7967000000,2705000000,3135000000,2946000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,305000000,243000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2520493000,2292144000,2230093000,2913487000,3964449000,5784238000,8110464000,9067479000,9666807000,11632000000,13977000000,13774000000,11856000000,10422000000,10596000000,10318000000,10267000000,4377000000,4497000000,4278000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130799000,141422000,145279000,358973000,361921000,363602000,728689000,761077000,761077000,769000000,775000000,775000000,1000000,1000000,1000000,1000000,1000000,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262020000,405372000,735518000,1202938000,2099307000,3170182000,4524085000,4817101000,4348845000,4352000000,3356000000,3011000000,2427000000,442000000,-2950000000,-5763000000,-8671000000,-26000000,- -,-2397000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-147900000,20734000,129291000,92652000,119153000,437788000,-266761000,114742000,152118000,70000000,163000000,-187000000,-881000000,-1641000000,-1610000000,-1519000000,-1746000000,9000000,-43000000,-35000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1729577000,2140540000,2303301000,4012254000,3594418000,3435147000,3299635000,4026752000,4138891000,4341000000,4492000000,4563000000,5411000000,5502000000,6571000000,6655000000,6711000000,- -,980000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1974496000,2708068000,3313389000,5666817000,6174799000,7406719000,8285648000,9719672000,9400931000,9532000000,8786000000,8162000000,6958000000,4304000000,2012000000,-626000000,-3705000000,2880000000,907000000,472000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4494989000,5000212000,5543482000,8580304000,10139248000,13190957000,16396112000,18787151000,19067738000,21164000000,22763000000,21936000000,18814000000,14726000000,12608000000,9692000000,6562000000,7257000000,5404000000,4750000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80401000,79032000,63916000,21000000,32000000,41000000,75000000,61000000,56000000,55000000,39000000,36000000,30000000,24000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4494989000,5000212000,5543482000,8580304000,10139248000,13190957000,16476513000,18866183000,19131654000,21185000000,22795000000,21977000000,18889000000,14787000000,12664000000,9747000000,6601000000,7293000000,5434000000,4774000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1603923/000160392321000013/0001603923-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1603923/000160392322000051/0001603923-22-000051-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4100000,500000,- -,900000,2900000,31600000,5900000,100000,5800000,800000,11300000,98200000,74700000,64800000,-20900000,-42350000,214651000,-6030000,143352000,330146000,467420000,896369000,1070606000,1353903000,253766000,-107925000,262000000,-778000000,-345000000,-584000000,-1985000000,-3392000000,-2813000000,-2811000000,3661000000,-1899000000,-450000000
74,Depreciation and Amortization,17600000,1700000,- -,1600000,4000000,5700000,8000000,10500000,12300000,14300000,20800000,16800000,33700000,170700000,166700000,206634000,223519000,230773000,249013000,272712000,345770000,483061000,606226000,731808000,906697000,1047334000,1135000000,1282000000,1402000000,1371000000,1200000000,956000000,801000000,556000000,447000000,503000000,440000000
75,Deferred Income Tax,- -,- -,- -,- -,2100000,8100000,1100000,2300000,100000,-1000000,2000000,-8000000,23900000,-20500000,-15700000,74965000,50374000,-93798000,-16793000,-15726000,28777000,43319000,28873000,-41442000,-110326000,55033000,149000000,-13000000,-33000000,-66000000,-448000000,381000000,-25000000,-79000000,25000000,-5000000,-10000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98725000,87000000,76000000,66000000,56000000,73000000,87000000,70000000,47000000,46000000,- -,25000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381762000,271920000,629490000,-642440000,676120000,952552000,278785000,795529000,565370000,-423088000,-167000000,-244000000,842000000,-2384000000,949000000,-834000000,-498000000,631000000,34000000,86000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-461239000,100205000,-190304000,-626000000,-705000000,-12000000,78000000,1031000000,214000000,-29000000,-70000000,-135000000,378000000,-6000000
79,Inventory,- -,- -,- -,- -,-3000000,-8700000,-12100000,10200000,-24300000,-6700000,-34300000,-16300000,-69200000,-73600000,-23500000,-74628000,-98383000,-35775000,-76514000,-70712000,-150762000,-338323000,-417305000,-581981000,-46030000,-360062000,-606000000,-738000000,129000000,-167000000,349000000,260000000,-37000000,86000000,-215000000,64000000,-18000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230596000,41277000,298493000,237000000,543000000,69000000,-150000000,-813000000,-21000000,-2000000,-90000000,-72000000,-250000000,56000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381762000,653682000,1283172000,640732000,1316852000,2269404000,2548189000,3343718000,3909088000,3486000000,3319000000,3075000000,3917000000,1533000000,2482000000,1648000000,1150000000,1781000000,1815000000,54000000
82,Other Non-Cash Items,-13500000,-2200000,- -,-2500000,-4400000,-44900000,-23800000,-11100000,-23800000,-18900000,-56000000,-104200000,-145600000,-87100000,-67100000,-106746000,-239576000,-242890000,-362090000,-713143000,303567000,-1011850000,-1785751000,-1218486000,-1231344000,-530524000,-376912000,821000000,383000000,-656000000,4250000000,705000000,2413000000,2543000000,-5557000000,1577000000,231000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,4600000,500000,-8800000,1800000,-5600000,-4800000,-21900000,2800000,-13300000,127900000,63000000,132503000,248968000,269817000,285402000,503479000,503094000,1087019000,872506000,1104568000,614322000,1128013000,833000000,1221000000,1229000000,963000000,706000000,-314000000,-388000000,-242000000,-747000000,210000000,322000000
84,CAPEX,- -,- -,- -,- -,-15200000,-39300000,-24400000,-22400000,-14900000,-19600000,-32700000,-89000000,-62600000,-344700000,-277300000,-266560000,-339425000,-268687000,-302502000,-310868000,-526618000,-1102285000,-1658076000,-2508242000,-1603687000,-1000521000,-1532000000,-2194000000,-1584000000,-1455000000,-690000000,-214000000,-240000000,-214000000,-263000000,-158000000,-85000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151024000,-423161000,-111754000,-61527000,-46958000,-991067000,-194314000,-275149000,-798530000,86751000,50966000,-113000000,-112000000,480000000,1785000000,31000000,-11000000,422000000,261000000,328000000,11000000,- -
86,Purchases of Investments,- -,- -,- -,- -,-1200000,- -,- -,- -,- -,- -,- -,- -,- -,-20700000,- -,- -,- -,- -,- -,- -,- -,- -,-335220000,-11568000,- -,- -,-14000000,-8000000,- -,-3000000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,4500000,2400000,- -,- -,- -,- -,- -,- -,23400000,- -,- -,- -,- -,- -,- -,231798000,276750000,14240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,- -
