,https://roic.ai/company/BTG,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,25360717,105314060,224000000,236791000,413533000,540476000,1935229000,1858926000,1820786000,2059066000,2289306000,2184773000,2275592000,2599681000,2515176000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,130639780,152222757,247354000,337854000,563041000,676465000,2309726000,2118598000,2024382000,2336135000,2685157000,2547804000,2683071000,3362379000,3561293000
48,Accounts Payable,1114726,2911546,- -,- -,22610000,24366000,65812000,53055000,58744000,81722000,95092000,80318000,83370000,89062000,111716000
49,Short-Term Debt,2674392,2674392,1061000,102000,81000,- -,12965000,10456000,11726000,13935000,302630000,25008000,26030000,34111000,25408000
50,Tax Payable,- -,- -,- -,- -,6254000,13797000,15658000,16610000,10686000,13180000,26448000,66904000,53396000,154709000,92275000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,57450000,60000000,30000000,- -,162920000,- -
52,Other Current Liabilities,7500000,- -,10709000,16392000,7630000,19515000,20044000,21208000,28450000,22934000,36822000,71924000,55662000,- -,94065000
53,Total Current Liabilities,11289118,5585938,11770000,16494000,30321000,43881000,98821000,84719000,98920000,176041000,494544000,207250000,165062000,286093000,231189000
54,Long-Term Debt,2404254,- -,8642000,- -,- -,- -,300447000,368832000,451466000,472845000,399551000,454527000,235821000,75911000,49726000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,62550000,30000000,- -,- -,- -,- -
56,Deferred Tax Liabilities,652028,11917826,11616000,16367000,26638000,34148000,186811000,77579000,68939000,74072000,81518000,103384000,145590000,- -,187887000
57,Other Non-Current Liabilities,- -,1,15663000,16354000,30748000,32117000,52280000,62128000,92518000,96063000,113151000,129790000,84946000,- -,131484000
58,Total Non-Current Liabilities,3056282,11917827,35921000,32721000,57386000,66265000,539538000,508539000,612923000,705530000,624220000,687701000,466357000,75911000,369097000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491607000,- -
60,Capital Lease Obligations,101839,101839,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28861000
61,Total Liabilities,14345400,17503765,47691000,49215000,87707000,110146000,638359000,593258000,711843000,881571000,1118764000,894951000,631419000,701789000,600286000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,468550000,1519217000,2018468000,2036778000,2151993000,2197267000,2234050000,2339874000,2407734000,2422184000
64,Retained Earnings,-4195855,-34190836,-61979000,-32489000,13631000,62807000,132640000,-536617000,-706891000,-667760000,-610908000,-547839000,-261245000,254343000,507381000
65,Other Comprehensive Income/Loss,2638226,11307820,-2281000,-18430000,-45492000,-6793000,-40539000,-71553000,-96254000,-95435000,-94294000,-146153000,-145071000,-138533000,-136299000
66,Other Total Stockholders Equity,120536978,169045394,263923000,339558000,507195000,35383000,52333000,59789000,70051000,56191000,60039000,70889000,56685000,48472000,67028000
67,Total Stockholders Equity,116294380,134718993,199663000,288639000,471391000,559947000,1663651000,1470087000,1303684000,1444989000,1552104000,1610947000,1990243000,2572016000,2860294000
68,Total Liabilities And Stockholders Equity,130639780,152222758,247354000,337854000,559098000,670093000,2302010000,2063345000,2015527000,2326560000,2670868000,2505898000,2621662000,3273805000,3460580000
69,Minority Interest,- -,-1,- -,- -,3943000,6372000,7716000,55253000,8855000,9575000,14289000,41906000,61409000,88574000,100713000
70,Total Liabilities & Equity,130639780,152222757,247354000,337854000,563041000,676465000,2309726000,2118598000,2024382000,2336135000,2685157000,2547804000,2683071000,3362379000,3561293000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1429937/000106299314001818/0001062993-14-001818-index.html,- -,https://www.sec.gov/Archives/edgar/data/1429937/000106299316008596/0001062993-16-008596-index.html,https://www.sec.gov/Archives/edgar/data/1429937/000106299317001623/0001062993-17-001623-index.html,https://www.sec.gov/Archives/edgar/data/1429937/000106299318001330/0001062993-18-001330-index.html,https://www.sec.gov/Archives/edgar/data/1429937/000106299319001347/0001062993-19-001347-index.html,https://www.sec.gov/Archives/edgar/data/1429937/000106299320001433/0001062993-20-001433-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-4195855,-29994981,-27788000,29490000,56300000,51907000,67303000,-665273000,-149946000,39131000,56852000,28938000,293382000,628063000,420065000
74,Depreciation and Amortization,46743,88822,2281000,14305000,27442000,- -,2606000,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,-481737,-307788,-782000,4454000,17917000,7510000,-3097000,-93052000,-6842000,7633000,-17990000,40038000,59024000,52102000,-5267000
76,Stock Based Compensation,- -,- -,3220000,1943000,6190000,16635000,18328000,16105000,15215000,13651000,18127000,21693000,17139000,17129000,22571000
77,Change in Working Capital,-427734,50505,-9209000,-1523000,-6583000,-9322000,3484000,3773000,14252000,115664000,-9681000,8630000,-45049000,86777000,-105925000
78,Accounts Receivable,- -,- -,-4330000,-680000,-1179000,-1323000,1406000,10090000,3052000,3728000,-6768000,3345000,-16182000,3977000,568000
79,Inventory,- -,- -,-2457000,-7327000,-6795000,-13906000,11483000,-7495000,7644000,-17855000,-58059000,-41186000,-18445000,-24823000,-24042000
80,Accounts Payable,- -,- -,- -,- -,- -,2952000,-7808000,-3564000,7170000,11931000,20386000,1361000,5305000,7038000,12078000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-37404000,-12794000,-6423000,120000000,30000000,1893000,-1968000,-6178000,- -
82,Other Non-Cash Items,3018513,13576833,19531000,-14343000,1081000,38347000,59203000,852147000,302723000,235732000,107692000,351568000,167477000,166574000,392669000
83,Cash Provided by Operating Activities,-2040070,-16586609,-12747000,34326000,102347000,105077000,147827000,113700000,175402000,411811000,155000000,450867000,491973000,950645000,724113000
84,CAPEX,-7091718,-26265773,-5022000,-14049000,-94042000,-63740000,-247696000,-244221000,-245185000,-339164000,-372398000,-211456000,-220013000,-304391000,-302319000
85,Acquisitions Net,282000,-9000000,-15260000,- -,17821000,- -,87789000,17299000,-6138000,-6000000,-1500000,-2500000,51530000,15525000,-5945000
86,Purchases of Investments,-7701674,-33048053,-2602000,- -,- -,-5068000,-10455000,-1694000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,33048000,1500000,- -,- -,- -,5487000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2373300,-849698,-51426000,-11395000,-1467000,-79027000,-82214000,-67014000,-47594000,-46683000,27055000,-59512000,-94307000,-49090000,-280332000
89,Cash Used for Investing Activites,-16884692,-69163524,-36240000,-9895000,-77688000,-147835000,-252576000,-290143000,-294917000,-391847000,-346843000,-273468000,-262790000,-337956000,-286277000
90,Debt Repayment,- -,- -,-1983000,-21959000,-21000,-10000,-76479000,-22334000,-158396000,-135143000,-18338000,-286420000,-32860000,-32082000,-36054000
91,Common Stock Issued,116927049,- -,25257000,57116000,7943000,8617000,7464000,2820000,563000,44467000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10268000,-115266000,-168372000
94,Other Financing Activites,980516,- -,15404000,7500000,-301000,-192000,358551000,75785000,233223000,131146000,211360000,65911000,-148935000,-131517000,-29802000
95,Cash Used/Provided by Financing Activities,117907565,- -,38678000,42657000,7621000,8415000,289536000,56271000,75390000,40470000,193022000,-220509000,-192063000,-278865000,-234228000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-3296000,-906000,1618000,-1606000,724000,5265000,-10294000
97,Net Change In Cash,117907565,-85750133,-10309000,67088000,32280000,-34343000,184787000,-120172000,-47421000,59528000,2797000,-44716000,37844000,339089000,193314000
98,Cash at the End of Period,98982803,13232670,2924000,70012000,102292000,67949000,252736000,132564000,85143000,144671000,147468000,102752000,140596000,479685000,672999000
99,Cash at the Beginning of Period,- -,98982803,13233000,2924000,70012000,102292000,67949000,252736000,132564000,85143000,144671000,147468000,102752000,140596000,479685000
100,Free Cash Flow,-9131788,-42852382,-17769000,20277000,8305000,41337000,-99869000,-130521000,-69783000,72647000,-217398000,239411000,271960000,646254000,421794000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1429937/000106299314001818/0001062993-14-001818-index.html,- -,https://www.sec.gov/Archives/edgar/data/1429937/000106299316008596/0001062993-16-008596-index.html,https://www.sec.gov/Archives/edgar/data/1429937/000106299317001623/0001062993-17-001623-index.html,https://www.sec.gov/Archives/edgar/data/1429937/000106299318001330/0001062993-18-001330-index.html,https://www.sec.gov/Archives/edgar/data/1429937/000106299319001347/0001062993-19-001347-index.html,https://www.sec.gov/Archives/edgar/data/1429937/000106299320001433/0001062993-20-001433-index.html,- -,- -
102,false,,,,,,,,,,,,,,,
