,https://roic.ai/company/BDSX,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,99000,90000,3461000,1657000
45,Total Non-Current Assets,29144000,28933000,34930000,32484000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,39057000,41633000,121070000,76097000
48,Accounts Payable,886000,1717000,8964000,1662000
49,Short-Term Debt,- -,12159000,11840000,19000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,492000,1283000,3532000,1850000
52,Other Current Liabilities,3090000,7441000,7789000,25429000
53,Total Current Liabilities,4468000,22600000,32125000,28960000
54,Long-Term Debt,23099000,23812000,15926000,- -
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,209520000,223760000,31853000,27410000
58,Total Non-Current Liabilities,232619000,247572000,47779000,27410000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,237087000,270172000,79904000,56370000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,1000,1000,27000,31000
64,Retained Earnings,-200138000,-230864000,-258814000,-301973000
65,Other Comprehensive Income/Loss,-5568000,- -,- -,- -
66,Other Total Stockholders Equity,7675000,- -,299953000,321669000
67,Total Stockholders Equity,-198030000,-228539000,41166000,19727000
68,Total Liabilities And Stockholders Equity,39057000,41633000,121070000,76097000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,39057000,41633000,121070000,76097000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1439725/000156459021013512/0001564590-21-013512-index.htm,https://www.sec.gov/Archives/edgar/data/1439725/000095017022003495/0000950170-22-003495-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-26166000,-30726000,-31350000,-43159000
74,Depreciation and Amortization,1740000,2793000,2903000,- -
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,142000,170000,3709000,- -
77,Change in Working Capital,253000,-15345000,63915000,-39362000
78,Accounts Receivable,-146000,-3646000,-10308000,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,342000,1193000,- -,- -
81,Other Working Capital,5445000,-9900000,54015000,14653000
82,Other Non-Cash Items,6354000,21382000,-60543000,82521000
83,Cash Provided by Operating Activities,-17677000,-21726000,-21366000,- -
84,CAPEX,-617000,-1416000,-2177000,- -
85,Acquisitions Net,- -,-456000,-750000,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-119000,-106000,-232000,- -
89,Cash Used for Investing Activites,-617000,-1872000,-2927000,- -
90,Debt Repayment,-22518000,- -,- -,- -
91,Common Stock Issued,- -,- -,72000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,41550000,22972000,9131000,- -
95,Cash Used/Provided by Financing Activities,19032000,22972000,81131000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,738000,-626000,56838000,- -
98,Cash at the End of Period,6094000,5468000,62306000,- -
99,Cash at the Beginning of Period,5356000,6094000,5468000,62306000
100,Free Cash Flow,-18294000,-23142000,-23543000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1439725/000156459021013512/0001564590-21-013512-index.htm,https://www.sec.gov/Archives/edgar/data/1439725/000095017022003495/0000950170-22-003495-index.htm
102,false,,,,
