,https://roic.ai/company/JYNT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,-79691,-287757,-369532,-99963,-999522,-124108,-75327,-1838735,794586,-1540621
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-136357,125394,1044648,-291480,-953084,-36751,63567,75893,-90429,-14373
81,Other Working Capital,2644855,2071340,19138445,11537761,-167228,1689482,2973222,-262642,6448060,1813221
82,Other Non-Cash Items,- -,1321672,-16543383,7466626,12221232,-1052461,1807795,4812412,-4217717,-7770
83,Cash Provided by Operating Activities,2175937,422217,-437445,-6796479,-10847312,156444,5452268,7521949,11183242,15232780
84,CAPEX,-131311,-241412,-1166805,-5141446,-1892727,-449204,-1389367,-4165078,-4195733,-8378234
85,Acquisitions Net,- -,- -,-900000,-4925525,-839000,- -,-100000,-3122332,-534000,-5765135
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,4179,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-42733,10353,-505000,-1021612,-289095,76351,-32537,-532152,-910776,-1388700
89,Cash Used for Investing Activites,-174044,-231059,-2060126,-10013083,-2695822,-372853,-1243654,-7138062,-4601009,-14143369
90,Debt Repayment,- -,- -,- -,-218500,-436350,-231500,- -,-1121954,-57097,-2808292
91,Common Stock Issued,- -,- -,22425000,14374998,210000,292671,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-240000,- -,- -,-84433,-2655,-4811,-20185,-32070,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-2647396,-1350869,70931,1364250,331109,545177,5684686,811590
95,Cash Used/Provided by Financing Activities,- -,-240000,19777604,12805629,-239852,1422766,326298,-596962,5595519,-1996702
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2001893,-48842,17280033,-4003933,-13782986,1206357,4534912,-213075,12177752,-907291
98,Cash at the End of Period,3565592,3516750,20796783,16792850,3009864,4216221,8854952,8641877,20819629,19912338
99,Cash at the Beginning of Period,1563699,3565592,3516750,20796783,16792850,3009864,4320040,8854952,8641877,20819629
100,Free Cash Flow,2044626,180805,-1604250,-11937925,-12740039,-292760,4062901,3356871,6987509,6854546
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1612630/000117184315001550/0001171843-15-001550-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000117184316008640/0001171843-16-008640-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000117184317001428/0001171843-17-001428-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000117184318001818/0001171843-18-001818-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000117184319001609/0001171843-19-001609-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000162828020003113/0001628280-20-003113-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000162828021004004/0001628280-21-004004-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000162828022005982/0001628280-22-005982-index.htm
102,false,,,,,,,,,,
