,https://roic.ai/company/ORAN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,3150905940,3742324740,4568452630,4987242160,-11231232630,-18222692340,614579220,4777953360,7272042030,3108044380,7641963540,6878105500,5560000000,5562000000,5915000000,2335000000,3538000000,2933000000,3159000000,1980000000,3202000000,3467000000,4675000000,4209000000,1738000000
21,Income Before Tax Ratio,0.1331,0.1517,0.1676,0.1477,-0.2606,-0.3911,0.0133,0.1014,0.1484,0.0601,0.1441,0.1283,0.1210,0.1222,0.1306,0.0537,0.0863,0.0744,0.0785,0.0484,0.0779,0.0838,0.1107,0.0996,0.0409
22,Income Tax expense (Gain),906362730,1440142740,1797766110,1317083380,-2936776830,2496781400,-2586155710,1996162080,1567039360,2179874130,1331959540,2799370980,2295000000,1755000000,2087000000,1231000000,1405000000,1573000000,649000000,970000000,1088000000,1309000000,1447000000,-848000000,962000000
23,Net Income,2244543210,2302182000,2770686520,3670158780,-8294455800,-20719473740,3200734930,2781791280,5705002670,4139260470,6310004000,4078734520,2997000000,4880000000,3895000000,820000000,1873000000,925000000,2652000000,2935000000,1906000000,1954000000,3006000000,4822000000,233000000
24,Net Income ratio,0.0948,0.0933,0.1017,0.1087,-0.1924,-0.4447,0.0695,0.0590,0.1164,0.0801,0.1190,0.0761,0.0652,0.1072,0.0860,0.0188,0.0457,0.0235,0.0659,0.0717,0.0464,0.0472,0.0712,0.1141,0.0055
25,EPS,2.25,2.30,2.70,3.45,-7.52,-19.11,1.64,1.14,2.27,1.59,2.43,1.56,1.13,1.84,1.46,0.31,0.71,0.31,0.93,1.04,0.62,0.63,1.03,1.72,0.00
26,EPS Diluted,2.25,2.29,2.66,3.39,-7.52,-19.11,1.60,1.12,2.19,1.57,2.37,1.54,1.13,1.82,1.46,0.31,0.71,0.31,0.92,1.04,0.62,0.62,1.02,1.71,0.00
27,Weighted Average Shares Outstanding,999595142,1000000000,1022269531,1153831943,1103126514,1084176031,1948643974,2433617610,2512477797,2605576401,2601559094,2611889097,2648020634,2652173913,2643535474,2632833980,2638028169,2632656483,2648620953,2654045007,2659421767,2656683856,2652532564,2656122534,2656981542
28,Weighted Average Shares Outstanding Diluted,999595142,1003717472,1022269531,1153831943,1176996343,1084176031,1997360966,2477075068,2603840520,2638768401,2763924859,2658555815,2649121002,2681318681,2711972965,2646157346,2638028169,2632656483,2700700303,2654045007,2711501117,2658103271,2687975211,2683788856,2657758285
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038143/000119312504063803/0001193125-04-063803-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000119312505109673/0001193125-05-109673-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000119312506117153/0001193125-06-117153-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000119312507141929/0001193125-07-141929-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000130817908000057/0001308179-08-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000130817909000052/0001308179-09-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000130817910000066/0001308179-10-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000130817911000051/0001308179-11-000051-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038143/000163462120000009/0001634621-20-000009-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,2816979320,3344454360,3200793520,4094059190,3970295600,4031543860,4811441320,3949000000,4428000000,8044000000,8321000000,5916000000,6758000000,4469000000,6355000000,5810000000,5634000000,6481000000,8145000000,8621000000
32,Short-Term Investments,- -,- -,- -,- -,- -,44789590,1870734680,248598160,205167330,599332790,534978600,722650040,92000000,758000000,948000000,141000000,213000000,245000000,1283000000,1862000000,2865000000,2809000000,4833000000,5334000000,4671000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,2861768910,5215189040,3449391680,4299226520,4569628390,4566522460,5534091360,4041000000,5186000000,8992000000,8462000000,6129000000,7003000000,5752000000,8217000000,8675000000,8443000000,11314000000,13479000000,13292000000
34,Net Receivables,- -,- -,- -,- -,- -,5469094830,3812138030,6594121520,8434656900,8064094670,6647452040,7720718320,6582000000,6371000000,6070000000,6018000000,5432000000,5634000000,5932000000,8118000000,9448000000,10621000000,10767000000,8088000000,8856000000
35,Inventory,- -,- -,- -,- -,- -,695668100,515325470,578341120,853597410,844066660,1069957200,978379080,632000000,708000000,631000000,586000000,637000000,709000000,763000000,819000000,827000000,965000000,906000000,814000000,952000000
36,Other Current Assets,- -,- -,- -,- -,- -,4808686620,4890430770,5260396080,1480075430,1306257560,2834700710,1469723640,2437000000,2865000000,2842000000,1061000000,1884000000,6842000000,7653000000,1670000000,1729000000,1862000000,2000000000,2713000000,2733000000
37,Total Current Assets,- -,- -,- -,- -,- -,13835218460,14433083310,15882250400,15067556260,14784047280,15118632410,15702912400,13692000000,15130000000,18535000000,16127000000,14082000000,20188000000,20100000000,18824000000,20679000000,21891000000,24987000000,25094000000,25833000000
38,PP&E,- -,- -,- -,- -,- -,36238590190,30581271420,29012216720,28548654030,28221679430,27892961160,26597256840,24321000000,24756000000,23634000000,23662000000,23157000000,23314000000,25123000000,25912000000,26665000000,27693000000,34686000000,36083000000,38187000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,33700633650,31516873240,31438223190,30884309960,28173000000,29033000000,27340000000,25773000000,24988000000,24784000000,27071000000,27156000000,27095000000,27174000000,27644000000,27596000000,24192000000
40,Intangible Assets,- -,- -,- -,- -,- -,46048463370,42317828850,41678920000,18850909370,18712669930,16684473620,14485326100,10376000000,11302000000,11343000000,11818000000,11744000000,11811000000,14327000000,14602000000,14339000000,14073000000,14736000000,15135000000,14941000000
41,Intangible Assets,- -,- -,- -,- -,- -,46048463370,42317828850,41678920000,52551543020,50229543170,48122696810,45369636060,38549000000,40335000000,38683000000,37591000000,36732000000,36595000000,41398000000,41758000000,41434000000,41247000000,42380000000,42731000000,39133000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491000000,8272000000,8058000000,7590000000,6620000000,4835000000,997000000,4012000000,3788000000,3946000000,2495000000,2825000000,3290000000
43,Tax Assets,- -,- -,- -,- -,- -,3899553240,7913302980,7112710560,11011491020,8249728720,7284625270,5154089500,3739000000,4424000000,3551000000,3594000000,3251000000,2817000000,2430000000,2116000000,1825000000,1366000000,992000000,731000000,692000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,6478290060,4413218740,2567864080,2087978630,1685860250,2923863810,2697366700,11252000000,1359000000,3622000000,1416000000,1991000000,655000000,1382000000,2046000000,323000000,449000000,763000000,268000000,937000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,92664896860,85225621990,80371711360,94199666700,88386811570,86224147050,79818349100,78352000000,79146000000,77548000000,73853000000,71751000000,68216000000,71330000000,75844000000,74035000000,74701000000,81316000000,82638000000,82239000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,106500115320,99658705300,96253961760,109267222960,103170858850,101342779460,95521261500,92044000000,94276000000,96083000000,89980000000,85833000000,88404000000,91430000000,94668000000,94714000000,96592000000,106303000000,107732000000,108071000000
48,Accounts Payable,- -,- -,- -,- -,- -,8495727550,7355099890,7780310960,9511152150,9014995620,9595321300,9541710220,7795000000,8274000000,8151000000,7697000000,7540000000,5775000000,6227000000,6211000000,6522000000,6736000000,6682000000,6475000000,6738000000
49,Short-Term Debt,- -,- -,- -,- -,- -,23966242530,10608240800,11355845920,9186092800,8057275460,9792165990,9172483460,7488000000,4891000000,7459000000,7331000000,7100000000,4891000000,4536000000,4759000000,6311000000,7270000000,5192000000,6666000000,4790000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,305000000,2353000000,2625000000,4269000000,1792000000,1972000000,1752000000,1579000000,1858000000,2077000000,2035000000,1952000000,1861000000
51,Deferred Revenue,- -,- -,- -,- -,- -,3197214350,3159445370,3589550880,3752113640,3176994170,3279830340,2769200700,2486000000,2588000000,2322000000,2198000000,1974000000,1956000000,2136000000,5980000000,6741000000,2060000000,2144000000,2149000000,2692000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,9186630800,10633649760,8210378400,7528712270,7237454880,5657055760,5432087080,5975000000,7838000000,8240000000,7691000000,5542000000,7393000000,8727000000,8436000000,9462000000,14230000000,13675000000,13003000000,13056000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,44845815230,31756435820,30936086160,29978070860,27486720130,28324373390,26915481460,23744000000,23591000000,26172000000,24917000000,22156000000,20015000000,21626000000,25386000000,29036000000,30296000000,27693000000,28293000000,27276000000
54,Long-Term Debt,- -,- -,- -,- -,- -,46859440840,38696258020,35998784000,42603882600,38063314840,34129577070,33504095940,31483000000,33792000000,34192000000,31883000000,30295000000,29482000000,29528000000,28909000000,26293000000,26749000000,38373000000,35964000000,38618000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,518000000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3717496930,1748748520,1442384610,1290856980,1090000000,1265000000,1264000000,1102000000,954000000,957000000,879000000,658000000,611000000,631000000,703000000,855000000,1185000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,14966393850,11245846890,9600905200,4550830900,4233971720,3067210640,2538613560,6979000000,4079000000,4863000000,5694000000,6094000000,6249000000,6130000000,6023000000,5832000000,5667000000,5119000000,5583000000,5631000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,61825834690,49942104910,45599689200,50872210430,44046035080,38639172320,37333566480,39552000000,39136000000,40319000000,38679000000,37343000000,36688000000,36537000000,36108000000,32736000000,33047000000,44195000000,42402000000,45434000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6492000000,7371000000,8065000000
61,Total Liabilities,- -,- -,- -,- -,- -,106671649920,81698540730,76535775360,80850281290,71532755210,66963545710,64249047940,63296000000,62727000000,66491000000,63596000000,59499000000,56703000000,58163000000,61494000000,61772000000,63343000000,71888000000,70695000000,72710000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,4757226240,9591882400,9862043920,10404432130,10427329780,10473234900,10484890640,10595000000,10595000000,10596000000,10596000000,10596000000,10596000000,10596000000,10640000000,10640000000,10640000000,10640000000,10640000000,10640000000
64,Retained Earnings,- -,- -,- -,- -,- -,-26149496800,-9222658450,-3134402320,-2613983760,-1031973780,2337444960,1962504880,-304000000,2775000000,1246000000,-3080000000,-3037000000,2173000000,3521000000,-2614000000,-2814000000,-2633000000,-1575000000,1092000000,-656000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-3311570750,-3670006660,-3723070960,1931781280,2220031700,1749654370,-143668000,-57139000000,-60840000000,-61834000000,-63634000000,-64218000000,-65285000000,- -,- -,- -,- -,-75052000000,5044000000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,14760552330,15305722280,12664490240,15119059170,15178803770,15341540160,15361700900,72869000000,76571000000,77565000000,80424000000,81008000000,82075000000,16790000000,22662000000,22662000000,22662000000,97714000000,17619000000,22357000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,-9943288980,12004939570,15669060880,24841288820,26794191470,29901874390,27665428420,26021000000,29101000000,27573000000,24306000000,24349000000,29559000000,30907000000,30688000000,30488000000,30669000000,31727000000,34395000000,32341000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,96728360940,93703480300,92204836240,105691570110,98326946680,96865420100,91914476360,89317000000,91828000000,94064000000,87902000000,83848000000,86262000000,89070000000,92182000000,92260000000,94012000000,103615000000,105090000000,105051000000
69,Minority Interest,- -,- -,- -,- -,- -,9771754380,5955225000,4049125520,3575652850,4843912170,4477359360,3606785140,2727000000,2448000000,2019000000,2078000000,1985000000,2142000000,2360000000,2486000000,2454000000,2580000000,2688000000,2642000000,3020000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,106500115320,99658705300,96253961760,109267222960,103170858850,101342779460,95521261500,92044000000,94276000000,96083000000,89980000000,85833000000,88404000000,91430000000,94668000000,94714000000,96592000000,106303000000,107732000000,108071000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1038143/000119312504063803/0001193125-04-063803-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000119312505109673/0001193125-05-109673-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000119312506117153/0001193125-06-117153-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000119312507141929/0001193125-07-141929-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000130817908000057/0001308179-08-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000130817909000052/0001308179-09-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000130817910000066/0001308179-10-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000130817911000051/0001308179-11-000051-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038143/000163462120000009/0001634621-20-000009-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2244543210,2302182000,2770686520,3670158780,-8294455800,-20719473740,3200734930,2781791280,5705002670,4139260470,6310004000,4078734520,2997000000,4880000000,3895000000,820000000,1873000000,925000000,2652000000,2935000000,1906000000,1954000000,3006000000,4822000000,233000000
74,Depreciation and Amortization,4691813490,4670871480,5024602240,6836695540,12720413380,15625849090,10334300450,9736638320,7028880750,7832999220,8123444280,7794707340,7104000000,6461000000,6735000000,6329000000,6052000000,6038000000,6465000000,6728000000,6846000000,7047000000,8349000000,8573000000,8555000000
75,Deferred Income Tax,-285454260,177353280,297143210,-277897140,-2093844330,1584789110,-2935528910,1127912720,- -,- -,- -,- -,2338000000,1779000000,2087000000,3088000000,3122000000,3368000000,2432000000,2778000000,2934000000,3149000000,3274000000,1076000000,2888000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000000,14000000,21000000,-5000000,8000000,78000000,9000000,61000000,5000000,50000000,55000000,23000000,179000000
77,Change in Working Capital,-46363590,278819820,672795830,-250213900,-330429540,3258204430,1240274860,649896080,996285800,14396110,294238230,159471480,775000000,-646000000,369000000,-673000000,-110000000,-236000000,275000000,-631000000,265000000,-236000000,-934000000,-641000000,-178000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238000000,228000000,596000000,331000000,118000000,-196000000,52000000,113000000,-262000000,-97000000,-45000000,-488000000,64000000
79,Inventory,25454520,-20463840,-175900830,-330069400,341668640,192499940,131014950,-64915840,-142688390,757690,-250342550,38072020,236000000,-13000000,43000000,- -,-81000000,-73000000,-48000000,-62000000,-14000000,-152000000,69000000,72000000,-126000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41000000,-244000000,51000000,140000000,86000000,85000000,409000000,177000000,-85000000,-122000000,36000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-85570880,- -,- -,- -,- -,964000000,-964000000,- -,-550000000,-198000000,-107000000,185000000,-767000000,132000000,-164000000,-873000000,-103000000,-152000000
82,Other Non-Cash Items,-419999580,-291609720,-650932450,-3347542560,5086816660,12079847720,-537558310,-1487900560,-366430540,1876040440,-60356560,3001942860,2069000000,100000000,-228000000,457000000,-3686000000,-1371000000,-2306000000,-3121000000,-1782000000,-2458000000,-3591000000,-1156000000,-441000000
83,Cash Provided by Operating Activities,6184539270,7137616860,8114295350,6631200720,7088500370,11829216610,11302223020,12808337840,13363738680,13862696240,14667329950,15034856200,15325000000,12588000000,12879000000,10016000000,7259000000,8802000000,9527000000,8750000000,10174000000,9506000000,10159000000,12697000000,11236000000
84,CAPEX,-4516359120,-4664902860,-5003732650,-14352695200,-8567565930,-7936334160,-5092908420,-5210971520,-6137289390,-7038940100,-7075434920,-7232965460,-6127000000,-6102000000,-6711000000,-6763000000,-6117000000,-6111000000,-7771000000,-8492000000,-7527000000,-7642000000,-8422000000,-8546000000,-8821000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158000000,4286000000,515000000,47000000,- -,- -,-3000000
86,Purchases of Investments,-869999130,-1908253080,- -,- -,-1104803530,-672796820,-2037480980,- -,-1563662120,-794059120,-1876540320,-762877080,-1532000000,-796000000,-392000000,-73000000,-57000000,-1484000000,-3385000000,-1525000000,-1097000000,-333000000,-2642000000,-116000000,-287000000
87,Sales/Maturities of Investments,418181400,1115279280,287205310,7951478320,4531605120,145804410,351755290,1819856560,1817799430,2808756830,1821670720,56030520,622000000,57000000,410000000,615000000,76000000,305000000,448000000,107000000,19000000,57000000,- -,1735000000,2894000000
88,Other Investing Activites,-359999640,434003940,-1934909130,-40616636780,-5701595430,-3040927270,3048281170,-2168779200,-5785212120,333383600,238682760,-114216060,-400000000,890000000,385000000,1511000000,54000000,938000000,1144000000,745000000,149000000,-681000000,1694000000,-7183000000,241000000
89,Cash Used for Investing Activites,-5328176490,-5023872720,-6651436470,-47017853660,-10842359770,-11504253840,-3730352940,-5559894160,-11668364200,-4690858790,-6891621760,-8054028080,-7437000000,-5951000000,-6308000000,-4710000000,-6044000000,-6352000000,-9406000000,-4879000000,-7941000000,-8552000000,-9370000000,-5564000000,-5976000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9255000000,-6988000000,-1345000000,-3139000000,-4001000000,-5101000000,-4412000000,-2694000000,-2728000000,-4095000000,-6048000000,-4886000000,-6508000000
91,Common Stock Issued,- -,1464869880,- -,- -,- -,69566810,14868211750,- -,2994767570,53795990,- -,- -,- -,11000000,- -,- -,- -,125000000,32000000,6000000,- -,3000000,- -,7000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9849970,-214677310,-35198660,-7000000,- -,-275000000,-94000000,-24000000,- -,-1000000,- -,-4000000,-101000000,-34000000,- -,- -
93,Dividends Paid,-4545450,-8526600,-71552880,-214012740,-128125740,-76237600,-119104500,-853495760,-1182878310,-2601907460,-3122080240,-4960856040,-3752000000,-4318000000,-3703000000,-3632000000,-1314000000,-1846000000,-1589000000,-1596000000,-1729000000,-1860000000,-1857000000,-1595000000,-2127000000
94,Other Financing Activites,-951817230,-1925306280,-1034535390,40234395120,4862034660,-186782120,-21604762270,-6563876640,-2671396840,-6713133400,-4329211440,-1075354980,4200000000,5178000000,2463000000,1793000000,1802000000,6668000000,2046000000,2401000000,1723000000,4922000000,7994000000,1064000000,3801000000
95,Cash Used/Provided by Financing Activities,-956362680,-468963000,-1106088270,40020382380,4733908920,-193452910,-6855655020,-7417372400,-859507580,-9271094840,-7665968990,-6071409680,-8814000000,-6117000000,-2860000000,-5072000000,-3537000000,-154000000,-3924000000,-1883000000,-2738000000,-1131000000,55000000,-5410000000,-4834000000
96,Effect of Forex Changes on Cash,26363610,-17905860,25838540,-19165320,-74178060,-255395960,-185803020,22130400,107227370,-28034530,-54183730,-132174560,45000000,103000000,-78000000,26000000,-65000000,29000000,13000000,-102000000,-40000000,1000000,3000000,-59000000,50000000
97,Net Change In Cash,-956362680,1626875280,382609150,-385435880,904747550,-123886100,530412040,-146798320,943094270,-126534230,55555470,777243880,-881000000,623000000,3633000000,260000000,-2387000000,824000000,-2289000000,1886000000,-545000000,-176000000,847000000,1664000000,476000000
98,Cash at the End of Period,- -,2042120700,2425841390,2045365540,2948015930,2816979320,3344454360,3200793520,4094059190,3970295600,4031543860,4811441320,3949000000,4428000000,8061000000,8321000000,5934000000,6758000000,4469000000,6355000000,5810000000,5634000000,6481000000,8145000000,8621000000
99,Cash at the Beginning of Period,484544970,415245420,2043232240,2430801420,2043268380,2940865420,2814042320,3347591840,3150964920,4096829830,3975988390,4034197440,4830000000,3805000000,4428000000,8061000000,8321000000,5934000000,6758000000,4469000000,6355000000,5810000000,5634000000,6481000000,8145000000
100,Free Cash Flow,1668180150,2472714000,3110562700,-7721494480,-1479065560,3892882450,6209314600,7597366320,7226449290,6823756140,7591895030,7801890740,9198000000,6486000000,6168000000,3253000000,1142000000,2691000000,1756000000,258000000,2647000000,1864000000,1737000000,4151000000,2415000000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038143/000119312504063803/0001193125-04-063803-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000119312505109673/0001193125-05-109673-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000119312506117153/0001193125-06-117153-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000119312507141929/0001193125-07-141929-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000130817908000057/0001308179-08-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000130817909000052/0001308179-09-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000130817910000066/0001308179-10-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1038143/000130817911000051/0001308179-11-000051-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038143/000163462120000009/0001634621-20-000009-index.htm,- -,- -
102,Forex Rate,1.0991,1.1723,1.0075,0.9424,0.8909,1.0501,1.2588,1.3558,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
