,https://roic.ai/company/BIOX,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,9324335
88,Other Investing Activites,- -,- -,-5427890,-1087410,-2804328,-10807450
89,Cash Used for Investing Activites,- -,- -,-8219684,-3260852,-22212249,-8310118
90,Debt Repayment,- -,- -,-37624531,-116053728,-101751568,-126752741
91,Common Stock Issued,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-30906,-3500020
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,27166726,89107534,135314888,137610890
95,Cash Used/Provided by Financing Activities,- -,- -,-10457805,-26946194,33532414,7358129
96,Effect of Forex Changes on Cash,- -,- -,826246,66890,1520306,6265340
97,Net Change In Cash,- -,- -,535625,1235770,23708548,-6476748
98,Cash at the End of Period,- -,- -,2215103,3450873,27159421,36046113
99,Cash at the Beginning of Period,- -,- -,1679478,2215103,3450873,42522861
100,Free Cash Flow,- -,- -,12679120,26245348,6918360,-20129028
101,SEC Link,undefined,undefined,- -,- -,- -,- -
102,false,,,,,,
