,https://roic.ai/company/ENLC,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,-0.0036,0.0233,0.0070,0.0261,0.0087,0.0033,-0.0064,-0.0537,-0.0154,-0.0020,-0.0262,-0.0632,0.0943,-0.3115,-0.2072,0.0214,-0.0019,-0.1644,-0.0440,0.0246
22,Income Tax expense (Gain),- -,-6871000,10157000,5149000,30047000,11118000,11049000,2410000,-6020000,-6021000,-2768000,-6642000,-10214000,76400000,25700000,4600000,-196800000,18200000,6900000,143200000,25400000
23,Net Income,-3918000,5229000,13448000,8700000,49136000,16455000,12176000,24233000,15642000,-11651000,-6007000,-12481000,-29636000,126000000,-355200000,-460000000,212800000,-13200000,-1119300000,-421500000,22400000
24,Net Income ratio,-0.0101,0.0115,0.0133,0.0044,0.0162,0.0052,0.0032,0.0049,0.0107,-0.0065,-0.0030,-0.0075,-0.0152,0.0362,-0.0800,-0.1079,0.0370,-0.0017,-0.1854,-0.1076,0.0033
25,EPS,-0.42,0.20,0.94,0.24,1.29,0.39,0.26,0.52,0.33,-0.24,-0.12,-0.26,-0.60,0.55,-2.17,-2.56,1.18,-0.07,-2.41,-0.86,0.05
26,EPS Diluted,-0.42,0.15,0.37,0.22,1.26,0.39,0.26,0.52,0.33,-0.24,-0.12,-0.26,-0.60,0.55,-2.17,-2.56,1.17,-0.07,-2.41,-0.86,0.05
27,Weighted Average Shares Outstanding,9403200,26145000,10458000,35547000,37956000,42168000,45988000,46298000,46476000,46732000,47150000,47384000,47664000,164000000,164200000,179700000,180338983,188571429,464439834,490116279,488800000
28,Weighted Average Shares Outstanding Diluted,9403200,34860000,36813000,38697000,38871000,42666000,46607000,46589000,46535000,46732000,47150000,47384000,47664000,164300000,164200000,179700000,181880342,188571429,464439834,490116279,494300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1592000/000110465914024490/0001104659-14-024490-index.htm,https://www.sec.gov/Archives/edgar/data/1592000/000159200015000005/enlc201410-k.htm,https://www.sec.gov/Archives/edgar/data/1592000/000159200016000022/0001592000-16-000022-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200017000003/0001592000-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200018000003/0001592000-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200019000007/0001592000-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200020000004/0001592000-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200021000010/0001592000-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1592000/000159200022000006/0001592000-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1479000,22519000,12904000,10635000,7853000,13959000,10703000,22780000,30343000,2976000,1821000,68400000,18000000,11700000,31200000,100400000,77400000,39600000,26200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,27166000,9112000,5523000,- -,- -,- -,- -,- -,193100000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,1479000,22519000,12904000,10635000,7853000,41125000,19815000,28303000,30343000,2976000,1821000,68400000,18000000,204800000,31200000,100400000,77400000,39600000,26200000
34,Net Receivables,- -,- -,138235000,233838000,442502000,375972000,497311000,353364000,214750000,209998000,165877000,215957000,287028000,513100000,417100000,533700000,729500000,852300000,496300000,528100000,788200000
35,Inventory,- -,- -,- -,- -,- -,10574000,16098000,9658000,14692000,9780000,9965000,11866000,17935000,48700000,41800000,33500000,30100000,41300000,43400000,44900000,49400000
36,Other Current Assets,- -,- -,6093000,8276000,40977000,23048000,8589000,- -,- -,- -,2867000,29394000,6972000,16700000,16800000,1300000,17900000,42100000,27300000,38800000,56600000
37,Total Current Assets,- -,- -,145807000,264633000,496383000,420229000,529851000,404147000,249257000,248081000,209052000,260193000,313756000,646900000,493700000,773300000,808700000,1036100000,644400000,651400000,920400000
38,PP&E,- -,111203000,204890000,325653000,668632000,1107242000,1426546000,1528490000,1280197000,1216166000,1242890000,1472161000,1937783000,4934300000,5666800000,6256700000,6587000000,6846700000,7081300000,6652100000,6388300000
39,Goodwill,- -,- -,- -,- -,- -,25396000,25402000,19673000,- -,- -,- -,152627000,153802000,3684700000,2413900000,1542200000,1542200000,1310200000,184600000,- -,- -
40,Intangible Assets,- -,- -,11530000,11319000,262767000,638602000,610076000,578096000,534897000,498975000,451462000,425005000,316222000,533000000,689900000,1624200000,1497100000,1373600000,1249900000,1125400000,1049700000
41,Intangible Assets,- -,- -,11530000,11319000,262767000,663998000,635478000,597769000,534897000,498975000,451462000,577632000,470024000,4217700000,3103800000,3166400000,3039300000,2683800000,1434500000,1125400000,1049700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,90500000,103673000,270800000,274300000,77300000,89400000,80100000,43100000,41600000,28000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,7511000,5163000,17543000,15229000,10954000,16337000,15882000,27881000,24212000,25989000,23591000,27600000,26500000,2200000,13400000,47400000,132500000,80400000,96800000
45,Total Non-Current Assets,- -,- -,223931000,342135000,948942000,1786469000,2072978000,2142596000,1830976000,1743022000,1753564000,2166282000,2535071000,9450400000,9071400000,9502600000,9729100000,9658000000,8691400000,7899500000,7562800000
46,Other Assets,- -,241424000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,241424000,369738000,606768000,1445325000,2206698000,2602829000,2546743000,2080233000,1991103000,1962616000,2426475000,2848827000,10097300000,9565100000,10275900000,10537800000,10694100000,9335800000,8550900000,8483200000
48,Accounts Payable,- -,- -,4512000,3996000,16574000,31764000,13727000,23879000,17978000,15988000,14196000,25839000,18140000,111500000,47500000,79600000,83200000,109800000,71700000,61500000,139600000
49,Short-Term Debt,- -,- -,10496000,50000,6521000,10012000,9412000,9412000,28602000,7058000,- -,4093000,13413000,13200000,500000,- -,- -,399800000,21100000,366100000,18100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,23500000,27800000,28100000,28500000,26500000,28300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20300000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,136846000,278852000,468415000,448544000,546042000,391287000,244468000,237816000,211658000,246187000,306026000,335400000,384400000,807900000,956900000,770400000,554300000,460400000,741200000
53,Total Current Liabilities,- -,- -,151854000,282898000,491510000,490320000,569181000,424578000,291048000,260862000,225854000,276119000,337579000,480400000,432400000,887500000,1040100000,1280000000,647100000,888000000,898900000
54,Long-Term Debt,- -,- -,60700000,148650000,516129000,977118000,1213706000,1254294000,845100000,711512000,798409000,1036305000,1200472000,2022500000,3089800000,3295300000,3542100000,4031000000,4764300000,4244000000,4363700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,19683000,32754000,58136000,66186000,71563000,81998000,95272000,89216000,85187000,133555000,129428000,526600000,532100000,542600000,346200000,362400000,- -,108600000,137500000
57,Other Non-Current Liabilities,- -,- -,67882000,65533000,3577000,2558000,12979000,47483000,32903000,28035000,23919000,30256000,27832000,96700000,85900000,284900000,52700000,46500000,118300000,97300000,96100000
58,Total Non-Current Liabilities,- -,- -,148265000,246937000,577842000,1045862000,1298248000,1383775000,973275000,828763000,907515000,1200116000,1357732000,2645800000,3707800000,4122800000,3941000000,4439900000,4882600000,4449900000,4597300000
59,Other Liabilities,- -,157212000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23919000,- -,- -,- -,- -,- -,- -,- -,21100000,16300000,18100000
61,Total Liabilities,- -,157212000,300119000,529835000,1069352000,1536182000,1867429000,1808353000,1264323000,1089625000,1133369000,1476235000,1695311000,3126200000,4140200000,5010300000,4981100000,5719900000,5529700000,5337900000,5496200000
62,Preferred Stock,- -,- -,42000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,19000,122000,127000,463000,463000,464000,464000,468000,471000,473000,476000,2774300000,2285700000,1880900000,1924200000,1730900000,2135500000,1508800000,1325800000
64,Retained Earnings,- -,- -,7902000,4214000,31747000,13535000,-16878000,-54693000,-43279000,-58298000,-82177000,-117583000,-171263000,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,-4778000,4000,-814000,2151000,-5078000,670000,-568000,-145000,-85000,141000,-58000,-1422300000,-1757600000,-2124100000,-2000000,-2000000,-11000000,-15300000,-1400000
66,Other Total Stockholders Equity,- -,84212000,66434000,72593000,80187000,263264000,267859000,268988000,859293000,242390000,244211000,274635000,307835000,1422300000,1757600000,2124100000,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,57397000,69619000,76933000,111247000,279413000,246366000,215429000,815910000,184415000,162420000,157666000,136990000,2774300000,2285700000,1880900000,1922200000,1728900000,2124500000,1493500000,1324400000
68,Total Liabilities And Stockholders Equity,- -,214609000,369738000,606768000,1180599000,1815595000,2113795000,2023782000,2080233000,1274040000,1295789000,1633901000,1832301000,5900500000,6425900000,6891200000,6903300000,7448800000,7654200000,6831400000,6820600000
69,Minority Interest,- -,26815000,- -,- -,264726000,391103000,489034000,522961000,- -,717063000,666827000,792574000,1016526000,4196800000,3139200000,3384700000,3634500000,3245300000,1681600000,1719500000,1662600000
70,Total Liabilities & Equity,- -,241424000,369738000,606768000,1445325000,2206698000,2602829000,2546743000,2080233000,1991103000,1962616000,2426475000,2848827000,10097300000,9565100000,10275900000,10537800000,10694100000,9335800000,8550900000,8483200000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1592000/000110465914024490/0001104659-14-024490-index.htm,https://www.sec.gov/Archives/edgar/data/1592000/000159200015000005/enlc201410-k.htm,https://www.sec.gov/Archives/edgar/data/1592000/000159200016000022/0001592000-16-000022-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200017000003/0001592000-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200018000003/0001592000-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200019000007/0001592000-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200020000004/0001592000-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200021000010/0001592000-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1592000/000159200022000006/0001592000-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3918000,5229000,13448000,8700000,49136000,16455000,12176000,24233000,15642000,-11651000,-6007000,-12481000,-29636000,126000000,-355200000,-460000000,212800000,-13200000,-1119300000,-421500000,22400000
74,Depreciation and Amortization,6208000,7745000,13542000,23034000,37197000,85486000,111565000,133030000,129812000,111625000,125358000,162300000,140285000,280300000,387300000,503900000,545300000,577300000,617000000,638600000,607500000
75,Deferred Income Tax,- -,- -,10103000,4802000,30047000,11386000,10338000,7022000,15229000,-7538000,-4540000,-8384000,-18003000,67400000,22600000,2100000,-197200000,16300000,6900000,142100000,24600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,11279000,8855000,9569000,7556000,9483000,14383000,19600000,36100000,30300000,48100000,41100000,39400000,28400000,25300000
77,Change in Working Capital,- -,- -,-6047000,-12218000,23138000,-74964000,30761000,18899000,-21360000,29010000,-4021000,876000,-7897000,190323000,-105200000,-175500000,-117200000,-12500000,241200000,-233900000,54800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,156280000,127981000,- -,- -,-39120000,-75359000,-98100000,197500000,-118100000,-189400000,-113100000,337100000,-21500000,-259900000
79,Inventory,- -,- -,- -,- -,- -,- -,-5498000,5199000,-5275000,2538000,-1507000,-4015000,-2880000,-8200000,-6700000,18700000,-23500000,-12200000,13600000,15100000,-13600000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-6047000,-18265000,4873000,-70091000,-39330000,-20431000,-41791000,-12781000,-16802000,-15926000,-23823000,166500000,61300000,-114200000,-231400000,-243900000,-2700000,-236600000,- -
82,Other Non-Cash Items,-12976000,-18024000,11057000,22021000,-126676000,75476000,-52262000,-24309000,-69328000,-46225000,22947000,-51338000,-11293000,-226323000,642800000,765600000,208300000,238600000,1206700000,577400000,122700000
83,Cash Provided by Operating Activities,-10686000,-5050000,42103000,46339000,12842000,113839000,112578000,170154000,78850000,84790000,141293000,100456000,87839000,457300000,628400000,666400000,700100000,847600000,991900000,731100000,857300000
84,CAPEX,- -,- -,-39003000,-124879000,-626057000,-890876000,-414452000,-275548000,-101370000,-48191000,-97572000,-234849000,-560784000,-763600000,-572300000,-663000000,-790800000,-843100000,-754900000,-302200000,-184000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-35142000,- -,- -,-267207000,-30594000,-288700000,-550000000,-865300000,177100000,-100000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-52535000,-33240000,-71285000,508000,11235000,5051000,3070000,88780000,516386000,62829000,478000,11773000,33592000,11000000,25000000,148000000,2900000,16900000,13400000,-15500000,-47400000
89,Cash Used for Investing Activites,-52535000,-33240000,-110288000,-124371000,-614822000,-885825000,-411382000,-186768000,379874000,14638000,-132094000,-490283000,-557786000,-1041300000,-1097300000,-1380300000,-610800000,-826300000,-741500000,-317700000,-231400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-1714510000,-1069103000,-1152153000,-390576000,-575524000,-400888000,-2795700000,-2150600000,-1924100000,-2123400000,-3060000000,-2971400000,-1786000000,-1469500000
91,Common Stock Issued,- -,- -,57998000,6636000,5155000,362359000,159187000,99888000,- -,120786000,- -,232791000,419498000,412000000,24400000,891600000,106900000,46100000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-2500000,- -,- -,- -,-1248000,-5351000,-586000,-2659000,-2866000,-794000,-2087000,-700000,-2500000,-1200000,- -,- -,-7800000,-1200000,-90100000
93,Dividends Paid,- -,- -,-3134000,-27649000,-21603000,-34667000,-42589000,-125197000,-11829000,-22361000,-17872000,-22925000,-24044000,-89000000,-162800000,-185400000,-186000000,-194800000,-467200000,-232700000,-186800000
94,Other Financing Activites,44918000,41746000,13492000,120085000,608813000,442025000,180672000,1767890000,619538000,969036000,409678000,728912000,476313000,3125800000,2710000000,1926700000,2132700000,3256600000,3173000000,1568700000,1107100000
95,Cash Used/Provided by Financing Activities,44918000,41746000,65856000,99072000,592365000,769717000,296022000,22720000,-461980000,-87351000,-1636000,362460000,468792000,652400000,418500000,707600000,-69800000,47900000,-273400000,-451200000,-639300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,44918000,41746000,-2329000,21040000,-9615000,-2269000,-2782000,6106000,-3256000,12077000,7563000,-27367000,-1155000,652400000,-50400000,-6300000,19500000,69200000,-23000000,-37800000,-13400000
98,Cash at the End of Period,- -,- -,1479000,22519000,12904000,10635000,7853000,13959000,10703000,22780000,30343000,2976000,1821000,68400000,18000000,11700000,31200000,100400000,77400000,39600000,26200000
99,Cash at the Beginning of Period,- -,- -,3808000,1479000,22519000,12904000,10635000,7853000,13959000,10703000,22780000,30343000,2976000,- -,68400000,18000000,11700000,31200000,100400000,77400000,39600000
100,Free Cash Flow,-10686000,-5050000,3100000,-78540000,-613215000,-777037000,-301874000,-105394000,-22520000,36599000,43721000,-134393000,-472945000,-306300000,56100000,3400000,-90700000,4500000,237000000,428900000,673300000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1592000/000110465914024490/0001104659-14-024490-index.htm,https://www.sec.gov/Archives/edgar/data/1592000/000159200015000005/enlc201410-k.htm,https://www.sec.gov/Archives/edgar/data/1592000/000159200016000022/0001592000-16-000022-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200017000003/0001592000-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200018000003/0001592000-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200019000007/0001592000-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200020000004/0001592000-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1592000/000159200021000010/0001592000-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1592000/000159200022000006/0001592000-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
