,https://roic.ai/company/BGS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,2281000,4682000,274000,10027000,24505000,24687000,- -,13240000,17500000,28500000,- -,15800000,28700000,76804000,90900000,80900000,- -,63777000,177066000,148062000,222277000,105692000,- -,177362000
21,Income Before Tax Ratio,0.0127,0.0139,0.0008,0.0302,0.0834,0.0752,- -,0.0349,0.0425,0.0605,- -,0.0325,0.0573,0.1412,0.1434,0.1116,- -,0.0752,0.1273,0.0899,0.1307,0.0637,- -,0.0901
22,Income Tax expense (Gain),1431000,2429000,1559000,4029000,9260000,9519000,- -,5235000,5962000,10640000,- -,6084000,11224000,26561000,31654000,28549000,- -,22821000,67641000,-69401000,49842000,28503000,- -,45374000
23,Net Income,850000,2253000,-1285000,5998000,15245000,15168000,- -,8005000,11600000,17800000,- -,9700000,17400000,50243000,59300000,52300000,- -,40956000,109425000,217463000,172435000,76389000,- -,131988000
24,Net Income ratio,0.0047,0.0067,-0.0037,0.0180,0.0519,0.0462,- -,0.0211,0.0282,0.0378,- -,0.0199,0.0347,0.0924,0.0936,0.0721,- -,0.0483,0.0787,0.1321,0.1014,0.0460,- -,0.0671
25,EPS,0.03,0.08,-0.05,0.22,0.55,0.55,- -,0.29,0.42,0.54,- -,0.27,0.44,1.05,1.20,0.99,- -,0.76,1.73,3.27,2.61,1.17,- -,2.06
26,EPS Diluted,0.03,0.08,-0.05,0.22,0.55,0.55,- -,0.29,0.42,0.54,- -,0.27,0.44,1.04,1.20,0.98,- -,0.76,1.73,3.26,2.60,1.17,- -,2.04
27,Weighted Average Shares Outstanding,27556440,27556440,27556440,27556440,27556440,27556440,- -,27556443,27556000,33003825,- -,36715352,39325000,47856000,49239000,52998000,- -,53658000,63203000,66487000,66145000,65013000,- -,64163000
28,Weighted Average Shares Outstanding Diluted,27556440,27556440,27556440,27556440,27556440,27556440,- -,27556443,27556000,33003825,- -,36715352,39725000,48541000,49557000,53182000,- -,53747000,63420000,66706000,66255000,65039000,- -,64557000
29,SEC Link,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1278027/000110465906014414/a06-5925_110k.htm,https://www.sec.gov/Archives/edgar/data/1278027/000110465907017413/a07-5909_110k.htm,https://www.sec.gov/Archives/edgar/data/1278027/000104746908002301/a2183322z10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1278027/000104746909002267/0001047469-09-002267-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000104746910001647/0001047469-10-001647-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000104746912001776/0001047469-12-001776-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000104746913001713/0001047469-13-001713-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000104746914001384/a2218372z10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1278027/000104746915001636/a2223296z10-k.htm,https://www.sec.gov/Archives/edgar/data/1278027/000155837017001260/0001558370-17-001260-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000155837018001318/0001558370-18-001318-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000155837019001089/0001558370-19-001089-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000155837020001453/0001558370-20-001453-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1278027/000155837021002267/0001558370-21-002267-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,599000,7745000,13433000,15055000,15866000,8092000,- -,25429000,29600000,36600000,- -,32600000,39900000,16738000,19200000,4100000,- -,1490000,28833000,206506000,11648000,11315000,- -,52182000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,599000,7745000,13433000,15055000,15866000,8092000,- -,25429000,29600000,36600000,- -,32600000,39900000,16738000,19200000,4100000,- -,1490000,28833000,206506000,11648000,11315000,- -,52182000
34,Net Receivables,15656000,25852000,24171000,21621000,21900000,22348000,- -,32487000,31600000,42900000,- -,38800000,35400000,42005000,47600000,66200000,- -,70367000,130052000,158186000,153105000,152842000,- -,148696000
35,Inventory,39764000,71913000,63626000,66142000,67536000,80789000,- -,85530000,78300000,93200000,- -,88900000,86100000,85234000,89800000,101300000,- -,106557000,356590000,501849000,401355000,472187000,- -,492804000
36,Other Current Assets,4584000,7360000,24078000,3462000,3509000,2451000,- -,7380000,5800000,4200000,- -,3500000,4500000,6247000,7500000,10100000,- -,18105000,34301000,20054000,19988000,25449000,- -,43619000
37,Total Current Assets,60603000,112870000,125308000,106280000,108811000,113680000,- -,150826000,145300000,176900000,- -,163800000,165900000,150224000,164100000,181700000,- -,196519000,549776000,886595000,586096000,661793000,- -,737301000
38,PP&E,26486000,41615000,38275000,36431000,37414000,43940000,- -,40190000,40300000,49700000,- -,51100000,53600000,61930000,104700000,110400000,- -,116197000,245344000,272192000,282553000,343632000,- -,404070000
39,Goodwill,- -,- -,- -,- -,112319000,188629000,- -,189028000,198100000,253400000,- -,253400000,253400000,262827000,267900000,319300000,- -,370424000,614278000,649292000,584435000,596391000,- -,644747000
40,Intangible Assets,- -,- -,- -,- -,162781000,193481000,- -,194264000,214600000,350000000,- -,343500000,337100000,634522000,637200000,844100000,- -,947895000,1629482000,1748220000,1595569000,1615126000,- -,1971326000
41,Intangible Assets,119542000,312143000,283666000,275100000,275100000,382110000,- -,383292000,412700000,603400000,- -,596900000,590500000,897349000,905100000,1163400000,- -,1318319000,2243760000,2397512000,2180004000,2211517000,- -,2616073000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,62700000,69000000,- -,71500000,83500000,- -,121200000,146900000,- -,204207000,- -,236278000,235902000,254339000,- -,4178000
44,Other Non-Current Assets,5242000,10429000,9767000,8195000,9348000,10209000,- -,19867000,-44800000,-51400000,- -,-58200000,-76600000,23420000,-103100000,-118100000,- -,-185889000,4625000,-231539000,-226760000,-243691000,- -,5948000
45,Total Non-Current Assets,151270000,364187000,331708000,319726000,321862000,436259000,- -,443349000,470900000,670700000,- -,661300000,651000000,982699000,1027900000,1302600000,- -,1452834000,2493729000,2674443000,2471699000,2565797000,- -,3030269000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,211873000,477057000,457016000,426006000,430673000,549939000,- -,594175000,616200000,847600000,- -,825100000,816900000,1132923000,1192000000,1484300000,- -,1649353000,3043505000,3561038000,3057795000,3227590000,- -,3767570000
48,Accounts Payable,17508000,23640000,24781000,21256000,18826000,19816000,- -,26337000,21500000,32100000,- -,27300000,22600000,24427000,25100000,42600000,- -,38052000,98033000,122358000,140000000,114936000,- -,126537000
49,Short-Term Debt,1431000,11552000,16009000,17436000,370000,1500000,- -,- -,- -,- -,- -,- -,- -,9750000,40375000,26250000,- -,18750000,10515000,- -,- -,15438000,- -,11034000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3875000,139000,31624000,454000,- -,101000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,2574000,648000,- -,1110000,1981000,- -,2175000,2115000,- -,3275000,- -,3122000,4940000,7371000,- -,- -
52,Other Current Liabilities,11040000,18265000,15475000,17702000,19633000,25027000,- -,20653000,18226000,29052000,- -,21090000,24419000,37690000,36650000,34735000,- -,32615000,97147000,76006000,113522000,79163000,- -,108081000
53,Total Current Liabilities,29979000,53457000,56265000,56394000,38829000,46343000,- -,46990000,42300000,61800000,- -,49500000,49000000,71867000,104300000,105700000,- -,92692000,205695000,201486000,258462000,216908000,- -,245652000
54,Long-Term Debt,143265000,329340000,313314000,271839000,273426000,367296000,- -,405800000,430800000,535800000,- -,535800000,439500000,710357000,597300000,844600000,- -,1007107000,1715268000,2217574000,1638877000,1874158000,- -,2334086000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,17809000,36136000,30500000,34701000,40046000,42774000,- -,57866000,- -,- -,- -,- -,- -,105743000,121163000,146939000,- -,204207000,315480000,236278000,235902000,- -,- -,293121000
57,Other Non-Current Liabilities,- -,51000,149000,236000,291000,347000,- -,245000,67600000,75400000,- -,95100000,102800000,9409000,8037000,8761000,- -,7352000,21405000,24881000,24505000,323982000,- -,62834000
58,Total Non-Current Liabilities,161074000,365527000,343963000,306776000,313763000,410417000,- -,463911000,498400000,611200000,- -,630900000,542300000,825509000,726500000,1000300000,- -,1218666000,2052153000,2478733000,1899284000,2198140000,- -,2690041000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41810000,- -,34993000
61,Total Liabilities,191053000,418984000,400228000,363170000,352592000,456760000,- -,510901000,540700000,673000000,- -,680400000,591300000,897376000,830800000,1106000000,- -,1311358000,2257848000,2680219000,2157746000,2415048000,- -,2935693000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,276000,300000,400000,- -,400000,500000,477000,500000,500000,- -,537000,664000,665000,656000,640000,- -,643000
64,Retained Earnings,-522000,1731000,446000,6444000,21689000,36857000,- -,-53057000,-42000000,-24200000,- -,-14500000,3000000,85584000,144800000,197200000,- -,238143000,416658000,634121000,806556000,843796000,- -,866828000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-74000,- -,-57000,-1904000,-3718000,- -,-12358000,-9377000,-10430000,-11095000,-2471000,- -,-11034000,-19364000,-20756000,-23502000,-31894000,- -,-35594000
66,Other Total Stockholders Equity,21342000,56342000,56342000,56392000,56392000,56322000,- -,136112000,119091000,202153000,- -,171106000,231485000,159916000,226970000,183134000,- -,110349000,387699000,266789000,116339000,- -,- -,- -
67,Total Stockholders Equity,20820000,58073000,56788000,62836000,78081000,93179000,- -,83274000,75487000,174635000,- -,144648000,225608000,235547000,361175000,378363000,- -,337995000,785657000,880819000,900049000,812542000,- -,831877000
68,Total Liabilities And Stockholders Equity,211873000,477057000,457016000,426006000,430673000,549939000,- -,594175000,616187000,847635000,- -,825048000,816908000,1132923000,1191975000,1484363000,- -,1649353000,3043505000,3561038000,3057795000,3227590000,- -,3767570000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,13000,-35000,- -,52000,-8000,- -,25000,-63000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,211873000,477057000,457016000,426006000,430673000,549939000,- -,594175000,616200000,847600000,- -,825100000,816900000,1132923000,1192000000,1484300000,- -,1649353000,3043505000,3561038000,3057795000,3227590000,- -,3767570000
71,SEC Link,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1278027/000110465906014414/a06-5925_110k.htm,https://www.sec.gov/Archives/edgar/data/1278027/000110465907017413/a07-5909_110k.htm,https://www.sec.gov/Archives/edgar/data/1278027/000104746908002301/a2183322z10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1278027/000104746909002267/0001047469-09-002267-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000104746910001647/0001047469-10-001647-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000104746912001776/0001047469-12-001776-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000104746913001713/0001047469-13-001713-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000104746914001384/a2218372z10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1278027/000104746915001636/a2223296z10-k.htm,https://www.sec.gov/Archives/edgar/data/1278027/000155837017001260/0001558370-17-001260-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000155837018001318/0001558370-18-001318-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000155837019001089/0001558370-19-001089-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000155837020001453/0001558370-20-001453-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1278027/000155837021002267/0001558370-21-002267-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,850000,2253000,-1285000,5998000,15245000,15168000,- -,8005000,11600000,17800000,- -,9700000,17400000,50243000,59300000,52300000,- -,40956000,109425000,217463000,172435000,76389000,- -,131988000
74,Depreciation and Amortization,7183000,15148000,15754000,14290000,5300000,6014000,- -,9703000,10814000,16488000,- -,15552000,17454000,16229000,18853000,24077000,- -,27434000,37266000,49172000,53639000,70130000,- -,75660000
75,Deferred Income Tax,1069000,-268000,2150000,3832000,5532000,4382000,- -,4795000,6165000,9323000,- -,7250000,9445000,13529000,15295000,20800000,- -,13855000,56190000,-80525000,-1494000,20415000,- -,42613000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1032000,4599000,4098000,3777000,3935000,- -,2235000,5798000,4615000,3025000,2594000,- -,10618000
77,Change in Working Capital,3868000,28789000,9630000,-19157000,20096000,-2645000,- -,2036000,-836000,12100000,- -,-800000,2600000,-75543000,-18557000,16200000,- -,27827000,15788000,341028000,-357475000,117251000,- -,46764000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5777000,2149000,-4995000,-1106000,-13703000,- -,6617000,-45763000,-18034000,-12933000,13918000,- -,10806000
79,Inventory,5491000,-5026000,5722000,-2788000,-1394000,-6542000,- -,-5996000,7234000,-13423000,- -,4282000,2765000,-3170000,-3065000,-3662000,- -,-7672000,2396000,-139512000,88037000,-57436000,- -,17271000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4840000,-4712000,8896000,-874000,9231000,- -,-8373000,47250000,16623000,14773000,-26879000,- -,4928000
81,Other Working Capital,30624000,59413000,69043000,49886000,69982000,67337000,- -,103836000,103000000,115100000,- -,114300000,116900000,78357000,59800000,76000000,- -,103827000,344081000,685109000,327634000,444885000,- -,491649000
82,Other Non-Cash Items,632000,-32701000,-2050000,16471000,-19728000,4512000,- -,-2016000,5028000,-21662000,- -,7762000,11356000,63477000,21860000,-2402000,- -,-13181000,65194000,-493954000,339326000,-240275000,- -,-26166000
83,Cash Provided by Operating Activities,13602000,13221000,24199000,21434000,26445000,27431000,- -,22523000,32771000,34049000,- -,40496000,62854000,72033000,100528000,114910000,- -,99126000,289661000,37799000,209456000,46504000,- -,281477000
84,CAPEX,-3780000,-5500000,-5891000,-3904000,-6283000,-6442000,- -,-6659000,-7306000,-14230000,- -,-10631000,-10704000,-10556000,-10637000,-14649000,- -,-19025000,-42418000,-59802000,-41627000,-42355000,- -,-26748000
85,Acquisitions Net,- -,- -,- -,- -,- -,-118179000,- -,-2513000,-30102000,-200526000,- -,- -,- -,-326000000,-62667000,-247281000,- -,-154277000,-438787000,-162965000,-30787000,-82430000,- -,-542488000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-37566000,-230200000,-5680000,20186000,-6283000,-6442000,- -,- -,1275000,- -,- -,-10631000,-10704000,-10556000,-10637000,-14649000,- -,-19025000,-42418000,-57573000,378375000,-42309000,- -,-26405000
89,Cash Used for Investing Activites,-37566000,-230200000,-5680000,20186000,-6283000,-124621000,- -,-9172000,-36133000,-214756000,- -,-10631000,-10704000,-336556000,-73304000,-261930000,- -,-173302000,-481205000,-220538000,347588000,-124739000,- -,-568893000
90,Debt Repayment,-445000,-30875000,-12831000,-40048000,-118111000,-60530000,- -,- -,- -,- -,- -,- -,-102706000,-155000000,-121772000,-595154000,- -,-397250000,-249000000,-804640000,-820110000,-1345000000,- -,-598375000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,193185000,- -,- -,86600000,- -,120355000,- -,- -,- -,331879000,112000,60000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82417000,- -,-2551000,-2334000,-3652000,- -,- -,- -,- -,- -,- -,-26920000,-34713000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-16448000,-16960000,-24074000,- -,-31196000,-26437000,-38238000,-50161000,-62824000,- -,-72369000,-100807000,-123631000,-124524000,-123669000,- -,-121874000
94,Other Financing Activites,24317000,255000000,- -,50000,98760000,150000000,- -,- -,24581000,100999000,- -,- -,- -,379465000,26834000,789806000,- -,541238000,233933000,1287495000,218167000,1581095000,- -,1048201000
95,Cash Used/Provided by Financing Activities,23872000,224125000,-12831000,-39998000,-19351000,89470000,- -,-16448000,7621000,187693000,- -,-33747000,-44877000,182575000,-24744000,131828000,- -,71619000,216005000,359336000,-753327000,77713000,- -,327952000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-54000,- -,1000,-62000,-6000,- -,-165000,98000,-52000,1000,80000,- -,-60000,-874000,1076000,1425000,189000,- -,331000
97,Net Change In Cash,-92000,7146000,5688000,1622000,811000,-7774000,- -,-3096000,4197000,6980000,- -,-4047000,7371000,-82000000,2481000,-15112000,- -,-2617000,23587000,177673000,-194858000,-333000,- -,40867000
98,Cash at the End of Period,599000,7745000,13433000,15055000,15866000,8092000,- -,25429000,29626000,36606000,- -,32559000,39930000,16738000,19219000,4107000,- -,1490000,28833000,206506000,11648000,11315000,- -,52182000
99,Cash at the Beginning of Period,691000,599000,7745000,13433000,15055000,15866000,- -,28525000,25429000,29626000,- -,36606000,32559000,98738000,16738000,19219000,- -,4107000,5246000,28833000,206506000,11648000,- -,11315000
100,Free Cash Flow,9822000,7721000,18308000,17530000,20162000,20989000,- -,15864000,25465000,19819000,- -,29865000,52150000,61477000,89891000,100261000,- -,80101000,247243000,-22003000,167829000,4149000,- -,254729000
101,SEC Link,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1278027/000110465906014414/a06-5925_110k.htm,https://www.sec.gov/Archives/edgar/data/1278027/000110465907017413/a07-5909_110k.htm,https://www.sec.gov/Archives/edgar/data/1278027/000104746908002301/a2183322z10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1278027/000104746909002267/0001047469-09-002267-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000104746910001647/0001047469-10-001647-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000104746912001776/0001047469-12-001776-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000104746913001713/0001047469-13-001713-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000104746914001384/a2218372z10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1278027/000104746915001636/a2223296z10-k.htm,https://www.sec.gov/Archives/edgar/data/1278027/000155837017001260/0001558370-17-001260-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000155837018001318/0001558370-18-001318-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000155837019001089/0001558370-19-001089-index.html,https://www.sec.gov/Archives/edgar/data/1278027/000155837020001453/0001558370-20-001453-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1278027/000155837021002267/0001558370-21-002267-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
