,https://roic.ai/company/BKI,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,165500000,-111600000,95800000,158800000,192400000,206200000,224700000,220300000,213000000
21,Income Before Tax Ratio,0.1209,-0.1310,0.1029,0.1548,0.1830,0.1851,0.1909,0.1779,0.1444
22,Income Tax expense (Gain),59000000,-5300000,13400000,25800000,-61800000,37700000,41900000,41600000,35700000
23,Net Income,105500000,-107100000,20000000,45800000,182300000,168500000,108800000,264100000,207900000
24,Net Income ratio,0.0771,-0.1257,0.0215,0.0446,0.1734,0.1513,0.0924,0.2132,0.1409
25,EPS,1.62,-1.64,0.13,0.69,2.06,1.14,0.74,1.74,1.37
26,EPS Diluted,1.62,-1.64,0.13,0.67,1.47,1.14,0.73,1.73,1.36
27,Weighted Average Shares Outstanding,65302455,65302455,153129962,65900000,88700000,147600000,147700000,152000000,152000000
28,Weighted Average Shares Outstanding Diluted,65302455,65302455,153129962,67900000,152400000,148200000,148600000,152900000,152900000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1627014/000162701416000037/0001627014-16-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701417000012/0001627014-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701418000016/0001627014-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701419000013/0001627014-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701420000005/0001627014-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701421000005/0001627014-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000155837022002149/0001558370-22-002149-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,7400000,61900000,186000000,131600000,14400000,20300000,15400000,34700000,77100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,470000000,- -
33,Cash and Short-Term Investments,7400000,61900000,186000000,131600000,14400000,20300000,15400000,504700000,77100000
34,Net Receivables,7400000,140200000,142500000,159900000,219900000,193300000,194800000,203100000,221500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2400000,28800000,28200000,47700000,46400000,52500000,45300000,-420500000,53500000
37,Total Current Assets,17200000,230900000,356700000,339200000,280700000,266100000,255500000,287300000,352100000
38,PP&E,500000,142400000,152000000,173000000,179900000,177100000,203300000,204200000,187400000
39,Goodwill,49000000,2223900000,2223900000,2303800000,2306800000,2329700000,2361400000,3613400000,3817300000
40,Intangible Assets,20800000,904400000,796700000,749500000,648400000,593600000,556000000,1190600000,1110200000
41,Intangible Assets,69800000,3128300000,3020600000,3053300000,2955200000,2923300000,2917400000,4804000000,4927500000
42,Investments,- -,- -,- -,- -,- -,4000000,294900000,470500000,490500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,600000,96700000,174400000,196500000,240100000,282900000,291700000,324500000,393400000
45,Total Non-Current Assets,70900000,3367400000,3347000000,3422800000,3375200000,3387300000,3707300000,5803200000,5998800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,88100000,3598300000,3703700000,3762000000,3655900000,3653400000,3962800000,6090500000,6350900000
48,Accounts Payable,3100000,41800000,29300000,55200000,65000000,67800000,65300000,8900000,7900000
49,Short-Term Debt,- -,64400000,43500000,63400000,55100000,52500000,79100000,86500000,43300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,24300000,16600000
51,Deferred Revenue,800000,28100000,40400000,47400000,59600000,52900000,50900000,50900000,64600000
52,Other Current Liabilities,16300000,68500000,65000000,61100000,51900000,65800000,65500000,145000000,149000000
53,Total Current Liabilities,20200000,202800000,178200000,227100000,231600000,239000000,260800000,291300000,264800000
54,Long-Term Debt,- -,2070700000,1618000000,1506800000,1379000000,1284200000,1465100000,2121900000,2389000000
55,Deferred Revenue,100000,35900000,56200000,77300000,100700000,106800000,98000000,92700000,81500000
56,Deferred Tax Liabilities,- -,- -,4700000,7900000,224600000,220900000,185300000,284000000,284100000
57,Other Non-Current Liabilities,- -,371900000,1600000,3500000,11200000,16000000,55100000,672900000,52300000
58,Total Non-Current Liabilities,100000,2478500000,1680500000,1595500000,1715500000,1627900000,1803500000,3171500000,2806900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,13500000,37200000
61,Total Liabilities,20300000,2681300000,1858700000,1822600000,1947100000,1866900000,2064300000,3462800000,3071700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-50600000,-146700000,19900000,65700000,201400000,381100000,490600000,757400000,968200000
65,Other Comprehensive Income/Loss,- -,-100000,-100000,-800000,3900000,300000,-20200000,-38800000,-17500000
66,Other Total Stockholders Equity,120500000,1098000000,1886900000,1874700000,1503400000,1537900000,1427900000,1908300000,- -
67,Total Stockholders Equity,67800000,917000000,818700000,875700000,1708800000,1786500000,1898500000,2627700000,2090400000
68,Total Liabilities And Stockholders Equity,88100000,3598300000,2677400000,2698300000,3655900000,3653400000,3962800000,6090500000,5162100000
69,Minority Interest,- -,- -,1026300000,1063700000,- -,- -,- -,- -,1188800000
70,Total Liabilities & Equity,88100000,3598300000,3703700000,3762000000,3655900000,3653400000,3962800000,6090500000,6350900000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1627014/000162701416000037/0001627014-16-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701417000012/0001627014-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701418000016/0001627014-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701419000013/0001627014-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701420000005/0001627014-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701421000005/0001627014-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000155837022002149/0001558370-22-002149-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,105500000,-107100000,20000000,45800000,182300000,168500000,108800000,264100000,207900000
74,Depreciation and Amortization,79700000,188800000,194300000,208300000,206500000,217000000,236200000,270700000,365000000
75,Deferred Income Tax,- -,100000,11800000,3200000,-78400000,-7500000,-3700000,-20600000,-17000000
76,Stock Based Compensation,- -,- -,11400000,12400000,18900000,50900000,50800000,39400000,41700000
77,Change in Working Capital,-103300000,31100000,150400000,-66400000,-63000000,-22000000,-32400000,1300000,-123500000
78,Accounts Receivable,42000000,-26800000,-20900000,-6400000,-52500000,44500000,- -,7000000,-5900000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,7100000,-13300000
81,Other Working Capital,-3000000,28100000,178500000,112100000,49100000,27100000,-5300000,-4000000,-61800000
82,Other Non-Cash Items,23800000,-93500000,-139700000,122400000,84800000,28600000,18600000,-139500000,-24200000
83,Cash Provided by Operating Activities,105700000,19400000,248200000,325700000,351100000,435500000,378300000,415400000,449900000
84,CAPEX,-104800000,-66900000,-102500000,-80000000,-80700000,-103100000,-103900000,-113200000,-113600000
85,Acquisitions Net,- -,1500000,- -,-150200000,- -,-43400000,-445400000,-1961000000,-302600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-92500000,-45500000,-56900000,-41900000,-57300000,-70700000,-83200000,-104300000,-98700000
89,Cash Used for Investing Activites,-112900000,-65400000,-102500000,-230200000,-84700000,-144100000,-551000000,-2089200000,-429800000
90,Debt Repayment,- -,-432200000,-1757700000,-154000000,-637400000,-1067900000,-679800000,-930600000,-455700000
91,Common Stock Issued,- -,- -,479300000,- -,- -,- -,- -,484600000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-136700000,-141500000,-11900000,- -,-146700000
93,Dividends Paid,-25700000,-16900000,-17400000,-48600000,-75300000,- -,- -,- -,- -
94,Other Financing Activites,-2200000,557000000,1274200000,55000000,465300000,922100000,859500000,2139100000,624700000
95,Cash Used/Provided by Financing Activities,-27900000,107900000,-21600000,-147600000,-384100000,-287300000,167800000,1693100000,22300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-228800000,- -,124100000,-52100000,-117700000,4100000,-4900000,19300000,42400000
98,Cash at the End of Period,7400000,61900000,186000000,133900000,16200000,20300000,15400000,34700000,77100000
99,Cash at the Beginning of Period,236200000,- -,61900000,186000000,133900000,16200000,20300000,15400000,34700000
100,Free Cash Flow,900000,-47500000,145700000,245700000,270400000,332400000,274400000,302200000,336300000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1627014/000162701416000037/0001627014-16-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701417000012/0001627014-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701418000016/0001627014-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701419000013/0001627014-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701420000005/0001627014-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000162701421000005/0001627014-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1627014/000155837022002149/0001558370-22-002149-index.htm
102,false,,,,,,,,,
