,https://roic.ai/company/CPWR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/827099/000082709906000043/0000827099-06-000043-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/827099/000103883812000085/0001038838-12-000085-index.htm,- -,https://www.sec.gov/Archives/edgar/data/827099/000103883815000141/0001038838-15-000141-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000103883815000145/0001038838-15-000145-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000103883816000224/0001038838-16-000224-index.htm,- -,https://www.sec.gov/Archives/edgar/data/827099/000165495418003464/0001654954-18-003464-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000165495419003067/0001654954-19-003067-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000165495420002880/0001654954-20-002880-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000165495421003485/0001654954-21-003485-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000165495422004084/0001654954-22-004084-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,81723,148934,357157,123784,65007,18609,857,11458,178,4667,14343,425015,8398,23243,7442,957
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,81723,148934,357157,123784,65007,18609,857,11458,178,4667,14343,425015,8398,23243,7442,957
34,Net Receivables,- -,- -,- -,200,818,17492,132706,21673,2563,17713,1960,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,63432,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,10184,12445,17545,16483,11888,1403,- -,- -,2478,- -,25000,- -,20000,10000,5000
37,Total Current Assets,- -,- -,- -,81923,159936,387094,274035,166595,33060,19973,13418,178,7145,14343,450015,8398,43243,17442,5957
38,PP&E,- -,- -,- -,14351,45264,52804,43005,37654,22319,8329,2701,- -,- -,- -,893991,672,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,11951,6604,3088,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,14351,57215,59408,46093,37654,22319,8329,2701,- -,- -,- -,893991,672,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,96274,217151,446502,320128,204249,55379,28302,16119,178,7145,14343,1344006,9070,43243,17442,5957
48,Accounts Payable,- -,- -,- -,154674,56801,4393,217135,315826,388298,405259,448438,406705,473732,201586,6846010,8876222,- -,14457379,- -
49,Short-Term Debt,1180,1330,1793,219271,222531,119014,113181,104172,99614,283699,594068,619858,767240,965733,4320260,6441437,7717343,8266488,2329473
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,57796,57803,62885,33084,30943,- -,14887,8487,3445,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,4500,79769,73469,60892,64970,61789,184254,293744,315310,353749,321827,393794,- -,2292254,14208807,5321395,27477615
53,Total Current Liabilities,1180,1330,6293,511510,410604,247184,428370,512730,672166,997589,1366303,1383757,1562799,1561113,11166270,17609913,21926150,28045262,29807088
54,Long-Term Debt,- -,- -,- -,412615,318647,216909,322905,438138,484667,337056,25790,- -,- -,- -,687290,168334,183750,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226793
58,Total Non-Current Liabilities,- -,- -,- -,412615,318647,216909,322905,438138,484667,337056,25790,- -,- -,- -,687290,168334,183750,- -,226793
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,385349,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1180,1330,6293,924125,729251,464093,751275,950868,1156833,1334645,1392093,1383757,1562799,1561113,11853560,17778247,22109900,28430611,30033881
62,Preferred Stock,- -,- -,- -,- -,- -,- -,1200,1200,1200,1200,1200,1200,- -,- -,- -,- -,2819,2819,- -
63,Common Stock,- -,- -,- -,20009,21012,21382,21882,21882,23032,23032,24032,24032,53404,246,122642,131039,134775,- -,- -
64,Retained Earnings,-124725,-124875,-140946,-2972290,-3254476,-3646001,-3264559,-3664786,-4022037,-4229826,-4402958,-4427307,-4774049,-5270625,-67703218,-75583231,-80463422,- -,-89584516
65,Other Comprehensive Income/Loss,- -,- -,- -,-55631,-13286,-60366,-32563,-47914,-63249,-77239,-48886,- -,- -,- -,-31460,-32140,-32812,- -,- -
66,Other Total Stockholders Equity,123545,123545,134653,2180061,2576710,2790941,2842893,2942999,2959600,2976490,3050638,3018496,3164991,3723609,57102482,57715155,58291983,- -,59556592
67,Total Stockholders Equity,-1180,-1330,-6293,-827851,-670040,-894044,-431147,-746619,-1101454,-1306343,-1375974,-1383579,-1555654,-1546770,-10509554,-17769177,-22066657,-28413169,-30027924
68,Total Liabilities And Stockholders Equity,- -,- -,- -,96274,59211,-429951,320128,204249,55379,28302,16119,178,7145,14343,1344006,9070,43243,17442,5957
69,Minority Interest,- -,- -,- -,- -,157940,876453,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,96274,217151,446502,320128,204249,55379,28302,16119,178,7145,14343,1344006,9070,43243,17442,5957
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/827099/000082709906000043/0000827099-06-000043-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/827099/000103883812000085/0001038838-12-000085-index.htm,- -,https://www.sec.gov/Archives/edgar/data/827099/000103883815000141/0001038838-15-000141-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000103883815000145/0001038838-15-000145-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000103883816000224/0001038838-16-000224-index.htm,- -,https://www.sec.gov/Archives/edgar/data/827099/000165495418003464/0001654954-18-003464-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000165495419003067/0001654954-19-003067-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000165495420002880/0001654954-20-002880-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000165495421003485/0001654954-21-003485-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000165495422004084/0001654954-22-004084-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-150,-150,-16071,-720764,-282186,-391525,381442,-400227,-357251,-207789,-173132,-24349,-346742,-496576,-14591675,-7880013,-4880191,-6450457,-2670637
74,Depreciation and Amortization,- -,- -,- -,12448,11971,11413,13636,15351,15335,13990,5628,2701,- -,- -,1014,680,672,212087,362259
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,2416,- -,20000,- -,- -,- -,3823163,- -,- -,- -,- -
77,Change in Working Capital,- -,-150,-4963,-423294,178919,390578,-294245,-191800,-292971,-338510,-375269,-30694,-172075,8884,-9169485,-6885260,-4281392,-6144913,-1773311
78,Accounts Receivable,- -,- -,- -,- -,- -,-23278,-22839,40689,19110,-15150,15754,1960,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,263,- -,- -,-739,739,63432,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-52408,118940,98691,- -,16961,43178,-41733,67027,19981,1199515,- -,- -,- -,3096445
81,Other Working Capital,-1180,-1330,-6293,-429587,-250668,139910,-154335,-346135,-639106,-977616,-1352885,-1383579,-1555654,-1546770,-10716255,-17601515,-21882907,-28027820,-29801131
82,Other Non-Cash Items,- -,150,10798,1010930,218043,421965,-423244,411675,494304,478083,522023,-33938,335806,315127,18467814,13126011,8544131,11556172,3539059
83,Cash Provided by Operating Activities,-150,-150,-10236,-120680,126747,432431,-322411,-165001,-138167,-54226,-750,-86280,-183011,-172565,-1469169,-1638582,-616780,-827111,-542630
84,CAPEX,- -,- -,- -,-2072,-9281,-18953,-11125,- -,- -,- -,- -,- -,- -,- -,-95352,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45261,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,236,- -,- -,- -,- -,- -,12250,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-2072,-9045,-18953,-11125,- -,- -,- -,12250,75000,- -,- -,-140613,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-205255,-99837,-43776,-33231,-9026,-899,- -,- -,-5259,-68971,-67682,-53825,- -,- -
91,Common Stock Issued,- -,- -,- -,162160,990,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000,165885,- -,103945,972882
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111440,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,150,150,10236,-65996,-51481,- -,200000,150000,125000,45500,- -,- -,187500,192500,2162713,1123762,685450,707365,-436737
95,Cash Used/Provided by Financing Activities,150,150,10236,96164,-50491,-205255,100163,106224,91769,36474,-899,- -,187500,187241,2027302,1221965,631625,811310,536145
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-26588,67211,208223,-233373,-58777,-46398,-17752,10601,-11280,4489,9676,417520,-416617,14845,-15801,-6485
98,Cash at the End of Period,- -,- -,- -,81723,148934,357157,123784,65007,18609,857,11458,178,4667,14343,425015,8398,23243,7442,957
99,Cash at the Beginning of Period,- -,- -,- -,108311,81723,148934,357157,123784,65007,18609,857,11458,178,4667,7495,425015,8398,23243,7442
100,Free Cash Flow,-150,-150,-10236,-122752,117466,413478,-333536,-165001,-138167,-54226,-750,-86280,-183011,-172565,-1564521,-1638582,-616780,-827111,-542630
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/827099/000082709906000043/0000827099-06-000043-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/827099/000103883812000085/0001038838-12-000085-index.htm,- -,https://www.sec.gov/Archives/edgar/data/827099/000103883815000141/0001038838-15-000141-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000103883815000145/0001038838-15-000145-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000103883816000224/0001038838-16-000224-index.htm,- -,https://www.sec.gov/Archives/edgar/data/827099/000165495418003464/0001654954-18-003464-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000165495419003067/0001654954-19-003067-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000165495420002880/0001654954-20-002880-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000165495421003485/0001654954-21-003485-index.htm,https://www.sec.gov/Archives/edgar/data/827099/000165495422004084/0001654954-22-004084-index.htm
102,false,,,,,,,,,,,,,,,,,,,
