,https://roic.ai/company/IVR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1437071/000091420810000237/0000914208-10-000237-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000091420811000289/form10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1437071/000119312512087775/0001193125-12-087775-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000119312513087882/0001193125-13-087882-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707114000012/ivr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1437071/000143707115000010/ivr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1437071/000143707116000052/0001437071-16-000052-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707117000009/0001437071-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707118000008/0001437071-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707119000006/0001437071-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707120000006/0001437071-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707121000005/0001437071-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1437071/000143707122000007/0001437071-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,24041000,63552000,197224000,286474000,210612000,164144000,53199000,161788000,88381000,135617000,172507000,148011000,357134000
32,Short-Term Investments,- -,806720000,5633058000,14214149000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,830761000,5696610000,14411373000,286474000,210612000,164144000,53199000,161788000,88381000,135617000,172507000,148011000,357134000
34,Net Receivables,- -,6255000,30104000,214591000,104406000,585150000,162365000,315382000,177281000,73837000,80098000,100544000,16918000,24751000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,246552000,18267599000,20603697000,17125247000,15905147000,14847936000,18116917000,17383142000,- -,- -,- -
37,Total Current Assets,- -,- -,- -,14872516000,18658479000,21399459000,17451756000,16273728000,15187005000,18279135000,17598857000,- -,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,806720000,5633058000,14282942000,35301000,54403000,106498000,16179723000,15014632000,18220705000,17420654000,21793784000,8188590000,7816735000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1000000,- -,- -,-14383291000,220980000,-1102883000,3672763000,-15680715000,-14495399000,-17842584000,-17206006000,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,-100349000,256281000,-1048480000,3779261000,499008000,519233000,378121000,214648000,- -,- -,- -
46,Other Assets,1000000,853400000,5862400000,- -,- -,- -,- -,- -,- -,- -,- -,22346545000,8632851000,8443841000
47,Total Assets,1000000,853400000,5862400000,14772167000,18914760000,20350979000,21231017000,16772736000,15706238000,18657256000,17813505000,22346545000,8632851000,8443841000
48,Accounts Payable,1000000,598000,2579000,12377000,16152000,30796000,32109000,23980000,22600000,20045000,39314000,45558000,2271000,3058000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,592402000,4840421000,- -,- -,15900204000,14008773000,12457721000,11395037000,14213489000,13837494000,17719088000,- -,- -
53,Total Current Liabilities,- -,593000000,4843000000,- -,- -,15931000000,14040882000,12481701000,11417637000,14233534000,13876808000,17764646000,- -,- -
54,Long-Term Debt,- -,80377000,- -,- -,- -,2043741000,4579820000,2050000000,2047041000,1793231000,1650000000,1650000000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,-377000,- -,- -,- -,259000,- -,-5427000,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,80000000,- -,- -,- -,2044000000,4579820000,2044573000,2047041000,1793231000,1650000000,1650000000,- -,- -
59,Other Liabilities,1000000,- -,- -,12854754000,16325240000,- -,- -,- -,- -,- -,- -,- -,7265693000,7041706000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1000000,643090000,4811586000,12854754000,16325240000,17947744000,18592167000,14505828000,13436054000,16000378000,15526808000,19414646000,7265693000,7041706000
62,Preferred Stock,- -,- -,- -,- -,135362000,135356000,285216000,285216000,285216000,563324000,563324000,563324000,563324000,427968000
63,Common Stock,- -,89000,499000,1154000,1162000,1245000,1231000,1136000,1116000,1116000,1115000,1443000,2032000,3299000
64,Retained Earnings,- -,320000,-8173000,-15068000,18848000,-155957000,-612821000,-755799000,-718303000,-579334000,-882087000,-814483000,-2644355000,-2882824000
65,Other Comprehensive Income/Loss,- -,7721000,24015000,-393291000,86436000,-156993000,404559000,303110000,293668000,261029000,220813000,288963000,58605000,37286000
66,Other Total Stockholders Equity,- -,172385000,1002809000,2299543000,2316290000,2552464000,2532130000,2407372000,2379863000,2384356000,2383532000,2892652000,3387552000,3816406000
67,Total Stockholders Equity,- -,180515000,1019150000,1892338000,2558098000,2376115000,2610315000,2241035000,2241560000,2630491000,2286697000,2931899000,1367158000,1402135000
68,Total Liabilities And Stockholders Equity,1000000,823605000,5830736000,14747092000,18883338000,20323859000,21202482000,16746863000,15677614000,18630869000,17813505000,22346545000,8632851000,8443841000
69,Minority Interest,- -,29795000,31664000,25075000,31422000,27120000,28535000,25873000,28624000,26387000,- -,- -,- -,- -
70,Total Liabilities & Equity,1000000,853400000,5862400000,14772167000,18914760000,20350979000,21231017000,16772736000,15706238000,18657256000,17813505000,22346545000,8632851000,8443841000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1437071/000091420810000237/0000914208-10-000237-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000091420811000289/form10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1437071/000119312512087775/0001193125-12-087775-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000119312513087882/0001193125-13-087882-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707114000012/ivr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1437071/000143707115000010/ivr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1437071/000143707116000052/0001437071-16-000052-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707117000009/0001437071-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707118000008/0001437071-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707119000006/0001437071-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707120000006/0001437071-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707121000005/0001437071-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1437071/000143707122000007/0001437071-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,- -,15094000,98399000,281915000,339885000,141620000,-199445000,103970000,254411000,348607000,-70790000,364101000,-1674352000,-90000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21383000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-593000000,-4250000000,19715516000,3785963000,-13190020000,-2057585000,381153000,-22659000,276233000,-323552000,-21486695000,17764646000,-58000
78,Accounts Receivable,- -,- -,- -,-31664000,-8810000,-5269000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-2920000,-17004000,9798000,3235000,14707000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-593000000,-4843000000,14872516000,18658479000,5468459000,3410874000,3792027000,3769368000,4045601000,3722049000,-17764646000,- -,- -
82,Other Non-Cash Items,- -,589384000,4223130000,-19692068000,-3698398000,13538892000,2636692000,-126538000,97963000,-306886000,698606000,21465953000,-15919835000,263733000
83,Cash Provided by Operating Activities,- -,11478000,71529000,305363000,427450000,490492000,379662000,358585000,329715000,317954000,304264000,343359000,170459000,152292000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-961356000,-5063798000,-13756602000,-8813000,-72723000,-111741000,-49446000,-465580000,- -,-2830000,-597077000,-875930000,-5430000
87,Sales/Maturities of Investments,- -,172534000,680681000,4608084000,- -,114538000,- -,- -,524478000,67838000,- -,- -,-31353000,16430116000
88,Other Investing Activites,- -,-4359000,-43451000,- -,-3671375000,-2345007000,-800639000,1287189000,890118000,-3189103000,624381000,-3727154000,12461792000,-16303938000
89,Cash Used for Investing Activites,- -,-793181000,-4426568000,-9148518000,-3680188000,-2303192000,-912380000,1237743000,949016000,-3121265000,621551000,-4324231000,11554509000,120748000
90,Debt Repayment,- -,-30000,-151903000,- -,- -,-41722000,-1821457000,-2443150000,-125000000,-262069000,-143433000,- -,-1650000000,- -
91,Common Stock Issued,- -,200113000,830806000,1335940000,16316000,396465000,256000,191000,35000,- -,- -,509075000,420737000,430496000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-160533000,-21130000,-125631000,-25000000,- -,-1144000,- -,- -,-140038000
93,Dividends Paid,- -,-6290000,-72953000,-267492000,-306443000,-332779000,-264528000,-239361000,-204491000,-212692000,-234374000,-271234000,-137499000,-133068000
94,Other Financing Activites,- -,611950000,3788600000,7908379000,3632115000,1875407000,2593109000,1100678000,-815686000,3204665000,-500248000,3896916000,-10255124000,-245962000
95,Cash Used/Provided by Financing Activities,- -,805743000,4394550000,8976827000,3341988000,1736838000,486250000,-1707273000,-1170142000,2729904000,-879199000,4134757000,-11621886000,-88572000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,24040000,39511000,133672000,89250000,-75862000,-46468000,-110945000,108589000,-73407000,46616000,153885000,103082000,184468000
98,Cash at the End of Period,- -,24041000,63552000,197224000,286474000,210612000,164144000,53199000,161788000,88381000,135617000,289502000,392584000,577052000
99,Cash at the Beginning of Period,- -,1000,24041000,63552000,197224000,286474000,210612000,164144000,53199000,161788000,89001000,135617000,289502000,392584000
100,Free Cash Flow,- -,11478000,71529000,305363000,427450000,490492000,379662000,358585000,329715000,317954000,304264000,343359000,170459000,152292000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1437071/000091420810000237/0000914208-10-000237-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000091420811000289/form10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1437071/000119312512087775/0001193125-12-087775-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000119312513087882/0001193125-13-087882-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707114000012/ivr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1437071/000143707115000010/ivr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1437071/000143707116000052/0001437071-16-000052-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707117000009/0001437071-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707118000008/0001437071-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707119000006/0001437071-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707120000006/0001437071-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1437071/000143707121000005/0001437071-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1437071/000143707122000007/0001437071-22-000007-index.htm
102,false,,,,,,,,,,,,,,
