,https://roic.ai/company/AMPY,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4353000,11917000,7344000,18878000,33163000,11557000,81093000,76838000,68498000,11341000,- -,10364000,18799000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4353000,11917000,7344000,18878000,33163000,11557000,81093000,76838000,68498000,11341000,- -,10364000,18799000
34,Net Receivables,3870000,14678000,27454000,50299000,146204000,133761000,63665000,43725000,35918000,26013000,33145000,30901000,91967000
35,Inventory,1108000,1173000,5713000,8353000,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2672000,383000,7599000,11942000,13230000,127807000,1044000,3326000,2272000,8624000,19442000,15572000,15018000
37,Total Current Assets,12003000,28151000,48110000,89472000,192597000,273125000,145802000,123889000,106688000,45978000,52587000,56837000,125784000
38,PP&E,271726000,397126000,574079000,1567408000,2094894000,2123116000,523869000,631595000,574462000,553469000,808129000,319746000,323001000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4622000,- -,4622000
43,Tax Assets,- -,- -,- -,- -,- -,35821000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,305000,1727000,2467000,27130000,54616000,43731000,9496000,5455000,6978000,6048000,12201000,8176000,1693000
45,Total Non-Current Assets,272031000,398853000,576546000,1594538000,2149510000,2202668000,533365000,637050000,581440000,559517000,824952000,327922000,329316000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,284034000,427004000,624656000,1684010000,2342107000,2475793000,679167000,760939000,688128000,605495000,877539000,384759000,455100000
48,Accounts Payable,- -,- -,- -,29196000,21493000,22783000,1904000,2521000,11547000,6511000,8310000,798000,33819000
49,Short-Term Debt,- -,- -,- -,- -,8300000,10113000,1900225000,8932000,5150000,2843000,13506000,11236000,- -
50,Tax Payable,- -,- -,- -,- -,4400000,4226000,1272000,2537000,2758000,1813000,520000,2711000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,12147000,55276000,85854000,106231000,223961000,218580000,82431000,44799000,41125000,22678000,39272000,44828000,131344000
53,Total Current Liabilities,12147000,55276000,85854000,135427000,253754000,251476000,1984560000,56252000,57822000,32032000,61088000,56862000,165163000
54,Long-Term Debt,29800000,89600000,234800000,694000000,1701150000,1735150000,- -,128059000,128059000,23059000,285000000,260516000,230000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,190625000,15291000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,6753000,26249000,18500000,20377000,31913000,23305000,20673000,14814000,16660000,8727000,97244000,101118000,124778000
58,Total Non-Current Liabilities,36553000,115849000,253300000,905002000,1748354000,1758455000,20673000,142873000,144719000,31786000,382244000,361634000,354778000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,8300000,10113000,9281000,8932000,5150000,2843000,16226000,11502000,- -
61,Total Liabilities,48700000,171125000,339154000,1040429000,2002108000,2009931000,2005233000,199125000,202541000,63818000,443332000,418496000,519941000
62,Preferred Stock,- -,- -,- -,3000,3000,3000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,666000,689000,704000,110000,250000,253000,255000,209000,378000,425448000
64,Retained Earnings,- -,- -,- -,-187091000,-531076000,-414147000,-2211342000,9930000,-75147000,-25363000,4809000,-463007000,-495077000
65,Other Comprehensive Income/Loss,-15316000,-57144000,-148843000,-274294000,-976880000,-1333019000,-3157332000,-12974000,-204419000,-266198000,-141350000,- -,- -
66,Other Total Stockholders Equity,250650000,313023000,434345000,1104297000,1847263000,2212321000,4042498000,564608000,764900000,832983000,570539000,428892000,4788000
67,Total Stockholders Equity,235334000,255879000,285502000,643581000,339999000,465862000,-1326066000,561814000,485587000,541677000,434207000,-33737000,-64841000
68,Total Liabilities And Stockholders Equity,284034000,427004000,624656000,1684010000,2342107000,2475793000,679167000,760939000,688128000,605495000,877539000,384759000,455100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,284034000,427004000,624656000,1684010000,2342107000,2475793000,679167000,760939000,688128000,605495000,877539000,384759000,455100000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1533924/000104746913003196/0001047469-13-003196-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000104746914002865/a2218798z10-k.htm,https://www.sec.gov/Archives/edgar/data/1533924/000104746915002257/a2223529z10-k.htm,https://www.sec.gov/Archives/edgar/data/1533924/000104746916011743/0001047469-16-011743-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000104746917002204/0001047469-17-002204-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000110465918017491/0001104659-18-017491-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000110465919014838/0001104659-19-014838-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000156459020008959/0001564590-20-008959-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000156459021012491/0001564590-21-012491-index.htm,https://www.sec.gov/Archives/edgar/data/1533924/000155837022003152/0001558370-22-003152-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-11752000,-15635000,16657000,-150097000,-343985000,116929000,-1797195000,- -,-85077000,49784000,-35197000,-464030000,-32070000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,75276000,- -,- -,- -,- -,17977000000
75,Deferred Income Tax,- -,- -,- -,157886000,-146529000,5586000,-9641000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,234000,1518000,53744000,2459000,5713000,8618000,4408000,2909000,9196000,5407000,4530000,-112000,- -
77,Change in Working Capital,-1950000,-26981000,-10619000,-8211000,-15202000,82806000,-1860407000,1906395000,-18771000,-34920000,-22447000,8476000,-39354000
78,Accounts Receivable,-944000,-10807000,-12776000,-11826000,-66865000,33322000,26437000,-115000,2766000,8690000,10701000,1950000,- -
79,Inventory,568000,-65000,-4540000,-2640000,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-646000,-4350000,2327000,-4176000,-1555000,2961000,-1779000,- -,- -,- -
81,Other Working Capital,-144000,-27125000,-37744000,-45955000,-61157000,21649000,-1838758000,67637000,48866000,13946000,-8501000,-25000,-39379000
82,Other Non-Cash Items,24063000,91866000,80918000,135212000,727105000,142899000,3876218000,-1898939000,214254000,86884000,100397000,529996000,45063424000
83,Cash Provided by Operating Activities,10595000,50768000,140700000,137249000,227102000,356838000,213383000,85641000,119602000,107155000,47283000,74330000,62969000000
84,CAPEX,-75254000,-139618000,-242619000,-773608000,-1193846000,-561691000,-336922000,-23346000,-130199000,-112398000,-73790000,-35890000,30751000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19250000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-155000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000000,- -,- -
88,Other Investing Activites,39000,- -,-152000,- -,- -,152133000,42366000,-133307000,4235000,54446000,10000,- -,- -
89,Cash Used for Investing Activites,-75215000,-139618000,-242771000,-773608000,-1193846000,-409558000,-294556000,-156653000,-125964000,-57952000,35315000,-35890000,- -
90,Debt Repayment,-5000000,-200000,- -,-285467000,-34300000,-131000000,-468150000,- -,- -,-106000000,-210559000,-55000000,- -
91,Common Stock Issued,- -,- -,- -,213569000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-65000000,-664000,-1928000,-489000,-53000,-1603000,-852000,-29543000,-51000,- -
93,Dividends Paid,- -,- -,-50572000,- -,- -,- -,- -,- -,- -,- -,-15889000,-3786000,- -
94,Other Financing Activites,70759000,96614000,148070000,784791000,1015993000,164042000,619348000,66810000,-375000,492000,123689000,30436000,- -
95,Cash Used/Provided by Financing Activities,65759000,96414000,97498000,647893000,981029000,31114000,150709000,66757000,-1978000,-106360000,-132302000,-28401000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1139000,7564000,-4573000,11534000,14285000,-21606000,69536000,-4255000,-8340000,-57157000,-49704000,10039000,- -
98,Cash at the End of Period,4353000,11917000,7344000,18878000,33163000,11557000,81093000,76838000,68498000,11341000,325000,10364000,- -
99,Cash at the Beginning of Period,3214000,4353000,11917000,7344000,18878000,33163000,11557000,81093000,76838000,68498000,50029000,325000,10364000
100,Free Cash Flow,-64659000,-88850000,-101919000,-636359000,-966744000,-204853000,-123539000,-71012000,-10597000,-5243000,-26507000,38440000,93720000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1533924/000104746913003196/0001047469-13-003196-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000104746914002865/a2218798z10-k.htm,https://www.sec.gov/Archives/edgar/data/1533924/000104746915002257/a2223529z10-k.htm,https://www.sec.gov/Archives/edgar/data/1533924/000104746916011743/0001047469-16-011743-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000104746917002204/0001047469-17-002204-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000110465918017491/0001104659-18-017491-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000110465919014838/0001104659-19-014838-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000156459020008959/0001564590-20-008959-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000156459021012491/0001564590-21-012491-index.htm,https://www.sec.gov/Archives/edgar/data/1533924/000155837022003152/0001558370-22-003152-index.htm
102,false,,,,,,,,,,,,,
