,https://roic.ai/company/AMBO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
58,Total Non-Current Liabilities,387757000,1154296000,450724000,434102000,504427000,131844000,103750000,67658000,25721000,23172000,48909000,2301000,248219000,264968000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269579000,274021000
61,Total Liabilities,862861000,1657034000,1582625000,1505504000,1954164000,1796403000,1555686000,1558994000,865102000,861174000,811461000,647448000,857203000,908563000
62,Preferred Stock,110950000,110950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,17000,26000,90000,101000,102000,103000,122000,574000,717000,726000,730000,818000,820000,884000
64,Retained Earnings,8169000,-5485000,-42996000,140672000,111417000,-1503956000,-2375099000,-3451958000,-3388447000,-3424149000,-3316715000,-3271838000,-3371815000,-3419146000
65,Other Comprehensive Income/Loss,7579000,23413000,23793000,4181000,-21517000,99290000,64854000,77037000,86118000,86712000,26912000,28454000,26526000,16311000
66,Other Total Stockholders Equity,22759000,207946000,2052407000,2534997000,2621580000,2500273000,2706621000,3325288000,3445408000,3453227000,3456307000,3507123000,3508745000,3545073000
67,Total Stockholders Equity,149474000,336850000,2033294000,2679951000,2711582000,1095710000,396498000,-49059000,143796000,116516000,167234000,264557000,164276000,143122000
68,Total Liabilities And Stockholders Equity,1012335000,1993884000,3615919000,4185455000,4665746000,2892113000,1952184000,1509935000,1008898000,977690000,978695000,912005000,1021479000,1051685000
69,Minority Interest,- -,- -,56475000,53042000,54881000,288245000,1225000,-4247000,-973000,-1495000,-1275000,-1786000,-680000,-1968000
70,Total Liabilities & Equity,1012335000,1993884000,3672394000,4238497000,4720627000,3180358000,1953409000,1505688000,1007925000,976195000,977420000,910219000,1020799000,1049717000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1494558/000114420417016256/0001144204-17-016256-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1494558/000110465920110256/0001104659-20-110256-index.htm,https://www.sec.gov/Archives/edgar/data/1494558/000110465920136529/0001104659-20-136529-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,34237000,67360000,138236000,216032000,21185000,-1621166000,-906818000,-1076813000,63739000,-35700000,46463000,44990000,-99941000,-62712000
74,Depreciation and Amortization,1410000,9290000,68306000,117388000,138393000,138577000,129797000,86599000,45690000,24997000,22673000,26329000,57360000,68249000
75,Deferred Income Tax,- -,-107000,-6265000,-18619000,-19855000,-117517000,-32054000,-28132000,-128818000,1030000,-2127000,-2212000,6714000,-4853000
76,Stock Based Compensation,5151000,9990000,13531000,34214000,33348000,95177000,76595000,157365000,50117000,7828000,4640000,8121000,1624000,947000
77,Change in Working Capital,34040000,-154632000,300401000,96475000,-62225000,340331000,112691000,2480000,23996000,-3891000,-18474000,-34491000,-18780000,8117000
78,Accounts Receivable,-144903000,-30312000,391384000,-26759000,-67441000,17495000,-64086000,25326000,-3513000,-2298000,-10272000,1762000,-3027000,-3868000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,144650000,-135585000,-121006000,-51207000,8561000,10097000,42484000,393000,-1925000,-1653000,4297000,-7895000,1135000,4860000
81,Other Working Capital,4994000,64617000,-88411000,89811000,14367000,172362000,-7557000,50000000,8175000,-6591000,-2573000,4568000,-1439000,-5289000
82,Other Non-Cash Items,13775000,4469000,8885000,11424000,185859000,1132594000,459245000,698134000,-94843000,23271000,-32965000,-17292000,42813000,-4936000
83,Cash Provided by Operating Activities,88613000,-63630000,523094000,456914000,296705000,-32004000,-160544000,-160367000,-40119000,17535000,20210000,25445000,-10210000,4812000
84,CAPEX,-83430000,-54729000,-126538000,-142325000,-428746000,-248662000,-31982000,-14580000,-11877000,-83545000,-22180000,-18927000,-16919000,-10860000
85,Acquisitions Net,-35000000,-328911000,-557617000,-320362000,-90917000,-174459000,32840000,134469000,274878000,-1040000,-10444000,-112003000,-25769000,37607000
86,Purchases of Investments,- -,- -,-129423000,-67700000,-60355000,-42672000,- -,-10223000,-744730000,-1094260000,-799930000,-893000000,-606000000,-475000000
87,Sales/Maturities of Investments,- -,- -,11000000,128123000,71200000,1000000,61777000,- -,540500000,1113627000,814793000,997000000,636000000,400000000
88,Other Investing Activites,-81500000,75859000,-41722000,-12968000,-11672000,-6473000,2967000,2347000,1441000,-1225000,-44427000,-1885000,-20621000,-50312000
89,Cash Used for Investing Activites,-118430000,-261831000,-802365000,-392364000,-494558000,-457855000,65862000,112013000,60212000,-65218000,-61078000,-28520000,-33153000,-98513000
90,Debt Repayment,- -,- -,-297500000,-281500000,-239070000,-114070000,-126362000,-77000000,-39633000,-2300000,- -,- -,-41179000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,62706000,- -,- -,- -,- -,45402000,- -,35578000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,388754000,700041000,211000000,688098000,192854000,190908000,146541000,164003000,52463000,796000,39205000,1470000,559000,19594000
95,Cash Used/Provided by Financing Activities,388754000,700041000,-86500000,406598000,-46216000,76838000,82885000,87003000,12830000,-1504000,39205000,46872000,-40620000,55172000
96,Effect of Forex Changes on Cash,-12359000,-11850000,-3127000,-11774000,-15450000,-7559000,-109000,404000,-2968000,84000,66000,58000,75000,574000
97,Net Change In Cash,346578000,362730000,-368898000,459374000,-398618000,-214286000,-826000,81323000,66018000,-49103000,-1597000,43855000,-83908000,-37955000
98,Cash at the End of Period,416094000,778824000,409926000,869300000,470682000,188216000,177295000,180285000,246303000,199250000,197653000,241508000,157600000,119645000
99,Cash at the Beginning of Period,69516000,416094000,778824000,409926000,869300000,402502000,178121000,98962000,180285000,248353000,199250000,197653000,241508000,157600000
100,Free Cash Flow,5183000,-118359000,396556000,314589000,-132041000,-280666000,-192526000,-174947000,-51996000,-66010000,-1970000,6518000,-27129000,-6048000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1494558/000114420417016256/0001144204-17-016256-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1494558/000110465920110256/0001104659-20-110256-index.htm,https://www.sec.gov/Archives/edgar/data/1494558/000110465920136529/0001104659-20-136529-index.htm
102,Forex Rate,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
