,https://roic.ai/company/NTWK,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,2850000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,- -,248582,48840,7111,27604,122426,183168,339759,332307,1090901,1072203,285472,260107,329882,534943,362680,- -,- -,- -,497441,- -,- -
58,Total Non-Current Liabilities,- -,100000,3165818,248582,133287,133785,1054760,260601,3688305,339759,743915,8014241,5865648,720356,2748012,1412212,1532080,487492,477692,366762,330596,564572,2879940,1264098
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,7111,27604,122426,183168,339759,332307,7298731,8357976,7348007,2156345,638800,1014834,833872,966051,727770,642035,861784,2921283,1675406
61,Total Liabilities,- -,800000,5415398,3613285,4400334,3667399,4628708,5176162,15243165,12127565,14430859,25407957,26093431,20735206,16352562,13282328,16145595,15322057,15708084,21483777,22838229,21012789,22996046,24740659
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,4130000,1920000,1920000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,10892,11717,19328,5757,9483,13831,16161,20556,25545,250412,276629,55532,75137,89295,91509,103078,107134,112254,117085,119117,121222,121816
64,Retained Earnings,- -,-2500000,-6218943,-20268885,-26267749,-28405255,-31375230,-30318988,-31672041,-37132343,-32067003,-41253152,-39859030,-34130944,-31684399,-23821256,-35177303,-40726121,-37323360,-42301390,-37994502,-35206898,-34269817,-38801282
65,Other Comprehensive Income/Loss,- -,-100000,-392819,-864146,-1655148,-2110372,-2491911,-4121165,-5492266,-6485955,-3000000,-7000000,-8000000,-9000000,-12000000,-16000000,-15000000,-17000000,-19000000,-18000000,-24000000,-33000000,-34085047,-31868481
66,Other Total Stockholders Equity,- -,12500000,26406641,31013716,33933420,35584722,40986719,49675874,63293084,73316683,75600779,77060499,83202593,95486102,103204493,111882485,112718961,117422679,120519855,123583607,124667052,126157024,127221785,125198076
67,Total Stockholders Equity,- -,9900000,19805771,9892402,6029851,5074852,7129061,15249552,26144938,33848941,42479321,30977759,35620192,52410690,59595231,72150524,62633167,59799636,64303629,63394471,62789635,58069243,58988143,54650129
68,Total Liabilities And Stockholders Equity,- -,10700000,25221169,13505687,10430185,8742251,11757769,20425714,41388103,45976506,56910180,56385716,61713623,73145896,75947793,85432852,78778762,75121693,80011713,84878248,85627864,79082032,81984189,79390788
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,700320,1637045,3552635,6866514,6383310,10422557,12500484,15399421,17271263,16124512,13840641,13337702,14799082,14146417,8414987,6488900,7215473
70,Total Liabilities & Equity,- -,10700000,25221169,13505687,10430185,8742251,11757769,21126034,43025148,49529141,63776694,62769026,72136180,85646380,91347214,102704115,94903274,88962334,93349415,99677330,99774281,87497019,88473089,86606261
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1039280/000095015002000935/0000950150-02-000935-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420404010391/0001144204-04-010391-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420405008611/0001144204-05-008611-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1039280/000114420406039873/0001144204-06-039873-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420407050276/0001144204-07-050276-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420408067015/0001144204-08-067015-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420409048597/0001144204-09-048597-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420410048772/0001144204-10-048772-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000117184311002778/0001171843-11-002778-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000117184312003317/0001171843-12-003317-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000117184313003695/0001171843-13-003695-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000117184314004360/0001171843-14-004360-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315215004366/0001493152-15-004366-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315216013366/0001493152-16-013366-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315217011038/0001493152-17-011038-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315218013757/0001493152-18-013757-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315219014421/0001493152-19-014421-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315220018417/0001493152-20-018417-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315221023957/0001493152-21-023957-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-585479,-1600000,-3401076,-14049942,-5998864,-2137506,-2969975,663325,-1353053,-4877561,7222048,-8047048,1394120,5728087,2446545,7863143,-11356047,-5548818,3402761,-4978030,4306888,8583399,937081,1778257
74,Depreciation and Amortization,1814,400000,1408873,1509624,2115399,1576890,2070708,1979603,3120220,5456630,3337956,4188208,3907945,4288512,4641987,5702749,8730736,10343814,7152139,6562334,5573474,4423657,3731954,3956314
75,Deferred Income Tax,- -,- -,-250000,-2850000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,886218,216446,- -,- -,- -,- -,- -,1861445,1131013,808616,342153
77,Change in Working Capital,50900,- -,4728916,-5324003,-2067856,903882,1748614,3468747,7217283,264979,6096069,-5638218,1728620,1448556,8097967,7530607,-17955118,4427055,8545334,-2066374,11688203,-699664,-2363994,322608
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4679496,-1316995,-3422252,1774837,-2124884,6785204,-2051890,-6323241,5096500,-10471428,-2814407,3993707,6861454
79,Inventory,46891,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,4728916,-595087,-2662943,-1759061,-10447,3458300,10675583,10940562,17036631,11398413,13127033,14575589,22673556,30204163,12249045,16676100,25221434,23155060,34843263,34143599,31779605,32102213
82,Other Non-Cash Items,419563,400000,-6832774,14516868,4819409,-2523781,-2562162,-5867803,-6570164,-967576,-12884032,10728646,1639025,1570816,-7290230,-7250680,39215331,-4143769,-17441198,936435,-7715688,-8505195,858769,9326591
83,Cash Provided by Operating Activities,-113202,-800000,-4346061,-6197453,-1131912,-2180515,-1712815,243872,2414286,-123528,3772041,1231588,8669710,13922189,8112715,13845819,18634902,5078282,1659036,454365,15714322,4933210,3972426,15725923
84,CAPEX,-3736,-200000,-1548176,-586150,-126283,-127822,-2861754,-1468499,-7737537,-2420470,-4435755,-8756392,-10590274,-17181549,-11079427,-13791335,-16621287,-3558712,-3335921,-2203203,-2449449,-2726558,-1377145,-2551283
85,Acquisitions Net,- -,- -,-119524,-105000,- -,- -,- -,- -,473890,-4027753,-879007,-742989,- -,- -,-253192,-799349,1792848,-577222,-767397,- -,-33987,-567500,-183925,-155500
86,Purchases of Investments,-75000,-200000,-1750000,- -,- -,- -,-3241403,-1517640,-1534371,- -,- -,- -,-268000,-927982,-119417,- -,- -,- -,-555556,-1105555,-230000,- -,- -,- -
87,Sales/Maturities of Investments,113104,- -,- -,1000000,35666,714334,2850000,1703563,- -,1737481,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,92271,-153807,-3414912,281684,-2929174,-4813531,-6597677,-6962295,-7782466,-6122415,-4714027,-3296510,1102615,986433,581018,-980248,-355622,-493820,188233
89,Cash Used for Investing Activites,34368,-400000,-3417700,308850,-90617,678783,-3406964,-4697488,-8516334,-7639916,-10128293,-9434284,-10216790,-17795596,-11407346,-14472252,-14739798,-3033319,-3672441,-2727740,-3693684,-3649680,-2054890,-2518550
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-539497,-4594066,-3164377,-10847469,-630714,-2880840,-4079174,-950529,-554048,-1626109,-480231,-611913,-698797
91,Common Stock Issued,- -,1700000,7657411,3041427,786099,1210785,3294142,2772057,2069382,2038343,6548442,1271305,854509,4099250,5743300,- -,- -,2294599,64931,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-20000,- -,-68650,- -,- -,- -,-21457,-51704,- -,- -,-35486,-641675,-1920000,- -,- -,- -,- -,- -,- -,-38885,-750714,-250945,- -,-2364781
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,77640,- -,-33508,-43828,-1291313,-341657,-388997,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,60237,-500000,3070460,172255,217219,218896,2443795,2106574,5080096,7057572,2017773,6514891,7412222,4623222,14537577,2710505,2647696,3245805,1483777,4970182,1360057,748343,2312206,1898013
95,Cash Used/Provided by Financing Activities,40237,1200000,10659221,3213682,1003318,1429681,5716480,4826927,7149478,9173555,8530729,6571516,1708837,4266782,9091751,1690794,-233144,1461230,598179,4377249,-1016766,17167,1700293,-1165565
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,199627,59970,127255,74611,106285,90597,-240296,-489973,-296116,-2370315,-789650,-73583,-799931,-1196204,511553,-3087973,-6023186,-817363,1496516
97,Net Change In Cash,-38597,1200000,2895460,-2674921,-219211,127576,656671,500566,1122041,1516396,2265074,-1871476,-328216,97259,3426805,274711,3588377,2706262,-2611430,2615427,7915899,-4722489,2800466,13538324
98,Cash at the End of Period,-5518,- -,2981046,306125,86914,214490,871161,1371727,2493768,4010164,6275238,4403762,4075546,4172802,7599607,7874318,11462695,14168957,11557527,14172954,22088853,17366364,20166830,33705154
99,Cash at the Beginning of Period,33079,- -,85586,2981046,306125,86914,214490,871161,1371727,2493768,4010164,6275238,4403762,4075543,4172802,7599607,7874318,11462695,14168957,11557527,14172954,22088853,17366364,20166830
100,Free Cash Flow,-116938,-1000000,-5894237,-6783603,-1258195,-2308337,-4574569,-1224627,-5323251,-2543998,-663714,-7524804,-1920564,-3259360,-2966712,54484,2013615,1519570,-1676885,-1748838,13264873,2206652,2595281,13174640
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1039280/000095015002000935/0000950150-02-000935-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420404010391/0001144204-04-010391-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420405008611/0001144204-05-008611-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1039280/000114420406039873/0001144204-06-039873-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420407050276/0001144204-07-050276-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420408067015/0001144204-08-067015-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420409048597/0001144204-09-048597-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420410048772/0001144204-10-048772-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000117184311002778/0001171843-11-002778-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000117184312003317/0001171843-12-003317-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000117184313003695/0001171843-13-003695-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000117184314004360/0001171843-14-004360-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315215004366/0001493152-15-004366-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315216013366/0001493152-16-013366-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315217011038/0001493152-17-011038-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315218013757/0001493152-18-013757-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315219014421/0001493152-19-014421-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315220018417/0001493152-20-018417-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315221023957/0001493152-21-023957-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
