,https://roic.ai/company/BORR,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,-13700000
82,Other Non-Cash Items,- -,-4300000,32100000,84900000,76000000,-11200000
83,Cash Provided by Operating Activities,- -,-32600000,-135200000,-89000000,-54800000,-58900000
84,CAPEX,- -,-1057300000,-393600000,-271800000,-42400000,-18900000
85,Acquisitions Net,- -,-324500000,-195100000,-30800000,-25500000,57100000
86,Purchases of Investments,- -,-26900000,-13000000,-6900000,-92500000,- -
87,Sales/Maturities of Investments,- -,- -,- -,31300000,3000000,- -
88,Other Investing Activites,- -,-39100000,41600000,7100000,37700000,2700000
89,Cash Used for Investing Activites,- -,-1447800000,-560100000,-271100000,-119700000,40900000
90,Debt Repayment,- -,- -,-89300000,-390000000,- -,- -
91,Common Stock Issued,- -,1415000000,218900000,49200000,60200000,44800000
92,Common Stock Repurchased,- -,-8400000,-19700000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,99700000,473600000,738100000,5000000,- -
95,Cash Used/Provided by Financing Activities,- -,1506300000,583500000,397300000,65200000,44800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,25900000,-111800000,37200000,-109300000,26800000
98,Cash at the End of Period,- -,164000000,91300000,128500000,19200000,46000000
99,Cash at the Beginning of Period,- -,138100000,203100000,91300000,128500000,19200000
100,Free Cash Flow,- -,-1089900000,-528800000,-360800000,-97200000,-77800000
101,SEC Link,undefined,- -,- -,- -,- -,- -
102,false,,,,,,
