,https://roic.ai/company/CHGI,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
17,Operating Income,- -,-79089,-93829,-135763,3648561,4172727,-858448,2426212,5342899,-500732,-58540568,-816652,-2451047,-285628,-271223,-338717,- -,-218566
18,Operating Income ratio,- -,-0.3988,-1.0679,-Infinity,0.1439,0.1528,-0.0559,0.0783,0.1724,-0.0100,-1.8594,786.7553,-8.7034,-0.8833,-0.3349,-0.2292,- -,-0.5091
19,Total Other Income Expenses (Gains),- -,-2009,-5221,-481,31545621,-190439,-615828,-1042821,-4193329,3472983,54979053,-45200,1646125,-2084837,63361,-7383,-72683,- -
20,Income Before Tax,- -,- -,- -,- -,35194182,3982288,-1474276,1383391,1149570,2972251,-3561515,-861852,-804922,-2370465,-207862,-346100,-298883,-218566
21,Income Before Tax Ratio,- -,- -,- -,- -,1.3879,0.1459,-0.0959,0.0446,0.0371,0.0596,-0.1131,830.3006,-2.8582,-7.3305,-0.2566,-0.2341,-0.8303,-0.5091
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-81882,-100853,-138522,3594182,3982288,-1474276,1383391,1149570,2972251,-3561515,-61878880,-6116226,-2370465,-207862,-346100,-298883,-271401
24,Net Income ratio,- -,-0.4129,-1.1478,-Infinity,0.1417,0.1459,-0.0959,0.0446,0.0371,0.0596,-0.1131,59613.5645,-21.7180,-7.3305,-0.2566,-0.2341,-0.8303,-0.6321
25,EPS,- -,-0.01,-0.01,-0.02,0.34,0.25,-0.16,0.07,0.13,-0.15,-2.39,-0.19,-0.07,-0.01,-0.01,-0.01,-0.01,-0.01
26,EPS Diluted,- -,-0.01,-0.01,-0.02,0.34,0.21,-0.16,0.06,0.13,-0.15,-2.39,-0.19,-0.07,-0.01,-0.01,-0.01,-0.01,-0.01
27,Weighted Average Shares Outstanding,- -,8174240,8174240,8174240,10464432,12591363,14426518,17323979,22418101,24018450,25903011,31410507,33670518,33999043,28974137,27231968,27469469,27718084
28,Weighted Average Shares Outstanding Diluted,- -,8174240,8174240,8174240,10506099,14623187,14426518,18548979,22844211,24018450,25903011,31410507,33670518,33999043,28974137,27231968,27469469,27718084
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1284450/000121390012001475/0001213900-12-001475-index.html,- -,https://www.sec.gov/Archives/edgar/data/1284450/000121390014002482/0001213900-14-002482-index.htm,https://www.sec.gov/Archives/edgar/data/1284450/000121390015002365/0001213900-15-002365-index.html,https://www.sec.gov/Archives/edgar/data/1284450/000121390016012438/0001213900-16-012438-index.htm,https://www.sec.gov/Archives/edgar/data/1284450/000121390017003000/0001213900-17-003000-index.html,https://www.sec.gov/Archives/edgar/data/1284450/000121390018003905/0001213900-18-003905-index.html,https://www.sec.gov/Archives/edgar/data/1284450/000121390019005447/0001213900-19-005447-index.html,https://www.sec.gov/Archives/edgar/data/1284450/000121390020012322/0001213900-20-012322-index.htm,https://www.sec.gov/Archives/edgar/data/1284450/000121390021021756/0001213900-21-021756-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,4497,51799,2709127,296312,521450,129746,131545,30863,35523,50300,8106,9137,11585,8129
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,4497,51799,2709127,296312,521450,129746,131545,30863,35523,50300,8106,9137,11585,8129
34,Net Receivables,- -,46168,9344,- -,5111689,4402824,6549666,7018954,13243201,11274657,4683298,1636791,68413,92699,21023,35541,34490,19500
35,Inventory,- -,- -,- -,- -,14626927,15889549,16430754,26432217,37430248,48417875,27901417,1136,2386,24175,4662,1834,17583,- -
36,Other Current Assets,- -,150,3074,- -,1403605,1307497,840767,10771696,18069520,23607241,36704308,24613,211,158010,169459,7517,19067,18829
37,Total Current Assets,- -,46318,12418,- -,21146718,21651669,26530314,44519179,69264419,83429519,69420568,1693403,106533,325184,203250,54029,82725,46458
38,PP&E,- -,- -,- -,- -,19621611,23033384,25959141,34393077,43134442,48288742,51774093,39388,30646,21464,45540,38473,74842,31040
39,Goodwill,- -,- -,- -,- -,2841954,- -,- -,- -,- -,- -,494540,494540,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,3604324,3548273,10496930,- -,- -,9633302,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,2841954,3604324,3548273,10496930,10699059,9657419,10127842,494540,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,3491,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,3491,- -,22463565,26637708,29507414,44890007,53833501,57946161,61901935,533928,30646,21464,45540,38473,74842,31040
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,46318,15909,- -,43610283,48289377,56037728,89409186,123097920,141375680,131322503,2227331,137179,346648,248790,92502,157567,77498
48,Accounts Payable,- -,29602,52444,315185,988470,1804361,2927692,8037332,4567565,2880924,5088390,1317742,1207442,1286065,70724,91189,162754,138972
49,Short-Term Debt,- -,15478,14868,23456,7115778,6784161,10187467,33298150,62251700,79625002,109458159,- -,- -,- -,- -,- -,36564,135906
50,Tax Payable,- -,- -,- -,- -,- -,362298,370777,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,31043,- -,- -,- -,- -,- -,- -,1360989,1368525,2133458,6614,7260,27536,198301,27995,113533,- -
52,Other Current Liabilities,- -,68259,144429,- -,7242692,1002644,1454983,1093143,28099,46816,425015,284647,734721,699242,1914217,2221283,2310573,2545076
53,Total Current Liabilities,- -,144382,211741,338641,15346940,9591166,14570142,42428625,68208353,83921267,117105022,1609003,1949423,2012843,2183242,2340467,2623424,2819954
54,Long-Term Debt,- -,- -,- -,- -,- -,3209711,2857408,4744634,- -,4782900,22597750,- -,- -,- -,- -,- -,- -,2138
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,708091,73121,5718086,5379955,5440578,- -,- -,- -,- -,- -,2003,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,3209711,3565499,4817755,5718086,10162855,28038328,- -,- -,- -,- -,- -,2003,2138
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38567,44144
61,Total Liabilities,- -,144382,211741,338641,15346940,12800877,18135641,47246380,73926439,94084122,145143350,1609003,1949423,2012843,2183242,2340467,2625427,2822092
62,Preferred Stock,- -,- -,- -,- -,- -,1200,2286,1225,426,360000,270000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,511,511,511,13218,12218,18122,20521,22981,25077,26342,33670,33670,37398,27010,27262,27502,27742
64,Retained Earnings,- -,-109741,-210594,-349116,-149700,21793543,19546285,20695855,23640007,20059775,-41827304,-47943530,-50313995,-50521857,-50776149,-51122249,-51421132,- -
65,Other Comprehensive Income/Loss,- -,377,3462,-825,35063587,4991113,5037062,6344414,7943542,8982925,9428149,137085,76978,89770,75804,93271,98278,72645
66,Other Total Stockholders Equity,- -,10789,10789,10789,- -,8690426,13298332,15100791,17564525,17863781,18281966,48391103,48391103,48728494,48738883,48753751,48827492,-2800836
67,Total Stockholders Equity,- -,-98064,-195832,-338641,28263343,35488500,37902087,42162806,49171481,47291558,-13820847,618328,-1812244,-1666195,-1934452,-2247965,-2467860,-2700449
68,Total Liabilities And Stockholders Equity,- -,46318,15909,- -,43610283,48289377,56037728,89409186,123097920,141375680,131322503,2227331,137179,346648,248790,92502,157567,121643
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44145
70,Total Liabilities & Equity,- -,46318,15909,- -,43610283,48289377,56037728,89409186,123097920,141375680,131322503,2227331,137179,346648,248790,92502,157567,77498
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1284450/000121390012001475/0001213900-12-001475-index.html,- -,https://www.sec.gov/Archives/edgar/data/1284450/000121390014002482/0001213900-14-002482-index.htm,https://www.sec.gov/Archives/edgar/data/1284450/000121390015002365/0001213900-15-002365-index.html,https://www.sec.gov/Archives/edgar/data/1284450/000121390016012438/0001213900-16-012438-index.htm,https://www.sec.gov/Archives/edgar/data/1284450/000121390017003000/0001213900-17-003000-index.html,https://www.sec.gov/Archives/edgar/data/1284450/000121390018003905/0001213900-18-003905-index.html,https://www.sec.gov/Archives/edgar/data/1284450/000121390019005447/0001213900-19-005447-index.html,https://www.sec.gov/Archives/edgar/data/1284450/000121390020012322/0001213900-20-012322-index.htm,https://www.sec.gov/Archives/edgar/data/1284450/000121390021021756/0001213900-21-021756-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-81882,-100853,-138522,3594182,3982288,-1474276,1383391,1149570,2972251,-3561515,-61878880,-6116226,-2370465,-207862,-346100,-298883,-271401
74,Depreciation and Amortization,- -,- -,- -,- -,1147316,1254462,1814034,1752232,1803770,3298709,2897885,8872,8926,8606,9334,15111,8231,8922
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,982917,916300,1891600,258500,222650,14080,- -,21120,- -,15120,7200,4800
77,Change in Working Capital,- -,5380,-101259,-139318,-1876462,6260725,-100331,-9869618,-1034488,-1547814,-47192706,47768854,-1927290,155231,-292333,-306446,-254261,-232797
78,Accounts Receivable,- -,- -,- -,- -,- -,955440,-1121229,-2290273,-5992630,1530015,4001817,- -,-26517,-27355,48032,-2228,1750,1621
79,Inventory,- -,- -,- -,- -,-716345,-276827,-453390,-9203570,-10224660,-10122706,504162,-702,-1337,-22950,20351,2682,-17324,17729
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,3371663,- -,- -,- -,- -,- -,- -,-16965,24559,148944,18069
81,Other Working Capital,- -,-98064,-199323,-338641,30711,12060503,11960172,2090554,1056066,-491748,-47684454,84400,-1842890,-1687659,-1979992,-2286438,-2540699,-2773496
82,Other Non-Cash Items,- -,8197,130583,271514,- -,-6055245,668012,-4318798,-12066881,-9916552,44892738,17147789,8117366,1884112,478662,778132,546740,394310
83,Cash Provided by Operating Activities,- -,-68305,-71529,-6326,2865036,5442230,1890356,-10136493,-8256429,-4934906,-2740948,3060715,82776,-301396,-12199,155817,9027,-96166
84,CAPEX,- -,- -,- -,- -,-2434503,-3879966,-4529731,-13285972,-8562060,-5679080,-29197274,-444,-1625,-1152,-31129,-10304,-6496,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12816,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-631232,- -,-6819702,- -,-15850,-116974,-891937,- -,- -,- -,- -,- -,-1679
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2434503,-3879966,-4529731,-13285972,-8562060,-5679080,-29184458,-892381,-1625,-1152,-31129,-10304,-6496,-1679
90,Debt Repayment,- -,- -,- -,- -,- -,-6319796,-3369779,-6722055,-34022500,-96507448,-140932753,- -,- -,-1071,- -,-144139,- -,- -
91,Common Stock Issued,- -,100,- -,- -,- -,- -,994460,166400,320000,762000,- -,180000,- -,320000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-32997,-160000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-68047,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,56043,75530,8588,-648008,4779601,7670945,27626560,50768206,106127831,172856734,-2346642,-75127,1193,-120,- -,- -,93900
95,Cash Used/Provided by Financing Activities,- -,56143,75530,8588,-648008,-1540195,5295626,21002858,17032709,10222383,31923981,-2166642,-75127,320122,-120,-144139,- -,93900
96,Effect of Forex Changes on Cash,- -,-1404,-4001,-2262,176512,25233,1077,6791,10918,-101,3224,-2677,-1364,-2797,1254,-343,-83,- -
97,Net Change In Cash,- -,- -,- -,- -,-40963,47302,2657328,-2412816,225138,-391704,1799,-985,4660,14777,-42194,1031,2448,-3454
98,Cash at the End of Period,- -,- -,- -,- -,4497,51799,2709127,296311,521450,129746,131545,30863,35523,50300,8106,9137,11585,8131
99,Cash at the Beginning of Period,- -,13566,- -,- -,45460,4497,51799,2709127,296312,521450,129746,31848,30863,35523,50300,8106,9137,11585
100,Free Cash Flow,- -,-68305,-71529,-6326,430533,1562264,-2639375,-23422465,-16818489,-10613986,-31938222,3060271,81151,-302548,-43328,145513,2531,-96166
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1284450/000121390012001475/0001213900-12-001475-index.html,- -,https://www.sec.gov/Archives/edgar/data/1284450/000121390014002482/0001213900-14-002482-index.htm,https://www.sec.gov/Archives/edgar/data/1284450/000121390015002365/0001213900-15-002365-index.html,https://www.sec.gov/Archives/edgar/data/1284450/000121390016012438/0001213900-16-012438-index.htm,https://www.sec.gov/Archives/edgar/data/1284450/000121390017003000/0001213900-17-003000-index.html,https://www.sec.gov/Archives/edgar/data/1284450/000121390018003905/0001213900-18-003905-index.html,https://www.sec.gov/Archives/edgar/data/1284450/000121390019005447/0001213900-19-005447-index.html,https://www.sec.gov/Archives/edgar/data/1284450/000121390020012322/0001213900-20-012322-index.htm,https://www.sec.gov/Archives/edgar/data/1284450/000121390021021756/0001213900-21-021756-index.htm
102,false,,,,,,,,,,,,,,,,,,
