,https://roic.ai/company/BRFH,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,401306,- -
52,Other Current Liabilities,- -,- -,100185,11780,192162,244686,369971,746540,850024,969551,1049555,716894,440692
53,Total Current Liabilities,- -,40000,100185,22676,791767,965283,2579881,904145,1271200,2071433,1882057,2104813,1496205
54,Long-Term Debt,- -,- -,- -,- -,- -,193059,45992,8958,- -,2209323,2748996,1260783,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1516128,211028,127664,47301
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,193059,45992,8958,- -,3725451,2960024,1388447,47301
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215869,159177,- -
61,Total Liabilities,- -,40000,100185,22676,791767,1158342,2625873,913103,1271200,5796884,4842081,3493260,1543506
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,37,47,50,65,- -,117,119,123,130,149,13
64,Retained Earnings,- -,-10000,-64841,-410721,-2446709,-5030159,-14728732,-24919457,-33830997,-41153820,-46747122,-50899628,-52164775
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,963,996280,2355328,7739117,- -,35829627,37992799,41118649,47030716,53223665,60340620
67,Total Stockholders Equity,- -,-10000,-63841,585606,-91331,2709023,1069692,10910287,4161921,-35048,283724,2324186,8175858
68,Total Liabilities And Stockholders Equity,- -,30000,36344,608282,700436,3867365,3695565,11823390,5433121,5761836,5125805,5817446,9719364
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,30000,36344,608282,700436,3867365,3695565,11823390,5433121,5761836,5125805,5817446,9719364
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1487197/000149315221008727/0001493152-21-008727-index.htm,https://www.sec.gov/Archives/edgar/data/1487197/000149315222006512/0001493152-22-006512-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,-10000,-63841,-345880,-2035988,-2583450,-3778481,-10190725,-8911540,-7322823,-5593302,-4152506,-1265147
74,Depreciation and Amortization,- -,- -,741,2181,35375,84843,134221,208614,330883,568418,753481,667476,17673
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,118235,305614,748219,1133148,1550718,598768,225026,276641,- -
77,Change in Working Capital,- -,- -,502485,-847843,2270432,2169408,-4201093,8958498,-6976983,-1122359,-506023,1050404,4973960
78,Accounts Receivable,- -,- -,- -,- -,-7413,-61227,87544,-102492,-169924,-148055,-16757,-131997,- -
79,Inventory,- -,- -,- -,- -,-12712,-64201,-88934,10013,-1097547,213346,456938,-199142,- -
80,Accounts Payable,- -,- -,- -,10896,236786,-71831,-42597,21952,267420,458507,-502898,-272022,- -
81,Other Working Capital,- -,-100185,402300,-445543,1824889,3994297,-206796,8751702,1774719,652360,146337,1196741,6170701
82,Other Non-Cash Items,- -,- -,-402300,788556,-1380295,-1861575,4815051,-8134323,6672673,3149712,1767492,-1039797,-3726486
83,Cash Provided by Operating Activities,- -,-10000,37085,-402986,-992241,-1885160,-2282083,-8024788,-7334249,-4128284,-3353326,-3197782,- -
84,CAPEX,- -,- -,-37085,-149141,-195550,-804093,-284085,-1117587,-564375,-1121030,-471540,-74188,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-37085,- -,- -,-699561,3551,-27179,-29179,23511,-5324,-14526,- -
89,Cash Used for Investing Activites,- -,- -,-37085,-149141,-195550,-804093,-268376,-1080677,-564375,-1083063,-471540,-74188,- -
90,Debt Repayment,- -,- -,- -,-20000,- -,-40000,-1284,-147222,-12807,-250000,-25686,-214058,- -
91,Common Stock Issued,- -,- -,- -,973103,382500,4511180,5283788,16457150,35400,- -,2400000,3797800,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,40000,- -,20000,470272,764728,- -,-9520,- -,5198000,1500357,556123,- -
95,Cash Used/Provided by Financing Activities,- -,40000,- -,973103,852772,5235908,5282504,16300408,22593,4948000,3874671,4139865,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,30000,- -,973103,-335019,2546655,2732045,7194943,-7876031,-263347,49805,867895,- -
98,Cash at the End of Period,- -,30000,- -,420976,85957,2632612,5364657,9180947,1304916,1041569,1091374,1959269,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,420976,85957,2632612,1986004,9180947,1304916,1041569,1091374,1959269
100,Free Cash Flow,- -,-10000,- -,-552127,-1187791,-2689253,-2566168,-9142375,-7898624,-5249314,-3824866,-3271970,- -
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1487197/000149315221008727/0001493152-21-008727-index.htm,https://www.sec.gov/Archives/edgar/data/1487197/000149315222006512/0001493152-22-006512-index.htm
102,false,,,,,,,,,,,,,
