,https://roic.ai/company/WCUI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,2286,395743,111024,103473,-236778,185394,-1400821,-279436,-580781,-98961
20,Income Before Tax,-40000,-110000,-400000,-2310000,-4950000,-7029320,-2432380,-1818010,-3493420,-2046020,-2502375,-1326817
21,Income Before Tax Ratio,-Infinity,-Infinity,-4.4444,-Infinity,-21.5217,-24.8289,-8.1188,-6.6662,-16.3458,-61.2948,-500.4750,-5.5293
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-40000,-110000,-400000,-2820000,-4860000,-6954220,-2351280,-1590730,-3409180,-2387550,-2221076,-1326817
24,Net Income ratio,-Infinity,-Infinity,-4.4444,-Infinity,-21.1304,-24.5637,-7.8481,-5.8328,-15.9516,-71.5264,-444.2152,-5.5293
25,EPS,-0.00,-0.01,-0.02,-0.08,-0.10,-0.12,-0.03,-0.02,-0.04,-0.02,-0.02,-0.01
26,EPS Diluted,-0.00,-0.01,-0.02,-0.08,-0.10,-0.12,-0.03,-0.02,-0.04,-0.02,-0.02,-0.01
27,Weighted Average Shares Outstanding,15030000,13125860,17147227,37480331,48495408,55070312,72887494,86002821,94475383,105421218,110486481,110486481
28,Weighted Average Shares Outstanding Diluted,15030000,13125860,17147227,37480331,48495408,55070312,72887494,86002821,94475383,105421218,110486481,110486481
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1516887/000107878211003575/0001078782-11-003575-index.html,https://www.sec.gov/Archives/edgar/data/1516887/000107878213000165/0001078782-13-000165-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878214000079/0001078782-14-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878215000079/0001078782-15-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878216002249/0001078782-16-002249-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878217000062/0001078782-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878218000224/0001078782-18-000224-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000149315219000631/0001493152-19-000631-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000149315220001273/0001493152-20-001273-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000149315221002909/0001493152-21-002909-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000149315222004617/0001493152-22-004617-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,120000,500000,180000,34230,89250,29370,4210,53150,51320,32079
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,120000,500000,180000,34230,89250,29370,4210,53150,51320,32079
34,Net Receivables,- -,- -,- -,90000,160000,36300,- -,25000,- -,- -,- -,- -
35,Inventory,- -,- -,- -,140000,270000,213500,79170,12340,- -,- -,94560,50000
36,Other Current Assets,20000,- -,- -,- -,-10000,26570,29330,1740,1550,55000,500,- -
37,Total Current Assets,20000,- -,120000,730000,600000,310600,197750,68450,5760,108150,146380,82079
38,PP&E,- -,- -,90000,70000,40000,29620,15820,5130,2620,1560,6961,- -
39,Goodwill,- -,- -,4580000,4580000,2920000,55320,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,3390000,3090000,2750000,356340,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,7970000,7670000,5670000,411660,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,40000,220000,100000,162490,16760,16760,16760,- -,- -,- -
45,Total Non-Current Assets,- -,- -,8100000,7960000,5810000,603770,32580,21890,19380,1560,6961,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20000,- -,8220000,8690000,6410000,914370,230330,90340,25140,109710,153341,82079
48,Accounts Payable,- -,- -,290000,110000,140000,114450,- -,- -,- -,- -,408297,- -
49,Short-Term Debt,- -,- -,57139,37139,228166,114023,9000,108884,268922,399250,1845089,2728256
50,Tax Payable,- -,- -,2940,- -,- -,- -,- -,- -,- -,- -,92334,75834
51,Deferred Revenue,- -,- -,- -,- -,25000,37500,77375,55098,8624,- -,- -,- -
52,Other Current Liabilities,60000,140000,572861,372861,686834,660887,898655,216808,572754,794450,92334,700171
53,Total Current Liabilities,60000,140000,920000,520000,1080000,926860,985030,380790,850300,1193700,2345720,3428427
54,Long-Term Debt,- -,- -,200000,140000,- -,- -,- -,- -,- -,- -,37166,- -
55,Deferred Revenue,- -,- -,29362,18000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,638,2000,- -,-75100,-195130,-317390,-401620,393150,- -,- -
58,Total Non-Current Liabilities,- -,- -,230000,160000,- -,-75100,-195130,-317390,-401620,393150,37166,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,679839,- -
61,Total Liabilities,60000,140000,1150000,680000,1080000,851760,789900,63400,448680,1586850,2382886,3428427
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,20000,30000,50000,50000,64540,517370,90290,100950,107500,118252,123877
64,Retained Earnings,-40000,-150000,-560000,-3370000,-8240000,-14535940,-17541830,-19132560,-22974740,-25362290,-27583363,-28389628
65,Other Comprehensive Income/Loss,- -,-152226,-10000,-40000,-60000,-74420,-90470,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,145088,7618307,11371214,13577891,14608429,16555368,19069209,22450254,23777647,25053616,25258005
67,Total Stockholders Equity,-40000,-137138,7078307,8011214,5327891,62609,-559562,26939,-423536,-1477143,-2411495,-3007746
68,Total Liabilities And Stockholders Equity,20000,2862,8228307,8691214,6407891,914369,230338,90339,25144,109707,-28609,420681
69,Minority Interest,- -,-2862,-8307,-1214,2109,1,-8,1,-4,3,181950,-338602
70,Total Liabilities & Equity,20000,- -,8220000,8690000,6410000,914370,230330,90340,25140,109710,153341,82079
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1516887/000107878211003575/0001078782-11-003575-index.html,https://www.sec.gov/Archives/edgar/data/1516887/000107878213000165/0001078782-13-000165-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878214000079/0001078782-14-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878215000079/0001078782-15-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878216002249/0001078782-16-002249-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878217000062/0001078782-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878218000224/0001078782-18-000224-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000149315219000631/0001493152-19-000631-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000149315220001273/0001493152-20-001273-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000149315221002909/0001493152-21-002909-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000149315222004617/0001493152-22-004617-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-40000,-110000,-400000,-2820000,-4860000,-6954220,-2351280,-1590730,-3409180,-2387550,-2221076,-1326817
74,Depreciation and Amortization,- -,- -,40000,330000,310000,316790,83320,11130,2510,1060,22442,6961
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,30800,463276,56000,209258,- -,- -,340699,10366,- -,- -
77,Change in Working Capital,-10000,-100000,-660000,1010000,-690000,-136260,-171020,474940,-532200,-241010,-1113790,-1147008
78,Accounts Receivable,- -,- -,4200,272,11496,- -,- -,-24999,24999,- -,- -,- -
79,Inventory,- -,- -,-12694,135485,47383,29021,-134332,66834,12335,- -,-39560,173930
80,Accounts Payable,- -,- -,17290,-176319,140644,51345,105479,-102959,378948,171872,8100,216040
81,Other Working Capital,-40000,-140000,-800000,210000,-480000,-616260,-787280,-312340,-844540,-1085550,-2199340,-3346348
82,Other Non-Cash Items,- -,120000,779200,-1213276,4194000,5481312,1379140,-641980,2561101,1397824,2307431,1541673
83,Cash Provided by Operating Activities,-50000,-90000,-210000,-2230000,-990000,-1083120,-1059840,-1746640,-1037070,-1219310,-1004993,-925191
84,CAPEX,- -,- -,642,16598,- -,- -,-2248,-3649,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,23126,- -,8508,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-17809,-5000,- -,-3796,-5246,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-1150,4675,-21598,8508,-5472,-7494,-3649,- -,- -,- -,- -
90,Debt Repayment,- -,- -,900,171244,-59943,19462,3269,-13041,-20500,-25000,- -,- -
91,Common Stock Issued,- -,- -,374998,- -,- -,- -,- -,- -,177000,10000,- -,- -
92,Common Stock Repurchased,- -,10000,380000,3000000,340000,974430,1025200,1511220,347910,10000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,50000,82340,-431360,-538562,375997,-38012,88803,200002,507504,1273250,1003166,905950
95,Cash Used/Provided by Financing Activities,50000,92340,324538,2632682,656054,955880,1117272,1698181,1011914,1268250,1003166,905950
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,120000,380000,-320000,-141440,53200,-52110,-25160,48940,-1827,-19241
98,Cash at the End of Period,- -,- -,120000,500000,180000,38560,87430,37140,4210,53150,51320,32079
99,Cash at the Beginning of Period,- -,- -,- -,120000,500000,180000,34230,89250,29370,4210,53147,51320
100,Free Cash Flow,-50000,-90000,-230000,-2250000,-990000,-1083120,-1062090,-1750290,-1037070,-1219310,-1004993,-925191
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1516887/000107878211003575/0001078782-11-003575-index.html,https://www.sec.gov/Archives/edgar/data/1516887/000107878213000165/0001078782-13-000165-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878214000079/0001078782-14-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878215000079/0001078782-15-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878216002249/0001078782-16-002249-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878217000062/0001078782-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000107878218000224/0001078782-18-000224-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000149315219000631/0001493152-19-000631-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000149315220001273/0001493152-20-001273-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000149315221002909/0001493152-21-002909-index.htm,https://www.sec.gov/Archives/edgar/data/1516887/000149315222004617/0001493152-22-004617-index.htm
102,false,,,,,,,,,,,,
