,https://roic.ai/company/PGEN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,258000,260000,127980000,88495000,102528000,174602000,11558000,120072000,9260000,48325000,72240000
33,Cash and Short-Term Investments,19886000,10663000,177489000,115961000,238310000,237209000,79669000,222840000,75053000,100117000,115160000
34,Net Receivables,1342000,707000,7357000,29264000,52294000,42485000,39841000,28078000,26228000,20427000,- -
35,Inventory,- -,- -,- -,25789000,26563000,21139000,20493000,21447000,16097000,11359000,13261000
36,Other Current Assets,1750000,2163000,2710000,3759000,6634000,14348000,14044000,13118000,117265000,17045000,28207000
37,Total Current Assets,22978000,13533000,187556000,174773000,323801000,315181000,154047000,285483000,234643000,148948000,156628000
38,PP&E,18484000,18687000,- -,- -,- -,- -,- -,- -,- -,43409000,45215000
39,Goodwill,- -,- -,13823000,101059000,165169000,157175000,153289000,149585000,63754000,54363000,54148000
40,Intangible Assets,32533000,29506000,41956000,65947000,247535000,225615000,232877000,129291000,68346000,65396000,54115000
41,Intangible Assets,32533000,29506000,55779000,167006000,412704000,382790000,386166000,278876000,132100000,119759000,108263000
42,Investments,39097000,88842000,208390000,195222000,199077000,182715000,189910000,20848000,1461000,- -,48562000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1736000,1078000,17747000,39271000,46464000,68382000,116728000,130970000,87559000,2471000,1188000
45,Total Non-Current Assets,91850000,138113000,281916000,401499000,658245000,633887000,692804000,430694000,221120000,165639000,203228000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,114828000,151646000,469472000,576272000,982046000,949068000,846851000,716177000,455763000,314587000,359856000
48,Accounts Payable,3100000,632000,1057000,6267000,4967000,8478000,8701000,13420000,5917000,4598000,5405000
49,Short-Term Debt,- -,- -,- -,3948000,1491000,1206000,735000,1025000,33592000,360000,3102000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1402000,9963000,7793000,16522000,35366000,53364000,42870000,15554000,5697000,2800000,4442000
52,Other Current Liabilities,13097000,6122000,10979000,20745000,34080000,31557000,27867000,31563000,77706000,34369000,21696000
53,Total Current Liabilities,17599000,16717000,19829000,47482000,75904000,94605000,80173000,61562000,122912000,42127000,34645000
54,Long-Term Debt,- -,- -,1653000,8694000,7598000,7562000,7535000,211235000,186321000,171522000,182749000
55,Deferred Revenue,15519000,48673000,65778000,96687000,162363000,256778000,193527000,54210000,48136000,23023000,23023000
56,Deferred Tax Liabilities,- -,- -,- -,- -,21802000,17007000,15620000,7213000,2834000,2897000,2539000
57,Other Non-Current Liabilities,302969000,407809000,869000,14120000,9493000,3868000,3451000,3235000,23849000,7844000,9552000
58,Total Non-Current Liabilities,318488000,456482000,68300000,119501000,201256000,285215000,220133000,275893000,261140000,205286000,217863000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,168000,91000,40000,- -,- -,- -,- -,- -,28031000,10401000,- -
61,Total Liabilities,336087000,473199000,88129000,166983000,277160000,379820000,300306000,337455000,384052000,247413000,252508000
62,Preferred Stock,301681000,406659000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-221259000,-321553000,-376414000,-458236000,-542729000,-729341000,-847820000,-1330545000,-1652869000,-1823390000,-1915556000
65,Other Comprehensive Income/Loss,-8972000,-13375000,-17277000,-22493000,-13000000,-36000000,-16000000,-29000000,-27000000,3997000,203000
66,Other Total Stockholders Equity,8972000,13375000,760413000,865490000,1249807000,1325578000,1397451000,1722400000,1751580000,1886567000,2022701000
67,Total Stockholders Equity,-221259000,-321553000,366722000,384761000,694078000,560237000,533631000,362855000,71711000,67174000,107348000
68,Total Liabilities And Stockholders Equity,114828000,151646000,454851000,551744000,971238000,940057000,833937000,700310000,455763000,314587000,359856000
69,Minority Interest,- -,- -,14621000,24528000,10808000,9011000,12914000,15867000,- -,- -,- -
70,Total Liabilities & Equity,114828000,151646000,469472000,576272000,982046000,949068000,846851000,716177000,455763000,314587000,359856000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1356090/000119312514124119/0001193125-14-124119-index.htm,https://www.sec.gov/Archives/edgar/data/1356090/000135609015000004/0001356090-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1356090/000135609016000092/0001356090-16-000092-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000135609017000003/0001356090-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000135609018000002/0001356090-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000135609019000004/0001356090-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000162828020002699/0001628280-20-002699-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000135609021000003/0001356090-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1356090/000135609022000002/0001356090-22-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-85280000,-81874000,-38980000,-81822000,-84493000,-186612000,-117018000,-509336000,-322324000,-170521000,-92166000
74,Depreciation and Amortization,4338000,7984000,7205000,10415000,17743000,24572000,31145000,33112000,24896000,17516000,- -
75,Deferred Income Tax,- -,- -,- -,- -,1117000,-3467000,-2528000,-21278000,-3674000,-156000,- -
76,Stock Based Compensation,992000,1551000,3045000,22335000,100415000,52979000,52694000,46991000,29396000,18366000,- -
77,Change in Working Capital,-4694000,-8563000,170911000,-40436000,120606000,-27321000,-146702000,150047000,-112190000,-4910000,15162000
78,Accounts Receivable,33000,-121000,-644000,4332000,-12138000,2588000,740000,-2698000,-262000,2214000,- -
79,Inventory,- -,- -,- -,-7313000,-774000,3807000,663000,-478000,4100000,2511000,- -
80,Accounts Payable,-388000,-1229000,-43000,1266000,-3263000,3618000,-3402000,4680000,-5349000,-1097000,- -
81,Other Working Capital,5379000,-3184000,167727000,127291000,247897000,220576000,73874000,223921000,111731000,106821000,121983000
82,Other Non-Cash Items,2886000,19373000,-195864000,69650000,-119719000,83874000,78270000,176224000,247969000,62684000,77004000
83,Cash Provided by Operating Activities,-81758000,-61529000,-53683000,-19858000,35669000,-55975000,-104139000,-124240000,-135927000,-77021000,- -
84,CAPEX,-13003000,-7491000,-1527000,-6371000,-12749000,-31629000,-46666000,-41587000,-37883000,-7527000,-7247000
85,Acquisitions Net,- -,- -,1000000,-68000000,-124000000,-7000000,-12000000,15000000,-7000000,- -,- -
86,Purchases of Investments,-22816000,-10002000,-262629000,-79974000,-198652000,-77554000,-1161000,-178681000,-55073000,-171360000,-174221000
87,Sales/Maturities of Investments,- -,- -,44996000,132092000,88000000,102267000,174777000,66192000,189951000,133000000,100168000
88,Other Investing Activites,-28278000,-6143000,-5503000,-3776000,-13410000,-14476000,-10618000,-12137000,-3144000,73666000,6760000
89,Cash Used for Investing Activites,-64097000,-23636000,-223663000,-26029000,-260811000,-28392000,104332000,-151213000,86851000,27779000,-74540000
90,Debt Repayment,-115000,-77000,-104000,-7173000,-18508000,-6017000,-7012000,-4951000,-10919000,-12417000,-466000
91,Common Stock Issued,7440000,- -,168801000,25000000,328234000,- -,13686000,87990000,6611000,35000000,- -
92,Common Stock Repurchased,- -,- -,-5000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,140786000,76017000,147759000,6177000,23523000,18082000,-2390000,226756000,12446000,10122000,121653000
95,Cash Used/Provided by Financing Activities,148111000,75940000,316451000,24004000,333249000,12065000,4284000,309795000,8138000,32705000,121187000
96,Effect of Forex Changes on Cash,- -,- -,1000,-160000,209000,-873000,1027000,295000,-810000,353000,217000
97,Net Change In Cash,2256000,-9225000,39106000,-22043000,108316000,-73175000,5504000,34637000,-41748000,-16184000,-8907000
98,Cash at the End of Period,19628000,10403000,49509000,27466000,135782000,62607000,68111000,110182000,68434000,52250000,- -
99,Cash at the Beginning of Period,17372000,19628000,10403000,49509000,27466000,135782000,62607000,75545000,110182000,68434000,- -
100,Free Cash Flow,-94761000,-69020000,-55210000,-26229000,22920000,-87604000,-150805000,-165827000,-173810000,-84548000,-7247000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1356090/000119312514124119/0001193125-14-124119-index.htm,https://www.sec.gov/Archives/edgar/data/1356090/000135609015000004/0001356090-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1356090/000135609016000092/0001356090-16-000092-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000135609017000003/0001356090-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000135609018000002/0001356090-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000135609019000004/0001356090-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000162828020002699/0001628280-20-002699-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000135609021000003/0001356090-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1356090/000135609022000002/0001356090-22-000002-index.htm
102,false,,,,,,,,,,,
