,https://roic.ai/company/ANTE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
70,Total Liabilities & Equity,6371000,20547000,266859000,329891000,316651000,347186000,361468000,343867000,402791000,395597000,531601000,381190000,225002000,129816000,97706000,115078000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413745/000095014409003595/h03282e20vf.htm,https://www.sec.gov/Archives/edgar/data/1413745/000095012310053973/c01819e20vf.htm,https://www.sec.gov/Archives/edgar/data/1413745/000120445911001247/form20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000120445912000897/form20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000106299313002125/form20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420414024869/v373278_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420415024774/v406261_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420416102621/v437328_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420417034515/v464671_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420418054212/tv493799_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420419022497/tv519090_20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-2402000,4066000,-5110000,30198000,-37239000,-4917000,-9596000,-32728000,-10626000,-25695000,149647000,-65625000,-156476000,-90097000,-31477000,7527000
74,Depreciation and Amortization,318000,522000,1386000,5545000,16513000,23479000,25138000,24033000,21862000,14531000,5771000,12971000,12048000,1560000,1878000,2280000
75,Deferred Income Tax,- -,- -,-227000,- -,- -,- -,- -,- -,- -,- -,- -,4328000,- -,- -,10998000,-9747000
76,Stock Based Compensation,- -,- -,- -,4963000,5766000,7971000,4614000,3502000,1251000,1359000,567000,773000,343000,45000,161000,186000
77,Change in Working Capital,-1193000,-2835000,-22500000,-40034000,9461000,-15262000,-5940000,-5647000,-14202000,8769000,49386000,-46018000,603000,20182000,-294000,1443000
78,Accounts Receivable,- -,- -,- -,-24376000,-18154000,-21089000,-28728000,-8609000,-9147000,14156000,13742000,-3250000,-1874000,1361000,-608000,-1717000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,10623000,14209000,5534000,18734000,8269000,12083000,10558000,-8591000,6730000,4491000,7751000,1866000,1075000
81,Other Working Capital,-909000,-294000,-3764000,-10648000,-8039000,-711000,-3623000,4755000,-6688000,-4953000,2038000,517000,-525000,757000,850000,-327000
82,Other Non-Cash Items,- -,267000,19941000,2914000,14357000,-645000,3716000,31070000,2252000,-778000,-274433000,-10039000,84912000,48536000,3818000,-7244000
83,Cash Provided by Operating Activities,-3277000,2020000,-6510000,3586000,8858000,10626000,17932000,20230000,537000,-1814000,-69062000,-103610000,-58570000,-19774000,-14916000,-5555000
84,CAPEX,-762000,-5346000,-14370000,-50412000,-28848000,-8910000,-4186000,-9287000,-70092000,-23587000,-10389000,-21558000,-7170000,-3616000,-2805000,-83000
85,Acquisitions Net,- -,- -,- -,562000,-6070000,-14758000,-2966000,- -,- -,-2196000,-4497000,-30299000,88000,22338000,7245000,435000
86,Purchases of Investments,- -,- -,-1303000,-1181000,-226133000,-310293000,- -,-44687000,-4112000,- -,-3033000,- -,-17449000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,671000,219782000,308737000,1040000,- -,4769000,25274000,14206000,3617000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-6332000,-1521000,-5144000,920000,-3032000,-1031000,-5648000,91855000,178822000,-22635000,1374000,- -,- -
89,Cash Used for Investing Activites,-762000,-5346000,-15673000,-56692000,-42644000,-30368000,-5192000,-57006000,-70466000,-6157000,88142000,130582000,-47166000,20096000,4440000,352000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,- -,- -,- -,-12027000,-1994000
91,Common Stock Issued,6000000,3080000,190813000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-7387000,- -,-11148000,-3421000,-2846000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-1091000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,984000,-795000,39176000,789000,3474000,1163000,229000,161000,57157000,16823000,5141000,11130000,874000,-1695000,7704000,21158000
95,Cash Used/Provided by Financing Activities,6984000,2285000,229989000,789000,-3913000,72000,-10919000,-3260000,54311000,16823000,2141000,11130000,874000,-1695000,-4323000,19164000
96,Effect of Forex Changes on Cash,7000,175000,1023000,2936000,-81000,2421000,4408000,936000,1636000,-1067000,-1698000,-7515000,5787000,-1560000,219000,690000
97,Net Change In Cash,6984000,-866000,208829000,-49381000,-37780000,-17249000,6229000,-39100000,-13982000,7785000,19523000,30587000,-99075000,-2933000,-14580000,14651000
98,Cash at the End of Period,2952000,2086000,210915000,161534000,123754000,106505000,112734000,73634000,59652000,67437000,86960000,117547000,18472000,15539000,959000,15610000
99,Cash at the Beginning of Period,- -,2952000,2086000,210915000,161534000,123754000,106505000,112734000,73634000,59652000,67437000,86960000,117547000,18472000,15539000,959000
100,Free Cash Flow,-4039000,-3326000,-20880000,-46826000,-19990000,1716000,13746000,10943000,-69555000,-25401000,-79451000,-125168000,-65740000,-23390000,-17721000,-5638000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413745/000095014409003595/h03282e20vf.htm,https://www.sec.gov/Archives/edgar/data/1413745/000095012310053973/c01819e20vf.htm,https://www.sec.gov/Archives/edgar/data/1413745/000120445911001247/form20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000120445912000897/form20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000106299313002125/form20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420414024869/v373278_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420415024774/v406261_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420416102621/v437328_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420417034515/v464671_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420418054212/tv493799_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420419022497/tv519090_20f.htm,- -,- -
102,false,,,,,,,,,,,,,,,,
