,https://roic.ai/company/NTCO,2017,2018,2019,2020,2021
34,Net Receivables,- -,2397637000,2194882000,4910975000,5014114000
35,Inventory,- -,1364672000,1430550000,4544270000,5403526000
36,Other Current Assets,- -,263025000,265198000,937255000,1046240000
37,Total Current Assets,- -,6455759000,9430057000,18734820000,17449877000
38,PP&E,- -,2236714000,4393750000,8637104000,8473377000
39,Goodwill,- -,1446993000,1536062000,15390136000,15589499000
40,Intangible Assets,- -,3503552000,3540439000,11526992000,11268084000
41,Intangible Assets,- -,4950545000,5076501000,26917128000,26857583000
42,Investments,- -,- -,7402000,16104000,36921000
43,Tax Assets,- -,398400000,374448000,1339725000,2954074000
44,Other Non-Current Assets,- -,1338131000,1902354000,5272716000,4676658000
45,Total Non-Current Assets,- -,8923790000,11754455000,42182777000,42998613000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,15379549000,21184512000,60917597000,60448490000
48,Accounts Payable,- -,1736791000,1829756000,6774205000,6770579000
49,Short-Term Debt,- -,1181859000,3896443000,4865310000,1950592000
50,Tax Payable,- -,493123000,709128000,1226620000,1131887000
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1648231000,1792224000,4520071000,4972706000
53,Total Current Liabilities,- -,4566881000,7518423000,16159586000,13693877000
54,Long-Term Debt,- -,7258521000,9407496000,12816058000,14314102000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,672952000,651977000,3288489000,2762785000
57,Other Non-Current Liabilities,- -,307093000,244271000,1266356000,1111001000
58,Total Non-Current Liabilities,- -,8238566000,10303744000,17370903000,18187888000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,446235000,2517565000,3858455000,3547862000
61,Total Liabilities,- -,12805447000,17822167000,33530489000,31881765000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,427073000,1485436000,12377999000,12481683000
64,Retained Earnings,- -,1437015000,154039000,-759937000,- -
65,Other Comprehensive Income/Loss,- -,821488000,1814936000,11172301000,16215229000
66,Other Total Stockholders Equity,- -,-111474000,-92066000,4573964000,-151342000
67,Total Stockholders Equity,- -,2574102000,3362345000,27364327000,28545570000
68,Total Liabilities And Stockholders Equity,- -,15379549000,21184512000,60894816000,60427335000
69,Minority Interest,- -,- -,- -,22781000,21155000
70,Total Liabilities & Equity,- -,15379549000,21184512000,60917597000,60448490000
71,SEC Link,undefined,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,670251000,548379000,155467000,-650196000,1047960000
74,Depreciation and Amortization,383352000,589911000,1117416000,2718856000,2791523000
75,Deferred Income Tax,425731000,165219000,331182000,473312000,-2012643000
76,Stock Based Compensation,- -,40505000,59232000,-44142000,275632000
77,Change in Working Capital,-412425000,-358627000,-256370000,-1264592000,-2120674000
78,Accounts Receivable,-496942000,-415459000,-212812000,-1308030000,-645157000
79,Inventory,47962000,-112331000,-194698000,-1444671000,-1117671000
80,Accounts Payable,436996000,158978000,117080000,1004231000,467538000
81,Other Working Capital,- -,- -,-38703,- -,- -
82,Other Non-Cash Items,-76171000,-141120000,-106571000,52394000,-95968000
83,Cash Provided by Operating Activities,990738000,844267000,1300356000,1285632000,-114170000
84,CAPEX,-364372000,-485016000,-586395000,-674211000,-1479227000
85,Acquisitions Net,-3880858000,- -,- -,2558980000,- -
86,Purchases of Investments,-7411261000,-8483684000,-7161530000,-10371483000,-11739911000
87,Sales/Maturities of Investments,6350630000,9187748000,7345389000,9008931000,12325210000
88,Other Investing Activites,99098000,170048000,-498209000,156871000,241889000
89,Cash Used for Investing Activites,-4842391000,389096000,-314350000,679088000,-652039000
90,Debt Repayment,-1725285000,-6598490000,-3141480000,-9327230000,-9067218000
91,Common Stock Issued,- -,1067000,- -,51145000,- -
92,Common Stock Repurchased,- -,- -,-2600000,- -,-174113000
93,Dividends Paid,-109409000,-201652000,-152938000,-133937000,- -
94,Other Financing Activites,6288118000,5047679000,5609440000,8632380000,7996149000
95,Cash Used/Provided by Financing Activities,4453424000,-1751396000,2312422000,-777642000,-1245182000
96,Effect of Forex Changes on Cash,-110000,39950000,106000,121012000,196976000
97,Net Change In Cash,601661000,-478083000,3298534000,1308090000,-1814415000
98,Cash at the End of Period,1693131000,1215048000,4513582000,5821672000,4007257000
99,Cash at the Beginning of Period,1091470000,1693131000,1215048000,4513582000,5821672000
100,Free Cash Flow,626366000,359251000,713961000,611421000,-1593397000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.3019,0.2576,0.2488,0.1925,0.1795
