,https://roic.ai/company/CTHR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38194,109183,85271,69520,22007,65,11,- -,- -,- -,11022,158091,5581
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2831,1141,1260,2106,901,10359,1737,541,- -,2198,884,8953
14,Depreciation and Amortization,- -,200000,700000,569986,150935,128604,161899,197194,247441,188757,200626,216028,168881,136622,299550,608165,862683,1107955,863353,557393,422018,- -,481319,490235,567122
15,EBITDA,-4900000,-6500000,-4500000,-6508546,1375670,2879167,2368775,3373742,9881023,10359298,1017210,-6567767,-3152778,1462062,1684876,937275,-695594,-7936204,-8686526,-3953151,-3309,- -,2757541,-5669231,7054420
16,EBITDA ratio,-49.0000,-1.6250,-0.3659,-0.5087,0.1196,0.1744,0.1374,0.1411,0.2269,0.2545,0.0366,-0.4460,-0.3793,0.1152,0.1051,0.0417,-0.0244,-0.3095,-0.2823,-0.1355,-0.0001,- -,0.0855,-0.1942,0.1798
17,Operating Income,-5300000,-8600000,-6200000,-7193075,899139,2551479,2094517,3038325,9129821,9429380,325446,-6900279,-3359853,1241785,1299334,259590,-1580284,-9044224,-9550015,-3936818,-608544,- -,2265557,-6315728,5507992
18,Operating Income ratio,-53.0000,-2.1500,-0.5041,-0.5622,0.0782,0.1545,0.1215,0.1270,0.2097,0.2316,0.0117,-0.4685,-0.4042,0.0979,0.0810,0.0116,-0.0555,-0.3527,-0.3104,-0.1350,-0.0225,- -,0.0703,-0.2164,0.1404
19,Total Other Income Expenses (Gains),500000,1800000,- -,-313538,-119460,199084,112359,138223,503761,741161,491138,116484,38194,80824,84851,68260,19901,-836,-10223,-1737,182676,- -,8467,155378,970353
20,Income Before Tax,- -,- -,- -,- -,- -,2750563,2206876,3176548,9633582,10170541,816584,-6783795,-3321659,1322609,1384185,327850,-1560383,-9045060,-9560238,-3938555,-425868,- -,2274024,-6160350,6478345
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.1666,0.1280,0.1328,0.2212,0.2498,0.0294,-0.4606,-0.3996,0.1043,0.0863,0.0146,-0.0548,-0.3528,-0.3107,-0.1350,-0.0158,- -,0.0705,-0.2111,0.1651
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-6657874,1163501,1564256,3758915,4065206,841008,-632667,77710,-234275,-183947,-4049804,-269285,4051963,12821,13480,27609,- -,-1443,1733,-6332421
23,Net Income,-4900000,-6700000,-5200000,-7078532,1224735,9408437,1043375,1612292,5874667,6105335,-24424,-6151128,-3399369,1556884,1568132,4377654,-1291098,-13097023,-9573059,-4525761,-453477,- -,2275467,-6162083,12810766
24,Net Income ratio,-49.0000,-1.6750,-0.4228,-0.5532,0.1065,0.5697,0.0605,0.0674,0.1349,0.1500,-0.0009,-0.4177,-0.4089,0.1227,0.0978,0.1950,-0.0453,-0.5108,-0.3111,-0.1552,-0.0168,- -,0.0706,-0.2111,0.3265
25,EPS,-1.32,-0.74,-0.56,-0.75,0.08,0.53,0.06,0.09,0.33,0.34,-0.00,-0.34,-0.18,0.08,0.08,0.23,-0.06,-0.65,-0.47,-0.22,-0.02,- -,0.10,-0.22,0.44
26,EPS Diluted,-1.32,-0.74,-0.56,-0.75,0.07,0.53,0.06,0.09,0.31,0.33,-0.00,-0.34,-0.18,0.08,0.08,0.22,-0.06,-0.65,-0.47,-0.22,-0.02,- -,0.10,-0.22,0.42
27,Weighted Average Shares Outstanding,3735077,9127912,9241169,9406803,16466766,17528472,17362744,17467172,18008855,18160218,18065739,18240853,18720850,19177816,19443288,19581670,19904170,20295618,20407764,20926120,21193793,- -,21860699,28644133,29144820
28,Weighted Average Shares Outstanding Diluted,3735077,9127912,9241169,9406803,16479264,17907982,17777308,18007725,18963111,18662770,18065739,18240853,18720850,19424540,19703204,19967271,19904170,20295618,20407764,20926120,21193793,- -,22111223,28644133,30232567
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1015155/000095016899000766/0000950168-99-000766-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015155/000102140803005072/0001021408-03-005072-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000119312504044188/0001193125-04-044188-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000119312505056618/0001193125-05-056618-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000119312506051040/d10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000119312507051055/0001193125-07-051055-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000119312508052946/d10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000119312509068925/0001193125-09-068925-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000101515510000012/0001015155-10-000012-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000101515511000012/form10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000101515512000012/0001015155-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000101515513000008/0001015155-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000114036114014335/form10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000114036115011633/form10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000114036116056993/0001140361-16-056993-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000114036117011269/0001140361-17-011269-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000114036118012655/0001140361-18-012655-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/1015155/000114036120019768/0001140361-20-019768-index.htm,https://www.sec.gov/Archives/edgar/data/1015155/000114036121030270/0001140361-21-030270-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,44000000,32000000,13200000,3826402,10236319,13282245,11559123,12873847,21003551,13762786,7048409,5587144,7405685,7736044,6701701,11860842,2573405,4007341,5274305,7427273,4594007,- -,12465483,13993032,21302317
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505068,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,44000000,32000000,13200000,3826402,10236319,13282245,11559123,12873847,21003551,13762786,7048409,5587144,7405685,7736044,6701701,12365910,2573405,4007341,5274305,7427273,4594007,- -,12465483,13993032,21302317
34,Net Receivables,200000,600000,1300000,1486931,2816941,2207878,3708887,7021852,11533175,14713083,9836757,5973824,1097988,3798334,6076873,8139052,10244732,5510253,3852651,2794626,3377451,- -,1962471,670718,1912074
35,Inventory,300000,3100000,14800000,23071416,21341071,22365325,24065992,24702676,25614750,22700757,16189243,8291847,3470136,6306875,6849592,8442430,13074428,13320639,10739798,9770206,11208658,- -,11909792,7443257,11450141
36,Other Current Assets,- -,400000,700000,301267,214749,577780,734621,895137,1171942,1367311,1740301,1731714,188812,343137,419729,1949178,2149467,602850,784105,682083,969857,- -,1530621,1802062,1096699
37,Total Current Assets,44500000,36100000,30000000,28686016,34609080,38433228,40068623,45493512,59323418,52543937,34814710,21584529,12162621,18184390,20047895,30896570,28042032,23441083,20650859,20674188,20149973,- -,27868367,23909069,35761231
38,PP&E,200000,3800000,6300000,552272,342281,449947,453836,524645,496336,651134,597349,412234,218418,377352,1420971,1746792,1717692,1859355,1615683,1391116,1242200,- -,1026098,1583204,4828043
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,100000,300000,500000,369706,290569,272291,274890,348435,298524,288171,358330,279315,260548,252542,248812,346732,325867,216947,71086,8808,8597,- -,97373,170151,209658
41,Intangible Assets,100000,300000,500000,369706,290569,272291,274890,348435,298524,288171,358330,279315,260548,252542,248812,346732,325867,216947,71086,8808,8597,- -,97373,170151,209658
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1018551,3760399,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,6793296,5649939,4269033,3156238,686621,528525,940903,- -,- -,- -,2520818,2841891,- -,- -,- -,- -,- -,- -,- -,6350830
44,Other Non-Current Assets,100000,- -,- -,- -,- -,- -,- -,- -,263710,11832110,26851837,34810468,37890612,31077616,28171243,24365779,29396370,25909012,21803210,18431664,19829937,- -,22154543,23242163,17772237
45,Total Non-Current Assets,400000,4100000,6800000,921978,632850,7515534,6378665,5142113,4214808,13458036,28336041,36442920,38369578,32726061,33601425,28980121,34281820,27985314,23489979,19831588,21080734,- -,23278014,24995518,29160768
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,44900000,40200000,36800000,29607994,35241930,45948762,46447288,50635625,63538226,66001973,63150751,58027449,50532199,50910451,53649320,59876691,62323852,51426397,44140838,40505776,41230707,- -,51146381,48904587,64921999
48,Accounts Payable,800000,1900000,2900000,1995146,559851,902960,1317459,2228793,2932787,4469708,3350036,1631074,265439,542084,1060937,2112585,3670551,3286086,3463148,3977149,4466163,- -,3372172,3748235,2774373
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,815493,566083
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20844,- -,286864,295651,572025
51,Deferred Revenue,- -,- -,- -,- -,129801,183367,448270,- -,- -,- -,- -,171181,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,794740,774891
52,Other Current Liabilities,- -,300000,400000,753064,474502,1110884,557602,1148435,2639821,2255350,978109,1025433,330954,622653,794009,774522,830186,904577,1158187,631107,980800,- -,1325608,1127592,1506916
53,Total Current Liabilities,800000,2200000,3300000,2748210,1164154,2197211,2323331,3377228,5572608,6725058,4328145,2827688,596393,1164737,1854946,2887107,4500737,4190663,4621335,4608256,5446963,- -,4697780,6486060,5622263
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,772000,3600842
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,911606,3154110,1058659,937414,741645,383730,395442,1217561,1130726,1028899,925118,- -,729577,210950,9878
58,Total Non-Current Liabilities,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,911606,3154110,1058659,937414,741645,383730,395442,1217561,1130726,1028899,925118,- -,729577,982950,3610720
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,825496,4166925
61,Total Liabilities,900000,2200000,3300000,2748210,1164154,2197211,2323331,3377228,5572608,6725058,5239751,5981798,1655052,2102151,2596591,3270837,4896179,5408224,5752061,5637155,6372081,- -,5427357,7469010,9232983
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,48800000,49226697,55182692,54972302,54333287,56495095,57785576,- -,- -,52910075,- -,- -,- -,53318044,53949001,53949001,54240247,54243816,54243816,- -,54342864,54342864,56057109
64,Retained Earnings,-5300000,-12100000,-17200000,-24293657,-23068922,-13660485,-12617110,-11004818,-5130151,975184,-892686,-7041670,-10441039,-11116996,-9548864,-5171210,-6462308,-19559331,-29132390,-33658151,-34111628,- -,-33111987,-38787452,-25976686
65,Other Comprehensive Income/Loss,- -,-200000,-900000,-390873,-473158,-581317,-721712,-770549,-2851,-457,881,-1204764,-1474372,-1558780,-1351096,-1876066,-2469572,-2594890,-3265786,-3024883,-3445189,- -,- -,-4639283,- -
66,Other Total Stockholders Equity,49300000,50300000,2800000,2317617,2437164,3021051,3129492,2538669,5313044,59342875,59906409,7382010,60792558,61484076,61952689,10335086,12410552,14223393,16546706,17307839,18171627,- -,- -,30519448,25608593
67,Total Stockholders Equity,44000000,38000000,33500000,26859784,34077776,43751551,44123957,47258397,57965618,59276915,57911000,52045651,48877147,48808300,51052729,56605854,57427673,46018173,38388777,34868621,34858626,- -,45719024,41435577,55689016
68,Total Liabilities And Stockholders Equity,44900000,40200000,36800000,29607994,35241930,45948762,46447288,50635625,63538226,66001973,63150751,58027449,50532199,50910451,53649320,59876691,62323852,51426397,44140838,40505776,41230707,- -,51146381,48904587,64921999
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,44900000,40200000,36800000,29607994,35241930,45948762,46447288,50635625,63538226,66001973,63150751,58027449,50532199,50910451,53649320,59876691,62323852,51426397,44140838,40505776,41230707,- -,51146381,48904587,64921999
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1015155/000095016899000766/0000950168-99-000766-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015155/000102140803005072/0001021408-03-005072-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000119312504044188/0001193125-04-044188-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000119312505056618/0001193125-05-056618-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000119312506051040/d10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000119312507051055/0001193125-07-051055-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000119312508052946/d10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000119312509068925/0001193125-09-068925-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000101515510000012/0001015155-10-000012-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000101515511000012/form10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000101515512000012/0001015155-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000101515513000008/0001015155-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000114036114014335/form10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000114036115011633/form10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000114036116056993/0001140361-16-056993-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000114036117011269/0001140361-17-011269-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000114036118012655/0001140361-18-012655-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/1015155/000114036120019768/0001140361-20-019768-index.htm,https://www.sec.gov/Archives/edgar/data/1015155/000114036121030270/0001140361-21-030270-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4900000,-6700000,-5200000,-7078532,1224735,9408437,1043375,1612292,5874667,6105335,-24424,-6151128,-3399369,1556884,1568132,4377654,-1291098,-13097023,-9573059,-4525761,-453477,- -,2275467,-6162083,12810766
74,Depreciation and Amortization,- -,200000,700000,569986,150935,128604,161899,197194,247441,188757,200626,216028,168881,136622,299550,608165,862683,1107955,863353,557393,422018,- -,481319,490235,567122
75,Deferred Income Tax,- -,- -,- -,- -,- -,-7043897,1099501,1445985,967897,2486960,108584,-662775,2171974,- -,- -,-3732590,-307133,4039723,- -,- -,- -,- -,- -,- -,-6350830
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233909,415284,983504,1017078,1678107,1687523,1770897,959134,443482,- -,502805,459538,352583
77,Change in Working Capital,42500000,-9800000,-7200000,-762194,7507120,2791091,1509275,4370992,11634526,-7931931,-15332314,-11729724,-7190613,5453425,1173296,9816514,-4468168,-4290875,-3220896,36408,-1362922,- -,-2867123,-5747578,12715959
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1460107,-3383845,-2854884,-2626176,-2833064,4276236,1747140,1447325,-732825,- -,-328080,1321214,-955233
79,Inventory,-300000,-2800000,-11700000,-3303528,1730345,-1024254,-1700667,-636684,-912074,-8772580,-8492357,-238851,2957170,3096416,2649412,2109079,-9880092,3178473,6174209,3998003,-3503032,- -,-2298182,-2764230,1311239
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1365635,276645,518853,1051648,1557966,-384465,177062,654001,489014,- -,-798780,468687,-973862
81,Other Working Capital,43700000,33900000,26700000,25937806,33444926,36236017,37745292,42116284,53750810,45818879,30486565,18756841,11566228,17019653,18192949,28009463,23541295,19250420,16029524,16065932,14703010,- -,-156306,17423009,30138968
82,Other Non-Cash Items,-40500000,8100000,-4000000,-2315407,-8447601,-1807135,-4722811,-7121229,-10968097,-2635775,10109299,17389896,9938901,-6079142,-572146,-9302151,-5785893,12587694,11727598,5181949,-1609476,- -,524331,11209073,-13622508
83,Cash Provided by Operating Activities,-2900000,-8200000,-15700000,-9586147,435189,3477100,-908761,505234,7756434,-1786654,-4938229,-937703,1923683,1483073,3452336,2784670,-9311502,2034997,1567893,2209123,-2560375,- -,916799,249185,6473092
84,CAPEX,-200000,-3800000,-3200000,-23771,-37362,-215825,-144284,-238407,-207290,-309139,-155864,-28910,-102098,-287550,-1433847,-1033922,-910745,-601061,-473870,-427376,-272891,- -,-425759,-535976,-483465
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-488196,- -,- -,- -,- -,-5056990,-6995625,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,4250000,3250000,500000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,-200000,-300000,-20150,56095,-2167,-24103,-117913,- -,-24063,-105604,-308070,-26306,-40903,-48715,-164936,-110378,-55518,-45567,-5365,-1501,- -,-64319,-77122,-296396
89,Cash Used for Investing Activites,-300000,-4000000,-3500000,-43921,18733,-217992,-168387,-356320,-695486,-333202,-261468,-336980,-102098,-1344540,-4179472,2216078,-410745,-601061,-473695,-427126,-272891,- -,-425759,-535976,-733465
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,46100000,200000,400000,294805,6031995,10839,102029,1400744,1768065,245387,230964,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9058568,932480,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-224021,-748003,-234934,- -,-4059719,- -,- -,-50426,- -,-354441,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-699309,-1480360,-1448424,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-76000,- -,- -,- -,- -,173783,-297220,-186582,47382,191826,47234,158393,434810,- -,172766,2300,- -,- -,63751,965000,1090090
95,Cash Used/Provided by Financing Activities,46100000,200000,400000,294805,5955995,-213182,-645974,1165810,1068756,-5120909,-1514680,-186582,-3044,191826,-307207,158393,434810,- -,172766,2300,- -,- -,9122319,1897480,1090090
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-18800000,-9335263,6409917,3045926,-1723122,1314724,8129704,-7240765,-6714377,-1461265,1818541,330359,-1034343,5159141,-9287437,1433936,1266964,2152968,-2833266,- -,9613359,1610689,6829717
98,Cash at the End of Period,- -,- -,13200000,3826402,10236319,13282245,11559123,12873847,21003551,13762786,7048409,5587144,7405685,7736044,6701701,11860842,2573405,4007341,5274305,7427273,4594007,- -,13006545,14617234,21446951
99,Cash at the Beginning of Period,1200000,44000000,32000000,13161665,3826402,10236319,13282245,11559123,12873847,21003551,13762786,7048409,5587144,7405685,7736044,6701701,11860842,2573405,4007341,5274305,7427273,- -,3393186,13006545,14617234
100,Free Cash Flow,-3100000,-12000000,-18900000,-9609918,397827,3261275,-1053045,266827,7549144,-2095793,-5094093,-966613,1821585,1195523,2018489,1750748,-10222247,1433936,1094023,1781747,-2833266,- -,491040,-286791,5989627
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1015155/000095016899000766/0000950168-99-000766-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015155/000102140803005072/0001021408-03-005072-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000119312504044188/0001193125-04-044188-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000119312505056618/0001193125-05-056618-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000119312506051040/d10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000119312507051055/0001193125-07-051055-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000119312508052946/d10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000119312509068925/0001193125-09-068925-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000101515510000012/0001015155-10-000012-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000101515511000012/form10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000101515512000012/0001015155-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000101515513000008/0001015155-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000114036114014335/form10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000114036115011633/form10k.htm,https://www.sec.gov/Archives/edgar/data/1015155/000114036116056993/0001140361-16-056993-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000114036117011269/0001140361-17-011269-index.html,https://www.sec.gov/Archives/edgar/data/1015155/000114036118012655/0001140361-18-012655-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/1015155/000114036120019768/0001140361-20-019768-index.htm,https://www.sec.gov/Archives/edgar/data/1015155/000114036121030270/0001140361-21-030270-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
