,https://roic.ai/company/OPI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,66000,97000,1478000,2437000,3272000,5255000,7663000,13791000,8785000,29941000,16569000,35349000,93744000,42045000,83026000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,66000,97000,1478000,2437000,3272000,5255000,7663000,13791000,8785000,29941000,16569000,35349000,93744000,42045000,83026000
34,Net Receivables,14639000,14593000,13647000,19200000,29000000,29099000,33350000,36239000,45269000,48458000,61429000,72051000,83556000,101766000,112886000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75177000,26598000
36,Other Current Assets,4083000,4572000,20648000,1548000,1736000,- -,25997000,45962000,15566000,12541000,- -,253501000,70877000,14810000,1489000
37,Total Current Assets,18788000,19262000,35773000,23185000,34008000,34354000,67010000,95992000,69620000,90940000,77998000,360901000,248177000,233798000,223999000
38,PP&E,400532000,390441000,463730000,846447000,1198050000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,11690000,10071000,15310000,60097000,117596000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,11690000,10071000,15310000,60097000,117596000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,680137000,491369000,487708000,517701000,43665000,39756000,37951000,34838000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,21559000,18921000,1527780000,1565442000,1651486000,1613547000,1806418000,3107866000,4834017000,3905203000,3674687000,3982846000
45,Total Non-Current Assets,412222000,400512000,479040000,928103000,1334567000,1527780000,1565442000,2331623000,2104916000,2294126000,3625567000,4877682000,3944959000,3712638000,4017684000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,431010000,419774000,514813000,951288000,1368575000,1562134000,1632452000,2427615000,2174536000,2385066000,3703565000,5238583000,4193136000,3946436000,4241683000
48,Accounts Payable,- -,- -,837000,- -,20691000,19208000,23216000,26471000,50543000,54019000,89440000,145536000,125048000,116480000,142609000
49,Short-Term Debt,- -,- -,144375000,164428000,440883000,49500000,157000000,- -,117000000,160000000,570000000,175000000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10463000,6321000,17551000,29463000,15333000,-45781000,-154250000,2654000,-114017000,-156435000,-565141000,-135842000,21834000,7005000,7381000
53,Total Current Liabilities,10463000,6321000,162763000,193891000,476907000,22927000,25966000,29125000,53526000,57584000,94299000,184694000,146882000,123485000,149990000
54,Long-Term Debt,- -,- -,- -,- -,440883000,492627000,597727000,1085117000,1151624000,1381852000,2245092000,3254890000,2327325000,2213559000,2594984000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,19129000,19084000,15924000,12735000,10626000,13635000,20031000,13175000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,440883000,511756000,616811000,1101041000,1164359000,1392478000,2258727000,3274921000,2340500000,2213559000,2594984000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,3966000,3151000,3566000,13679000,11262000,19129000,19084000,15924000,12735000,10626000,13635000,20031000,13175000,10588000,17034000
61,Total Liabilities,10463000,6321000,162763000,193891000,476907000,534683000,642777000,1130166000,1217885000,1450062000,2353026000,3459615000,2487382000,2337044000,2744974000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20496000,- -,- -,- -,- -
63,Common Stock,- -,- -,215000,405000,471000,547000,547000,703000,711000,712000,991000,481000,482000,483000,484000
64,Retained Earnings,- -,- -,13541000,-19923000,-44318000,-77177000,-116600000,-160922000,-501675000,-566198000,-699592000,-831420000,-906953000,-1006396000,-1120944000
65,Other Comprehensive Income/Loss,-87545000,-100034000,-113027000,-131046000,-156618000,- -,- -,- -,-15000000,27000000,60000000,- -,- -,- -,- -
66,Other Total Stockholders Equity,508092000,513487000,451321000,907961000,1092133000,1104081000,1105728000,1457668000,1472615000,1473490000,1968644000,2609907000,2612225000,2615305000,- -
67,Total Stockholders Equity,420547000,413453000,352050000,757397000,891668000,1027451000,989675000,1297449000,956651000,935004000,1350539000,1778968000,1705754000,1609392000,1496709000
68,Total Liabilities And Stockholders Equity,431010000,419774000,514813000,951288000,1368575000,1562134000,1632452000,2427615000,2174536000,2385066000,3703565000,5238583000,4193136000,3946436000,4241683000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,431010000,419774000,514813000,951288000,1368575000,1562134000,1632452000,2427615000,2174536000,2385066000,3703565000,5238583000,4193136000,3946436000,4241683000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1456772/000104746910001094/0001047469-10-001094-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000104746911001362/0001047469-11-001362-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000104746912001342/0001047469-12-001342-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000104746913001368/0001047469-13-001368-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000104746914001040/a2218319z10-k.htm,https://www.sec.gov/Archives/edgar/data/1456772/000155837015000114/gov-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1456772/000155837016003282/0001558370-16-003282-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677217000010/0001456772-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677218000008/0001456772-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677219000015/0001456772-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677220000009/0001456772-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677221000007/0001456772-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1456772/000145677222000009/0001456772-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,32099000,31807000,25981000,27795000,45997000,49960000,54620000,56534000,-209961000,57843000,12090000,-21884000,30335000,6678000,-8180000
74,Depreciation and Amortization,13534000,13829000,16443000,23807000,39957000,51855000,56302000,65384000,67611000,71492000,108601000,161060000,287378000,251020000,237092000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,250000,546000,763000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-5112000,4616000,-139931000,-43716000,-272193000,454326000,29617000,25823000,-50773000,17262000,-49657000,192508000,-74912000,9018000,-7744000
78,Accounts Receivable,- -,- -,- -,- -,- -,3454000,-1565000,-337000,-2729000,1670000,-4990000,5021000,12586000,-3962000,2663000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-940000,2492000,6400000,1097000,1970000,11696000,-3303000,-19333000,-8081000,7151000
81,Other Working Capital,8325000,12941000,-126990000,-170706000,-442899000,11427000,41044000,66867000,16094000,33356000,-16301000,176207000,101295000,110313000,-19769000
82,Other Non-Cash Items,- -,-5308000,137331000,50717000,265963000,-455833000,-32148000,-17016000,308480000,-22339000,62013000,-186768000,-27472000,-33088000,324000
83,Cash Provided by Operating Activities,40521000,44944000,40074000,59149000,80487000,100308000,108391000,130725000,115357000,124258000,133047000,144916000,215329000,233628000,221492000
84,CAPEX,-2184000,-2554000,-100051000,-394617000,-390551000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,-5134000,-76000,- -,- -,- -,-690794000,-103047000,- -,- -,435125000,104674000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-232467000,-117507000,-57965000,36445000,-215157000,-1186213000,303531000,773145000,-22987000,-442985000
89,Cash Used for Investing Activites,-2184000,-2554000,-105185000,-394693000,-390551000,-232467000,-117507000,-748759000,-66602000,-215157000,-1186213000,738656000,877819000,-22987000,-442985000
90,Debt Repayment,-3163000,-3458000,-244514000,-361946000,-246005000,-528293000,-110933000,-1006504000,-126908000,-463933000,-246909000,-906708000,-1355054000,-1116834000,-1437541000
91,Common Stock Issued,- -,- -,205510000,418930000,157870000,166718000,- -,349787000,- -,- -,493866000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-10741000,- -,- -,- -,- -,- -,-172000,-337000,-264000,-20453000,-473000,-434000,-1003000
93,Dividends Paid,- -,- -,-265763000,-50519000,-70392000,-82819000,-94043000,-100856000,-121660000,-122366000,-145209000,-171212000,-105868000,-106121000,-106368000
94,Other Financing Activites,-35177000,-38901000,382000000,330038000,469426000,578536000,216500000,1381735000,194979000,698691000,938310000,234064000,430000000,968907000,1794065000
95,Cash Used/Provided by Financing Activities,-38340000,-42359000,66492000,336503000,310899000,134142000,11524000,624162000,-53761000,112055000,1039794000,-864309000,-1031395000,-254482000,249153000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3000,31000,1381000,959000,835000,1983000,2408000,6128000,-5006000,21156000,-13372000,19263000,61753000,-43841000,27660000
98,Cash at the End of Period,66000,97000,1478000,2437000,3272000,5255000,7663000,13791000,8785000,29941000,16569000,38943000,100696000,56855000,84515000
99,Cash at the Beginning of Period,69000,66000,97000,1478000,2437000,3272000,5255000,7663000,13791000,8785000,29941000,19680000,38943000,100696000,56855000
100,Free Cash Flow,38337000,42390000,-59977000,-335468000,-310064000,100308000,108391000,130725000,115357000,124258000,133047000,144916000,215329000,233628000,221492000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1456772/000104746910001094/0001047469-10-001094-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000104746911001362/0001047469-11-001362-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000104746912001342/0001047469-12-001342-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000104746913001368/0001047469-13-001368-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000104746914001040/a2218319z10-k.htm,https://www.sec.gov/Archives/edgar/data/1456772/000155837015000114/gov-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1456772/000155837016003282/0001558370-16-003282-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677217000010/0001456772-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677218000008/0001456772-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677219000015/0001456772-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677220000009/0001456772-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677221000007/0001456772-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1456772/000145677222000009/0001456772-22-000009-index.htm
102,false,,,,,,,,,,,,,,,
