,https://roic.ai/company/MTLS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,-2628000,-1089000,3169000,5861000,2128000,-2715000,-5053000,-3698000,-1589000,-4871000,- -
66,Other Total Stockholders Equity,12145000,12162000,12321000,76650000,78098000,79019000,79839000,136637000,138090000,141274000,229021000
67,Total Stockholders Equity,11743000,13299000,17725000,85299000,82955000,79033000,77515000,135989000,139567000,133104000,232577000
68,Total Liabilities And Stockholders Equity,38515000,46637000,55678000,133353000,144136000,161920000,237539000,313225000,346187000,327667000,413410000
69,Minority Interest,-6000,38000,10000,-132000,- -,- -,- -,- -,3107000,- -,-2000
70,Total Liabilities & Equity,38509000,46675000,55688000,133221000,144136000,161920000,237539000,313225000,349294000,327667000,413408000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1091223/000119312515162857/d915518d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312516564184/d120629d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312517149080/d369572d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312518143179/d557201d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312519129416/d750783d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312520128829/d873114d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,1551000,3509000,2061000,-2807000,-3019000,-1656000,3027000,1646000,-7124000,13154000
74,Depreciation and Amortization,- -,2911000,3190000,4565000,6707000,8374000,12631000,17287000,19198000,19674000,20516000
75,Deferred Income Tax,- -,173000,-7000,387000,-388000,1712000,534000,425000,2595000,-970000,591000
76,Stock Based Compensation,- -,25000,31000,675000,769000,977000,1033000,1075000,302000,752000,-1036000
77,Change in Working Capital,- -,759000,1126000,-883000,-1168000,139000,-3640000,4997000,3667000,12512000,-5890000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10920000
79,Inventory,- -,-487000,159000,-311000,-1671000,-2482000,-984000,812000,-745000,2724000,-1423000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6453000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,695000,1032000,-1966000,-760000,312000,984000,1509000,994000,5134000,-1492000
83,Cash Provided by Operating Activities,- -,6114000,8881000,4839000,2353000,8495000,9886000,28320000,28402000,29978000,25843000
84,CAPEX,- -,-5047000,-2948000,-10504000,-10548000,-14579000,-32013000,-20106000,-15665000,-17650000,-11722000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-875000
86,Purchases of Investments,- -,- -,- -,-10000000,-1000000,- -,- -,-2671000,-281000,-300000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-720000,-885000,-11664000,-2887000,-403000,-31516000,-1192000,-11864000,-16933000,-4324000
89,Cash Used for Investing Activites,- -,-4962000,-3300000,-31245000,-2794000,-12640000,-59184000,-22133000,-25617000,-28265000,-13133000
90,Debt Repayment,- -,-6292000,-3618000,-5317000,-6257000,-4694000,-14851000,-21922000,-17409000,-17376000,-18052000
91,Common Stock Issued,- -,- -,- -,70484000,580000,- -,- -,60489000,- -,- -,- -
92,Common Stock Repurchased,- -,-615000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,9288000,4347000,-3110000,3889000,13960000,52892000,26668000,28190000,488000,89208000
95,Cash Used/Provided by Financing Activities,- -,2381000,729000,62057000,-1788000,9266000,38041000,65235000,10781000,-16888000,71156000
96,Effect of Forex Changes on Cash,- -,-38000,-129000,2770000,1936000,65000,-1480000,908000,-175000,-2184000,624000
97,Net Change In Cash,- -,3495000,6181000,38421000,-293000,5186000,-12737000,72331000,13391000,-17359000,84490000
98,Cash at the End of Period,- -,6417000,12598000,51019000,50726000,55912000,43175000,115506000,128897000,111538000,196028000
99,Cash at the Beginning of Period,- -,2922000,6417000,12598000,51019000,50726000,55912000,43175000,115506000,128897000,111538000
100,Free Cash Flow,- -,1067000,5933000,-5665000,-8195000,-6084000,-22127000,8214000,12737000,12328000,14121000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1091223/000119312515162857/d915518d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312516564184/d120629d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312517149080/d369572d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312518143179/d557201d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312519129416/d750783d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312520128829/d873114d20f.htm,- -,- -
102,Forex Rate,undefined,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
