,https://roic.ai/company/MYSZ,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,1344000,- -,- -,- -,-340000,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-10510000,-20150000,-1676000,-2315000,-273778,-720000,80000,-468000,-3437000,-4334000,-5404000,-5969000,-5497000,-6157000,-10520000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-87.2540,-43.3592,-80.3053
25,EPS,-0.41,-1.05,-0.03,-0.04,0.39,-0.46,0.05,-0.60,-3.30,-4.05,-4.50,-3.00,-2.75,-1.11,-0.79
26,EPS Diluted,-0.41,-1.05,-0.03,-0.04,0.39,-0.46,0.05,-0.60,-3.30,-4.05,-4.50,-3.00,-3.12,-1.11,-0.79
27,Weighted Average Shares Outstanding,25377500,19022711,49909705,50764987,664528,1550000,1630000,819518,1020924,1089705,1191661,1941147,1999222,5539700,13340164
28,Weighted Average Shares Outstanding Diluted,25377500,19022711,49909705,50764987,664528,1550000,1630000,819518,1020924,1089705,1191661,1941147,1999222,5539700,13340164
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1211805/000136231008001224/0001362310-08-001224-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000136231009004492/0001362310-09-004492-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000095012310027127/0000950123-10-027127-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000095012311035562/0000950123-11-035562-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000117891312000920/0001178913-12-000920-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1211805/000121390016011344/0001213900-16-011344-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390017003777/0001213900-17-003777-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390018003274/0001213900-18-003274-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390019004966/0001213900-19-004966-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390020006893/0001213900-20-006893-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390021018354/0001213900-21-018354-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000149315222007224/0001493152-22-007224-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10640000,3385000,1002000,33000,244088,10000,- -,645000,919000,34000,1802000,5140000,1203000,1689000,10670000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,1808000,- -,- -,1209000,- -,59000,- -
33,Cash and Short-Term Investments,10640000,3385000,1002000,33000,244088,10000,- -,645000,2727000,34000,1802000,6349000,1203000,1748000,10670000
34,Net Receivables,590000,17000,45000,37000,107987,10000,10000,- -,90000,1382000,326000,88000,91000,97000,190000
35,Inventory,130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,979000,256000,12000,- -,40000,20000,110000,860000,81000,125000,401000,531000,623000,702000
37,Total Current Assets,11360000,4381000,1303000,82000,352076,60000,30000,755000,3677000,1497000,2253000,6838000,1825000,2468000,11562000
38,PP&E,700000,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,1039000,888000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,579000,98000,208000,26000,59000,108000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,150000,10000,9000,- -,59117,-10000,- -,24000,61000,74000,67000,71000,1107000,- -,- -
45,Total Non-Current Assets,850000,10000,9000,- -,59117,40000,- -,24000,61000,653000,165000,279000,1133000,1098000,996000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12210000,4391000,1312000,82000,411193,100000,30000,779000,3738000,2150000,2418000,7117000,2958000,3566000,12558000
48,Accounts Payable,2190000,455000,140000,658000,101419,490000,490000,192000,193000,229000,245000,295000,440000,381000,635000
49,Short-Term Debt,- -,- -,- -,- -,- -,150000,120000,- -,- -,- -,558000,- -,- -,- -,138000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,100000,3351000,2346000,1317000,669207,320000,310000,109000,6158000,396000,2767000,1528000,808000,530000,455000
53,Total Current Liabilities,2290000,3806000,2486000,1975000,770625,960000,920000,301000,6351000,625000,3570000,1823000,1248000,911000,1228000
54,Long-Term Debt,8210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,473000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,4470000,1382000,2000,- -,46506,70000,- -,- -,- -,- -,- -,- -,659000,579000,- -
58,Total Non-Current Liabilities,12680000,1382000,2000,- -,46506,70000,- -,- -,- -,- -,- -,- -,659000,579000,473000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,761000,708000,611000
61,Total Liabilities,14970000,5188000,2488000,1975000,817131,1030000,920000,301000,6351000,625000,3570000,1823000,1907000,1490000,1701000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,210000,2457000,2975000,6000,22859,30000,30000,15000,15000,17000,22000,30000,2000,7000,24000
64,Retained Earnings,-37410000,-180441000,-182117000,-184432000,-2669207,-7870000,-8850000,-3873000,-7310000,-11644000,-17048000,-23017000,-28514000,-34671000,-45191000
65,Other Comprehensive Income/Loss,-1530000,-426000,-44000,-53000,-24172,-40000,- -,-1000,-10000,-33000,-68000,-1000000,-1000000,-424000,-406000
66,Other Total Stockholders Equity,35960000,177613000,178010000,182586000,2264582,6950000,7930000,4337000,4692000,13185000,15942000,29281000,30563000,37164000,- -
67,Total Stockholders Equity,-2770000,-797000,-1176000,-1893000,-405938,-930000,-890000,478000,-2613000,1525000,-1152000,5294000,1051000,2076000,10857000
68,Total Liabilities And Stockholders Equity,12200000,4391000,1312000,82000,411193,100000,30000,779000,3738000,2150000,2418000,7117000,2958000,3566000,12558000
69,Minority Interest,10000,- -,- -,- -,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12210000,4391000,1312000,82000,411193,100000,30000,779000,3738000,2150000,2418000,7117000,2958000,3566000,12558000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1211805/000136231008001224/0001362310-08-001224-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000136231009004492/0001362310-09-004492-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000095012310027127/0000950123-10-027127-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000095012311035562/0000950123-11-035562-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000117891312000920/0001178913-12-000920-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1211805/000121390016011344/0001213900-16-011344-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390017003777/0001213900-17-003777-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390018003274/0001213900-18-003274-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390019004966/0001213900-19-004966-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390020006893/0001213900-20-006893-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390021018354/0001213900-21-018354-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000149315222007224/0001493152-22-007224-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-10510000,-20150000,-1676000,-2315000,-273778,-720000,80000,-468000,-3437000,-4334000,-5404000,-5969000,-5497000,-6157000,-10520000
74,Depreciation and Amortization,190000,1204000,7000,9000,11298,10000,- -,1000,8000,24000,30000,31000,30000,82000,85000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,217000,80000,-126379,- -,- -,57000,398000,-23000,1629000,1002000,692000,645000,373000
77,Change in Working Capital,-2260000,-8495000,-1758000,-710000,1474450,-481450,10000,1344000,-3128000,3546000,-2189000,6332000,-4438000,980000,195000
78,Accounts Receivable,- -,- -,- -,- -,-6306,- -,- -,- -,- -,- -,- -,- -,-37000,13000,-12000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-1636000,-315000,518000,-28902,-70000,- -,-100000,2000,294000,-9000,34000,193000,-74000,306000
81,Other Working Capital,9070000,575000,-1183000,-1893000,-418550,-900000,-890000,454000,-2674000,872000,-1317000,5015000,577000,1557000,- -
82,Other Non-Cash Items,4360000,2043000,-589000,366000,-1595312,631450,-300000,-1667000,4720000,-1372000,2117000,-4993000,3795000,-1229000,2570000
83,Cash Provided by Operating Activities,-8220000,-25398000,-3799000,-2570000,-509721,-560000,-210000,-733000,-1439000,-2159000,-3817000,-3597000,-5418000,-5679000,-7297000
84,CAPEX,-1432000,-154000,-6000,- -,- -,- -,- -,-25000,-47000,-36000,-16000,-40000,-308000,-41000,-23000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1200000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,- -,- -
88,Other Investing Activites,13772000,430000,503000,59000,- -,- -,80000,- -,- -,- -,- -,-181000,181000,-170000,184000
89,Cash Used for Investing Activites,12340000,276000,497000,59000,- -,- -,80000,-25000,-47000,-36000,-16000,-1421000,1073000,-211000,161000
90,Debt Repayment,- -,-12513000,- -,- -,- -,- -,- -,- -,-125000,-25000,-583000,-554000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,-311613,- -,- -,- -,- -,- -,6192000,- -,- -,5995000,12583000
92,Common Stock Repurchased,4490000,- -,- -,- -,- -,130000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1160000,42000,919000,1542000,823174,200000,120000,1507000,1888000,1339000,- -,9594000,266000,99000,3709000
95,Cash Used/Provided by Financing Activities,3330000,-12471000,919000,1542000,511561,330000,120000,1507000,1763000,1314000,5609000,9040000,266000,6094000,16292000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-108000,-3000,-4000,-8000,-664000,315000,104000,13000
97,Net Change In Cash,7450000,-37593000,-2383000,-969000,1839,-230000,-10000,641000,274000,-885000,1768000,3358000,-3764000,308000,9169000
98,Cash at the End of Period,9910000,3385000,1002000,33000,244088,10000,- -,645000,919000,34000,1802000,5230000,1466000,1774000,10943000
99,Cash at the Beginning of Period,2460000,40978000,3385000,1002000,242249,240000,10000,4000,645000,919000,34000,1872000,5230000,1466000,1774000
100,Free Cash Flow,-8570000,-25552000,-3805000,-2570000,-509721,-560000,-210000,-758000,-1486000,-2195000,-3833000,-3637000,-5726000,-5720000,-7320000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1211805/000136231008001224/0001362310-08-001224-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000136231009004492/0001362310-09-004492-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000095012310027127/0000950123-10-027127-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000095012311035562/0000950123-11-035562-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000117891312000920/0001178913-12-000920-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1211805/000121390016011344/0001213900-16-011344-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390017003777/0001213900-17-003777-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390018003274/0001213900-18-003274-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390019004966/0001213900-19-004966-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390020006893/0001213900-20-006893-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000121390021018354/0001213900-21-018354-index.htm,https://www.sec.gov/Archives/edgar/data/1211805/000149315222007224/0001493152-22-007224-index.htm
102,false,,,,,,,,,,,,,,,
