,https://roic.ai/company/KBR,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,- -,1593000000,1217000000,602000000,345000000,789000000,740000000,866000000,947000000,979000000,1093000000,1240000000,948000000,1840000000,1382000000,1915000000,2006000000,2641000000,2623000000
59,Other Liabilities,2898000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231000000,230000000,229000000
61,Total Liabilities,2898000000,- -,4560000000,3783000000,3585000000,2968000000,3832000000,3031000000,3213000000,3231000000,3256000000,2921000000,3264000000,2360000000,3399000000,2453000000,3334000000,3507000000,4096000000,4498000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1384000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,-10000000,-128000000,27000000,319000000,596000000,854000000,1157000000,1607000000,1709000000,1902000000,439000000,595000000,488000000,877000000,1258000000,1441000000,1305000000,1260000000
65,Other Comprehensive Income/Loss,- -,- -,822000000,-305000000,-291000000,-122000000,-439000000,-444000000,-438000000,-548000000,-610000000,-740000000,-876000000,-831000000,-1050000000,-921000000,-913000000,-987000000,-1083000000,-881000000
66,Other Total Stockholders Equity,1133000000,- -,1300000000,305000000,2155000000,2038000000,1895000000,1886000000,1485000000,1383000000,1412000000,1433000000,1372000000,1288000000,1307000000,1265000000,1390000000,1403000000,- -,- -
67,Total Stockholders Equity,1133000000,- -,812000000,1256000000,1787000000,2267000000,2052000000,2288000000,2246000000,2495000000,2542000000,2617000000,942000000,1065000000,757000000,1229000000,1718000000,1843000000,1580000000,1687000000
68,Total Liabilities And Stockholders Equity,4031000000,- -,5372000000,5039000000,5372000000,5235000000,5884000000,5319000000,5459000000,5726000000,5798000000,5538000000,4206000000,3425000000,4156000000,3682000000,5052000000,5350000000,5676000000,6185000000
69,Minority Interest,- -,- -,115000000,143000000,35000000,-32000000,- -,8000000,-42000000,-53000000,-31000000,-22000000,-7000000,-13000000,-12000000,-8000000,20000000,14000000,29000000,14000000
70,Total Liabilities & Equity,4031000000,- -,5487000000,5182000000,5407000000,5203000000,5884000000,5327000000,5417000000,5673000000,5767000000,5516000000,4199000000,3412000000,4144000000,3674000000,5072000000,5364000000,5705000000,6199000000
71,SEC Link,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1357615/000095013408003362/0000950134-08-003362-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000114036109004960/0001140361-09-004960-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000114036110008295/0001140361-10-008295-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000119312511043559/0001193125-11-043559-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000119312512073017/0001193125-12-073017-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761513000006/0001357615-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761514000005/0001357615-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761515000027/0001357615-15-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761516000245/0001357615-16-000245-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761517000035/0001357615-17-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761518000033/0001357615-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761519000030/0001357615-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761520000034/0001357615-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761521000040/0001357615-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761522000012/0001357615-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-92000000,- -,-303000000,240000000,168000000,302000000,319000000,290000000,327000000,480000000,144000000,229000000,-1262000000,203000000,-61000000,434000000,281000000,202000000,-72000000,18000000
74,Depreciation and Amortization,29000000,- -,52000000,56000000,47000000,41000000,49000000,55000000,62000000,71000000,65000000,68000000,72000000,39000000,45000000,48000000,63000000,104000000,115000000,146000000
75,Deferred Income Tax,- -,- -,26000000,3000000,12000000,-27000000,88000000,65000000,14000000,-173000000,18000000,24000000,353000000,14000000,18000000,-322000000,28000000,-14000000,-40000000,44000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,765000000,179000000,-29000000,518000000,-334000000,251000000,-435000000,243000000,233000000,-209000000,-662000000,-88000000,56000000,-134000000,186000000,-30000000,-331000000,-169000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000000,-7000000,170000000,41000000,121000000,92000000,-203000000,-16000000,127000000,-476000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,214000000,-355000000,-177000000,-110000000,-14000000,49000000,-10000000,-274000000,-6000000,-193000000,112000000,23000000,-40000000,447000000
81,Other Working Capital,- -,- -,765000000,944000000,915000000,1433000000,1099000000,1350000000,915000000,1158000000,1391000000,1182000000,520000000,432000000,488000000,354000000,540000000,510000000,179000000,-130000000
82,Other Non-Cash Items,63000000,- -,-601000000,49000000,733000000,-586000000,2000000,-697000000,581000000,29000000,-318000000,178000000,1669000000,-121000000,3000000,167000000,-393000000,-6000000,695000000,239000000
83,Cash Provided by Operating Activities,- -,- -,-61000000,527000000,931000000,248000000,124000000,-36000000,549000000,650000000,142000000,290000000,170000000,47000000,61000000,193000000,165000000,256000000,367000000,278000000
84,CAPEX,-161000000,- -,-74000000,-76000000,-57000000,-43000000,-37000000,-41000000,-86000000,-83000000,-75000000,-78000000,-53000000,-10000000,-11000000,-8000000,-17000000,-20000000,-20000000,-37000000
85,Acquisitions Net,- -,- -,-22000000,87000000,276000000,334000000,-526000000,- -,-299000000,- -,- -,10000000,- -,-19000000,-972000000,-4000000,-698000000,-146000000,-858000000,-428000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-12000000,-11000000,- -,- -,- -,-19000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,32000000,- -,6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,13000000,9000000,6000000,2000000,-30000000,-41000000,-86000000,-83000000,52000000,6000000,9000000,149000000,2000000,- -,224000000,8000000,1000000,30000000
89,Cash Used for Investing Activites,- -,- -,-83000000,20000000,225000000,293000000,-556000000,-9000000,-397000000,-88000000,52000000,-62000000,-44000000,101000000,-981000000,-12000000,-491000000,-158000000,-877000000,-428000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14000000,-14000000,-11000000,-11000000,-59000000,-189000000,-820000000,-70000000,-281000000,-44000000
91,Common Stock Issued,- -,- -,- -,- -,512000000,6000000,3000000,2000000,5000000,7000000,7000000,6000000,4000000,1000000,- -,- -,2000000,5000000,4000000,12000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-196000000,-31000000,-233000000,-118000000,-40000000,-7000000,-106000000,-62000000,-4000000,-53000000,-3000000,-4000000,-51000000,-82000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-53000000,-32000000,-32000000,-30000000,-37000000,-36000000,-47000000,-47000000,-46000000,-45000000,-44000000,-46000000,-54000000,-61000000
94,Other Financing Activites,- -,- -,-83000000,-375000000,-651000000,-156000000,2000000,-105000000,-76000000,-236000000,-32000000,-97000000,-50000000,-73000000,693000000,-3000000,1519000000,-18000000,607000000,262000000
95,Cash Used/Provided by Financing Activities,- -,- -,-83000000,-375000000,-139000000,-150000000,-244000000,-166000000,-336000000,-377000000,-116000000,-148000000,-210000000,-192000000,584000000,-290000000,654000000,-133000000,225000000,87000000
96,Effect of Forex Changes on Cash,- -,- -,24000000,-12000000,50000000,9000000,-40000000,7000000,7000000,-5000000,9000000,-34000000,-52000000,-43000000,-11000000,12000000,-28000000,8000000,9000000,-3000000
97,Net Change In Cash,- -,- -,-205000000,160000000,1067000000,400000000,-716000000,-204000000,-155000000,180000000,87000000,46000000,-136000000,-87000000,-347000000,-97000000,300000000,-27000000,-276000000,-66000000
98,Cash at the End of Period,- -,- -,234000000,394000000,1461000000,1861000000,1145000000,941000000,786000000,966000000,1053000000,1099000000,970000000,883000000,536000000,439000000,739000000,712000000,436000000,370000000
99,Cash at the Beginning of Period,- -,- -,439000000,234000000,394000000,1461000000,1861000000,1145000000,941000000,786000000,966000000,1053000000,1106000000,970000000,883000000,536000000,439000000,739000000,712000000,436000000
100,Free Cash Flow,- -,- -,-135000000,451000000,874000000,205000000,87000000,-77000000,463000000,567000000,67000000,212000000,117000000,37000000,50000000,185000000,148000000,236000000,347000000,241000000
101,SEC Link,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1357615/000095013408003362/0000950134-08-003362-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000114036109004960/0001140361-09-004960-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000114036110008295/0001140361-10-008295-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000119312511043559/0001193125-11-043559-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000119312512073017/0001193125-12-073017-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761513000006/0001357615-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761514000005/0001357615-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761515000027/0001357615-15-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761516000245/0001357615-16-000245-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761517000035/0001357615-17-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761518000033/0001357615-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761519000030/0001357615-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761520000034/0001357615-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761521000040/0001357615-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761522000012/0001357615-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
