,https://roic.ai/company/CLNH,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1479681/000095012310058131/0000950123-10-058131-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1479681/000121152412000050/0001211524-12-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000121152413000183/0001211524-13-000183-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000121152414000027/0001211524-14-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000121152415000040/0001211524-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000121152416000203/0001211524-16-000203-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1479681/000160706218000127/0001607062-18-000127-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000160706219000163/0001607062-19-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000160706220000125/0001607062-20-000125-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000160706221000074/0001607062-21-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000160706222000229/0001607062-22-000229-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,322439,857074,465549,224800,104721,26870,133436,131987,10522,9449,369,1065434,26931,15314
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1333
33,Cash and Short-Term Investments,322439,857074,465549,224800,104721,26870,133436,131987,10522,9449,369,1065434,26931,16647
34,Net Receivables,17000,73743,613651,720865,158441,375071,81671,230182,15000,6254,14871,100183,18283,647
35,Inventory,- -,- -,- -,- -,- -,- -,- -,21160,- -,- -,27073,26988,- -,- -
36,Other Current Assets,646488,724411,1138975,813424,453667,648805,45110,507357,482410,39377,- -,50747,111842,401
37,Total Current Assets,985927,1655228,2218175,1759089,716829,1050746,260217,890686,507932,55080,42313,1243352,157056,17696
38,PP&E,1491,895,5087,18563,17870,11176,8436,40433,1183,3845,2118,330549,12391,113
39,Goodwill,- -,185000,111026,111026,- -,- -,- -,6705157,- -,- -,- -,3471508,- -,57339
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3267885,2572015,1535974,- -,10586
41,Intangible Assets,- -,185000,111026,111026,- -,- -,- -,6705157,- -,3267885,2572015,5007482,- -,67925
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,462758,153485,2500,2500,11220,9420,12133,1720,1720,1945,2020,111121,- -,- -
45,Total Non-Current Assets,464249,339380,118613,132089,29090,20596,20569,6747310,2903,3273675,2576153,5449152,12391,68037
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1450176,1994608,2336788,1891178,745919,1071342,280786,7637996,510835,3328755,2618466,6692504,169447,85734
48,Accounts Payable,4754,204487,326227,263195,433958,316566,285277,636633,356005,348354,480270,1752659,695424,- -
49,Short-Term Debt,- -,2504,- -,- -,- -,46513,- -,936316,50000,386189,430111,2529399,312890,201
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,811227,- -,9100,9192,165560,76687,2
52,Other Current Liabilities,- -,- -,25390,25390,6263,152076,- -,504502,5974255,216137,465874,162835,68651,8439
53,Total Current Liabilities,4754,206991,351617,288585,440221,515155,285277,2888678,6380260,959780,1385447,4610453,1153652,8642
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,2808950,- -,- -,- -,- -,- -,3806
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,379052,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1747
57,Other Non-Current Liabilities,491538,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223618,- -,- -
58,Total Non-Current Liabilities,491538,- -,- -,- -,- -,- -,- -,3188002,- -,- -,- -,223618,- -,5553
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274024,- -,- -
61,Total Liabilities,496292,206991,351617,288585,440221,515155,285277,6076680,6380260,959780,1385447,4834071,1303652,10595
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,22719,23954,23954,23954,25044,25044,26584,39684,39709,126196,214860,4649,5282,48
64,Retained Earnings,-1204483,-758724,-441058,-824451,-2448346,-2197857,-2882199,-2798390,-10230631,-9648569,-12462814,-12568795,- -,-31888
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-302534,-5981,-7119,-8846,-87102,- -,- -
66,Other Total Stockholders Equity,2135648,2522387,2402275,2403090,2729000,2729000,2851124,4622556,4327478,11898467,13489819,14509681,-1139077,106979
67,Total Stockholders Equity,953884,1787617,1985171,1602593,305698,556187,-4491,1561316,-5869425,2368975,1233019,1858433,-1133795,75139
68,Total Liabilities And Stockholders Equity,1450176,1994608,2336788,1891178,745919,1071342,280786,7637996,510835,3328755,2618466,6692504,169857,85734
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-410,- -
70,Total Liabilities & Equity,1450176,1994608,2336788,1891178,745919,1071342,280786,7637996,510835,3328755,2618466,6692504,169447,85734
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1479681/000095012310058131/0000950123-10-058131-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1479681/000121152412000050/0001211524-12-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000121152413000183/0001211524-13-000183-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000121152414000027/0001211524-14-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000121152415000040/0001211524-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000121152416000203/0001211524-16-000203-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1479681/000160706218000127/0001607062-18-000127-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000160706219000163/0001607062-19-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000160706220000125/0001607062-20-000125-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000160706221000074/0001607062-21-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000160706222000229/0001607062-22-000229-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,403393,445759,158137,-383393,-1623895,250489,-684342,83809,-7432241,582062,-2814245,-7116520,-5650,-13669
74,Depreciation and Amortization,373,596,1496,5915,8750,6694,4766,4917,473,535024,697597,171815,14514,5
75,Deferred Income Tax,- -,- -,- -,-184185,184185,- -,- -,- -,- -,- -,- -,- -,- -,-985
76,Stock Based Compensation,72900,121500,5832,815,327000,- -,74664,331998,1500,924326,208025,450054,2571689,4027
77,Change in Working Capital,2095,467064,418321,-396054,-1193896,258983,-560651,-1972932,-3874336,4967628,-438434,-2023967,2370505,1005650
78,Accounts Receivable,- -,-56743,-67908,-144702,110912,23149,53621,- -,- -,-4004,-8617,111567,71900,-75
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127,- -,- -,- -
80,Accounts Payable,2095,-199733,229299,-63032,170763,-117392,-37552,- -,- -,- -,- -,- -,-648475,229
81,Other Working Capital,981173,1448237,1866558,1470504,276608,535591,-25060,-1997992,-5872328,-904700,-1343134,-3367101,-996596,9054
82,Other Non-Cash Items,-357671,-1145512,-2220931,297766,1779169,-699317,1331368,1597115,11030381,-7723663,1581586,4478040,-6426133,-1001732
83,Cash Provided by Operating Activities,121090,-110593,-1637145,-659136,-518687,-183151,165805,44907,-274223,-714623,-765471,-4040578,-1475075,-6704
84,CAPEX,-1864,- -,-5688,-19391,-8057,- -,-2026,-1797,- -,- -,- -,-84002,500,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,29584,- -,-564194,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4555
88,Other Investing Activites,308811,1134262,1228422,437778,425792,1800,-2713,13321,-9990,-27534,- -,-100000,100000,3697
89,Cash Used for Investing Activites,306947,1134262,1222734,418387,417735,1800,-4739,11524,-9990,2050,- -,-748196,100500,7952
90,Debt Repayment,- -,- -,-2504,- -,- -,- -,-54500,-64729,-1535,-8508,-15600,-737259,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,275000,30000,4112500,- -,69087
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-146505,-489034,25390,- -,-19127,103500,- -,13452,173979,445008,741991,2359700,497472,-55048
95,Cash Used/Provided by Financing Activities,-146505,-489034,22886,- -,-19127,103500,-54500,-51277,172444,711500,756391,5734941,497472,14039
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,281532,534635,-391525,-240749,-120079,-77851,106566,5154,-111769,-1073,-9080,946167,-1038503,-11617
98,Cash at the End of Period,322439,857074,465549,224800,104721,26870,133436,131987,10522,9449,369,1065434,26931,15314
99,Cash at the Beginning of Period,40907,322439,857074,465549,224800,104721,26870,126833,122291,10522,9449,119267,1065434,26931
100,Free Cash Flow,119226,-110593,-1642833,-678527,-526744,-183151,163779,43110,-274223,-714623,-765471,-4124580,-1474575,-6704
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1479681/000095012310058131/0000950123-10-058131-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1479681/000121152412000050/0001211524-12-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000121152413000183/0001211524-13-000183-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000121152414000027/0001211524-14-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000121152415000040/0001211524-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000121152416000203/0001211524-16-000203-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1479681/000160706218000127/0001607062-18-000127-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000160706219000163/0001607062-19-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000160706220000125/0001607062-20-000125-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000160706221000074/0001607062-21-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1479681/000160706222000229/0001607062-22-000229-index.htm
102,false,,,,,,,,,,,,,,
