,https://roic.ai/company/DTGI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.2589,-0.1004,-0.1460,-0.1986,-0.2336,-0.3034,-0.8318,-6.7663,-0.3700,-0.0407,0.0029,0.0046,-0.0657,-0.0131,-0.0935,-0.3562,-0.9393,-8.3273,-3.1831,-3.9857,-11.3161,-1.4333,-0.3909,-0.3364,-0.1931
19,Total Other Income Expenses (Gains),-445000,-1489000,-1696000,-2221000,-919000,-492000,-1545000,182000,12591000,44000,- -,25000,108000,- -,-8000,641000,-214000,327000,-49000,-24000,2623000,-470000,-2240000,-1345000,-14434000
20,Income Before Tax,-4647000,-4955000,-6736000,-10053000,-10575000,-15873000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1080000,-2904000,-988000,-1140000,439000,-3338000,-4601000,-3457000,-16832000
21,Income Before Tax Ratio,-0.2864,-0.1435,-0.1951,-0.2550,-0.2558,-0.3131,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.1714,-7.4845,-3.3492,-4.0714,2.2746,-1.6682,-0.7618,-0.5506,-1.3557
22,Income Tax expense (Gain),- -,139000,- -,- -,-223000,-110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2410000,- -,- -,- -,-118000,47000,-33000,183000
23,Net Income,-4695000,-5094000,-6736000,-10053000,-10552000,-14517000,-12583000,-8469000,10296000,947000,-257000,112000,-1508000,-395000,-1637000,-1244000,-2931000,4184000,-988000,-1140000,439000,-3163000,-4520000,-3377000,-16683000
24,Net Income ratio,-0.2893,-0.1476,-0.1951,-0.2550,-0.2552,-0.2863,-1.8108,-6.7536,1.7129,0.0644,-0.0081,0.0027,-0.0758,-0.0189,-0.1075,-0.3008,-3.1790,10.7835,-3.3492,-4.0714,2.2746,-1.5807,-0.7483,-0.5378,-1.3437
25,EPS,-2069.92,-1379.94,-1839.93,-3449.86,-2069.92,-1954.92,-1494.94,-840.62,154.09,8.06,2.30,1.15,-4.60,-1.15,-3.45,-2.30,-1.69,2.12,-0.27,-0.22,0.07,-0.31,-0.27,-0.06,-0.13
26,EPS Diluted,-2069.92,-1379.94,-1839.93,-3449.86,-2069.92,-1954.92,-1494.94,-840.62,47.15,8.06,-1.15,1.15,-4.60,-1.15,-3.45,-2.30,-1.69,2.12,-0.27,-0.22,0.06,-0.31,-0.27,-0.06,-0.13
27,Weighted Average Shares Outstanding,2331,3573,4127,4943,6189,7502,8849,10434,61992,117538,242688,340394,348216,395703,503794,655886,1736000,1977626,3683646,5183817,6339906,10339371,16650507,53883966,129411947
28,Weighted Average Shares Outstanding Diluted,2331,3573,4127,4943,6189,7502,8849,10434,61992,117538,243920,340859,348216,395703,503794,655886,1736000,1977626,3683646,5183817,6982081,10339371,16650507,53883966,129411947
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1014052/000121390017013263/0001213900-17-013263-index.htm,https://www.sec.gov/Archives/edgar/data/1014052/000121390019007224/0001213900-19-007224-index.htm,https://www.sec.gov/Archives/edgar/data/1014052/000121390019021294/0001213900-19-021294-index.htm,https://www.sec.gov/Archives/edgar/data/1014052/000121390020033960/0001213900-20-033960-index.htm,https://www.sec.gov/Archives/edgar/data/1014052/000121390021054631/0001213900-21-054631-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,140000,94000,29000,36000,1050000,1338000,962000,73000,60000,2000,10000,347000,19000,1169000,673000,388000,406000,685000,1489000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,140000,94000,29000,36000,1050000,1338000,962000,73000,60000,2000,10000,347000,19000,1169000,673000,388000,406000,685000,1489000
34,Net Receivables,- -,- -,- -,- -,- -,- -,231000,29000,170000,621000,916000,1107000,337000,526000,562000,10000,13000,9000,1000,2000,15000,229000,262000,208000,617000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,339000,26000,44000,33000,94000,124000,77000,48000,68000,19000,75388000,1995000,1000,8000,9000,124000,107000,361000,232000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,710000,149000,243000,690000,2060000,2569000,1376000,647000,690000,31000,75411000,2351000,21000,1179000,697000,741000,775000,1254000,2338000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,121000,138000,102000,218000,172000,218000,129000,65000,104000,2000,1000,2000,213000,2000,713000,579000,607000,1463000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,835000,810000,810000,3931000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149000,134000,119000,104000,89000,74000,59000,44000,29000,14000,2211000,1831000,1451000,8526608
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149000,134000,119000,104000,89000,74000,59000,44000,29000,14000,3046000,2641000,2261000,12457608
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185000,185000,185000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,820000,- -,- -,- -,306000,319000,- -,- -,34000,- -,- -,- -,- -,- -,- -,59000,58000,43000,76000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,820000,121000,138000,102000,524000,640000,352000,248000,203000,193000,76000,60000,46000,242000,16000,3818000,3463000,3096000,14181608
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28363608
47,Total Assets,- -,- -,- -,- -,- -,- -,1530000,270000,381000,792000,2584000,3209000,1728000,895000,893000,224000,75487000,2411000,67000,1421000,713000,4559000,4238000,4350000,16520000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,8029000,503000,604000,718000,1071000,1361000,585000,637000,841000,869000,1257000,1283000,940000,770000,859000,1177000,1264000,1487000,1653000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,3562000,1053000,398000,383000,897000,647000,1173000,409000,794000,1259000,1533000,1388000,43000,- -,- -,1499000,2671000,2358000,5550000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262000,285000,279000,20000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,6915000,17541000,4665000,2389000,516000,134000,192000,191000,153000,351000,77527000,386000,271000,2925000,365000,1525000,2420000,2446000,19343000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,18506000,19097000,5667000,3490000,2484000,2142000,1950000,1237000,1788000,2479000,80317000,3057000,1254000,3695000,1224000,4463000,6640000,6570000,26566000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,509000,734000,335000,669000,291000,639000,647000,8000,- -,- -,- -,- -,- -,1032000,257000,393000,6808000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138000,138000,138000,140000,131000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1369000,20000,8000,10000,7000,4000,88000,16000,125000,124000,- -,- -,- -,- -,- -,64000,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1369000,20000,517000,744000,342000,673000,379000,655000,772000,132000,138000,138000,138000,140000,131000,1096000,257000,393000,6808000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,3000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000,165000,176000,971000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,19875000,19117000,6184000,4234000,2826000,2815000,2329000,1892000,2560000,2611000,80455000,3195000,1392000,3835000,1355000,5559000,6897000,6963000,33374000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,14000,14000,14000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,104000,3000,10000,16000,38000,39000,46000,46000,66000,112000,2000,2000,5000,5000,8000,13000,24000,101000,139000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-80076000,-88544000,-78249000,-72248000,-72505000,-72393000,-73787000,-74182000,-75957000,-77201000,-80132000,-75948000,-76936000,-78076000,-77637000,-80800000,-85320000,-88697000,-105380000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,1534000,502000,502000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,60093000,69178000,71920000,68775000,72222000,72747000,73253000,73276000,74223000,74701000,75161000,75161000,75605000,75656000,76986000,79993000,82972000,86364000,89100000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,-18345000,-18847000,-5803000,-3442000,-242000,394000,-487000,-859000,-1667000,-2387000,-4968000,-784000,-1325000,-2414000,-642000,-793000,-2323000,-2231000,-16140000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,1530000,270000,381000,792000,2584000,3209000,1842000,1033000,893000,224000,75487000,2411000,67000,1421000,713000,4766000,4574000,4732000,17234000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-114000,-138000,- -,- -,- -,- -,- -,- -,- -,-207000,-336000,-382000,-714000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,1530000,270000,381000,792000,2584000,3209000,1728000,895000,893000,224000,75487000,2411000,67000,1421000,713000,4559000,4238000,4350000,16520000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1014052/000121390017013263/0001213900-17-013263-index.htm,https://www.sec.gov/Archives/edgar/data/1014052/000121390019007224/0001213900-19-007224-index.htm,https://www.sec.gov/Archives/edgar/data/1014052/000121390019021294/0001213900-19-021294-index.htm,https://www.sec.gov/Archives/edgar/data/1014052/000121390020033960/0001213900-20-033960-index.htm,https://www.sec.gov/Archives/edgar/data/1014052/000121390021054631/0001213900-21-054631-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4695000,-5094000,-6736000,-10053000,-10552000,-14517000,-12583000,-8469000,10296000,947000,-257000,112000,-1508000,-395000,-1637000,-1244000,-2931000,4184000,-988000,-1140000,439000,-3163000,-4520000,-3377000,-16683000
74,Depreciation and Amortization,591000,1822000,3248000,4681000,4434000,4599000,1739000,19000,112000,92000,251000,168000,152000,165000,100000,119000,29000,8994000,17000,18000,18000,227000,669000,753000,2035000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-159000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000,22000,773000,1508000,1044000,1127000,624000
77,Change in Working Capital,-2603000,-311000,-71000,- -,-47000,47000,-17796000,-1152000,13524000,2624000,2376000,851000,-1001000,-16000,-508000,-1350000,-2458000,4200000,-527000,-1283000,1989000,-3195000,-2143000,549000,873000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,609000,-189000,-77000,552000,861000,32000,-9000,-1000,-13000,56000,-40000,60000,-69000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1041000,52000,204000,-57000,74000,113000,-24000,-168000,70000,181000,171000,235000,99000
81,Other Working Capital,382000,71000,- -,- -,-47000,- -,-17796000,-18948000,-5424000,-2800000,-424000,427000,-574000,-590000,-1098000,-2448000,-4906000,-706000,-1233000,-2516000,-527000,-3722000,-5865000,-5316000,-259000
82,Other Non-Cash Items,1177000,2961000,-4000,717000,177000,9362000,28769000,9145000,-24493000,-3967000,-1808000,-166000,1096000,-55000,1643000,2295000,11285000,-9083000,735000,3761000,-4235000,3797000,4423000,1002000,12443000
83,Cash Provided by Operating Activities,-5530000,-622000,-3563000,-4655000,-5988000,-509000,129000,-457000,-561000,-304000,562000,965000,-1261000,-301000,-402000,-180000,5925000,8295000,-645000,1378000,-1016000,-985000,-527000,54000,-708000
84,CAPEX,-590000,-3297000,-956000,-1993000,-1122000,-1092000,-281000,-130000,-8000,-4000,-145000,-125000,-115000,-62000,-21000,-33000,-8772000,-13136000,-3000,-214000,-40000,- -,-52000,-85000,-410000
85,Acquisitions Net,-73000,-2112000,-171000,-1334000,-102000,2196000,- -,- -,-8000,- -,- -,- -,- -,- -,- -,- -,5969000,41500000,- -,- -,- -,-1538000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13000,-7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83000,- -,- -
87,Sales/Maturities of Investments,101000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,325000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,146000,- -,- -,- -,- -,- -,458000,140000,- -,- -,-356000,-25000,- -,- -,- -,85000,- -,-1838000,- -,- -,- -,- -,- -,-127000,-10390000
89,Cash Used for Investing Activites,-416000,-5409000,-1127000,-3327000,-1224000,1104000,177000,10000,-16000,-4000,-501000,-163000,-122000,263000,-21000,52000,-2803000,26526000,-3000,-214000,-40000,-1538000,-135000,-212000,-10800000
90,Debt Repayment,-401000,-1899000,-1743000,-2205000,-1666000,-1223000,- -,- -,- -,- -,- -,- -,-545000,-776000,-539000,-143000,-2567000,-46384000,-2000,-68000,- -,-1069000,-929000,-583000,-1836000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,25000,- -,514000,54000,51000,- -,- -,- -,- -,- -,- -,- -,282000,- -,560000,480000,473000,99000,34000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,-48000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7612000,7100000,5721000,11358000,7431000,552000,-194000,401000,-2000,261000,902000,-504000,1275000,250000,949000,213000,5986000,5367000,40000,54000,- -,2827000,1136000,921000,14114000
95,Cash Used/Provided by Financing Activities,7211000,5201000,3978000,9153000,5765000,-671000,-169000,401000,512000,315000,953000,-514000,682000,-526000,410000,70000,3419000,-41017000,320000,-14000,560000,2238000,680000,437000,12312000
96,Effect of Forex Changes on Cash,12000,-160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1265000,-830000,-712000,1171000,-1447000,-15000,137000,-46000,-65000,7000,1014000,288000,-701000,-564000,-13000,-58000,6541000,-6196000,-328000,1150000,-496000,-285000,18000,279000,804000
98,Cash at the End of Period,1921000,1091000,379000,1550000,103000,27000,140000,94000,29000,36000,1050000,1338000,637000,73000,60000,2000,6543000,347000,19000,1169000,673000,388000,406000,685000,1489000
99,Cash at the Beginning of Period,656000,1921000,1091000,379000,1550000,42000,3000,140000,94000,29000,36000,1050000,1338000,637000,73000,60000,2000,6543000,347000,19000,1169000,673000,388000,406000,685000
100,Free Cash Flow,-6120000,-3919000,-4519000,-6648000,-7110000,-1601000,-152000,-587000,-569000,-308000,417000,840000,-1376000,-363000,-423000,-213000,-2847000,-4841000,-648000,1164000,-1056000,-985000,-579000,-31000,-1118000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1014052/000121390017013263/0001213900-17-013263-index.htm,https://www.sec.gov/Archives/edgar/data/1014052/000121390019007224/0001213900-19-007224-index.htm,https://www.sec.gov/Archives/edgar/data/1014052/000121390019021294/0001213900-19-021294-index.htm,https://www.sec.gov/Archives/edgar/data/1014052/000121390020033960/0001213900-20-033960-index.htm,https://www.sec.gov/Archives/edgar/data/1014052/000121390021054631/0001213900-21-054631-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
