,https://roic.ai/company/AGR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,89800000,105300000,82900000,84600000,90000000,114100000,108786000,107554000,80210000,62987000,67653000,56132000,84806000,77205000,83314000,87604000,88863000,150929000,163294000,184625000,167141000,301000000,1009000000,123000000,768000000,819000000,568000000,664000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1367,0.1525,0.1142,0.1191,0.1312,0.1678,0.1544,0.0991,0.0709,0.0654,0.0614,0.0463,0.1002,0.0786,0.0878,0.0977,0.0891,0.0961,0.1099,0.1141,0.1024,0.0689,0.1677,0.0206,0.1186,0.1292,0.0899,0.0952
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,41700000,54900000,43800000,38800000,47800000,61900000,48029000,48191000,36263000,33450000,30735000,24776000,26188000,30512000,34724000,33204000,35284000,62501000,74866000,69308000,57562000,34000000,379000000,-259000000,170000000,143000000,29000000,21000000
23,Net Income,99600000,101600000,95200000,78600000,-73400000,54000000,48200000,56800000,40500000,46800000,50400000,39100000,45800000,42200000,52200000,60757000,59363000,43947000,23286000,86945000,31254000,-65164000,44697000,48148000,54317000,54857000,99710000,103701000,115317000,109579000,267000000,630000000,381000000,595000000,700000000,581000000,707000000
24,Net Income ratio,0.1934,0.2157,0.1913,0.1515,-0.1382,0.0910,0.0716,0.0851,0.0620,0.0713,0.0730,0.0539,0.0645,0.0615,0.0768,0.0862,0.0547,0.0389,0.0242,0.0789,0.0258,-0.0770,0.0455,0.0508,0.0606,0.0550,0.0635,0.0698,0.0712,0.0671,0.0611,0.1047,0.0639,0.0918,0.1104,0.0919,0.1014
25,EPS,3.49,3.58,3.59,2.91,-3.52,2.13,1.88,2.26,1.54,1.85,2.18,1.73,1.96,1.80,2.23,4.32,4.21,3.09,1.63,6.04,2.15,-2.66,1.79,1.92,1.94,1.53,1.96,2.04,2.20,1.93,1.05,2.04,1.23,1.92,2.26,1.88,2.28
26,EPS Diluted,3.49,3.58,3.59,2.91,-3.52,2.13,1.88,2.26,1.54,1.85,2.18,1.72,1.96,1.80,2.23,4.31,4.19,3.08,1.63,6.01,2.13,-2.66,1.77,1.89,1.93,1.52,1.95,2.02,2.18,1.92,1.05,2.04,1.23,1.92,2.26,1.88,2.28
27,Weighted Average Shares Outstanding,22709049,23059743,23149694,23127148,23168654,23098592,23195329,23226950,23476005,23462783,22481685,22453704,23241590,23333333,23405211,14073000,14097000,14239000,14291000,14390000,14547000,24441000,24986000,25114000,28027000,35722000,50609000,50831000,52415000,56834000,254588212,309512553,309500000,309500000,309500000,309500000,309500000
28,Weighted Average Shares Outstanding Diluted,22709049,23059743,23149694,23127148,23168654,23098592,23195329,23226950,23476005,23462783,22543618,22531940,23312883,23333333,23405211,14098000,14159000,14282000,14304000,14473000,14695000,24812000,25299000,25477000,28273000,36083000,50926000,51108000,52711000,57136000,254605111,309817322,309700000,309700000,309500000,309600000,309600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1634997/000156459016015808/0001564590-16-015808-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000156459017004016/0001564590-17-004016-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000156459018006767/0001564590-18-006767-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000163499719000009/0001634997-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000163499720000017/0001634997-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000163499721000024/0001634997-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1634997/000163499722000013/0001634997-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,5100000,6400000,32000000,101400000,39100000,47439000,86096000,66998000,28614000,40165000,28860000,63730000,13359000,7730000,15269000,90281000,30999000,17857000,69153000,115579000,427000000,91000000,41000000,36000000,178000000,1463000000,1474000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,5100000,6400000,32000000,101400000,39100000,47439000,86096000,66998000,28614000,40165000,28860000,63730000,13359000,7730000,15269000,90281000,30999000,17857000,69153000,115579000,427000000,91000000,41000000,36000000,178000000,1763000000,1474000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,88000000,78500000,102100000,85100000,91700000,109700000,226853000,199920000,190735000,167558000,205383000,232019000,133981000,140821000,179520000,138737000,325997000,335602000,316441000,346546000,343914000,1053000000,1147000000,1052000000,1148000000,1092000000,1199000000,1280000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,22300000,22200000,22000000,19100000,33600000,9300000,10938000,14528000,6203000,4458000,5421000,6533000,2204000,3250000,3871000,4553000,114835000,119886000,95477000,79917000,86428000,405000000,378000000,214000000,235000000,251000000,262000000,343000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,35600000,31500000,32900000,28800000,28700000,62000000,3076000,51423000,48223000,113707000,7109000,72386000,95515000,90474000,66124000,74833000,166308000,180741000,196934000,392388000,124175000,589000000,636000000,953000000,544000000,504000000,553000000,680000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,157300000,137300000,163400000,165000000,255400000,220100000,288306000,351967000,312159000,314337000,258078000,339798000,295430000,247904000,257245000,233392000,697421000,667228000,626709000,888004000,670096000,2474000000,2252000000,2260000000,1963000000,2025000000,3777000000,3777000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1379100000,1373100000,1348400000,1306000000,1264400000,653300000,550653000,525445000,517082000,548794000,563852000,592081000,647014000,878366000,1073588000,1153001000,2327450000,2570355000,2787354000,3068680000,3292690000,25745000000,27063000000,22669000000,23459000000,25218000000,26904000000,29014000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298890000,266797000,266205000,266205000,266205000,3115000000,3124000000,3127000000,3127000000,3119000000,3119000000,3119000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,556000000,538000000,328000000,323000000,314000000,305000000,293000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51508000,63456000,76093000,68554000,70496000,85004000,- -,- -,- -,- -,298890000,266797000,266205000,266205000,266205000,3671000000,3662000000,3455000000,3450000000,3433000000,3424000000,3412000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10307000,10659000,85717000,153653000,148730000,144589000,139972000,449000000,442000000,415000000,424000000,708000000,736000000,621000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,538600000,475200000,449100000,360700000,371500000,924800000,978087000,923063000,875477000,947389000,895182000,782172000,689049000,649564000,742046000,824708000,1045955000,1086576000,1131100000,776742000,742972000,-1596000000,-2110000000,2872000000,2865000000,3032000000,2982000000,2680000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1917700000,1848300000,1797500000,1666700000,1635900000,1578100000,1580248000,1511964000,1468652000,1564737000,1529530000,1459257000,1336063000,1527930000,1825941000,1988368000,3758012000,4077381000,4333389000,4256216000,4441839000,28269000000,29057000000,29411000000,30204000000,32391000000,34046000000,35727000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2075000000,1985600000,1960900000,1831700000,1891300000,1798200000,1868554000,1863931000,1780811000,1879074000,1787608000,1799055000,1631493000,1775834000,2083186000,2221760000,4455433000,4744609000,4960098000,5144220000,5111935000,30743000000,31309000000,31671000000,32167000000,34416000000,37823000000,39504000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,42800000,45400000,68100000,68700000,53400000,105300000,149146000,40716000,44007000,36729000,75278000,77224000,77976000,100529000,91891000,90470000,199816000,194641000,176861000,164416000,217700000,830000000,1096000000,1071000000,1132000000,1361000000,1503000000,1647000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,261300000,41100000,81200000,138100000,153400000,42100000,111104000,133215000,146788000,79976000,17748000,31588000,78286000,119286000,203286000,58256000,161114000,248712000,235296000,11834000,95526000,369000000,510000000,969000000,981000000,1311000000,636000000,549000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4792000,4718000,- -,21870000,18235000,23490000,20184000,162000000,148000000,127000000,59000000,56000000,73000000,43000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000,107000000,113000000,129000000,140000000,141000000,204000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,108300000,90500000,60600000,61900000,69300000,60900000,96270000,223815000,205981000,188368000,104598000,126382000,73589000,71142000,76961000,91306000,192004000,198515000,212899000,436573000,182332000,740000000,999000000,961000000,762000000,775000000,789000000,929000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,412400000,177000000,209900000,268700000,276100000,208300000,356520000,397746000,396776000,305073000,197624000,235194000,229851000,290957000,372138000,240032000,552934000,641868000,625056000,612823000,495558000,2035000000,2712000000,3114000000,3004000000,3587000000,3069000000,3329000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,708300000,845700000,759700000,644700000,664500000,518200000,522221000,511345000,395432000,495460000,491174000,486889000,408603000,479317000,549031000,673549000,1511768000,1548347000,1600354000,1723842000,1711349000,4530000000,4510000000,5196000000,5368000000,6716000000,10632000000,8071000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1553000000,1483000000,1446000000,1385000000,1274000000,1204000000,1130000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,447600000,425900000,354300000,300900000,337000000,279400000,267231000,235491000,239105000,346052000,357865000,352385000,326247000,313812000,298824000,273558000,354164000,388553000,456411000,540542000,585335000,3317000000,3541000000,1465000000,1530000000,1814000000,1919000000,2016000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,460445000,960425000,1071480000,1161384000,912858000,951372000,4242000000,3941000000,5354000000,5477000000,5439000000,5173000000,4997000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1155900000,1271600000,1114000000,945600000,1001500000,797600000,789452000,746836000,634537000,841512000,849039000,839274000,734850000,793129000,847855000,1407552000,2826357000,3008380000,3218149000,3177242000,3248056000,13642000000,13475000000,13461000000,13760000000,15243000000,18928000000,16214000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2345800000,2579700000,2370500000,2015200000,2116900000,1879200000,1822441000,1713026000,1536220000,1922739000,1890626000,1858557000,1675911000,1813715000,2084324000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14815000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000000,170000000,165000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1602300000,1485100000,1466400000,1338300000,1391500000,1289900000,1389509000,1363936000,1298459000,1386300000,1239211000,1254477000,1170912000,1311543000,1608607000,1647584000,3379291000,3650248000,3843205000,3790065000,3743614000,15677000000,16187000000,16575000000,16764000000,18830000000,21997000000,19543000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340000,340000,119000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,284100000,284500000,284600000,288700000,292000000,292000000,291342000,291788000,296501000,297321000,304347000,307398000,- -,- -,330994000,- -,- -,- -,936702000,1145950000,1149985000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,145600000,156900000,156800000,162200000,163800000,175500000,195700000,214459000,217377000,199502000,244956000,234244000,126674000,128081000,132696000,137309000,131456000,143792000,159900000,185058000,196907000,1449000000,1544000000,1475000000,1528000000,1681000000,1666000000,1714000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-493500000,-532000000,-585600000,-645000000,-714400000,-532400000,-466635000,-420743000,-33105000,-6292000,-7895000,-7371000,-4839000,-3860000,- -,-379951000,166000,-375000,-449000,535000,-277000,-52000000,-86000000,-46000000,-72000000,-95000000,-111000000,-273000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,536500000,591100000,638700000,687500000,758400000,573200000,458638000,414491000,1579000,2243000,6989000,10307000,624649000,650571000,10889000,816818000,1804147000,1879970000,20400000,22272000,21587000,13653000000,13648000000,13645000000,13645000000,13648000000,13651000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,472700000,500500000,494500000,493400000,499800000,508300000,479045000,499995000,482352000,492774000,548397000,544578000,460581000,464291000,474579000,574176000,1076142000,1094361000,1116893000,1354155000,1368321000,15053000000,15109000000,15077000000,15104000000,15237000000,15209000000,19076000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2075000000,1985600000,1960900000,1831700000,1891300000,1798200000,1868554000,1863931000,1780811000,1879074000,1787608000,1799055000,1631493000,1775834000,2083186000,2221760000,4455433000,4744609000,4960098000,5144220000,5111935000,30730000000,31296000000,31652000000,31868000000,34067000000,37206000000,38619000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,13000000,19000000,299000000,349000000,617000000,885000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2075000000,1985600000,1960900000,1831700000,1891300000,1798200000,1868554000,1863931000,1780811000,1879074000,1787608000,1799055000,1631493000,1775834000,2083186000,2221760000,4455433000,4744609000,4960098000,5144220000,5111935000,30743000000,31309000000,31671000000,32167000000,34416000000,37823000000,39504000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1634997/000156459016015808/0001564590-16-015808-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000156459017004016/0001564590-17-004016-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000156459018006767/0001564590-18-006767-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000163499719000009/0001634997-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000163499720000017/0001634997-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000163499721000024/0001634997-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1634997/000163499722000013/0001634997-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,46800000,50400000,39100000,45800000,42200000,52200000,60757000,59363000,43947000,23286000,86945000,31254000,-65164000,44697000,48148000,54317000,54857000,99710000,103701000,115317000,109579000,267000000,630000000,381000000,595000000,700000000,581000000,707000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82186000,99933000,115489000,170237000,183785000,192287000,153996000,796000000,853000000,871000000,919000000,998000000,974000000,942000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,27500000,-2300000,8000000,1100000,-52700000,10435000,-18053000,67692000,17715000,8985000,5842000,-3077000,-4250000,-7477000,-6541000,57038000,67865000,68121000,71095000,55959000,87000000,377000000,-251000000,151000000,138000000,17000000,11000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3771000,3570000,4080000,5286000,4907000,5283000,5691000,- -,1000000,1000000,2000000,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8500000,215400000,-6800000,-57200000,83000000,32500000,-80014000,22435000,-38838000,93881000,51190000,44150000,-39025000,-108632000,-71840000,108253000,151127000,-119127000,-23707000,273528000,-100643000,264462000,-899000000,-394000000,-187000000,-521000000,2270000000,-137000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5478000,4777000,-62370000,34654000,-51301000,-9711000,15089000,160000000,-158000000,-48000000,-97000000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,100000,200000,2900000,-14500000,-1200000,-457000,-2378000,1383000,-425000,-962000,-1113000,-606000,-1509000,-620000,-682000,23553000,-3436000,26748000,4850000,2394000,4000000,46000000,12000000,-14000000,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6379000,-3683000,25209000,4446000,-20221000,-12094000,49721000,-10000000,184000000,81000000,85000000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-255100000,-39700000,-46500000,-103700000,-20700000,11800000,-68214000,-45779000,-84617000,9264000,60454000,104604000,65579000,-43053000,-114893000,-6640000,144487000,25360000,1653000,275181000,174538000,439000000,-460000000,-854000000,-1041000000,-1562000000,708000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,89200000,-131800000,114800000,171800000,-16200000,66500000,110140000,93203000,59517000,-46747000,-44387000,-770000,154399000,172804000,87515000,-87425000,-174492000,-1109000,-2866000,-332302000,177600000,-53462000,599000000,1155000000,311000000,278000000,-2554000000,38000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,137000000,161500000,144800000,168400000,110100000,98500000,101318000,156948000,132318000,88135000,102733000,80476000,47133000,104619000,142303000,172107000,208099000,222862000,333941000,325208000,402182000,1361000000,1561000000,1763000000,1791000000,1593000000,1288000000,1561000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63000000,-59400000,-47200000,-33400000,-38000000,-34800000,-54191000,-47370000,-57305000,-52309000,-48952000,-54619000,-76774000,-248202000,-215728000,-123574000,-203530000,-328079000,-288633000,-305178000,-312153000,-1082000000,-1707000000,-2416000000,-1787000000,-2740000000,-2781000000,-2976000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49371000,-22995000,-13849000,- -,-19653000,- -,-18490000,- -,- -,- -,-856952000,11211000,- -,- -,- -,-550000000,6000000,- -,- -,-2000000,-3000000,5000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71100000,-34500000,- -,-88500000,- -,-1162000,-25000000,- -,- -,- -,- -,- -,- -,- -,-6000000,-4393000,-24059000,-1636000,-8437000,- -,-8000000,- -,-45000000,-176000000,-370000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,5400000,4778000,- -,85837000,- -,- -,- -,- -,- -,173000,985000,- -,- -,- -,- -,- -,59000000,57000000,2000000,141000000,108000000,238000000,222000000
