,https://roic.ai/company/TKAT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
58,Total Non-Current Liabilities,- -,- -,- -,- -,66550,45040,62618,- -,- -,48860,103379
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,215843,175746
61,Total Liabilities,289726,399638,544308,650000,9075720,18472320,30602710,34910710,14099780,25996350,18598103
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,11150,11233,22902,20000,9330,11120,11170,11190,11230,11260,11271
64,Retained Earnings,-309647,-435635,-790722,-1110000,1365870,6801980,13172670,12111100,4479130,386330,-226311
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-207,-1418,-1083569,-320290,-302702,-273029,-328030
66,Other Total Stockholders Equity,68502,84999,- -,472321,673550,4465213,5532426,6116211,6281789,6320596,6358115
67,Total Stockholders Equity,-229995,-339403,-442759,-617679,2048543,11276895,17632697,17918211,10469447,6445157,5815045
68,Total Liabilities And Stockholders Equity,59731,60235,101549,32321,11124263,29749215,48235407,52828921,24569227,32441507,24413148
69,Minority Interest,- -,- -,- -,-2321,7,-5,-7,-1,3,-7,-840863
70,Total Liabilities & Equity,59731,60235,101549,30000,11124270,29749210,48235400,52828920,24569230,32441500,23572285
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1491487/000149148714000005/0001491487-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420415019901/0001144204-15-019901-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420416083057/0001144204-16-083057-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420417018201/0001144204-17-018201-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420418018555/0001144204-18-018555-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420419019759/0001144204-19-019759-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000110465920058897/0001104659-20-058897-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000110465921044731/0001104659-21-044731-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-131473,-125988,-335584,-310000,1369540,5436110,6370690,-1061580,-7631960,-4092810,-612638
74,Depreciation and Amortization,- -,- -,1124,2068,216479,336222,523698,742272,895267,597654,459515
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-110276,-320308,71459,-89206
76,Stock Based Compensation,2000,8580,71172,40350,- -,314243,812759,751157,200111,38843,37527
77,Change in Working Capital,120284,-159789,96104,-190000,1686790,8908310,4971950,-281160,-6408440,-4069010,438621
78,Accounts Receivable,- -,- -,- -,- -,-232140,106948,-2874031,-1309289,1799370,568757,-154771
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,26350,-8618,-2316,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-229995,-389784,- -,-630000,1056790,9965100,14937050,14655890,8247450,4178440,4617061
82,Other Non-Cash Items,- -,315210,- -,312009,-681148,-9575192,-8054754,-2355410,-9770635,17295704,-8076619
83,Cash Provided by Operating Activities,-9189,38013,-167184,-145573,2591661,5419693,4624343,-2314997,-23035965,9841840,-7842800
84,CAPEX,- -,- -,-4495,-5963,-497942,-512144,-1412302,-814455,-579948,-75246,-20218
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-23332853,-76810709,-89877440,-22975927,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,23332853,76810709,89877440,22975927,- -
88,Other Investing Activites,- -,-50381,45886,-2363,-20543,- -,-6374046,-758504,-1266377,299854,-434518
89,Cash Used for Investing Activites,- -,-50381,45886,-5963,-497942,-512144,-7786348,-1572959,-1846325,224608,-454736
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-5441296,-2499500,- -
91,Common Stock Issued,27650,8000,164760,115380,- -,1580000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,28062,-45233,2502,-14914,- -,1930853,7340318,1000000,6369589,1799974,- -
95,Cash Used/Provided by Financing Activities,55712,-37233,167262,100466,- -,3510853,7340318,1000000,928293,-699526,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,1933,-4785,-1552432,1359584,-662499,-61854,311127
97,Net Change In Cash,46523,-49601,45964,-51070,2095652,8413617,2625881,-1528372,-24616496,9305068,-7986409
98,Cash at the End of Period,57831,8230,54194,3124,2355839,10769456,13395337,11866965,12524086,21829154,13842745
99,Cash at the Beginning of Period,11308,57831,8230,54194,260187,2355839,10769456,13395337,37140582,12524086,21829154
100,Free Cash Flow,-9189,38013,-171679,-151536,2093719,5419693,3212041,-3129452,-23615913,9766594,-7863018
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1491487/000149148714000005/0001491487-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420415019901/0001144204-15-019901-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420416083057/0001144204-16-083057-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420417018201/0001144204-17-018201-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420418018555/0001144204-18-018555-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420419019759/0001144204-19-019759-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000110465920058897/0001104659-20-058897-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000110465921044731/0001104659-21-044731-index.htm
102,false,,,,,,,,,,,
