,https://roic.ai/company/VVV,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,- -,293500000,298600000,400000000,478000000,411000000,423000000,444000000,569000000
54,Long-Term Debt,- -,- -,- -,724000000,1034000000,1292000000,1327000000,1962000000,1951000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,26000000
56,Deferred Tax Liabilities,- -,18200000,23800000,2000000,- -,- -,- -,- -,26000000
57,Other Non-Current Liabilities,- -,46000000,38400000,1029000000,520000000,509000000,572000000,721000000,484000000
58,Total Non-Current Liabilities,- -,64200000,62200000,1755000000,1554000000,1801000000,1899000000,2683000000,2487000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,4400000,4200000,6000000,25000000,- -,- -,231000000,274000000
61,Total Liabilities,- -,357700000,360800000,2155000000,2032000000,2212000000,2322000000,3127000000,3056000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2000000,2000000,2000000,2000000,2000000,- -
64,Retained Earnings,- -,- -,- -,- -,-167000000,-399000000,-284000000,-110000000,- -
65,Other Comprehensive Income/Loss,- -,-26600000,-60600000,-3000000,43000000,32000000,11000000,8000000,8000000
66,Other Total Stockholders Equity,- -,1115400000,991400000,-329000000,5000000,7000000,13000000,24000000,- -
67,Total Stockholders Equity,- -,724800000,617100000,-330000000,-117000000,-358000000,-258000000,-76000000,135000000
68,Total Liabilities And Stockholders Equity,- -,1082500000,977900000,1825000000,1915000000,1854000000,2064000000,3051000000,3191000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1082500000,977900000,1825000000,1915000000,1854000000,2064000000,3051000000,3191000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1674910/000167491017000042/0001674910-17-000042-index.html,https://www.sec.gov/Archives/edgar/data/1674910/000167491018000131/0001674910-18-000131-index.html,https://www.sec.gov/Archives/edgar/data/1674910/000167491019000209/0001674910-19-000209-index.html,https://www.sec.gov/Archives/edgar/data/1674910/000167491020000221/0001674910-20-000221-index.htm,https://www.sec.gov/Archives/edgar/data/1674910/000167491021000136/0001674910-21-000136-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,246100000,173000000,196100000,273000000,304000000,166000000,208000000,317000000,420000000
74,Depreciation and Amortization,35700000,37000000,38000000,38000000,42000000,54000000,61000000,66000000,92000000
75,Deferred Income Tax,37700000,-16000000,-9100000,13000000,117000000,145000000,23000000,92000000,48000000
76,Stock Based Compensation,- -,- -,- -,- -,9000000,12000000,9000000,12000000,14000000
77,Change in Working Capital,-39000000,-72500000,151300000,-18000000,2000000,60000000,620000000,-526000000,-8000000
78,Accounts Receivable,-1300000,-31000000,53400000,-17000000,-22000000,-38000000,-30000000,- -,- -
79,Inventory,-18900000,8000000,-6400000,-4000000,-35000000,-4000000,-10000000,-1000000,- -
80,Accounts Payable,12000000,-8000000,-7300000,-49000000,- -,- -,- -,- -,- -
81,Other Working Capital,251200000,178700000,330000000,312000000,314000000,374000000,994000000,468000000,460000000
82,Other Non-Cash Items,-7600000,48500000,-46500000,5000000,-604000000,-117000000,-596000000,411000000,-162000000
83,Cash Provided by Operating Activities,272900000,170000000,329800000,311000000,-130000000,320000000,325000000,372000000,404000000
84,CAPEX,-40900000,-37000000,-45000000,-66000000,-68000000,-93000000,-108000000,-151000000,-144000000
85,Acquisitions Net,-200000,-2000000,18100000,-83000000,-68000000,-125000000,-78000000,-40000000,-282000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,500000,1000000,900000,1000000,1000000,5000000,-2000000,-31000000,26000000
89,Cash Used for Investing Activites,-40600000,-38000000,-26000000,-148000000,-135000000,-213000000,-188000000,-222000000,-400000000
90,Debt Repayment,- -,- -,- -,-637000000,-90000000,-108000000,-734000000,-929000000,-829000000
91,Common Stock Issued,- -,- -,- -,719000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-50000000,-325000000,- -,-60000000,-127000000
93,Dividends Paid,- -,- -,- -,- -,-40000000,-58000000,-80000000,-84000000,-91000000
94,Other Financing Activites,-232300000,-132000000,-303800000,-72000000,475000000,282000000,743000000,1523000000,511000000
95,Cash Used/Provided by Financing Activities,-232300000,-132000000,-303800000,10000000,295000000,-209000000,-71000000,450000000,-536000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-1000000,-1000000,-3000000,-3000000,2000000,2000000
97,Net Change In Cash,- -,- -,- -,- -,29000000,-105000000,63000000,602000000,-530000000
98,Cash at the End of Period,- -,- -,- -,172000000,201000000,96000000,159000000,761000000,231000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,172000000,201000000,96000000,159000000,761000000
100,Free Cash Flow,232000000,133000000,284800000,245000000,-198000000,227000000,217000000,221000000,260000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1674910/000167491017000042/0001674910-17-000042-index.html,https://www.sec.gov/Archives/edgar/data/1674910/000167491018000131/0001674910-18-000131-index.html,https://www.sec.gov/Archives/edgar/data/1674910/000167491019000209/0001674910-19-000209-index.html,https://www.sec.gov/Archives/edgar/data/1674910/000167491020000221/0001674910-20-000221-index.htm,https://www.sec.gov/Archives/edgar/data/1674910/000167491021000136/0001674910-21-000136-index.htm
102,false,,,,,,,,,
