,https://roic.ai/company/MELI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,- -,- -,20099022,29119878,104974170,60301224,82135016,101635208,200245555,275361175,326164235,532750218,557463000,869461000,1286919000,1511123000,3788856000,5346807000,8174979000
38,PP&E,- -,- -,- -,2343623,2931470,4143204,5940160,5948276,20817712,30877719,37726222,131371909,91544836,81633000,124261000,114837000,165614000,444706000,694898000,1268542000
39,Goodwill,- -,- -,- -,19657797,20572792,23000467,65652774,59822746,60496314,62093948,60366063,55101218,68828504,86545000,91797000,92279000,88883000,87609000,85211000,148243000
40,Intangible Assets,- -,- -,- -,906382,769523,428179,7258772,4515818,4141167,6494857,7279865,6591585,23171349,28991000,26277000,23174000,18581000,14275000,14155000,44974000
41,Intangible Assets,- -,- -,- -,20564179,21342315,23428646,72911546,64338564,64637481,68588805,67645928,61692803,91999853,115536000,118074000,115453000,107464000,101884000,99366000,193217000
42,Investments,- -,- -,- -,- -,- -,- -,9218153,26627357,78846281,43933316,85955584,45719737,205265042,187621000,153803000,34720000,276136000,263983000,166111000,75539000
43,Tax Assets,- -,- -,- -,1384650,390820,269596,14270,2897492,2975118,6491646,5862247,3014905,21553696,17398000,45017000,57324000,141438000,117582000,134916000,181266000
44,Other Non-Current Assets,- -,- -,- -,28299,28089,1677184,8353396,667944,771223,5794395,6118120,24399184,23734090,43955000,56819000,63934000,37744000,64680000,84234000,207615000
45,Total Non-Current Assets,- -,- -,- -,24320751,24692694,29518630,96437525,100479633,168047815,155685881,203308101,266198538,434097517,446143000,497974000,386268000,728396000,992835000,1179525000,1926179000
46,Other Assets,27300000,24100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,27300000,24100000,- -,44419773,53812572,134492800,156738749,182614649,269683023,355931436,478669276,592362773,966847735,1003606000,1367435000,1673187000,2239519000,4781691000,6526332000,10101158000
48,Accounts Payable,- -,- -,- -,2661208,5708682,4022469,7980983,7230325,11527279,12154539,14821511,26658109,50812453,54649000,95145000,199498000,243307000,331140000,728056000,987513000
49,Short-Term Debt,- -,- -,- -,131085,97527,9713227,14963421,3213992,100031,146194,84570,13370823,1641646,1965000,11583000,56325000,132949000,209397000,603639000,795261000
50,Tax Payable,- -,- -,- -,- -,- -,- -,4989704,6797516,11487574,11633178,19210568,17854110,26012849,10092000,27338000,32150000,31058000,60247000,215918000,291456000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20465000,107256000,86614000,67293000
52,Other Current Liabilities,- -,- -,- -,8106546,13854710,28015810,33365481,50048575,76767157,106002792,154625191,184136677,240168054,268412000,469873000,712209000,769503000,1104527000,2217571000,3986635000
53,Total Current Liabilities,- -,- -,- -,10898839,19660919,41751506,56309885,60492892,88394467,118303525,169531272,224165609,292622153,325026000,576601000,968032000,1166224000,1752320000,3635880000,5836702000
54,Long-Term Debt,- -,- -,- -,12000000,9000000,- -,3389915,1355006,2751189,3980399,59493,2489819,282184331,294342000,301940000,312089000,602228000,808026000,1104477000,2602227000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11469000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,2556120,5170799,5167699,8670606,8975290,5339359,18745855,24498000,34059000,23819000,91698000,99952000,64354000,62496000
57,Other Non-Current Liabilities,- -,- -,- -,63927754,65879860,1068155,1058848,1402715,1651398,1797890,10289595,16884378,17506986,20282000,25981000,43468000,42669000,39430000,70043000,56573000
58,Total Non-Current Liabilities,- -,- -,- -,75927754,74879860,1068155,7004883,7928520,9570286,14448895,19324378,24713556,318437172,339122000,361980000,379376000,736595000,947408000,1238874000,2732765000
59,Other Liabilities,64100000,65000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144063,21962,1276,3865000,1005000,- -,7125000,209308000,322502000,510298000
61,Total Liabilities,64100000,65000000,- -,86826593,94540779,42819661,63314768,68421412,97964753,132752420,188855650,248879165,611059325,664148000,938581000,1347408000,1902819000,2699728000,4874754000,8569467000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98843000,- -,- -
63,Common Stock,100000,- -,- -,130959,131670,44227,44071,44120,44131,44142,44151,44153,44154,44000,44000,44000,45000,50000,50000,50000
64,Retained Earnings,- -,- -,- -,-45126900,-44054817,-34363917,-15552256,17656537,73681556,135726188,218083844,310345448,353173098,440770000,550641000,537925000,503432000,322592000,314115000,397419000
65,Other Comprehensive Income/Loss,- -,- -,- -,-560542,500536,4102691,-10874841,-23765418,-22399039,-37043346,-48783128,-87455970,-135073831,-239279000,-259813000,-282851000,-391577000,-406671000,-468284000,-515141000
66,Other Total Stockholders Equity,-36900000,- -,- -,3149663,2694404,121890138,119807007,120257998,120391622,120452032,120468759,120549977,137644989,137923000,137982000,70661000,224800000,2067149000,1805697000,- -
67,Total Stockholders Equity,-36800000,-40900000,- -,-42406820,-40728207,91673139,93423981,114193237,171718270,219179016,289813626,343483608,355788410,339458000,428854000,325779000,336700000,2081963000,1651578000,1531691000
68,Total Liabilities And Stockholders Equity,27300000,24100000,- -,44419773,53812572,134492800,156738749,182614649,269683023,351931436,478669276,592362773,966847735,1003606000,1367435000,1673187000,2239519000,4781691000,6526332000,10101158000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,27300000,24100000,- -,44419773,53812572,134492800,156738749,182614649,269683023,355931436,478669276,592362773,966847735,1003606000,1367435000,1673187000,2239519000,4781691000,6526332000,10101158000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1099590/000119312508070409/0001193125-08-070409-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000136231009002931/0001362310-09-002931-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000095012310018199/0000950123-10-018199-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000095012311018724/0000950123-11-018724-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000119312512085292/0001193125-12-085292-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000119312513081326/0001193125-13-081326-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000119312514078151/0001193125-14-078151-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000119312515069727/0001193125-15-069727-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276216000352/0001562762-16-000352-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276217000024/0001562762-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276218000040/0001562762-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276219000047/0001562762-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276220000055/0001562762-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276221000079/0001562762-21-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276222000049/0001562762-22-000049-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2500000,-3200000,- -,2354136,1072083,9692940,18811661,33208793,56025019,76780053,101247298,117507438,72580551,105789000,136366000,13780000,-36585000,-171999000,-707000,83304000
74,Depreciation and Amortization,600000,800000,- -,1572497,2016939,2307649,3335673,3893752,4921650,7268075,8959293,11878565,16946897,23209000,29022000,40921000,45792000,73320000,104992000,203942000
75,Deferred Income Tax,- -,- -,- -,-2003829,-1291549,-198368,446287,-3607292,-7053030,1022797,-492362,-7847513,-20236973,4354000,-6188000,-24575000,-92585000,16453000,-70315000,-29481000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,949582,76134,37940,- -,4442822,11645077,11851615,10213000,22983000,35719000,27525000,52057000,130305000,89453000
77,Change in Working Capital,- -,- -,- -,1659888,3192468,-7042798,39705425,13991572,10990682,3436733,28174224,1299828,43748149,32687000,-18370000,72893000,265299000,354924000,772828000,-312000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,4026218,-2974890,-7063942,-9274653,-8651951,-22764177,-36119868,-36476000,-15428000,-21817000,-27105000,-507000,12069000,-26331000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-237000,-787000,-1549000,-3015000,-4148000,-106981000,-142382000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18061683,26037488,68780586,63668000,47980000,150215000,90123000,143495000,584281000,688845000
81,Other Working Capital,- -,- -,- -,-33456,227111,-278110,-1277664,-2911041,-3796601,-6042140,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,1900000,2400000,- -,-144088,1168413,2003160,-8701487,2138027,2974192,917973,-2439886,8029966,71903045,45118000,26446000,130272000,21461000,126336000,245449000,618137000
83,Cash Provided by Operating Activities,- -,- -,- -,3438604,6158354,6762583,54547141,49700986,67896453,89425631,139891389,142513361,196793284,221370000,190259000,269010000,230907000,451091000,1182552000,965043000
84,CAPEX,- -,-900000,- -,-2004603,-2443920,-3087561,-4963229,-4753849,-13630493,-19204867,-18138400,-114214370,-35282905,-64276000,-77370000,-74884000,-97754000,-136870000,-247141000,-609496000
85,Acquisitions Net,- -,- -,- -,-12141243,- -,- -,-39181473,- -,- -,-5468180,- -,-3423439,-40814136,-45009000,-7284000,-35798000,-4195000,- -,-6937000,-55728000
86,Purchases of Investments,- -,- -,- -,- -,-4944956,-75267070,-110056368,-80060909,-121266157,-379044395,-539355434,-1135940553,-2577130038,-1949769000,-3501283000,-4553649000,-3176078000,-4490678000,-5204011000,-7390489000
87,Sales/Maturities of Investments,- -,- -,- -,1106712,2184822,29765780,116574567,81728485,76062629,336835026,472871652,1174789615,2330835825,1875516000,3508293000,4713934000,2662800000,3353606000,5550242000,7806890000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-58238,-955679,-416450,-280706,-1390654,-458804,-856948,-1746000,-7030000,-72277000,-57424000,-173920000,-344427000,-1384277000
89,Cash Used for Investing Activites,- -,- -,- -,-13039134,-5204054,-48588851,-37626503,-3086273,-58834021,-66882416,-84622182,-78788747,-322391254,-183538000,-84243000,-22641000,-672459000,-1447790000,-252181000,-1596533000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-9137223,-15310634,-3000000,- -,- -,-15936551,-7704636,-9059000,-6684000,-5004000,-472268000,-474851000,-1790221000,-8663212000
91,Common Stock Issued,- -,- -,- -,9003,7107,50361806,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1867215000,- -,1519545000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2598223,- -,- -,- -,- -,-1012225,-1944307,-2714000,- -,- -,- -,-720000,-54085000,-485886000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10593206,-17968004,-23754005,-28302507,-20974000,-24419000,-26496000,-6624000,-2844000,-3356000,- -
94,Other Financing Activites,- -,- -,- -,12002335,-3002058,-116896,83089,28354,18199,11175,5700,31456633,302248375,5033000,11435000,-19403000,1087774000,632212000,2089928000,9554536000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,12011338,-2994951,50244910,-11652357,-15282280,-2981801,-10582031,-17962304,-9246148,264296925,-27714000,-19668000,-50903000,608882000,2021012000,242266000,1924983000
96,Effect of Forex Changes on Cash,- -,- -,- -,-455328,203840,115738,-3471576,996857,946433,-1409973,-3199578,-15682364,-55839833,-66381000,-19089000,-41346000,-90895000,-37584000,-115837000,-153754000
97,Net Change In Cash,- -,- -,- -,1955480,-1836811,8534380,1796705,32329290,7027064,10551211,34107325,38796102,82859122,-56263000,67259000,154120000,76435000,986729000,1056800000,1139739000
98,Cash at the End of Period,- -,- -,- -,8979838,7143027,15677407,17474112,49803402,56830466,67381677,101489002,140285104,223144226,166881000,234140000,388260000,464695000,1451424000,2508224000,3647963000
99,Cash at the Beginning of Period,- -,- -,- -,7024358,8979838,7143027,15677407,17474112,49803402,56830466,67381677,101489002,140285104,223144000,166881000,234140000,388260000,464695000,1451424000,2508224000
100,Free Cash Flow,- -,- -,- -,1434001,3714434,3675022,49583912,44947137,54265960,70220764,121752989,28298991,161510379,157094000,112889000,194126000,133153000,314221000,935411000,355547000
101,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1099590/000119312508070409/0001193125-08-070409-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000136231009002931/0001362310-09-002931-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000095012310018199/0000950123-10-018199-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000095012311018724/0000950123-11-018724-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000119312512085292/0001193125-12-085292-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000119312513081326/0001193125-13-081326-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000119312514078151/0001193125-14-078151-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000119312515069727/0001193125-15-069727-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276216000352/0001562762-16-000352-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276217000024/0001562762-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276218000040/0001562762-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276219000047/0001562762-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276220000055/0001562762-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276221000079/0001562762-21-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276222000049/0001562762-22-000049-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
