,https://roic.ai/company/EEX,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-7636000,19600000,22167000,81800000,-25100000,-50000000,-633600000,-78100000
24,Net Income ratio,-0.0279,0.0640,0.0685,0.2394,-0.0659,-0.1385,-4.9733,-0.5368
25,EPS,-0.11,0.27,0.52,1.19,-0.34,-0.70,-9.07,-1.10
26,EPS Diluted,-0.11,0.27,0.51,1.13,-0.34,-0.70,-9.07,-1.10
27,Weighted Average Shares Outstanding,72192726,72192726,72192726,68912000,72887000,71719000,71431000,71033000
28,Weighted Average Shares Outstanding Diluted,73627502,73627502,73627502,72116000,72887000,71719000,71431000,71033000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579214/000156459018002916/0001564590-18-002916-index.html,https://www.sec.gov/Archives/edgar/data/1579214/000156459019003200/0001564590-19-003200-index.html,https://www.sec.gov/Archives/edgar/data/1579214/000156459020004669/0001564590-20-004669-index.html,https://www.sec.gov/Archives/edgar/data/1579214/000156459021007275/0001564590-21-007275-index.htm,https://www.sec.gov/Archives/edgar/data/1579214/000156459022006683/0001564590-22-006683-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,16261000,14942000,10900000,20500000,9600000,295300000,231200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,16261000,14942000,10900000,20500000,9600000,295300000,231200000
34,Net Receivables,- -,47702000,57576000,62700000,62700000,60100000,48500000,46400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,20633000,23044000,19900000,19800000,24000000,8500000,12500000
37,Total Current Assets,- -,84596000,95562000,93500000,103000000,93700000,352300000,290100000
38,PP&E,- -,2116000,3778000,3800000,3700000,22500000,19900000,18800000
39,Goodwill,- -,890256000,930321000,993700000,1036500000,980300000,404300000,514200000
40,Intangible Assets,- -,559427000,541172000,545000000,435300000,373800000,275000000,236700000
41,Intangible Assets,- -,1449683000,1471493000,1538700000,1471800000,1354100000,679300000,750900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1700000,1686000,1900000,1500000,1400000,2900000,2600000
45,Total Non-Current Assets,- -,1453499000,1476957000,1544400000,1477000000,1378000000,702100000,772300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1538095000,1572519000,1637900000,1580000000,1471700000,1054400000,1062400000
48,Accounts Payable,- -,1949000,3812000,5300000,3400000,5700000,3800000,51800000
49,Short-Term Debt,- -,6300000,8744000,5700000,45700000,19800000,10000000,10400000
50,Tax Payable,- -,- -,- -,- -,1000000,- -,- -,- -
51,Deferred Revenue,- -,150046000,171644000,192600000,192400000,187300000,48600000,118100000
52,Other Current Liabilities,- -,19968000,24422000,19700000,27100000,16500000,53200000,9800000
53,Total Current Liabilities,- -,178263000,208622000,223300000,268600000,229300000,115600000,190100000
54,Long-Term Debt,- -,725298000,693322000,548500000,524200000,519700000,515300000,524200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,129642000,140049000,100200000,75400000,60000000,1900000,1500000
57,Other Non-Current Liabilities,- -,2360000,2758000,4700000,3500000,22500000,27100000,466000000
58,Total Non-Current Liabilities,- -,857300000,836129000,653400000,603100000,602200000,544300000,991700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,19800000,17700000,18000000
61,Total Liabilities,- -,1035563000,1044751000,876700000,871700000,831500000,659900000,1181800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,700000,- -
63,Common Stock,- -,618000,619000,700000,700000,700000,700000,700000
64,Retained Earnings,- -,-5352000,16815000,83400000,17900000,-61600000,-695200000,-773300000
65,Other Comprehensive Income/Loss,- -,-2148000,-2794000,-3600000,-4100000,-4600000,- -,- -
66,Other Total Stockholders Equity,- -,509414000,513128000,680700000,693800000,705700000,1088300000,- -
67,Total Stockholders Equity,- -,502532000,527768000,761200000,708300000,640200000,394500000,-119400000
68,Total Liabilities And Stockholders Equity,- -,1538095000,1572519000,1637900000,1580000000,1471700000,1054400000,1062400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1538095000,1572519000,1637900000,1580000000,1471700000,1054400000,1062400000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1579214/000156459018002916/0001564590-18-002916-index.html,https://www.sec.gov/Archives/edgar/data/1579214/000156459019003200/0001564590-19-003200-index.html,https://www.sec.gov/Archives/edgar/data/1579214/000156459020004669/0001564590-20-004669-index.html,https://www.sec.gov/Archives/edgar/data/1579214/000156459021007275/0001564590-21-007275-index.htm,https://www.sec.gov/Archives/edgar/data/1579214/000156459022006683/0001564590-22-006683-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-7636000,19600000,22167000,81800000,-25100000,-50000000,-633600000,-78100000
74,Depreciation and Amortization,37546000,39100000,40047000,43200000,46800000,52000000,48600000,47000000
75,Deferred Income Tax,11690000,7900000,10407000,-39900000,-24800000,-15400000,-58100000,- -
76,Stock Based Compensation,6355000,5100000,3049000,2600000,6100000,7700000,6700000,10000000
77,Change in Working Capital,16832000,-118436000,-19393000,-16740000,-35800000,30000000,372300000,-136700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,30600000,-15000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1260000,-2200000,2352000,3300000,3400000,-7100000,5700000,19000000
81,Other Working Capital,24769000,-93667000,-113060000,-129800000,-165600000,-135600000,236700000,100000000
82,Other Non-Cash Items,7865000,134536000,36699000,39840000,136700000,43500000,227000000,247800000
83,Cash Provided by Operating Activities,72652000,87800000,92976000,110800000,103900000,67800000,-37100000,90000000
84,CAPEX,-3897000,-2800000,-3426000,-3000000,-3500000,-3900000,-4000000,-1000000
85,Acquisitions Net,-331833000,-84200000,-48448000,-92500000,-71200000,-12800000,-33300000,-125000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2443000,-1800000,-987000,-2100000,-2700000,-2300000,-3100000,-5000000
89,Cash Used for Investing Activites,-335730000,-87000000,-51874000,-95500000,-74700000,-16700000,-37300000,-131000000
90,Debt Repayment,-51300000,-38300000,-244911000,-207200000,-35700000,-51700000,-110700000,- -
91,Common Stock Issued,141356000,- -,101000,170800000,- -,- -,4000000,- -
92,Common Stock Repurchased,- -,- -,-81000,- -,-19400000,-8300000,-900000,-12000000
93,Dividends Paid,- -,- -,- -,-15200000,-21000000,-21300000,-5400000,- -
94,Other Financing Activites,192432000,12000000,202470000,32300000,56500000,19300000,473100000,-10000000
95,Cash Used/Provided by Financing Activities,282488000,-26300000,-42421000,-19300000,-19600000,-62000000,360100000,-22000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,19410000,-25500000,-1319000,-4000000,9600000,-10900000,285700000,-64000000
98,Cash at the End of Period,41805000,16300000,14942000,10900000,20500000,9600000,295300000,- -
99,Cash at the Beginning of Period,22395000,41800000,16261000,14900000,10900000,20500000,9600000,- -
100,Free Cash Flow,68755000,85000000,89550000,107800000,100400000,63900000,-41100000,89000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579214/000156459018002916/0001564590-18-002916-index.html,https://www.sec.gov/Archives/edgar/data/1579214/000156459019003200/0001564590-19-003200-index.html,https://www.sec.gov/Archives/edgar/data/1579214/000156459020004669/0001564590-20-004669-index.html,https://www.sec.gov/Archives/edgar/data/1579214/000156459021007275/0001564590-21-007275-index.htm,https://www.sec.gov/Archives/edgar/data/1579214/000156459022006683/0001564590-22-006683-index.htm
102,false,,,,,,,,
