,https://roic.ai/company/POST,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,- -,- -,- -,- -,74200000,134300000,126400000,146000000,519900000,611000000,634000000,704400000,792100000,802900000,974400000,1049200000
54,Long-Term Debt,- -,- -,717000000,- -,716500000,716500000,930300000,1408600000,3830500000,4511400000,4551200000,7149100000,7232100000,7066000000,6959000000,7036600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,404900000,332800000,314900000,304300000,915100000,831800000,726500000,905800000,778400000,688500000,784500000,863900000
57,Other Non-Current Liabilities,9000000,10000000,- -,- -,90700000,104900000,129200000,116300000,182400000,290200000,440300000,327800000,1194400000,456900000,599800000,710800000
58,Total Non-Current Liabilities,- -,- -,717000000,- -,1212100000,1154200000,1374400000,1829200000,4928000000,5633400000,5718000000,8382700000,9204900000,8211400000,8343300000,8611300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126600000,139600000
61,Total Liabilities,- -,- -,- -,- -,1286300000,1288500000,1500800000,1975200000,5447900000,6244400000,6352000000,9087100000,9997000000,9014300000,9317700000,9660500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,300000,300000,500000,600000,700000,700000,800000,800000,800000,900000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,36600000,47600000,-305700000,-421000000,-424300000,-376000000,88000000,207800000,208600000,347300000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,1000000,-4000000,-25000000,-13000000,-28000000,-89000000,-60000000,-40000000,-39000000,-97000000,-29000000,42900000
66,Other Total Stockholders Equity,626000000,637000000,1811000000,- -,2060700000,1501700000,1219600000,1463700000,2616300000,3485300000,3492200000,3195300000,3000600000,2814300000,2674100000,2351300000
67,Total Stockholders Equity,626000000,637000000,1811000000,- -,2061700000,1497700000,1231500000,1498600000,2283200000,2976000000,3008600000,2780000000,3050400000,2925900000,2854500000,2742400000
68,Total Liabilities And Stockholders Equity,626000000,637000000,1811000000,- -,3348000000,2786200000,2732300000,3473800000,7731100000,9220400000,9360600000,11867100000,13047400000,11940200000,12172200000,12402900000
69,Minority Interest,288000000,282000000,1694000000,- -,- -,- -,- -,- -,- -,- -,- -,9700000,10100000,11400000,-25500000,11800000
70,Total Liabilities & Equity,914000000,919000000,3505000000,- -,3348000000,2786200000,2732300000,3473800000,7731100000,9220400000,9360600000,11876800000,13057500000,11951600000,12146700000,12414700000
71,SEC Link,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1530950/000153095012000254/0001530950-12-000254-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095013000190/0001530950-13-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095014000330/0001530950-14-000330-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095015000278/0001530950-15-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095016000508/0001530950-16-000508-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095017000231/0001530950-17-000231-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095018000238/0001530950-18-000238-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095019000262/0001530950-19-000262-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095020000326/0001530950-20-000326-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095021000383/0001530950-21-000383-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,121800000,116700000,85700000,101100000,92000000,-361300000,49900000,15200000,-343200000,-115300000,-3300000,48300000,467300000,124700000,800000,166700000
74,Depreciation and Amortization,34900000,35200000,30100000,50600000,55400000,58700000,63200000,76800000,155800000,272800000,302800000,323100000,398400000,379600000,370300000,420200000
75,Deferred Income Tax,- -,- -,- -,-16100000,-11100000,-69000000,-2600000,-29100000,-87500000,-120100000,-74600000,17400000,-256500000,-80300000,-43600000,59200000
76,Stock Based Compensation,- -,- -,- -,- -,1900000,1700000,4500000,10500000,14500000,22700000,17200000,23600000,30900000,38900000,49700000,55800000
77,Change in Working Capital,- -,- -,- -,- -,72800000,-71800000,82300000,438800000,177000000,471600000,272200000,468600000,-503300000,-84800000,-10000000,-116100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-4600000,-9700000,-50300000,89500000,-4000000,-52100000,-6000000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,14400000,3700000,-11700000,-10800000,30700000,30500000,-37200000,-2500000,3600000,-97900000,-4600000,54500000
80,Accounts Payable,- -,- -,- -,- -,-43100000,-7600000,49900000,20600000,83800000,47600000,18800000,-109000000,29400000,4400000,-26800000,-9100000
81,Other Working Capital,- -,- -,- -,- -,72800000,1000000,83300000,522100000,699100000,1170700000,1442900000,1911500000,1408200000,1323400000,1313400000,- -
82,Other Non-Cash Items,-17900000,-10600000,-115800000,85500000,-75400000,585500000,-53300000,-393000000,266500000,-80100000,-11900000,-494300000,582500000,309900000,258400000,2400000
83,Cash Provided by Operating Activities,138800000,141300000,- -,221100000,135600000,143800000,144000000,119200000,183100000,451600000,502400000,386700000,719300000,688000000,625600000,588200000
84,CAPEX,- -,- -,- -,-36700000,-24300000,-14900000,-30900000,-32800000,-115500000,-107900000,-121500000,-190400000,-225000000,-273900000,-234600000,-192500000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-353000000,-3639000000,-1235000000,-87000000,-1915000000,-1454000000,267000000,- -,-295300000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22100000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31700000,52700000,34200000
88,Other Investing Activites,-32500000,-19600000,- -,- -,- -,- -,- -,-38000000,-39100000,94200000,12400000,14600000,2100000,1900000,-271200000,-317900000
89,Cash Used for Investing Activites,-32500000,-19600000,- -,-36700000,-24300000,-14900000,-30900000,-423800000,-3793600000,-1248700000,-196100000,-2090800000,-1676900000,26700000,-218500000,-793600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-4400000,-170600000,-6900000,-1225100000,-1632200000,-2088400000,-912100000,-919100000,-4349100000,-1812100000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,831500000,732700000,- -,- -,- -,- -,524400000,305000000
92,Common Stock Repurchased,- -,- -,- -,116700000,- -,- -,-53400000,- -,- -,- -,-10900000,-317800000,-218700000,-322100000,-589100000,-397100000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-4200000,-14400000,-17100000,-14400000,-13500000,-10800000,-4000000,- -,- -
94,Other Financing Activites,-136300000,-121800000,- -,-300000000,-112400000,-132100000,700000,823600000,2674000000,1881900000,1653000000,4472800000,1565000000,592800000,4141800000,1736700000
95,Cash Used/Provided by Financing Activities,-136300000,-121800000,- -,-183300000,-112400000,-132100000,-57100000,648800000,3484200000,1372400000,-4500000,2053100000,423400000,-652400000,-272000000,-167500000
96,Effect of Forex Changes on Cash,- -,- -,- -,1400000,200000,100000,500000,-400000,-7300000,-2300000,400000,33300000,-2000000,-2300000,3800000,3700000
97,Net Change In Cash,- -,- -,- -,2500000,-900000,-3100000,56500000,343800000,-133600000,573000000,302200000,382300000,-536200000,60000000,138900000,-369200000
98,Cash at the End of Period,- -,- -,- -,992200000,4800000,1700000,58200000,402000000,268400000,841400000,1143600000,1525900000,989700000,1054500000,1193400000,824200000
99,Cash at the Beginning of Period,- -,- -,- -,989700000,5700000,4800000,1700000,58200000,402000000,268400000,841400000,1143600000,1525900000,994500000,1054500000,1193400000
100,Free Cash Flow,138800000,141300000,- -,184400000,111300000,128900000,113100000,86400000,67600000,343700000,380900000,196300000,494300000,414100000,391000000,395700000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1530950/000153095012000254/0001530950-12-000254-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095013000190/0001530950-13-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095014000330/0001530950-14-000330-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095015000278/0001530950-15-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095016000508/0001530950-16-000508-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095017000231/0001530950-17-000231-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095018000238/0001530950-18-000238-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095019000262/0001530950-19-000262-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095020000326/0001530950-20-000326-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095021000383/0001530950-21-000383-index.htm
102,false,,,,,,,,,,,,,,,,
