,https://roic.ai/company/AVNS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,139600000,202600000,223800000,147900000,97600000,188800000,144200000,-145600000,-74500000,-2500000,87300000
84,CAPEX,-39700000,-40800000,-49000000,-78500000,-70400000,-29100000,-43200000,-49100000,-50600000,-20200000,-21000000
85,Acquisitions Net,-3700000,- -,-2200000,- -,- -,-175000000,- -,688600000,-57500000,-4000000,- -
86,Purchases of Investments,- -,- -,-2200000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-35800000,-40300000,-46500000,-70700000,-62600000,-25900000,-43100000,-49100000,-50600000,-20200000,-21000000
89,Cash Used for Investing Activites,-39500000,-40300000,-50900000,-70700000,-62600000,-200900000,-43100000,639500000,-108100000,-24200000,-21000000
90,Debt Repayment,-41400000,-31200000,-67900000,-13800000,-51000000,-72000000,- -,-339000000,-200000,-254800000,-70000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1000000,-900000,-2500000,-900000,-3600000,-900000,-11500000
93,Dividends Paid,- -,- -,- -,-680000000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-73700000,-102700000,-112100000,723000000,1400000,71500000,4700000,15500000,5300000,185700000,26200000
95,Cash Used/Provided by Financing Activities,-115100000,-133900000,-180000000,29200000,-50600000,-1400000,2200000,-324400000,1500000,-70000000,-55300000
96,Effect of Forex Changes on Cash,800000,-600000,3300000,-1500000,-3900000,-2300000,2700000,-4700000,1900000,2900000,-4000000
97,Net Change In Cash,-14200000,27800000,-3800000,104900000,-19500000,-15800000,106000000,164800000,-179200000,-93800000,7000000
98,Cash at the End of Period,20100000,47900000,44100000,149000000,129500000,113700000,219700000,384500000,205300000,111500000,118500000
99,Cash at the Beginning of Period,34300000,20100000,47900000,44100000,149000000,129500000,113700000,219700000,384500000,205300000,111500000
100,Free Cash Flow,99900000,161800000,174800000,69400000,27200000,159700000,101000000,-194700000,-125100000,-22700000,66300000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1606498/000160649815000009/halyardhealth_10k2014.htm,https://www.sec.gov/Archives/edgar/data/1606498/000160649816000044/0001606498-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649817000008/0001606498-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649818000016/0001606498-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649819000018/0001606498-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649820000018/0001606498-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649821000015/0001606498-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1606498/000160649822000029/0001606498-22-000029-index.htm
102,false,,,,,,,,,,,
