,https://roic.ai/company/TRHC,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,-3389000,-1879000,-9375000,-77956000,-36108000,-1051000,-45968000,-1226000,-26546000
91,Common Stock Issued,164000,59000,12000,55186000,34897000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-959000,-2866000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12093000,13961000,7288000,29211000,31015000,46494000,254260000,7093000,33462000
95,Cash Used/Provided by Financing Activities,8868000,12141000,-2075000,6441000,28845000,42577000,208292000,5867000,6916000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5868000,-1905000,-2096000,2319000,6085000,14599000,21552000,-18049000,-12826000
98,Cash at the End of Period,6027000,4122000,2026000,4345000,10430000,25029000,46581000,28532000,15706000
99,Cash at the Beginning of Period,159000,6027000,4122000,2026000,4345000,10430000,25029000,46581000,28532000
100,Free Cash Flow,-3000000,-98000,2082000,1078000,11691000,5254000,-28978000,1727000,-19742000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651561/000155837017001729/0001558370-17-001729-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837018002063/0001558370-18-002063-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837019001440/0001558370-19-001440-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837020001882/0001558370-20-001882-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837021001929/0001558370-21-001929-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837022002164/0001558370-22-002164-index.htm
102,false,,,,,,,,,
